field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;dcypf9mqtlcn5wetj1z7g3mui;1;20;4;d0c07im4a6oj8qa7f1zlt3pqs;czvde89wpqkqnxb7dz23pwnx0;home;1;GK;A. Cervantes;;;;;;
2;9yldym4386a2icfk6qb6i90r8;2;25;4;d0c07im4a6oj8qa7f1zlt3pqs;czvde89wpqkqnxb7dz23pwnx0;home;1;DR;A. De Anda;;;;;;
2;9nlw8tihbzfnvkt5uproa79jo;3;3;4;d0c07im4a6oj8qa7f1zlt3pqs;czvde89wpqkqnxb7dz23pwnx0;home;1;DC;Rubén Bonachera;;;;;;
3;2yxzh220ndd4s4wqditruo0h6;4;6;4;d0c07im4a6oj8qa7f1zlt3pqs;czvde89wpqkqnxb7dz23pwnx0;home;1;MC;A. Ramírez;;;;;;
2;ec3xdenc4ncg4sc8ni4kkyln8;5;4;4;d0c07im4a6oj8qa7f1zlt3pqs;czvde89wpqkqnxb7dz23pwnx0;home;1;DL;A. Gomez;;;;7nxqbiq6fics5w3qnwhz249as;44,0;1,0
2;d0riqrsz7ojwb9m94rbvx7r6y;6;5;4;d0c07im4a6oj8qa7f1zlt3pqs;czvde89wpqkqnxb7dz23pwnx0;home;1;DC;S. Mazzaferro;;;;;;
3;ov91zkisppven9tp72gfbjf8;7;18;4;d0c07im4a6oj8qa7f1zlt3pqs;czvde89wpqkqnxb7dz23pwnx0;home;1;MC;B. Byaruhanga;;;;;;
3;7m5wyvhq876dyap45egqs2tjo;8;30;4;d0c07im4a6oj8qa7f1zlt3pqs;czvde89wpqkqnxb7dz23pwnx0;home;1;MC;E. Torres;;;;;;
4;4521gkm1oemvrfsgksz7b6zxm;9;9;4;d0c07im4a6oj8qa7f1zlt3pqs;czvde89wpqkqnxb7dz23pwnx0;home;1;FW;S. Pineau;;;;;;
4;641bsr9un81t6sds51fhvijh0;10;10;4;d0c07im4a6oj8qa7f1zlt3pqs;czvde89wpqkqnxb7dz23pwnx0;home;1;FWR;B. Farkarlun;;;;6y4dhco5w4ontgfdtl1oj06xg;91,0;2,0
