id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_JerseyNumber;value_TeamFormation;value_Captain;value_Involved;value_TeamKit;value_PlayerPosition;value_TeamPlayerFormation;value_Resume;value_DirectionOfPlay;value_PassEndY;value_KickOff;value_PassEndX;value_Length;value_Zone;value_Angle;value_IntendedTackleTarget;value_Offensive;value_TakeOnOvertake;value_OppositeRelatedEventId;value_TouchTypeControl;value_Defensive;value_OutSwinger;value_RightFooted;value_Cross;value_OutOfPlay;value_Right;value_Left;value_CornerTaken;value_LongBall;value_Chipped;value_MediumGkIntervention;value_OverArm;value_KeeperThrow;value_BlockedPass;value_TakeOnSpace;value_ShirtPull/Holding;value_Foul;value_Direct;value_FreeKickTaken;value_HeadPass;value_InjuredPlayerId;value_Injury;value_RelatedEventId;value_InSwinger;value_LeftFooted;value_FlickOn;value_Head;value_DeletedEventType;value_NotAssisted;value_GkY;value_Blocked;value_LowCentre;value_BlockedX;value_GoalmouthZ;value_BoxCentre;value_GkX;value_BlockedY;value_FromCorner;value_FirstTouch;value_GoalmouthY;value_DefBlock;value_NotVisible;value_PlayersCaughtOffside;value_Indirect;value_TouchTypeClearance;value_Assist;value_Assisted;value_IndividualPlay;value_FastBreak;value_BoxLeft;value_CloseLeft;value_NextEventGoalKick;value_GoalKick;value_Low;value_TouchTypePass;value_LayOff;value_NextEventThrowIn;value_ThrowIn;value_SwitchOfPlay;value_Unchallenged;value_LowGkIntervention;value_GkKickFromHands;value_Launch;value_AttemptedTackle;value_Shove/Push;value_YellowCard;value_TacticalFoul;value_IntentionalAssist;value_SetPiece;value_Overrun;value_RegularPlay;value_OutOfBoxCentre;value_High;value_HighGkIntervention;value_LowRight;value_ThroughBall;value_Weak;value_GoalShotGameClock;value_GkXTimeOfGoal;value_BigChance;value_GkYTimeOfGoal;value_HighCentre;value_FollowsADribble;value_GoalShotTimestamp;value_LeadingToGoal;value_SoloRun;value_RelatedError1Id;value_KeeperTouched;value_TempMissed;value_Minutes;value_EndType;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_HitWoodwork;value_HitLeftPost;value_BoxRight;value_LowLeft;value_DangerousPlay;value_RecklessOffence;value_Straight;value_DrivenCross;value_Standing;value_Hands;value_Collected;value_Volley;value_Feet;value_ParriedSafe;value_Sliding;value_Reaching;value_CloseHigh;value_Stooping;value_EventTypeReview;value_GkHoof;value_35Right;value_Handball;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;value_OtherReason;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2691446709;1;34;16;0;0;cbip96wzs3jc2xadoluhhxotl;1;0,0;0,0;2024-05-25T00:23:10.345Z;2024-05-25T02:21:55Z;[{'id': 5051945977, 'qualifierId': 59, 'value': '95, 51, 33, 81, 42, 32, 47, 92, 72, 39, 41, 12, 23, 44, 45, 49, 70, 77'}, {'id': 5051945979, 'qualifierId': 130, 'value': '2'}, {'id': 5052171991, 'qualifierId': 194, 'value': 'ahl3kfbfeubf6zfl7x8qrlm38'}, {'id': 5051945973, 'qualifierId': 30, 'value': 'd8jipeh184bc6p9c0uervzytw, 48vc423tkz4mx7oql1ahqneac, asy97zdxk0352toy38huzk222, 3wkej06590b61lyqm7vt1kwes, ahl3kfbfeubf6zfl7x8qrlm38, 5gg2mxmy9ff40oku3s09gavl6, es77zuezg8qvczh819uj6c844, bxnegxnynd1glae8g0vfigfvu, 72xq9zy27facbbowtwsuzw0lw, tw82u87mw6kggtjblt1hhdzo, dzo2odov052991qseshgfruju, 17x0wwjg47boyx7jua6vqf0gk, 6d45ccicyo6dregi9cm4ad4kq, 8pl795qg2d886vtq8trzsucfe, 7ditqci7td8u4wj4dmirr3qzu, 8zi8ztqodyei25r17enlqfhuc, mm0bv35ngf0sqh2yx2eza4x6, 6kpb5yyfk2ifjgtfkspb8xwd0'}, {'id': 5052045881, 'qualifierId': 197, 'value': '6183'}, {'id': 5051945975, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5051945981, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5051945983, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;d09222lyv6huaqpw34yeir6z8;Team set up;;2,0;;;6183,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;;;;;;;;;0;0;0;0;North Texas;0;;
2691447195;1;34;16;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;0,0;0,0;2024-05-25T00:24:30.891Z;2024-05-25T03:08:35Z;[{'id': 5051948655, 'qualifierId': 130, 'value': '13'}, {'id': 5052219649, 'qualifierId': 194, 'value': '6agfr3usj1pblrbq2i9mdpmcq'}, {'id': 5051948653, 'qualifierId': 59, 'value': '30, 2, 15, 6, 5, 4, 50, 35, 41, 10, 99, 7, 8, 14, 16, 22, 24, 34, 51, 79'}, {'id': 5052044737, 'qualifierId': 197, 'value': '23314'}, {'id': 5051948649, 'qualifierId': 30, 'value': '6agfr3usj1pblrbq2i9mdpmcq, auomns9j08ffqknhs9007ju38, 939wjlo1zcnhfu6jy2px0zmui, 7al9w77ailhli8g487tkl32tw, 1j010cibh247p8kjchww6ny3u, e7vsajjh4e7t51ciycjg0skd0, 32c9e26wcnr5kmab8ep4zph5g, akgtib8zyv5lrvh9mxunj2rdg, 19ckwd2oz9uyfjznuq2c41btg, 6ggqe5gi2w2jjclmbjev6dd78, 3h8rx5wumr7hktll4hnvx7or8, 3risld5mac5ns2rrv6namc2l0, f3bqitwkt3mitemcjd61hi044, 741wavjzdmc04j4i8a3chq9zo, 1iedtrzbcgj817i0ccin8dvro, da3mzb093sxf8i2xznedau8t0, 9nl0k91lrjonu0z2irbs01oiy, 6girdg17h5o2qr8stoywy3vv8, 8vnnownnzz2ksuuitbw3ax5yi, 8oa72acrno9ybfo1hdof5efbo'}, {'id': 5051948651, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5051948659, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5051948657, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;d09222lyv6huaqpw34yeir6z8;Team set up;;13,0;;;23314,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;;;;;;;;;0;0;0;0;Real Monarchs;0;;
2691464245;2;32;1;0;0;cbip96wzs3jc2xadoluhhxotl;1;0,0;0,0;2024-05-25T01:14:10.359Z;2024-05-25T01:14:10Z;[{'id': 5052047497, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;d09222lyv6huaqpw34yeir6z8;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;;;;;;;;;0;0;0;0;North Texas;0;;
2691464249;3;32;1;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;0,0;0,0;2024-05-25T01:14:10.359Z;2024-05-30T17:15:14Z;[{'id': 5052047503, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;d09222lyv6huaqpw34yeir6z8;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;;;;;;;;;0;0;0;0;Real Monarchs;0;;
2691464253;4;1;1;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;50,2;50,3;2024-05-25T01:14:10.360Z;2024-05-25T01:14:13Z;[{'id': 5052047531, 'qualifierId': 141, 'value': '53.9'}, {'id': 5052047537, 'qualifierId': 279, 'value': 'S'}, {'id': 5052047529, 'qualifierId': 140, 'value': '24.1'}, {'id': 5052047533, 'qualifierId': 212, 'value': '27.5'}, {'id': 5052047527, 'qualifierId': 56, 'value': 'Back'}, {'id': 5052047535, 'qualifierId': 213, 'value': '3.05'}];19ckwd2oz9uyfjznuq2c41btg;T. Scott;;;d09222lyv6huaqpw34yeir6z8;Pass;;;;;;;;;;53,9;;24,1;27,5;;3,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;24,1;53,9;;;;;;;0;0;0;0;Real Monarchs;0;FW;1,0
2691464259;5;1;1;0;3;99l7fsj6ykgbyqcb9zqqu9dgq;1;23,1;53,3;2024-05-25T01:14:13.636Z;2024-05-25T01:15:09Z;[{'id': 5052047563, 'qualifierId': 140, 'value': '23.0'}, {'id': 5052047567, 'qualifierId': 212, 'value': '15.9'}, {'id': 5052047569, 'qualifierId': 213, 'value': '1.58'}, {'id': 5052047565, 'qualifierId': 141, 'value': '76.7'}, {'id': 5052047561, 'qualifierId': 56, 'value': 'Back'}];1j010cibh247p8kjchww6ny3u;N. Gordon;;;d09222lyv6huaqpw34yeir6z8;Pass;;;;;;;;;;76,7;;23,0;15,9;;1,58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;23,0;76,7;;;;;;;0;0;0;3;Real Monarchs;3;DC;1,0
2691464275;6;1;1;0;5;99l7fsj6ykgbyqcb9zqqu9dgq;1;23,0;76,7;2024-05-25T01:14:15.460Z;2024-05-25T01:14:17Z;[{'id': 5052047627, 'qualifierId': 140, 'value': '29.4'}, {'id': 5052047629, 'qualifierId': 141, 'value': '85.6'}, {'id': 5052047633, 'qualifierId': 213, 'value': '0.73'}, {'id': 5052047631, 'qualifierId': 212, 'value': '9.0'}, {'id': 5052047625, 'qualifierId': 56, 'value': 'Back'}];7al9w77ailhli8g487tkl32tw;M. Westergren;;;d09222lyv6huaqpw34yeir6z8;Pass;;;;;;;;;;85,6;;29,4;9,0;;0,73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;29,4;85,6;;;;;;;0;0;0;5;Real Monarchs;5;DC;1,0
2691464281;7;1;1;0;7;99l7fsj6ykgbyqcb9zqqu9dgq;1;29,4;85,6;2024-05-25T01:14:17.412Z;2024-05-25T01:14:20Z;[{'id': 5052047681, 'qualifierId': 141, 'value': '81.8'}, {'id': 5052047683, 'qualifierId': 212, 'value': '10.8'}, {'id': 5052047677, 'qualifierId': 56, 'value': 'Back'}, {'id': 5052047679, 'qualifierId': 140, 'value': '19.4'}, {'id': 5052047685, 'qualifierId': 213, 'value': '3.38'}];939wjlo1zcnhfu6jy2px0zmui;I. Parker;;;d09222lyv6huaqpw34yeir6z8;Pass;;;;;;;;;;81,8;;19,4;10,8;;3,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;19,4;81,8;;;;;;;0;0;0;7;Real Monarchs;7;DML;1,0
2691464303;8;1;1;0;9;99l7fsj6ykgbyqcb9zqqu9dgq;1;19,8;81,7;2024-05-25T01:14:19.908Z;2024-05-25T01:14:23Z;[{'id': 5052047775, 'qualifierId': 141, 'value': '41.6'}, {'id': 5052047773, 'qualifierId': 140, 'value': '21.6'}, {'id': 5052047771, 'qualifierId': 56, 'value': 'Back'}, {'id': 5052047779, 'qualifierId': 213, 'value': '4.78'}, {'id': 5052047777, 'qualifierId': 212, 'value': '27.3'}];7al9w77ailhli8g487tkl32tw;M. Westergren;;;d09222lyv6huaqpw34yeir6z8;Pass;;;;;;;;;;41,6;;21,6;27,3;;4,78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;21,6;41,6;;;;;;;0;0;0;9;Real Monarchs;9;DC;1,0
2691464307;9;1;1;0;13;99l7fsj6ykgbyqcb9zqqu9dgq;1;26,1;40,7;2024-05-25T01:14:23.396Z;2024-05-25T01:15:16Z;[{'id': 5052047815, 'qualifierId': 140, 'value': '23.3'}, {'id': 5052047819, 'qualifierId': 212, 'value': '8.2'}, {'id': 5052047817, 'qualifierId': 141, 'value': '51.9'}, {'id': 5052047813, 'qualifierId': 56, 'value': 'Back'}, {'id': 5052047821, 'qualifierId': 213, 'value': '1.94'}];e7vsajjh4e7t51ciycjg0skd0;T. Humphrey;;;d09222lyv6huaqpw34yeir6z8;Pass;;;;;;;;;;51,9;;23,3;8,2;;1,94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;23,3;51,9;;;;;;;0;0;0;13;Real Monarchs;13;DC;1,0
