field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;2y9o7d8tm1f8fnp6jewxzifis;1;76;3;1zgjjyruyufrkh4xjvryqsb1i;d1dfjadu57a6m4uh2jwpwi3h0;away;1;GK;A. Rick;;;;;;
2;15v2azulwhof0p216i7bjp250;2;30;3;1zgjjyruyufrkh4xjvryqsb1i;d1dfjadu57a6m4uh2jwpwi3h0;away;1;DR;J. Berdecio;;;;872ifpo3qufi9vv9vy7ty6uj8;83,0;2,0
2;2qz3ojbfedl8psp1tvq0183ro;3;39;3;1zgjjyruyufrkh4xjvryqsb1i;d1dfjadu57a6m4uh2jwpwi3h0;away;1;DC;F. Westfield;;;;;;
3;81w1fqi66z0ibawynhraybaxg;4;22;3;1zgjjyruyufrkh4xjvryqsb1i;d1dfjadu57a6m4uh2jwpwi3h0;away;1;DMC;S. Ngabo;;;;;;
2;3h4x6eh6zkcaww4g6rhkwpbf8;5;44;3;1zgjjyruyufrkh4xjvryqsb1i;d1dfjadu57a6m4uh2jwpwi3h0;away;1;DL;Neil Pierre;;;;;;
2;a3qa9kw3vbh8nu5mgns92czro;6;29;3;1zgjjyruyufrkh4xjvryqsb1i;d1dfjadu57a6m4uh2jwpwi3h0;away;1;DC;O. Makhanya;;;;;;
3;cjhjwaelyypl3ca9gpzu61vys;7;38;3;1zgjjyruyufrkh4xjvryqsb1i;d1dfjadu57a6m4uh2jwpwi3h0;away;1;MR;G. Sequera;;;;cbpm8k301adrmft5fd0kaeiuh;23,0;1,0
3;45v94x6b8g7n4xa3lsfdp6pzo;8;41;3;1zgjjyruyufrkh4xjvryqsb1i;d1dfjadu57a6m4uh2jwpwi3h0;away;1;AMC;D. Vazquez;;;;;;
4;9j3va21w5i9ypf8qmt4g1vggk;9;77;3;1zgjjyruyufrkh4xjvryqsb1i;d1dfjadu57a6m4uh2jwpwi3h0;away;1;FW;E. Davis;;;;20wmdzih6b1t0ekt1v2qd4b2s;62,0;2,0
4;de6bz3uyz5ta17f0jnnfhzims;10;45;3;1zgjjyruyufrkh4xjvryqsb1i;d1dfjadu57a6m4uh2jwpwi3h0;away;1;FW;L. Soria;;;;ngmdu10fjli45jvddeljv8yc;62,0;2,0
3;7bodno8j3qjiqp9wy8kobwmqc;11;56;3;1zgjjyruyufrkh4xjvryqsb1i;d1dfjadu57a6m4uh2jwpwi3h0;away;1;ML;C. Olney;;;;;;
5;ngmdu10fjli45jvddeljv8yc;0;35;3;1zgjjyruyufrkh4xjvryqsb1i;d1dfjadu57a6m4uh2jwpwi3h0;away;1;Sub;M. Anderson;de6bz3uyz5ta17f0jnnfhzims;62,0;2,0;;;
5;5aszabja459117mqykvfpajh0;0;42;3;1zgjjyruyufrkh4xjvryqsb1i;d1dfjadu57a6m4uh2jwpwi3h0;away;1;Sub;C. Rojas;cbpm8k301adrmft5fd0kaeiuh;83,0;2,0;;;
5;82h370aim64ufe2pugftbfxg4;0;43;3;1zgjjyruyufrkh4xjvryqsb1i;d1dfjadu57a6m4uh2jwpwi3h0;away;1;Sub;;;;;;;
5;1ceqwz4ozqi6ft5l4hf5a04r8;0;57;3;1zgjjyruyufrkh4xjvryqsb1i;d1dfjadu57a6m4uh2jwpwi3h0;away;1;Sub;;;;;;;
5;872ifpo3qufi9vv9vy7ty6uj8;0;58;3;1zgjjyruyufrkh4xjvryqsb1i;d1dfjadu57a6m4uh2jwpwi3h0;away;1;Sub;G. Wetzel;15v2azulwhof0p216i7bjp250;83,0;2,0;;;
5;cbpm8k301adrmft5fd0kaeiuh;0;88;3;1zgjjyruyufrkh4xjvryqsb1i;d1dfjadu57a6m4uh2jwpwi3h0;away;1;Sub;K. Tucker;cjhjwaelyypl3ca9gpzu61vys;23,0;1,0;5aszabja459117mqykvfpajh0;83,0;2,0
5;c59pt9nvdpxlp6xvs78un16hg;0;98;3;1zgjjyruyufrkh4xjvryqsb1i;d1dfjadu57a6m4uh2jwpwi3h0;away;1;Sub;;;;;;;
5;20wmdzih6b1t0ekt1v2qd4b2s;0;6;3;1zgjjyruyufrkh4xjvryqsb1i;d1dfjadu57a6m4uh2jwpwi3h0;away;1;Sub;C. Sullivan;9j3va21w5i9ypf8qmt4g1vggk;62,0;2,0;;;
1;bvtvko74cyeqe297mp6shrf2s;1;21;2;4g68p0t2f5jzhzfr67i2rj1ex;d1dfjadu57a6m4uh2jwpwi3h0;home;1;GK;A. Stokes;;;;;;
2;59kitnlge8bjsxmhy850bsutw;2;34;2;4g68p0t2f5jzhzfr67i2rj1ex;d1dfjadu57a6m4uh2jwpwi3h0;home;1;DR;J. Gutierrez;;;;;;
2;nhhmltlm3ayn7vqmp6etck5w;3;24;2;4g68p0t2f5jzhzfr67i2rj1ex;d1dfjadu57a6m4uh2jwpwi3h0;home;1;DC;C. Ofori;;;;;;
3;8q2wozyqz4nveabn71hc614dm;4;65;2;4g68p0t2f5jzhzfr67i2rj1ex;d1dfjadu57a6m4uh2jwpwi3h0;home;1;MC;S. Sserwadda;;;;ov4fk38lrcculu6tdbnrto2c;83,0;2,0
2;e23u0x31okggroh6dkoqx5fdg;5;27;2;4g68p0t2f5jzhzfr67i2rj1ex;d1dfjadu57a6m4uh2jwpwi3h0;home;1;DL;D. Alexandre;;;;;;
2;e2tuar1frliervcr2mnmvfspg;6;23;2;4g68p0t2f5jzhzfr67i2rj1ex;d1dfjadu57a6m4uh2jwpwi3h0;home;1;DC;A. O'Connor;;;;;;
3;afqry84j23xgkhqryrontj190;7;82;2;4g68p0t2f5jzhzfr67i2rj1ex;d1dfjadu57a6m4uh2jwpwi3h0;home;1;MR;I. Kasule;;;;;;
3;5u3ohty1lsm0fn2ltez4g7o5w;8;91;2;4g68p0t2f5jzhzfr67i2rj1ex;d1dfjadu57a6m4uh2jwpwi3h0;home;1;MC;B. Estrela;;;;8u0efvao8rym6mdx0tl0h0qac;72,0;2,0
4;es0bxxdxf6bco25evmg19ic4;9;37;2;4g68p0t2f5jzhzfr67i2rj1ex;d1dfjadu57a6m4uh2jwpwi3h0;home;1;FW;M. Sofo;;;;;;
4;8y7kqet5swj9dmqama0z5ngus;10;16;2;4g68p0t2f5jzhzfr67i2rj1ex;d1dfjadu57a6m4uh2jwpwi3h0;home;1;FW;J. Hall;;;;;;
3;e4rpnf90oa672lcm8ego7vllg;11;79;2;4g68p0t2f5jzhzfr67i2rj1ex;d1dfjadu57a6m4uh2jwpwi3h0;home;1;ML;R. Mosquera;;;;4akvdujqbywk628gok9xbh2j8;62,0;2,0
5;gz9dek1oxgman9jslfku0zmy;0;35;2;4g68p0t2f5jzhzfr67i2rj1ex;d1dfjadu57a6m4uh2jwpwi3h0;home;1;Sub;;;;;;;
5;8u0efvao8rym6mdx0tl0h0qac;0;44;2;4g68p0t2f5jzhzfr67i2rj1ex;d1dfjadu57a6m4uh2jwpwi3h0;home;1;Sub;A. Jarvis;5u3ohty1lsm0fn2ltez4g7o5w;72,0;2,0;;;
5;4gp2d7oltfq4uwzj78gr6q9sk;0;50;2;4g68p0t2f5jzhzfr67i2rj1ex;d1dfjadu57a6m4uh2jwpwi3h0;home;1;Sub;;;;;;;
5;35eyloaqnyzxecdatlfdqfbis;0;76;2;4g68p0t2f5jzhzfr67i2rj1ex;d1dfjadu57a6m4uh2jwpwi3h0;home;1;Sub;;;;;;;
