id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_PlayerPosition;value_Involved;value_Captain;value_TeamKit;value_Resume;value_JerseyNumber;value_TeamFormation;value_TeamPlayerFormation;value_DirectionOfPlay;value_Zone;value_Length;value_Angle;value_PassEndX;value_KickOff;value_PassEndY;value_Chipped;value_LongBall;value_NextEventThrowIn;value_OppositeRelatedEventId;value_NotVisible;value_ThrowIn;value_Launch;value_Head;value_Offensive;value_TakeOnSpace;value_Defensive;value_TouchTypeClearance;value_Right;value_Left;value_CornerTaken;value_RightFooted;value_Cross;value_OutSwinger;value_MediumGkIntervention;value_GkKickFromHands;value_HeadPass;value_DeletedEventType;value_Assist;value_IntentionalAssist;value_FirstTouch;value_Assisted;value_BigChance;value_GkX;value_GkY;value_RelatedEventId;value_SmallBoxCentre;value_BlockedY;value_NotPastGoalLine;value_GoalmouthZ;value_GoalmouthY;value_BlockedX;value_RegularPlay;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_GkYTimeOfGoal;value_Volley;value_GoalShotGameClock;value_LowLeft;value_Tap;value_BlockedPass;value_TakeOnOvertake;value_IntendedTackleTarget;value_AttemptedTackle;value_Foul;value_Direct;value_FreeKickTaken;value_NotAssisted;value_IndividualPlay;value_LowCentre;value_OutOfBoxCentre;value_Hands;value_LowGkIntervention;value_Stooping;value_Collected;value_KeeperThrow;value_LeftFooted;value_Blocked;value_DefBlock;value_BlockedClearance;value_HighLeft;value_BoxCentre;value_NextEventGoalKick;value_GoalKick;value_Low;value_TouchTypePass;value_Overrun;value_OverArm;value_TouchTypeControl;value_OutOfPlay;value_InSwinger;value_SixYardBlocked;value_FromCorner;value_Defensive1V1;value_Handball;value_1On1;value_ParriedSafe;value_Feet;value_Sliding;value_FlickOn;value_Injury;value_InjuredPlayerId;value_LeadingToGoal;value_LowRight;value_RelatedError1Id;value_FollowsADribble;value_ShirtPull/Holding;value_YellowCard;value_TacticalFoul;value_HighClaim;value_HighGkIntervention;value_SwitchOfPlay;value_SmallBoxRight;value_High;value_SetPiece;value_BoxDeepLeft;value_CloseHigh;value_BoxLeft;value_FastBreak;value_OtherBodyPart;value_PlayersCaughtOffside;value_Indirect;value_TempMissed;value_FantasyAssistType;value_FantasyAssistId;value_FreeKick;value_FantasyAssistedBy;value_FantasyAssistTeam;value_Minutes;value_AerialFoul;value_BlockedCross;value_Deflection;value_EndType;value_Diving;value_ParriedDanger;value_Standing;value_Dissent;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_PullBack;value_BoxRight;value_TimeWasting;value_GkHoof;value_VideoCoverageLost;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2693537897;1;34;16;0;0;8ijkk62897so5r3bq0wgwx4bu;1;0,0;0,0;2024-06-01T01:27:22.401Z;2024-06-01T02:03:39Z;[{'id': 5063456461, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5063456459, 'qualifierId': 30, 'value': 'ab8jzmb5h0lh7mt66h3zgm5ex, 70e7dozhms3xdkr0n6kas00es, 4blue6g56i3t9iffjcmjs6hhw, c44bkncqmptribnxki1dyppbe, 2vq2t4ttpcwey95jzofd60qy2, e23yyl43xtcve09dx234uuj8, 5zawuirp825t4brhaj90k9duy, 58akq0ojntf5n123msb1tzeok, 1kl9112b8rcbr3k1s5hs353x0, 4o8ulvahxfb06x5xhvflvwhzo, b4hm7o0o1tlssg0aa1psm704q, e7q60ne93c6289xwnt9zj65wq, b2sl4wp77nrynvodb6k19yfze, e6ocmgjfubq6qvg4wfp8zipsk, ct1a7ex39pnemouuv4klyj85w, 2io6rajwkftjli8i14hf606ei, 2eoftsi3eznjjmhu8ybft11ck, byzzgz3ix7vuh6c3hqf7580lw, evup6vvfz5q201s8hg6bhxck, 4283da2hccprbybkv4nvmos2c'}, {'id': 5063479819, 'qualifierId': 194, 'value': 'b4hm7o0o1tlssg0aa1psm704q'}, {'id': 5063479821, 'qualifierId': 197, 'value': '23553'}, {'id': 5063456469, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5063456463, 'qualifierId': 59, 'value': '31, 75, 50, 52, 47, 51, 61, 87, 29, 84, 30, 12, 53, 67, 68, 71, 72, 74, 81, 95'}, {'id': 5063456465, 'qualifierId': 130, 'value': '8'}, {'id': 5063456467, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;d4s4gkd3nmz6m1oiwfrydvfo4;Team set up;;;;23553,0;;;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;;;;;;;;;0;0;0;0;Tacoma Defiance;0;;
2693538005;1;34;16;0;0;5icuo8utnztpsd9l03gdd68dl;1;0,0;0,0;2024-06-01T01:29:32.700Z;2024-06-01T02:06:54Z;[{'id': 5063479835, 'qualifierId': 194, 'value': 'cdyrj15oxu3l5sgzgwof8ohgq'}, {'id': 5063457227, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5063457225, 'qualifierId': 130, 'value': '8'}, {'id': 5063457219, 'qualifierId': 30, 'value': 'bdrs643l8uzj01plxa25wncdm, dil2b9u1omrsdbxba5swbe9gq, 2iusvkm9t8r1widsfvbesnjf8, ez0t0pl5qxy0sa3zp1l77sjro, 9mi1sfptejdihpufyukrdkftg, e1e506479mqo8j3geie6amuj8, 4dji8lgdl3psnfchdwpllvod0, 7ajceczjsu9ci4nqv9gg2860a, 3y5rrahty1k0l1hnww3bcozmy, cdyrj15oxu3l5sgzgwof8ohgq, 7zr3gif60ntltgt3s5yi6qjca, 5rcj1mef6u2jbosy1urou0d7t, 4s56s6f9nw96wergw7ix5zp0q, 9fbj8njpn0q6j87le4rnafjf8, 5jal3zhkwodffivsq89wfd15g, e2t6sxwsa5ll4zvsxh96512zu, 3007iihmvmlzgpgtxri3v3hg4, do5nsl65m35sog9vcp0j3kbh0'}, {'id': 5063479025, 'qualifierId': 197, 'value': '3515'}, {'id': 5063457221, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5063457229, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5063457223, 'qualifierId': 59, 'value': '29, 35, 85, 37, 98, 39, 93, 34, 95, 88, 31, 30, 32, 36, 80, 83, 96, 97'}];;;;;d4s4gkd3nmz6m1oiwfrydvfo4;Team set up;;;;3515,0;;;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;;;;;;;;;0;0;0;0;Ventura County;0;;
2693542363;2;32;1;0;0;8ijkk62897so5r3bq0wgwx4bu;1;0,0;0,0;2024-06-01T02:05:13.590Z;2024-06-07T06:43:13Z;[{'id': 5063481061, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;d4s4gkd3nmz6m1oiwfrydvfo4;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;;;;;;;;;0;0;0;0;Tacoma Defiance;0;;
2693542461;2;32;1;0;0;5icuo8utnztpsd9l03gdd68dl;1;0,0;0,0;2024-06-01T02:05:13.590Z;2024-06-01T02:05:43Z;[{'id': 5063481639, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;d4s4gkd3nmz6m1oiwfrydvfo4;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5icuo8utnztpsd9l03gdd68dl;Tacoma Defiance;away;;;;;;;;;0;0;0;0;Ventura County;0;;
2693542373;3;1;1;0;0;8ijkk62897so5r3bq0wgwx4bu;1;49,8;50,0;2024-06-01T02:05:13.591Z;2024-06-01T02:52:32Z;[{'id': 5063481131, 'qualifierId': 56, 'value': 'Back'}, {'id': 5063481137, 'qualifierId': 212, 'value': '2.3'}, {'id': 5063481139, 'qualifierId': 213, 'value': '3.59'}, {'id': 5063481133, 'qualifierId': 140, 'value': '47.8'}, {'id': 5063481141, 'qualifierId': 279, 'value': 'S'}, {'id': 5063481135, 'qualifierId': 141, 'value': '48.5'}];4o8ulvahxfb06x5xhvflvwhzo;R. Ramos;;;d4s4gkd3nmz6m1oiwfrydvfo4;Pass;;;;;;;;;;;2,3;3,59;47,8;;48,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;47,8;48,5;;;;;;;0;0;0;0;Tacoma Defiance;0;AMC;1,0
2693542383;4;1;1;0;4;8ijkk62897so5r3bq0wgwx4bu;1;56,6;34,8;2024-06-01T02:05:18.399Z;2024-06-01T02:05:38Z;[{'id': 5063481199, 'qualifierId': 212, 'value': '24.6'}, {'id': 5063481197, 'qualifierId': 141, 'value': '13.5'}, {'id': 5063481193, 'qualifierId': 56, 'value': 'Back'}, {'id': 5063481195, 'qualifierId': 140, 'value': '37.7'}, {'id': 5063481201, 'qualifierId': 213, 'value': '3.77'}];c44bkncqmptribnxki1dyppbe;I. Parente;;;d4s4gkd3nmz6m1oiwfrydvfo4;Pass;;;;;;;;;;;24,6;3,77;37,7;;13,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;37,7;13,5;;;;;;;0;0;0;4;Tacoma Defiance;4;MC;1,0
2693542389;5;1;1;0;6;8ijkk62897so5r3bq0wgwx4bu;1;37,7;14,1;2024-06-01T02:05:20.311Z;2024-06-01T02:05:22Z;[{'id': 5063481239, 'qualifierId': 213, 'value': '1.72'}, {'id': 5063481233, 'qualifierId': 140, 'value': '34.2'}, {'id': 5063481237, 'qualifierId': 212, 'value': '24.4'}, {'id': 5063481235, 'qualifierId': 141, 'value': '49.6'}, {'id': 5063481231, 'qualifierId': 56, 'value': 'Back'}];70e7dozhms3xdkr0n6kas00es;H. Miller;;;d4s4gkd3nmz6m1oiwfrydvfo4;Pass;;;;;;;;;;;24,4;1,72;34,2;;49,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;34,2;49,6;;;;;;;0;0;0;6;Tacoma Defiance;6;DR;1,0
2693542401;6;1;1;0;9;8ijkk62897so5r3bq0wgwx4bu;1;34,2;49,6;2024-06-01T02:05:22.856Z;2024-06-01T02:05:25Z;[{'id': 5063481311, 'qualifierId': 141, 'value': '78.8'}, {'id': 5063481313, 'qualifierId': 212, 'value': '19.9'}, {'id': 5063481307, 'qualifierId': 56, 'value': 'Back'}, {'id': 5063481315, 'qualifierId': 213, 'value': '1.59'}, {'id': 5063481309, 'qualifierId': 140, 'value': '33.8'}];2vq2t4ttpcwey95jzofd60qy2;C. Klein;;;d4s4gkd3nmz6m1oiwfrydvfo4;Pass;;;;;;;;;;;19,9;1,59;33,8;;78,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;33,8;78,8;;;;;;;0;0;0;9;Tacoma Defiance;9;DL;1,0
2693542413;7;1;1;0;11;8ijkk62897so5r3bq0wgwx4bu;1;33,8;78,8;2024-06-01T02:05:24.935Z;2024-06-01T02:05:28Z;[{'id': 5063481363, 'qualifierId': 56, 'value': 'Back'}, {'id': 5063481369, 'qualifierId': 212, 'value': '11.7'}, {'id': 5063481371, 'qualifierId': 213, 'value': '4.51'}, {'id': 5063481367, 'qualifierId': 141, 'value': '62.0'}, {'id': 5063481365, 'qualifierId': 140, 'value': '31.6'}];e23yyl43xtcve09dx234uuj8;A. Essengue;;;d4s4gkd3nmz6m1oiwfrydvfo4;Pass;;;;;;;;;;;11,7;4,51;31,6;;62,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;31,6;62,0;;;;;;;0;0;0;11;Tacoma Defiance;11;DC;1,0
2693542421;8;1;1;0;14;8ijkk62897so5r3bq0wgwx4bu;1;31,2;58,7;2024-06-01T02:05:28.015Z;2024-06-01T02:05:31Z;[{'id': 5063481443, 'qualifierId': 141, 'value': '75.9'}, {'id': 5063481441, 'qualifierId': 140, 'value': '39.2'}, {'id': 5063481445, 'qualifierId': 212, 'value': '14.4'}, {'id': 5063481447, 'qualifierId': 213, 'value': '0.95'}, {'id': 5063481439, 'qualifierId': 56, 'value': 'Back'}];2vq2t4ttpcwey95jzofd60qy2;C. Klein;;;d4s4gkd3nmz6m1oiwfrydvfo4;Pass;;;;;;;;;;;14,4;0,95;39,2;;75,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;39,2;75,9;;;;;;;0;0;0;14;Tacoma Defiance;14;DL;1,0
