field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;76xo0u2yd2cqf8xdyh8rteqdw;1;57;8;4g68p0t2f5jzhzfr67i2rj1ex;d5izy9ptxpt812xrnrqw1bm6s;away;1;GK;A. Rutkowski;;;;;;
2;59kitnlge8bjsxmhy850bsutw;2;34;8;4g68p0t2f5jzhzfr67i2rj1ex;d5izy9ptxpt812xrnrqw1bm6s;away;1;DR;J. Gutierrez;;;;;;
2;92np3jwhxchmtfeov82ehe13o;3;42;8;4g68p0t2f5jzhzfr67i2rj1ex;d5izy9ptxpt812xrnrqw1bm6s;away;1;DC;O. Valencia;;;;;;
3;8q2wozyqz4nveabn71hc614dm;4;65;8;4g68p0t2f5jzhzfr67i2rj1ex;d5izy9ptxpt812xrnrqw1bm6s;away;1;MC;S. Sserwadda;;;;80p7shawtxjiydizsg5fo5a1g;73,0;2,0
2;e23u0x31okggroh6dkoqx5fdg;5;27;8;4g68p0t2f5jzhzfr67i2rj1ex;d5izy9ptxpt812xrnrqw1bm6s;away;1;DL;D. Alexandre;;;;a0do5kh5akr89kst2p1hohixg;45,0;2,0
2;e23u0x31okggroh6dkoqx5fdg;5;27;8;4g68p0t2f5jzhzfr67i2rj1ex;d5izy9ptxpt812xrnrqw1bm6s;away;1;DL;D. Alexandre;;;;8u0efvao8rym6mdx0tl0h0qac;45,0;2,0
2;4gp2d7oltfq4uwzj78gr6q9sk;6;50;8;4g68p0t2f5jzhzfr67i2rj1ex;d5izy9ptxpt812xrnrqw1bm6s;away;1;DC;J. Collahuazo;;;;35eyloaqnyzxecdatlfdqfbis;73,0;2,0
3;es0bxxdxf6bco25evmg19ic4;7;37;8;4g68p0t2f5jzhzfr67i2rj1ex;d5izy9ptxpt812xrnrqw1bm6s;away;1;AMR;M. Sofo;;;;;;
3;o3gftw0hatp1r62ynjmlaaui;8;46;8;4g68p0t2f5jzhzfr67i2rj1ex;d5izy9ptxpt812xrnrqw1bm6s;away;1;MC;D. Sullivan;;;;;;
4;4akvdujqbywk628gok9xbh2j8;9;97;8;4g68p0t2f5jzhzfr67i2rj1ex;d5izy9ptxpt812xrnrqw1bm6s;away;1;FW;F. Ssebufu;;;;65g50zt5gbo1lnrbc7uvwsbo4;73,0;2,0
3;afqry84j23xgkhqryrontj190;10;82;8;4g68p0t2f5jzhzfr67i2rj1ex;d5izy9ptxpt812xrnrqw1bm6s;away;1;AMC;I. Kasule;;;;nhhmltlm3ayn7vqmp6etck5w;63,0;2,0
3;e4rpnf90oa672lcm8ego7vllg;11;79;8;4g68p0t2f5jzhzfr67i2rj1ex;d5izy9ptxpt812xrnrqw1bm6s;away;1;AML;R. Mosquera;;;;ov4fk38lrcculu6tdbnrto2c;63,0;2,0
5;bvtvko74cyeqe297mp6shrf2s;0;21;8;4g68p0t2f5jzhzfr67i2rj1ex;d5izy9ptxpt812xrnrqw1bm6s;away;1;Sub;;;;;;;
5;nhhmltlm3ayn7vqmp6etck5w;0;24;8;4g68p0t2f5jzhzfr67i2rj1ex;d5izy9ptxpt812xrnrqw1bm6s;away;1;Sub;C. Ofori;afqry84j23xgkhqryrontj190;63,0;2,0;;;
5;gz9dek1oxgman9jslfku0zmy;0;35;8;4g68p0t2f5jzhzfr67i2rj1ex;d5izy9ptxpt812xrnrqw1bm6s;away;1;Sub;;;;;;;
5;8u0efvao8rym6mdx0tl0h0qac;0;44;8;4g68p0t2f5jzhzfr67i2rj1ex;d5izy9ptxpt812xrnrqw1bm6s;away;1;Sub;A. Jarvis;a0do5kh5akr89kst2p1hohixg;45,0;2,0;;;
5;8u0efvao8rym6mdx0tl0h0qac;0;44;8;4g68p0t2f5jzhzfr67i2rj1ex;d5izy9ptxpt812xrnrqw1bm6s;away;1;Sub;A. Jarvis;e23u0x31okggroh6dkoqx5fdg;45,0;2,0;;;
5;65g50zt5gbo1lnrbc7uvwsbo4;0;66;8;4g68p0t2f5jzhzfr67i2rj1ex;d5izy9ptxpt812xrnrqw1bm6s;away;1;Sub;T. Rosborough;4akvdujqbywk628gok9xbh2j8;73,0;2,0;;;
5;35eyloaqnyzxecdatlfdqfbis;0;76;8;4g68p0t2f5jzhzfr67i2rj1ex;d5izy9ptxpt812xrnrqw1bm6s;away;1;Sub;J. Bryjak;4gp2d7oltfq4uwzj78gr6q9sk;73,0;2,0;;;
5;80p7shawtxjiydizsg5fo5a1g;0;77;8;4g68p0t2f5jzhzfr67i2rj1ex;d5izy9ptxpt812xrnrqw1bm6s;away;1;Sub;A. Mehmeti;8q2wozyqz4nveabn71hc614dm;73,0;2,0;;;
5;ov4fk38lrcculu6tdbnrto2c;0;90;8;4g68p0t2f5jzhzfr67i2rj1ex;d5izy9ptxpt812xrnrqw1bm6s;away;1;Sub;M. Dembele;e4rpnf90oa672lcm8ego7vllg;63,0;2,0;;;
1;bn7qfn71x24fjl5d8t4p97kve;1;44;8;6ddsx316t3j0z6nolrky9k4r8;d5izy9ptxpt812xrnrqw1bm6s;home;1;GK;A. Rando;;;;3o4uxnvpnf3cwjs3srwegxp90;66,0;2,0
2;6sf0pdlzomnt3e1hlc4twyv4k;2;38;8;6ddsx316t3j0z6nolrky9k4r8;d5izy9ptxpt812xrnrqw1bm6s;home;1;DR;D. Baiera;;;;;;
2;7uk47vm92xsvwdofmw1ppawyy;3;68;8;6ddsx316t3j0z6nolrky9k4r8;d5izy9ptxpt812xrnrqw1bm6s;home;1;DC;C. Tiao;;;;;;
3;duj699i9620tuf3ii9z06bqsq;4;42;8;6ddsx316t3j0z6nolrky9k4r8;d5izy9ptxpt812xrnrqw1bm6s;home;1;MC;P. Elias;;;;1ni0mewxcbo26d1xxetkdy3ca;93,0;2,0
2;eiyzqnfh8r8aduel0seou7nu2;5;31;8;6ddsx316t3j0z6nolrky9k4r8;d5izy9ptxpt812xrnrqw1bm6s;home;1;DL;S. Owusu;;;;;;
2;9ijxde56q9ayy0v9kgt2osx04;6;61;8;6ddsx316t3j0z6nolrky9k4r8;d5izy9ptxpt812xrnrqw1bm6s;home;1;DC;A. Hauschild;;;;;;
3;1kuo66geyyz9gu2n39w0bvr4k;7;20;8;6ddsx316t3j0z6nolrky9k4r8;d5izy9ptxpt812xrnrqw1bm6s;home;1;AMR;J. Arroyave;;;;2676930j149yvanqev61emh62;79,0;2,0
3;4k6c9nnzytq9qhc9uol64wg7o;8;37;8;6ddsx316t3j0z6nolrky9k4r8;d5izy9ptxpt812xrnrqw1bm6s;home;1;MC;S. Bednarsky;;;;;;
4;3ei1s8oyub83owfxxbsygmsmi;9;77;8;6ddsx316t3j0z6nolrky9k4r8;d5izy9ptxpt812xrnrqw1bm6s;home;1;FW;J. Jiménez;;;;;;
3;a0do5kh5akr89kst2p1hohixg;10;83;8;6ddsx316t3j0z6nolrky9k4r8;d5izy9ptxpt812xrnrqw1bm6s;home;1;AMC;Camil Azzam Ruiz;;;;cwyml9l4tfvb4ceh8tv3au0wk;59,0;2,0
3;a0do5kh5akr89kst2p1hohixg;10;83;8;6ddsx316t3j0z6nolrky9k4r8;d5izy9ptxpt812xrnrqw1bm6s;home;1;AMC;Camil Azzam Ruiz;;;;;59,0;2,0
3;4h2k5kwclhlgjk2koqin5r2fo;11;64;8;6ddsx316t3j0z6nolrky9k4r8;d5izy9ptxpt812xrnrqw1bm6s;home;1;AML;J. Lacher;;;;8qkw6bkxcucb5jnsfotm816ac;79,0;2,0
5;cwyml9l4tfvb4ceh8tv3au0wk;0;29;8;6ddsx316t3j0z6nolrky9k4r8;d5izy9ptxpt812xrnrqw1bm6s;home;1;Sub;M. Carrizo;a0do5kh5akr89kst2p1hohixg;59,0;2,0;;;
5;eq98gflais2v26wgbkw9wrxg4;0;47;8;6ddsx316t3j0z6nolrky9k4r8;d5izy9ptxpt812xrnrqw1bm6s;home;1;Sub;;;;;;;
5;3mq1g1pyo3flkaorg9wqmfhuc;0;50;8;6ddsx316t3j0z6nolrky9k4r8;d5izy9ptxpt812xrnrqw1bm6s;home;1;Sub;;;;;;;
