id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Resume;value_TeamKit;value_PlayerPosition;value_Involved;value_TeamFormation;value_Captain;value_TeamPlayerFormation;value_JerseyNumber;value_DirectionOfPlay;value_KickOff;value_PassEndX;value_Zone;value_Length;value_Angle;value_PassEndY;value_Launch;value_LongBall;value_OppositeRelatedEventId;value_Defensive;value_Offensive;value_HeadPass;value_TakeOnOvertake;value_Overrun;value_DeletedEventType;value_IntendedTackleTarget;value_Defensive1V1;value_Foul;value_Direct;value_AttemptedTackle;value_FreeKickTaken;value_Chipped;value_TakeOnSpace;value_GoalmouthZ;value_BlockedY;value_LowCentre;value_GoalmouthY;value_OutOfBoxCentre;value_NotAssisted;value_BlockedX;value_FreeKick;value_RightFooted;value_Collected;value_LowGkIntervention;value_Stooping;value_Hands;value_KeeperThrow;value_NotVisible;value_TouchTypePass;value_NextEventThrowIn;value_ThrowIn;value_FlickOn;value_MediumGkIntervention;value_TouchTypeControl;value_IntentionalAssist;value_Assist;value_Assisted;value_RelatedEventId;value_BoxCentre;value_RegularPlay;value_Diving;value_PlayersCaughtOffside;value_Indirect;value_LayOff;value_ShirtPull/Holding;value_ThroughBall;value_OverArm;value_SwitchOfPlay;value_OutOfPlay;value_TouchTypeClearance;value_Left;value_CornerTaken;value_InSwinger;value_Cross;value_Head;value_FromCorner;value_GkXTimeOfGoal;value_GoalShotGameClock;value_SwerveRight;value_FollowsADribble;value_GkX;value_IndividualPlay;value_GoalShotTimestamp;value_LeftFooted;value_GkYTimeOfGoal;value_HighRight;value_GkY;value_LeadingToAttempt;value_RelatedError1Id;value_FirstTouch;value_HighClaim;value_BigChance;value_Feet;value_ParriedSafe;value_Sliding;value_BlockedPass;value_GoalDisallowed;value_CloseHigh;value_NextEventGoalKick;value_GoalKick;value_High;value_Shove/Push;value_BoxLeft;value_CloseLeft;value_Low;value_TacticalFoul;value_YellowCard;value_OutSwinger;value_AerialFoul;value_InjuredPlayerId;value_Injury;value_BoxDeepRight;value_LowLeft;value_Right;value_BlockedCross;value_GkHoof;value_IncorrectOutOfPlayDecision;value_Minutes;value_PenaltyTakerId;value_Penalty;value_Scored;value_CausingPlayer;value_Weak;value_Second(2Nd)OppositeRelatedEventId;value_EndType;value_LastLine;value_SetPiece;value_NotPastGoalLine;value_HitWoodwork;value_HitRightPost;value_HighGkIntervention;value_GkKickFromHands;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_Handball;value_Volley;value_MisHit;value_Blocked;value_DefBlock;value_CloseRight;value_RecklessOffence;value_LowRight;value_SixYardBlocked;value_BoxDeepLeft;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2694310071;1;34;16;0;0;dqx48fglv1l96cyrmjdod0xec;1;0,0;0,0;2024-06-03T01:07:05.306Z;2024-06-07T11:17:30Z;[{'id': 5067726267, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5067757563, 'qualifierId': 197, 'value': '15002'}, {'id': 5067726259, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5067726257, 'qualifierId': 30, 'value': 'brbc088u7sq9wh9d9gkonn5gq, 2dqtrnq0k1fphyw71yh41gvtg, 7zkzjmk1go1u2vi5qkqlmezu, 3dyn7hheqvs3gm3m84jrra9lg, 910fd7rfysvvfzp2s1ywna5pm, 276kl5oc1k19y1linbxml0xec, en6q7ddrr22sz6knipkbqhyw9, dpedfgxin5nc4qmziaokpmiy2, f2nvagw4mjjpn1ytj6rdl5ene, 5jigl7kp5d2i5ws1602jm7n1m, 9gswafduy82n4o6f0uk0khhck, 9k050zmkegfu3gdw2b4g4uwwk, 9ulwk81vyj5rbz88h62i2ejv8, 37vbc16ejxmfkssydcdxq69zo, 92oqt9q51us5rpmqmvvrdso6i, 632mpv8dpnxjm69f8ip1e4l5g, 7h6a0x05z2laewfq7spicxwd0, bbnk87q7t8pahznohwjjcvu5m, 8hg6c5ehhaa37lwduf5977i3u, 4eh46qse8ocmutobremniuolw'}, {'id': 5067726263, 'qualifierId': 130, 'value': '2'}, {'id': 5067738185, 'qualifierId': 194, 'value': '910fd7rfysvvfzp2s1ywna5pm'}, {'id': 5067726265, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5067726261, 'qualifierId': 59, 'value': '31, 33, 99, 49, 40, 42, 75, 43, 80, 41, 59, 46, 50, 55, 56, 64, 71, 72, 88, 94'}];;;;;d6oauavu7mmhfhn2sa0niikgk;Team set up;;15002,0;;;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;;;;;;;;;;0;0;0;Colorado Rapids II;0;;
2694310541;1;34;16;0;0;iiolvosiuokkrl5iuoxcjo4p;1;0,0;0,0;2024-06-03T01:09:58.783Z;2024-06-03T02:08:53Z;[{'id': 5067729041, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5067729045, 'qualifierId': 130, 'value': '2'}, {'id': 5067729039, 'qualifierId': 30, 'value': '3gzatxlefe9axcrqyllbtrzmc, 4wu5ystem7t4d7veep83j2qne, am8ndwmm4m03ys6wkad29lst0, 7pegcq6kh8s6naujxky714ys4, a9w6952jyw6x83gxp94zs8ro4, 8p3y7tm4lzwp39tojonnohaay, 6hh057kb54ovy3lqxo5bvxlhw, f1oc42nax0yel4gblge49py7e, ew8oodr9hiuqve7xlz24xznfu, 28kg6zbpgbb8zrnhidogpxi0a, 7gh46rkxaa7trgtp8lf1l591w, 38z2cuwmbeanujqho9cqwozmy, etyqw24tl6zko0qarctyv6ane, 1ss7pdaxmlk0sijax5brwpkyy, 63r5yw1u82xzwndp8c6rwvzoq, 86piuxs9tep01rcbsp3t8vx90, 1p1ektnr3l7lj518cbs2dnmdw, 9j4bb1s2mxtk3d4vmtvv081lg, 45nz5h9qtf9bnucuxuh3b4qhg'}, {'id': 5067729043, 'qualifierId': 59, 'value': '41, 53, 72, 80, 44, 56, 49, 45, 39, 47, 46, 40, 42, 48, 54, 55, 57, 71, 90'}, {'id': 5067730333, 'qualifierId': 194, 'value': 'ew8oodr9hiuqve7xlz24xznfu'}, {'id': 5067730743, 'qualifierId': 197, 'value': '23381'}, {'id': 5067729047, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5067729049, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;d6oauavu7mmhfhn2sa0niikgk;Team set up;;23381,0;;;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;;;;;;;;;;0;0;0;St. Louis City II;0;;
2694315975;2;32;1;0;0;dqx48fglv1l96cyrmjdod0xec;1;0,0;0,0;2024-06-03T02:04:02.876Z;2024-06-03T02:04:05Z;[{'id': 5067757881, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;d6oauavu7mmhfhn2sa0niikgk;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;;;;;;;;;;0;0;0;Colorado Rapids II;0;;
2694315971;2;32;1;0;0;iiolvosiuokkrl5iuoxcjo4p;1;0,0;0,0;2024-06-03T02:04:02.876Z;2024-06-07T11:20:45Z;[{'id': 5067757875, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;d6oauavu7mmhfhn2sa0niikgk;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;;;;;;;;;;0;0;0;St. Louis City II;0;;
2694315983;3;1;1;0;0;iiolvosiuokkrl5iuoxcjo4p;1;50,2;49,9;2024-06-03T02:04:02.877Z;2024-06-03T02:04:07Z;[{'id': 5067757927, 'qualifierId': 279, 'value': 'S'}, {'id': 5067757915, 'qualifierId': 140, 'value': '29.8'}, {'id': 5067757913, 'qualifierId': 56, 'value': 'Back'}, {'id': 5067757921, 'qualifierId': 212, 'value': '21.5'}, {'id': 5067757925, 'qualifierId': 213, 'value': '3.03'}, {'id': 5067757917, 'qualifierId': 141, 'value': '53.3'}];ew8oodr9hiuqve7xlz24xznfu;M. Vargas;;;d6oauavu7mmhfhn2sa0niikgk;Pass;;;;;;;;;;;29,8;;21,5;3,03;53,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;29,8;53,3;;;;;;;;0;0;0;St. Louis City II;0;FW;1,0
2694315989;4;1;1;0;4;iiolvosiuokkrl5iuoxcjo4p;0;29,7;48,8;2024-06-03T02:04:07.302Z;2024-06-07T11:23:34Z;[{'id': 5067757963, 'qualifierId': 213, 'value': '0.27'}, {'id': 5067757957, 'qualifierId': 140, 'value': '61.2'}, {'id': 5067757953, 'qualifierId': 157}, {'id': 5067757959, 'qualifierId': 141, 'value': '62.1'}, {'id': 5067757961, 'qualifierId': 212, 'value': '34.3'}, {'id': 5067757965, 'qualifierId': 1}, {'id': 5067757955, 'qualifierId': 56, 'value': 'Center'}];28kg6zbpgbb8zrnhidogpxi0a;A. Díaz;;;d6oauavu7mmhfhn2sa0niikgk;Pass;;;;;;;;;;;61,2;;34,3;0,27;62,1;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;61,2;62,1;;;;;;;;0;0;4;St. Louis City II;4;FW;1,0
2694315997;3;44;1;0;8;dqx48fglv1l96cyrmjdod0xec;1;33,4;38,1;2024-06-03T02:04:10.965Z;2024-06-03T02:04:12Z;[{'id': 5067758007, 'qualifierId': 233, 'value': '5'}, {'id': 5067757991, 'qualifierId': 285}, {'id': 5067757989, 'qualifierId': 56, 'value': 'Back'}];910fd7rfysvvfzp2s1ywna5pm;M. Wentzel;;;d6oauavu7mmhfhn2sa0niikgk;Aerial;;;;;;;;;;;;;;;;;;5,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;;;;;;;;;;0;0;8;Colorado Rapids II;8;DL;1,0
2694315993;5;44;1;0;8;iiolvosiuokkrl5iuoxcjo4p;0;66,6;61,9;2024-06-03T02:04:10.966Z;2024-06-03T02:04:12Z;[{'id': 5067758013, 'qualifierId': 233, 'value': '3'}, {'id': 5067757975, 'qualifierId': 286}, {'id': 5067757973, 'qualifierId': 56, 'value': 'Center'}];6hh057kb54ovy3lqxo5bvxlhw;A. García;;;d6oauavu7mmhfhn2sa0niikgk;Aerial;;;;;;;;;;;;;;;;;;3,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;;;;;;;;;;0;0;8;St. Louis City II;8;MR;1,0
2694315999;4;1;1;0;8;dqx48fglv1l96cyrmjdod0xec;0;28,1;38,3;2024-06-03T02:04:11.644Z;2024-06-03T02:04:12Z;[{'id': 5067757997, 'qualifierId': 140, 'value': '33.3'}, {'id': 5067757999, 'qualifierId': 141, 'value': '35.6'}, {'id': 5067758003, 'qualifierId': 212, 'value': '5.8'}, {'id': 5067757995, 'qualifierId': 56, 'value': 'Back'}, {'id': 5067758005, 'qualifierId': 213, 'value': '5.96'}, {'id': 5067757993, 'qualifierId': 3}];910fd7rfysvvfzp2s1ywna5pm;M. Wentzel;;;d6oauavu7mmhfhn2sa0niikgk;Pass;;;;;;;;;;;33,3;;5,8;5,96;35,6;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;33,3;35,6;;;;;;;;0;0;8;Colorado Rapids II;8;DL;1,0
2694316005;6;3;1;0;10;iiolvosiuokkrl5iuoxcjo4p;0;60,4;59,6;2024-06-03T02:04:12.966Z;2024-06-07T11:24:12Z;[{'id': 5071265641, 'qualifierId': 465}, {'id': 5067758017, 'qualifierId': 56, 'value': 'Center'}, {'id': 5071265639, 'qualifierId': 211}, {'id': 5071265625, 'qualifierId': 286}];ew8oodr9hiuqve7xlz24xznfu;M. Vargas;;;d6oauavu7mmhfhn2sa0niikgk;Take On;;;;;;;;;;;;;;;;;;;;1,0;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;;;;;;;;;;0;0;10;St. Louis City II;10;FW;1,0
