field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;7x098qxoirgwlu38q1v969s6h;1;31;10;c7c4wwva2u1vb3rr7rwava044;d71ql42fnxtjimhk13jqduwpg;home;1;GK;C. dos Santos;;;;;;
2;4kng7wg83mastngy9hw7j6v6y;2;2;10;c7c4wwva2u1vb3rr7rwava044;d71ql42fnxtjimhk13jqduwpg;home;1;DR;N. Sessock;;;;;;
2;3oqz86s2ngipsrb1jbb36buqy;3;32;10;c7c4wwva2u1vb3rr7rwava044;d71ql42fnxtjimhk13jqduwpg;home;1;DL;N. Allen;;;;;;
2;c1fvknrf94i05q738d5r7vmdw;4;4;10;c7c4wwva2u1vb3rr7rwava044;d71ql42fnxtjimhk13jqduwpg;home;1;DC;T. Hall;;;;;;
2;3x8f4j8q49d8hft60a6k8l5as;5;12;10;c7c4wwva2u1vb3rr7rwava044;d71ql42fnxtjimhk13jqduwpg;home;1;DC;T. Barton;;;;;;
2;87plrqqcwrv16d5v8mretfp7u;6;19;10;c7c4wwva2u1vb3rr7rwava044;d71ql42fnxtjimhk13jqduwpg;home;1;DC;I. Fray;;;;;;
3;1yl2e0y3cglm1nwto5uzs3e5m;7;43;10;c7c4wwva2u1vb3rr7rwava044;d71ql42fnxtjimhk13jqduwpg;home;1;MC;L. Sunderland;;;;3jiy9srl213w2s5abet3m3ys5;58,0;2,0
3;bmuuex6k6mwfnqmvvq4ai0f10;8;6;10;c7c4wwva2u1vb3rr7rwava044;d71ql42fnxtjimhk13jqduwpg;home;1;MC;Y. Bright;;;;;;
4;977s1fxwxwxqbged7jln0nka2;9;7;10;c7c4wwva2u1vb3rr7rwava044;d71ql42fnxtjimhk13jqduwpg;home;1;FW;Leo Afonso;;;;55y26r9mz105vrqmnq739l62;86,0;2,0
4;cliiemf1ih37qhh1wi1olk9ka;10;9;10;c7c4wwva2u1vb3rr7rwava044;d71ql42fnxtjimhk13jqduwpg;home;1;FW;R. Carmichael;;;;ju24rgwcctj5yizl54o91gfe;76,0;2,0
3;cjjvy22j5q0piz5omn2tf18us;11;8;10;c7c4wwva2u1vb3rr7rwava044;d71ql42fnxtjimhk13jqduwpg;home;1;MC;Pep Casas;;;;7uj52qs9yf21gxixhrowyvswk;58,0;2,0
5;19igj31auu88fhwdpfz8c1coa;0;1;10;c7c4wwva2u1vb3rr7rwava044;d71ql42fnxtjimhk13jqduwpg;home;1;Sub;;;;;;;
5;cngjy2fgv7bd3262mp7onczkk;0;14;10;c7c4wwva2u1vb3rr7rwava044;d71ql42fnxtjimhk13jqduwpg;home;1;Sub;;;;;;;
5;3jiy9srl213w2s5abet3m3ys5;0;20;10;c7c4wwva2u1vb3rr7rwava044;d71ql42fnxtjimhk13jqduwpg;home;1;Sub;C. Jean;1yl2e0y3cglm1nwto5uzs3e5m;58,0;2,0;;;
5;7uj52qs9yf21gxixhrowyvswk;0;21;10;c7c4wwva2u1vb3rr7rwava044;d71ql42fnxtjimhk13jqduwpg;home;1;Sub;D. Martinez;cjjvy22j5q0piz5omn2tf18us;58,0;2,0;;;
5;7ve3vmg19c3g91j7zs32oecd0;0;23;10;c7c4wwva2u1vb3rr7rwava044;d71ql42fnxtjimhk13jqduwpg;home;1;Sub;;;;;;;
5;55y26r9mz105vrqmnq739l62;0;11;10;c7c4wwva2u1vb3rr7rwava044;d71ql42fnxtjimhk13jqduwpg;home;1;Sub;D. Reyes;977s1fxwxwxqbged7jln0nka2;86,0;2,0;;;
5;ju24rgwcctj5yizl54o91gfe;0;49;10;c7c4wwva2u1vb3rr7rwava044;d71ql42fnxtjimhk13jqduwpg;home;1;Sub;S. Borgelin;cliiemf1ih37qhh1wi1olk9ka;76,0;2,0;;;
5;40za2m92ngp5og8pxyrkxl3is;0;62;10;c7c4wwva2u1vb3rr7rwava044;d71ql42fnxtjimhk13jqduwpg;home;1;Sub;;;;;;;
5;8l4bqb8gtyzqpx3pti200phqs;0;90;10;c7c4wwva2u1vb3rr7rwava044;d71ql42fnxtjimhk13jqduwpg;home;1;Sub;;;;;;;
1;c2j0af3amobjhnadwf8cucbca;1;50;8;479lsfr4cwlzewpbuda3y2xv4;d71ql42fnxtjimhk13jqduwpg;away;1;GK;J. Otero;;;;;;
2;6g7i7z6m8vts105dny1g6z3hm;2;30;8;479lsfr4cwlzewpbuda3y2xv4;d71ql42fnxtjimhk13jqduwpg;away;1;DR;A. Freeman;;;;;;
2;4ulfw4ik3i6ks2t7utgek5l3o;3;64;8;479lsfr4cwlzewpbuda3y2xv4;d71ql42fnxtjimhk13jqduwpg;away;1;DC;M. Cocca;;;;;;
3;9bv0zjyrsopyv3hw8m47sgr9w;4;56;8;479lsfr4cwlzewpbuda3y2xv4;d71ql42fnxtjimhk13jqduwpg;away;1;MC;C. Guske;;;;;;
2;ex99a6zbacpkkhgvynu80qpzo;5;54;8;479lsfr4cwlzewpbuda3y2xv4;d71ql42fnxtjimhk13jqduwpg;away;1;DL;N. Kibunguchy;;;;;;
2;4jkf81djj5h43v8rlnib1tizu;6;68;8;479lsfr4cwlzewpbuda3y2xv4;d71ql42fnxtjimhk13jqduwpg;away;1;DC;T. Williams;;;;;;
3;p99ze5cksh5tv01knf5oj33e;7;49;8;479lsfr4cwlzewpbuda3y2xv4;d71ql42fnxtjimhk13jqduwpg;away;1;AMR;J. Solís;;;;;;
3;i5wj5hcg2r9934e7gauxtgmi;8;53;8;479lsfr4cwlzewpbuda3y2xv4;d71ql42fnxtjimhk13jqduwpg;away;1;MC;I. Almaguer;;;;;;
4;aa4v8xfn3ra4digk5h7gdrbze;9;32;8;479lsfr4cwlzewpbuda3y2xv4;d71ql42fnxtjimhk13jqduwpg;away;1;FW;W. Rivera;;;;;;
3;7tpb4dk9meee0utyu4cosnxn8;10;23;8;479lsfr4cwlzewpbuda3y2xv4;d71ql42fnxtjimhk13jqduwpg;away;1;AMC;S. Mohammed;;;;;;
