id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Resume;value_JerseyNumber;value_TeamFormation;value_PlayerPosition;value_TeamKit;value_TeamPlayerFormation;value_Involved;value_Captain;value_DirectionOfPlay;value_Zone;value_Length;value_PassEndX;value_KickOff;value_PassEndY;value_Angle;value_Chipped;value_LongBall;value_Defensive;value_OppositeRelatedEventId;value_Offensive;value_HeadPass;value_TakeOnSpace;value_TakeOnOvertake;value_TouchTypePass;value_BlockedPass;value_DeletedEventType;value_NextEventThrowIn;value_ThrowIn;value_Launch;value_Foul;value_Shove/Push;value_Direct;value_FreeKickTaken;value_Cross;value_RightFooted;value_OutSwinger;value_Assist;value_LeftFooted;value_BlockedX;value_RegularPlay;value_GoalmouthZ;value_HighCentre;value_RelatedEventId;value_GoalmouthY;value_BoxLeft;value_BlockedY;value_Assisted;value_IndividualPlay;value_Standing;value_Collected;value_HighGkIntervention;value_Hands;value_LowGkIntervention;value_KeeperThrow;value_SwitchOfPlay;value_IntendedTackleTarget;value_Blocked;value_OutOfBoxCentre;value_GkX;value_LowLeft;value_GkY;value_DefBlock;value_LayOff;value_ShirtPull/Holding;value_TouchTypeControl;value_TouchTypeClearance;value_Left;value_Right;value_IntentionalAssist;value_CornerTaken;value_FirstTouch;value_FromCorner;value_BoxCentre;value_High;value_Head;value_NextEventGoalKick;value_NotVisible;value_Low;value_GoalKick;value_LeadingToGoal;value_1On1;value_GkXTimeOfGoal;value_GoalShotGameClock;value_RelatedError1Id;value_GkYTimeOfGoal;value_GoalShotTimestamp;value_NotAssisted;value_BigChance;value_LowRight;value_Stooping;value_Feet;value_ParriedSafe;value_InSwinger;value_OutOfPlay;value_FlickOn;value_AttemptedTackle;value_LastLine;value_OverhitCross;value_BoxRight;value_LeadingToAttempt;value_SavedOffLine;value_LowCentre;value_FastBreak;value_RecklessOffence;value_YellowCard;value_Overrun;value_PullBack;value_InjuredPlayerId;value_Injury;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_BlockedClearance;value_SwerveRight;value_GkKickFromHands;value_DrivenCross;value_Straight;value_Penalty;value_PenaltyTakerId;value_Scored;value_Diving;value_FantasyAssistId;value_Second(2Nd)OppositeRelatedEventId;value_FantasyAssistTeam;value_FantasyAssistedBy;value_CausingPlayer;value_FantasyAssistType;value_Handball;value_HitWoodwork;value_HitBar;value_ParriedDanger;value_Reaching;value_Deflection;value_SwerveLeft;value_TempShotOn;value_Defensive1V1;value_TacticalFoul;value_Minutes;value_ThroughBall;value_2NdAssist;value_2NdAssisted;value_2NdRelatedEventId;value_35Centre;value_EndType;value_Tactical;value_CloseLeft;value_Volley;value_CloseRight;value_MediumGkIntervention;value_IncorrectOutOfPlayDecision;value_GkHoof;value_PlayersCaughtOffside;value_Indirect;value_Caught;value_OverArm;value_BlockedCross;value_FollowsADribble;value_BoxDeepRight;value_Unchallenged;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2694252937;1;34;16;0;0;1pc6sx2h4rp113ldkbp5d2xas;1;0,0;0,0;2024-06-02T22:10:01.065Z;2024-06-03T01:19:26Z;[{'id': 5067407801, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5067407795, 'qualifierId': 59, 'value': '30, 35, 39, 23, 51, 40, 44, 34, 99, 29, 38, 32, 36, 42, 43, 47, 48, 49, 57, 90'}, {'id': 5067407797, 'qualifierId': 130, 'value': '12'}, {'id': 5067407793, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5067502047, 'qualifierId': 197, 'value': '23805'}, {'id': 5067407799, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5067407791, 'qualifierId': 30, 'value': '4ac61l7qt4s63hv34g8zsihgp, 1795jw1oc3pkthyq0kqexh65m, 2pka62t1zg04jwkcx6zbc4wlw, aqqjtiyr2nayy6rjq6wxk6ec4, cz98wcy8nq9hqncb2z33p4hec, 9s3boszvqn3fzsx0r1xswqyqy, e2olfsduxvaqsx6rdbaasa356, a4staqjshva5lhcr0dw744nze, tc5nl1hz1w06jobp5ckktr3e, 45b72f8szmqnv8tz06j7mj1wq, 8hftsf1ff8839jdbe3e6lmm1g, 4tengy9p53kcukevpi8s54wh6, 69h930ebovyl7rut5dz4r2iok, 6e688gqc8qzt0h9cutptkcd90, 1unlspl01ht69hrm9apxt4oic, 658tknyb70yhkx52dg4ttngus, a1rc6kukly42y5j5smz3w72tw, f4gpras1h3k8qfz71u84iyyok, byelagxi3qg0rb06tjl3fodn8, iu61re9bbusv2w7fu7w6505w'}, {'id': 5067735881, 'qualifierId': 194, 'value': '2pka62t1zg04jwkcx6zbc4wlw'}];;;;;d7sozos1dejdo6wgre5xus104;Team set up;;;12,0;;23805,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;;;;;;;;;;0;0;0;Sporting KC II;0;;
2694256179;1;34;16;0;0;7fbej4xwoq4imaf5l39304m37;1;0,0;0,0;2024-06-02T22:18:09.253Z;2024-06-03T01:19:16Z;[{'id': 5067427023, 'qualifierId': 59, 'value': '91, 87, 35, 80, 74, 28, 70, 39, 47, 99, 38, 40, 33, 41, 52, 55, 67, 76, 90, 98'}, {'id': 5067427029, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5067735725, 'qualifierId': 194, 'value': 'a8ngovgs2qfu5udzb97kelg16'}, {'id': 5067427025, 'qualifierId': 130, 'value': '2'}, {'id': 5067427027, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5067499821, 'qualifierId': 197, 'value': '12783'}, {'id': 5067427021, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5067427019, 'qualifierId': 30, 'value': '3f52lf1p2xmtzysfi8n18m044, aifybz5snfmoiwlq6qpweitxw, 5n0su1a4r7kb7it3ghxbhrf56, 1pm343qga3zwdbrjngpeqhtnu, 1wa60ccrpw2zqguj4ayeeacyc, 4cfvnypovkt900sfxmdhvxtec, 32t6g252ti1peycjite40qiy2, a8ngovgs2qfu5udzb97kelg16, 4oz12ku4mdjsq7y4sgogpwg2y, cqmvrx028gh19yh8qh7w01y0a, 3tkdn8arq1j3il4ako7rcio2y, 9kahvwswke29dt3uumulbktpm, 1yohdc0hkzkom8hlhw3rjfn8q, ek7grk7is4cp4o6zuqqtkyej8, c7luarkv7hwdspd9xhidhisk4, 94h0z8rrze3vprycoxkvfgtuc, i15xuf6lug0m5twd06n2pus4, avijawqszxv4ewdxydxeugbv8, 2gawx03wls5vwtlocjir3u7vu, vhjelesjaxtgjcgfv7yxp2lm'}];;;;;d7sozos1dejdo6wgre5xus104;Team set up;;;2,0;;12783,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;;;;;;;;;;0;0;0;Minnesota United II;0;;
2694269363;2;32;1;0;0;1pc6sx2h4rp113ldkbp5d2xas;1;0,0;0,0;2024-06-02T23:03:27.527Z;2024-06-07T06:53:12Z;[{'id': 5067499981, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;d7sozos1dejdo6wgre5xus104;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;;;;;;;;;;0;0;0;Sporting KC II;0;;
2694269441;2;32;1;0;0;7fbej4xwoq4imaf5l39304m37;1;0,0;0,0;2024-06-02T23:03:27.527Z;2024-06-02T23:03:41Z;[{'id': 5067500413, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;d7sozos1dejdo6wgre5xus104;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;;;;;;;;;;0;0;0;Minnesota United II;0;;
2694269377;3;1;1;0;0;1pc6sx2h4rp113ldkbp5d2xas;1;49,8;50,1;2024-06-02T23:03:27.528Z;2024-06-02T23:03:29Z;[{'id': 5067500043, 'qualifierId': 56, 'value': 'Back'}, {'id': 5067500049, 'qualifierId': 212, 'value': '23.0'}, {'id': 5067500045, 'qualifierId': 140, 'value': '27.9'}, {'id': 5067500055, 'qualifierId': 279, 'value': 'S'}, {'id': 5067500047, 'qualifierId': 141, 'value': '49.7'}, {'id': 5067500051, 'qualifierId': 213, 'value': '3.15'}];45b72f8szmqnv8tz06j7mj1wq;P. Weah;;;d7sozos1dejdo6wgre5xus104;Pass;;;;;;;;;;;23,0;27,9;;49,7;3,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;27,9;49,7;;;;;;;;0;0;0;Sporting KC II;0;FW;1,0
2694269403;4;1;1;0;2;1pc6sx2h4rp113ldkbp5d2xas;1;28,5;49,6;2024-06-02T23:03:29.832Z;2024-06-02T23:03:36Z;[{'id': 5067500213, 'qualifierId': 213, 'value': '4.52'}, {'id': 5067500211, 'qualifierId': 212, 'value': '18.8'}, {'id': 5067500209, 'qualifierId': 141, 'value': '22.4'}, {'id': 5067500207, 'qualifierId': 140, 'value': '25.1'}, {'id': 5067500205, 'qualifierId': 56, 'value': 'Back'}];a4staqjshva5lhcr0dw744nze;R. O'Driscoll;;;d7sozos1dejdo6wgre5xus104;Pass;;;;;;;;;;;18,8;25,1;;22,4;4,52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;25,1;22,4;;;;;;;;0;0;2;Sporting KC II;2;MC;1,0
2694269417;5;1;1;0;8;1pc6sx2h4rp113ldkbp5d2xas;0;32,4;14,7;2024-06-02T23:03:36.296Z;2024-06-02T23:03:39Z;[{'id': 5067500285, 'qualifierId': 140, 'value': '68.9'}, {'id': 5067500287, 'qualifierId': 141, 'value': '26.2'}, {'id': 5067500291, 'qualifierId': 213, 'value': '0.20'}, {'id': 5067500289, 'qualifierId': 212, 'value': '39.1'}, {'id': 5067500283, 'qualifierId': 56, 'value': 'Center'}, {'id': 5067500281, 'qualifierId': 155}, {'id': 5067500293, 'qualifierId': 1}];9s3boszvqn3fzsx0r1xswqyqy;V. Eriksson;;;d7sozos1dejdo6wgre5xus104;Pass;;;;;;;;;;;39,1;68,9;;26,2;0,2;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;68,9;26,2;;;;;;;;0;0;8;Sporting KC II;8;DC;1,0
2694269453;3;44;1;0;10;7fbej4xwoq4imaf5l39304m37;1;29,9;72,4;2024-06-02T23:03:38.342Z;2024-06-02T23:54:53Z;[{'id': 5067500451, 'qualifierId': 285}, {'id': 5067500449, 'qualifierId': 56, 'value': 'Back'}, {'id': 5067622305, 'qualifierId': 233, 'value': '6'}];4cfvnypovkt900sfxmdhvxtec;C. Rindov;;;d7sozos1dejdo6wgre5xus104;Aerial;;;;;;;;;;;;;;;;;;1,0;6,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;;;;;;;;;;0;0;10;Minnesota United II;10;DC;1,0
2694269419;6;44;1;0;10;1pc6sx2h4rp113ldkbp5d2xas;0;70,1;27,6;2024-06-02T23:03:38.343Z;2024-06-02T23:54:54Z;[{'id': 5067622343, 'qualifierId': 233, 'value': '3'}, {'id': 5067500303, 'qualifierId': 286}, {'id': 5067500301, 'qualifierId': 56, 'value': 'Center'}];tc5nl1hz1w06jobp5ckktr3e;J. Adebayo-Smith;;;d7sozos1dejdo6wgre5xus104;Aerial;;;;;;;;;;;;;;;;;;;3,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;;;;;;;;;;0;0;10;Sporting KC II;10;FW;1,0
2694269457;4;1;1;0;11;7fbej4xwoq4imaf5l39304m37;0;27,6;71,8;2024-06-02T23:03:39.165Z;2024-06-02T23:58:23Z;[{'id': 5067500483, 'qualifierId': 213, 'value': '0.09'}, {'id': 5067500467, 'qualifierId': 3}, {'id': 5067500479, 'qualifierId': 212, 'value': '11.1'}, {'id': 5067500471, 'qualifierId': 140, 'value': '38.1'}, {'id': 5067500469, 'qualifierId': 56, 'value': 'Back'}, {'id': 5067500475, 'qualifierId': 141, 'value': '73.3'}];4cfvnypovkt900sfxmdhvxtec;C. Rindov;;;d7sozos1dejdo6wgre5xus104;Pass;;;;;;;;;;;11,1;38,1;;73,3;0,09;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;away;38,1;73,3;;;;;;;;0;0;11;Minnesota United II;11;DC;1,0
