field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;9bn2zid7u305xii6alm8a58us;1;13;13;5b4ccd62yeeqdl2qk6jzsmjv8;d9c3rsb1yf24xgdp5zfxxwkr8;home;1;GK;S. Lapkes;;;;;;
3;cc7auv8d89ohifqg7qwz62mwa;2;2;13;5b4ccd62yeeqdl2qk6jzsmjv8;d9c3rsb1yf24xgdp5zfxxwkr8;home;1;DMR;J. Greene;;;;;;
3;a12t1zv0y8gzzf6p3jrotkoic;3;45;13;5b4ccd62yeeqdl2qk6jzsmjv8;d9c3rsb1yf24xgdp5zfxxwkr8;home;1;DML;O. Presthus;;;;4nvz6yrxluelbpsjavcjtgnx0;78,0;2,0
2;ba9m1xd2b3b2zvuuogn4uxkwk;4;5;13;5b4ccd62yeeqdl2qk6jzsmjv8;d9c3rsb1yf24xgdp5zfxxwkr8;home;1;DC;C. Rogers;;;;;;
2;1cc8cz8wtm8f05109tjb02xka;5;3;13;5b4ccd62yeeqdl2qk6jzsmjv8;d9c3rsb1yf24xgdp5zfxxwkr8;home;1;DC;D. Almeida;;;;;;
2;9elhnfsovx9efu5f92mkkls7o;6;6;13;5b4ccd62yeeqdl2qk6jzsmjv8;d9c3rsb1yf24xgdp5zfxxwkr8;home;1;DC;C. Pearson;;;;;;
3;37zynr7fwzqg4c9w5ydefywyy;7;10;13;5b4ccd62yeeqdl2qk6jzsmjv8;d9c3rsb1yf24xgdp5zfxxwkr8;home;1;MC;A. González;;;;;;
3;9jy9vyn7y1bomsbjhjujynb4k;8;20;13;5b4ccd62yeeqdl2qk6jzsmjv8;d9c3rsb1yf24xgdp5zfxxwkr8;home;1;MC;N. Rincon;;;;8warl67c0id3dorr48mn7h82c;45,0;2,0
4;xxu2xv2n6f5d51ksa8z4rv2s;9;9;13;5b4ccd62yeeqdl2qk6jzsmjv8;d9c3rsb1yf24xgdp5zfxxwkr8;home;1;FW;J. Da;;;;dgosg1mymhuajg0rz2ts6alpm;65,0;2,0
4;58w3qcq1xrkpq5f9miuxp4ys4;10;17;13;5b4ccd62yeeqdl2qk6jzsmjv8;d9c3rsb1yf24xgdp5zfxxwkr8;home;1;FWR;B. Adu-Gyamfi;;;;290iohuheoqdrdocbg25ipgk4;45,0;2,0
