id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Captain;value_TeamFormation;value_Involved;value_PlayerPosition;value_Resume;value_JerseyNumber;value_TeamPlayerFormation;value_TeamKit;value_DirectionOfPlay;value_PassEndX;value_Angle;value_Length;value_Zone;value_PassEndY;value_KickOff;value_Chipped;value_OppositeRelatedEventId;value_Offensive;value_Defensive;value_FlickOn;value_HeadPass;value_OutOfPlay;value_NextEventThrowIn;value_ThrowIn;value_Handball;value_Direct;value_FreeKickTaken;value_LongBall;value_Launch;value_Assist;value_GkX;value_OutOfBoxCentre;value_RegularPlay;value_SwerveRight;value_Assisted;value_RelatedEventId;value_GoalmouthY;value_GoalmouthZ;value_GkY;value_RightFooted;value_IndividualPlay;value_Right;value_NextEventGoalKick;value_GoalKick;value_Low;value_TakeOnOvertake;value_TouchTypeClearance;value_DeletedEventType;value_SwitchOfPlay;value_Cross;value_LeftFooted;value_OutSwinger;value_HighGkIntervention;value_TouchTypePass;value_BlockedPass;value_TakeOnSpace;value_Foul;value_AttemptedTackle;value_Head;value_Left;value_CornerTaken;value_InSwinger;value_IntendedTackleTarget;value_Shove/Push;value_OverhitCross;value_PlayersCaughtOffside;value_Indirect;value_TouchTypeControl;value_LowCentre;value_BlockedY;value_BlockedX;value_Deflection;value_Collected;value_Stooping;value_Hands;value_LowGkIntervention;value_KeeperThrow;value_LayOff;value_MisHit;value_SwerveLeft;value_IntentionalAssist;value_NotPastGoalLine;value_FirstTouch;value_BoxLeft;value_ShirtPull/Holding;value_YellowCard;value_RecklessOffence;value_NotVisible;value_MediumGkIntervention;value_SetPiece;value_BoxCentre;value_ThroughBall;value_BoxRight;value_Weak;value_Volley;value_NotAssisted;value_CloseLeft;value_HighLeft;value_HighRight;value_IncorrectOutOfPlayDecision;value_Minutes;value_OtherBodyPart;value_SmallBoxCentre;value_BigChance;value_EndType;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_InjuredPlayerId;value_Injury;value_OverArm;value_Blocked;value_DefBlock;value_LowLeft;value_ParriedSafe;value_CloseRightAndHigh;value_PullBack;value_GkYTimeOfGoal;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_GoalShotGameClock;value_High;value_BlockedCross;value_FromCorner;value_FreeKick;value_OutOfBoxLeft;value_TacticalFoul;value_LeadingToGoal;value_RelatedError1Id;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2694890271;1;34;16;0;0;1zgjjyruyufrkh4xjvryqsb1i;1;0,0;0,0;2024-06-06T21:25:59.346Z;2024-06-06T22:09:18Z;[{'id': 5070934673, 'qualifierId': 194, 'value': 'cbpm8k301adrmft5fd0kaeiuh'}, {'id': 5070915189, 'qualifierId': 130, 'value': '2'}, {'id': 5070915183, 'qualifierId': 30, 'value': '2y9o7d8tm1f8fnp6jewxzifis, 15v2azulwhof0p216i7bjp250, 2qz3ojbfedl8psp1tvq0183ro, 5aszabja459117mqykvfpajh0, 3h4x6eh6zkcaww4g6rhkwpbf8, a3qa9kw3vbh8nu5mgns92czro, cbpm8k301adrmft5fd0kaeiuh, 81w1fqi66z0ibawynhraybaxg, de6bz3uyz5ta17f0jnnfhzims, 434xf7moiduhzy9ivp7jxr10, 82h370aim64ufe2pugftbfxg4, 993vihjmsn70q9w237fatzgbu, dvems493n5l4twsq6cq2fg26s, 4mb9s3hglzgfoswleene9mvo, 1ceqwz4ozqi6ft5l4hf5a04r8, 872ifpo3qufi9vv9vy7ty6uj8, 6b06fd4bvym4odelp7csbbtp0, 9j3va21w5i9ypf8qmt4g1vggk, c59pt9nvdpxlp6xvs78un16hg, 20wmdzih6b1t0ekt1v2qd4b2s'}, {'id': 5070915185, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5070915193, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5070915187, 'qualifierId': 59, 'value': '76, 30, 39, 42, 44, 29, 88, 22, 45, 55, 43, 24, 36, 53, 57, 58, 73, 77, 98, 6'}, {'id': 5070915191, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5070931351, 'qualifierId': 197, 'value': '23483'}];;;;;d9pn0c4dchdqholl3ala0u9zo;Team set up;;2,0;;;;;;23483,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;;;;;;;;;0;0;0;0;Cincinnati II;0;;
2694890447;1;34;16;0;0;bd0378yx50xpdcgwkt9p9bmz8;1;0,0;0,0;2024-06-06T21:30:42.544Z;2024-06-12T17:39:11Z;[{'id': 5070916147, 'qualifierId': 59, 'value': '25, 42, 33, 34, 38, 14, 41, 26, 46, 49, 37, 96, 45, 30, 35, 40, 43, 44, 48'}, {'id': 5070916151, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5070916153, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5070930003, 'qualifierId': 197, 'value': '23703'}, {'id': 5070916145, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5071002573, 'qualifierId': 194, 'value': '8sydisziijh84elb8dprtlduy'}, {'id': 5070916143, 'qualifierId': 30, 'value': '3fjb8lymm7grc7nqyfpzw1a8k, 8bjjne12yudwbzfzjdlygqx62, 39t59x9q2xumbn2hphk7urp7u, 739dnufx6izfhubwow0n1ijxm, 2f5ymqh1j87xhi9ynovnujpm2, 5h73r4bv42whxsvnlq89b89re, 8sydisziijh84elb8dprtlduy, 4bpxi7ovrhew3zkp53781lyei, 1ofx4ncf6w5twjbaam5w0mu7e, bfm4xr4ue74v0li53slarf9t6, 4uo9isxivewjrtdg9v7lku9zo, 2l6v8ab245wzmb1litvkir1ii, 5bgt61vb5lnzyoczqnr202lpm, b82dmhiv5rfrczfcx26cnvo16, b94wogguhbhpo2mal3pfpo26s, 6hq9a0pz5ybc67wdttd54xvbp, bpr7u1cp7bzt1w2t1tsmru73e, 9asj8t10cvfumot9hr3dprsic, 8za8xvdiyduedk2i99bdqv4es'}, {'id': 5070916149, 'qualifierId': 130, 'value': '17'}];;;;;d9pn0c4dchdqholl3ala0u9zo;Team set up;;17,0;;;;;;23703,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;;;;;;;;;0;0;0;0;Philadelphia Union II;0;;
2694892833;2;32;1;0;0;1zgjjyruyufrkh4xjvryqsb1i;1;0,0;0,0;2024-06-06T22:03:32.505Z;2024-06-13T10:15:35Z;[{'id': 5070929829, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;d9pn0c4dchdqholl3ala0u9zo;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;;;;;;;;;0;0;0;0;Cincinnati II;0;;
2694892837;2;32;1;0;0;bd0378yx50xpdcgwkt9p9bmz8;1;0,0;0,0;2024-06-06T22:03:32.505Z;2024-06-06T22:03:35Z;[{'id': 5070929833, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;d9pn0c4dchdqholl3ala0u9zo;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;;;;;;;;;0;0;0;0;Philadelphia Union II;0;;
2694892845;3;1;1;0;0;1zgjjyruyufrkh4xjvryqsb1i;1;50,4;50,0;2024-06-06T22:03:32.506Z;2024-06-07T00:13:04Z;[{'id': 5070929875, 'qualifierId': 140, 'value': '34.6'}, {'id': 5070929881, 'qualifierId': 213, 'value': '3.40'}, {'id': 5070929879, 'qualifierId': 212, 'value': '17.2'}, {'id': 5070929873, 'qualifierId': 56, 'value': 'Back'}, {'id': 5070929877, 'qualifierId': 141, 'value': '43.6'}, {'id': 5070929883, 'qualifierId': 279, 'value': 'S'}];de6bz3uyz5ta17f0jnnfhzims;L. Soria;;;d9pn0c4dchdqholl3ala0u9zo;Pass;;;;;;;;;;34,6;3,4;17,2;;43,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;34,6;43,6;;;;;;;0;0;0;0;Cincinnati II;0;FW;1,0
2694892853;4;1;1;0;2;1zgjjyruyufrkh4xjvryqsb1i;1;34,6;46,4;2024-06-06T22:03:35.189Z;2024-06-06T22:03:38Z;[{'id': 5070929951, 'qualifierId': 141, 'value': '89.0'}, {'id': 5070929947, 'qualifierId': 56, 'value': 'Back'}, {'id': 5070929949, 'qualifierId': 140, 'value': '38.2'}, {'id': 5070929955, 'qualifierId': 213, 'value': '1.44'}, {'id': 5070929953, 'qualifierId': 212, 'value': '29.2'}];5aszabja459117mqykvfpajh0;C. Rojas;;;d9pn0c4dchdqholl3ala0u9zo;Pass;;;;;;;;;;38,2;1,44;29,2;;89,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;38,2;89,0;;;;;;;0;0;0;2;Cincinnati II;2;MC;1,0
2694892857;5;1;1;0;5;1zgjjyruyufrkh4xjvryqsb1i;1;38,3;87,1;2024-06-06T22:03:38.053Z;2024-06-06T22:03:40Z;[{'id': 5070929981, 'qualifierId': 213, 'value': '3.97'}, {'id': 5070929975, 'qualifierId': 140, 'value': '28.9'}, {'id': 5070929979, 'qualifierId': 212, 'value': '14.6'}, {'id': 5070929973, 'qualifierId': 56, 'value': 'Back'}, {'id': 5070929977, 'qualifierId': 141, 'value': '71.2'}];2qz3ojbfedl8psp1tvq0183ro;F. Westfield;;;d9pn0c4dchdqholl3ala0u9zo;Pass;;;;;;;;;;28,9;3,97;14,6;;71,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;28,9;71,2;;;;;;;0;0;0;5;Cincinnati II;5;DC;1,0
2694892865;6;1;1;0;8;1zgjjyruyufrkh4xjvryqsb1i;1;28,5;59,9;2024-06-06T22:03:40.853Z;2024-06-07T00:24:07Z;[{'id': 5070930009, 'qualifierId': 140, 'value': '32.8'}, {'id': 5070930011, 'qualifierId': 141, 'value': '23.7'}, {'id': 5070930007, 'qualifierId': 56, 'value': 'Back'}, {'id': 5070930013, 'qualifierId': 212, 'value': '25.0'}, {'id': 5070930015, 'qualifierId': 213, 'value': '4.89'}];a3qa9kw3vbh8nu5mgns92czro;O. Makhanya;;;d9pn0c4dchdqholl3ala0u9zo;Pass;;;;;;;;;;32,8;4,89;25,0;;23,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;32,8;23,7;;;;;;;0;0;0;8;Cincinnati II;8;DC;1,0
2694892873;7;1;1;0;12;1zgjjyruyufrkh4xjvryqsb1i;0;38,3;4,3;2024-06-06T22:03:45.341Z;2024-06-07T00:24:05Z;[{'id': 5070930051, 'qualifierId': 213, 'value': '0.08'}, {'id': 5070930045, 'qualifierId': 140, 'value': '47.2'}, {'id': 5070930043, 'qualifierId': 56, 'value': 'Back'}, {'id': 5070930049, 'qualifierId': 212, 'value': '9.4'}, {'id': 5070930047, 'qualifierId': 141, 'value': '5.4'}, {'id': 5070930041, 'qualifierId': 155}];15v2azulwhof0p216i7bjp250;J. Berdecio;;;d9pn0c4dchdqholl3ala0u9zo;Pass;;;;;;;;;;47,2;0,08;9,4;;5,4;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;47,2;5,4;;;;;;;0;0;0;12;Cincinnati II;12;DR;1,0
2694899915;492;61;1;0;13;bd0378yx50xpdcgwkt9p9bmz8;1;59,0;95,9;2024-06-06T22:03:45.505Z;2024-06-12T17:38:20Z;[{'id': 5070970121, 'qualifierId': 56, 'value': 'Left'}];39t59x9q2xumbn2hphk7urp7u;I. Foster;;;d9pn0c4dchdqholl3ala0u9zo;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;;;;;;;;;0;0;0;13;Philadelphia Union II;13;DML;1,0
