id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamFormation;value_Captain;value_Involved;value_JerseyNumber;value_TeamPlayerFormation;value_PlayerPosition;value_Resume;value_TeamKit;value_DirectionOfPlay;value_KickOff;value_PassEndX;value_Angle;value_Length;value_Zone;value_PassEndY;value_LongBall;value_Chipped;value_IntendedTackleTarget;value_NextEventGoalKick;value_OppositeRelatedEventId;value_Low;value_GoalKick;value_Launch;value_HeadPass;value_Offensive;value_Defensive;value_FlickOn;value_Shove/Push;value_Foul;value_Direct;value_FreeKickTaken;value_LayOff;value_DeletedEventType;value_TouchTypeClearance;value_NotVisible;value_ThroughBall;value_Cross;value_OutSwinger;value_RightFooted;value_OverhitCross;value_LeftFooted;value_TakeOnSpace;value_TakeOnOvertake;value_Defensive1V1;value_AttemptedTackle;value_PenaltyTakerId;value_Penalty;value_BoxCentre;value_GkYTimeOfGoal;value_GkY;value_GkXTimeOfGoal;value_GoalShotGameClock;value_GoalShotTimestamp;value_GoalmouthY;value_GkX;value_GoalmouthZ;value_BigChance;value_NotAssisted;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_HighRight;value_Diving;value_Left;value_Scored;value_BlockedPass;value_BlockedCross;value_NextEventThrowIn;value_ThrowIn;value_TouchTypePass;value_LowGkIntervention;value_HighClaim;value_OverArm;value_KeeperThrow;value_OutOfPlay;value_InSwinger;value_Head;value_HighGkIntervention;value_LastLine;value_Right;value_CornerTaken;value_TouchTypeControl;value_Handball;value_High;value_Assist;value_IndividualPlay;value_RegularPlay;value_RelatedEventId;value_Assisted;value_SwitchOfPlay;value_OutOfBoxCentre;value_IntentionalAssist;value_BlockedY;value_Blocked;value_BlockedX;value_LowCentre;value_BoxRight;value_HitLeftPost;value_HitWoodwork;value_DefBlock;value_PullBack;value_Injury;value_InjuredPlayerId;value_AerialFoul;value_1On1;value_2NdAssist;value_FirstTouch;value_2NdAssisted;value_2NdRelatedEventId;value_HighCentre;value_PlayersCaughtOffside;value_Indirect;value_LowLeft;value_SetPiece;value_ShirtPull/Holding;value_YellowCard;value_TacticalFoul;value_FreeKick;value_Minutes;value_HighLeft;value_EndType;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_MediumGkIntervention;value_LowRight;value_ParriedSafe;value_Hands;value_MisHit;value_NotPastGoalLine;value_FromCorner;value_DrivenCross;value_Straight;value_FloatedCross;value_Volley;value_Weak;value_FastBreak;value_Overrun;value_RecklessOffence;value_GkKickFromHands;value_SixYardBlocked;value_SmallBoxRight;value_FantasyAssistedBy;value_FantasyAssistId;value_FantasyAssistType;value_FantasyAssistTeam;value_HitBar;value_ParriedDanger;value_SmallBoxCentre;value_GoesToPenalties;value_Saved;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2695032283;1;34;16;0;0;7fbej4xwoq4imaf5l39304m37;1;0,0;0,0;2024-06-07T22:14:30.847Z;2024-06-07T23:08:03Z;[{'id': 5071699365, 'qualifierId': 130, 'value': '4'}, {'id': 5071712935, 'qualifierId': 194, 'value': '4cfvnypovkt900sfxmdhvxtec'}, {'id': 5071699359, 'qualifierId': 30, 'value': '8xpddjq19wzsf3mdlnjdx6e7e, 1yohdc0hkzkom8hlhw3rjfn8q, 9kahvwswke29dt3uumulbktpm, 1pm343qga3zwdbrjngpeqhtnu, 4cfvnypovkt900sfxmdhvxtec, 4sw7pq7xhnf7pqii16lhtf7ro, avijawqszxv4ewdxydxeugbv8, c7luarkv7hwdspd9xhidhisk4, vhjelesjaxtgjcgfv7yxp2lm, 32t6g252ti1peycjite40qiy2, 4oz12ku4mdjsq7y4sgogpwg2y, 78geqjj0pzo2gp7p8xg3q39w, 5n0su1a4r7kb7it3ghxbhrf56, 3tkdn8arq1j3il4ako7rcio2y, a8ngovgs2qfu5udzb97kelg16, i15xuf6lug0m5twd06n2pus4, aifybz5snfmoiwlq6qpweitxw, 2gawx03wls5vwtlocjir3u7vu, hranx8amv6zdzmvzda4to0lw, tvbjgz0zeq5irumgofxrko44'}, {'id': 5071699363, 'qualifierId': 59, 'value': '36, 33, 40, 80, 28, 77, 76, 52, 98, 70, 47, 37, 35, 38, 39, 67, 87, 90, 96, 89'}, {'id': 5071699367, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5071699361, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5071699369, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5071707607, 'qualifierId': 197, 'value': '23616'}];;;;;dau7b6zlp8fz4jbrs2q4q115g;Team set up;4,0;;;;;;;23616,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;;0;0;0;Houston Dynamo II;0;;
2695032467;1;34;16;0;0;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-06-07T22:18:33.175Z;2024-06-07T23:12:08Z;[{'id': 5071707605, 'qualifierId': 197, 'value': '15044'}, {'id': 5071700483, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5071700477, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5071700481, 'qualifierId': 130, 'value': '2'}, {'id': 5071700479, 'qualifierId': 59, 'value': '12, 30, 3, 48, 6, 14, 11, 19, 10, 18, 21, 5, 9, 23, 35, 37, 41, 70'}, {'id': 5071707999, 'qualifierId': 194, 'value': '4uuq2zuhmlbg7kh85v5l8723u'}, {'id': 5071700485, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5071700475, 'qualifierId': 30, 'value': '3my8ymhvy1bysbllwpoj3qctm, 1snfyu5dmv164k5cl87chjlsk, 2wj1w4opn7f0jyz1ps6ebvc6i, 1es4nynrpc8sz3enj46i9zeok, 2jzuij8p7eoy42aqem688ltuy, 48p3wcjai97tpt50ia7bi7ok4, azzpjrq2pndxuz0waw25p7r6y, aa4ut2fmswha43fxnrxp1obo4, 3c1xz4vpfoum0jbq6bmtdrtux, 4uuq2zuhmlbg7kh85v5l8723u, 7qt4r82kyz05r8kd8cmdh1xqs, 1d43ue54zl1o9rvnwz5zfotm, 9ph8wasuz3ndre586gople49g, 1p5u02noafhj6r31hj50stn2s, n5otejqjssvxk3bzx06642z8, be85jzbz3ihrpyt6jvjs56oes, a2go478lv67wqun5v4nb741zo, bk0ik8kr1gpu372ibbbv87ndg'}];;;;;dau7b6zlp8fz4jbrs2q4q115g;Team set up;2,0;;;;;;;15044,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;;;;0;0;0;Sporting KC II;0;;
2695033635;2;32;1;0;0;7fbej4xwoq4imaf5l39304m37;1;0,0;0,0;2024-06-07T23:03:32.023Z;2024-07-03T00:33:33Z;[{'id': 5071707683, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;dau7b6zlp8fz4jbrs2q4q115g;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;;0;0;0;Houston Dynamo II;0;;
2695033633;2;32;1;0;0;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-06-07T23:03:32.023Z;2024-06-07T23:03:32Z;[{'id': 5071707679, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;dau7b6zlp8fz4jbrs2q4q115g;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;;;;0;0;0;Sporting KC II;0;;
2695033643;3;1;1;0;0;7pmw399vh2v44cjle4fkklp1w;1;50,0;50,0;2024-06-07T23:03:32.024Z;2024-06-08T01:11:40Z;[{'id': 5071707727, 'qualifierId': 279, 'value': 'S'}, {'id': 5071707719, 'qualifierId': 140, 'value': '38.2'}, {'id': 5071707725, 'qualifierId': 213, 'value': '3.11'}, {'id': 5071707723, 'qualifierId': 212, 'value': '12.4'}, {'id': 5071707717, 'qualifierId': 56, 'value': 'Back'}, {'id': 5071707721, 'qualifierId': 141, 'value': '50.6'}];7qt4r82kyz05r8kd8cmdh1xqs;O. Sylla;;;dau7b6zlp8fz4jbrs2q4q115g;Pass;;;;;;;;;;;38,2;3,11;12,4;;50,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;38,2;50,6;;;;;;;;0;0;0;Sporting KC II;0;ML;1,0
2695033649;4;1;1;0;4;7pmw399vh2v44cjle4fkklp1w;0;39,6;50,6;2024-06-07T23:03:36.463Z;2024-06-08T01:11:45Z;[{'id': 5071707753, 'qualifierId': 140, 'value': '81.5'}, {'id': 5071707757, 'qualifierId': 212, 'value': '52.5'}, {'id': 5071707751, 'qualifierId': 56, 'value': 'Right'}, {'id': 5071707759, 'qualifierId': 213, 'value': '5.71'}, {'id': 5071707755, 'qualifierId': 141, 'value': '8.5'}, {'id': 5071707761, 'qualifierId': 1}, {'id': 5071707749, 'qualifierId': 155}];4uuq2zuhmlbg7kh85v5l8723u;D. Gonzalez;;;dau7b6zlp8fz4jbrs2q4q115g;Pass;;;;;;;;;;;81,5;5,71;52,5;;8,5;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;81,5;8,5;;;;;;;;0;0;4;Sporting KC II;4;FW;1,0
2695033659;3;61;1;0;6;7fbej4xwoq4imaf5l39304m37;0;19,3;93,8;2024-06-07T23:03:38.170Z;2024-07-03T00:45:41Z;[{'id': 5071707801, 'qualifierId': 56, 'value': 'Back'}];9kahvwswke29dt3uumulbktpm;M. Visconti;;;dau7b6zlp8fz4jbrs2q4q115g;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;;0;0;6;Houston Dynamo II;6;DC;1,0
2695033665;5;83;1;0;8;7fbej4xwoq4imaf5l39304m37;0;16,6;97,1;2024-06-07T23:03:40.056Z;2024-06-07T23:15:03Z;[{'id': 5071720973, 'qualifierId': 399, 'value': 'azzpjrq2pndxuz0waw25p7r6y'}];9kahvwswke29dt3uumulbktpm;M. Visconti;;;dau7b6zlp8fz4jbrs2q4q115g;Attempted tackle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;;0;0;8;Houston Dynamo II;8;DC;1,0
2695033671;5;61;1;0;10;7pmw399vh2v44cjle4fkklp1w;0;92,9;2,6;2024-06-07T23:03:42.095Z;2024-06-08T01:11:58Z;[{'id': 5071707855, 'qualifierId': 56, 'value': 'Right'}];azzpjrq2pndxuz0waw25p7r6y;I. Reid;;;dau7b6zlp8fz4jbrs2q4q115g;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;;;;0;0;10;Sporting KC II;10;MR;1,0
2695033663;4;5;1;0;10;7fbej4xwoq4imaf5l39304m37;1;-0,9;92,8;2024-06-07T23:03:43.007Z;2024-06-07T23:03:46Z;[{'id': 5071707827, 'qualifierId': 346}, {'id': 5071707825, 'qualifierId': 56, 'value': 'Back'}, {'id': 5071707879, 'qualifierId': 233, 'value': '6'}];9kahvwswke29dt3uumulbktpm;M. Visconti;;;dau7b6zlp8fz4jbrs2q4q115g;Out;;;;;;;;;;;;;;;;;;;1,0;6,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7fbej4xwoq4imaf5l39304m37;Sporting KC II;home;;;;;;;;;;0;0;10;Houston Dynamo II;10;DC;1,0
