field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;4npcsyrhri5kmeks8gfon146i;1;51;4;6ubc4y1v6hr63mca7ica4hp90;dbyonzm0reey10b1x155gs0lw;away;1;GK;N. Holliday;;;;;;
2;exk9svcdgcbn05ms00fhorvv8;2;39;4;6ubc4y1v6hr63mca7ica4hp90;dbyonzm0reey10b1x155gs0lw;away;1;DR;J. Neeley;;;;;;
2;6bg69aksa8wb6wmu7w81is8yy;3;40;4;6ubc4y1v6hr63mca7ica4hp90;dbyonzm0reey10b1x155gs0lw;away;1;DC;J. Forbes;;;;avg8cobjwujoc3os8q8755tlg;75,0;2,0
3;603sxl8xsij9kep03px6s85m2;4;36;4;6ubc4y1v6hr63mca7ica4hp90;dbyonzm0reey10b1x155gs0lw;away;1;MC;B. Cambridge;;;;35i699wz5v6nush729peu776c;62,0;2,0
2;avxfzgoe2y0opif75qu3aeb6c;5;43;4;6ubc4y1v6hr63mca7ica4hp90;dbyonzm0reey10b1x155gs0lw;away;1;DL;W. Sangoquiza;;;;;;
2;ezda0qbkzxiyuxmpc360mcdn8;6;54;4;6ubc4y1v6hr63mca7ica4hp90;dbyonzm0reey10b1x155gs0lw;away;1;DC;A. Ouedraogo;;;;;;
3;3ve0xap9f0gjsslhgjsmakx04;7;48;4;6ubc4y1v6hr63mca7ica4hp90;dbyonzm0reey10b1x155gs0lw;away;1;MC;A. John;;;;dercetgxemr74f5yasq86s5t6;45,0;2,0
3;drt65b9m2f494wnoyep49bn1m;8;86;4;6ubc4y1v6hr63mca7ica4hp90;dbyonzm0reey10b1x155gs0lw;away;1;MC;F. Mirkovic;;;;;;
4;f12wt1v2qf2siv8p6q6x2bxuc;9;68;4;6ubc4y1v6hr63mca7ica4hp90;dbyonzm0reey10b1x155gs0lw;away;1;FW;D. Sing;;;;;;
4;7bxp7ho4cmsoviw19q4bxr02c;10;41;4;6ubc4y1v6hr63mca7ica4hp90;dbyonzm0reey10b1x155gs0lw;away;1;FWR;B. Romero;;;;7ofdnarha4k4b8nggld7gxnqi;45,0;2,0
4;9qhpi9y9iujvkbocafhgrj04q;11;60;4;6ubc4y1v6hr63mca7ica4hp90;dbyonzm0reey10b1x155gs0lw;away;1;FWL;C. Duke;;;;3xd2kq7cxmvdbqsfzgi644c4q;75,0;2,0
5;2v9pdg70kewaarbz4jzsh00a2;0;26;4;6ubc4y1v6hr63mca7ica4hp90;dbyonzm0reey10b1x155gs0lw;away;1;Sub;;;;;;;
5;3xd2kq7cxmvdbqsfzgi644c4q;0;44;4;6ubc4y1v6hr63mca7ica4hp90;dbyonzm0reey10b1x155gs0lw;away;1;Sub;J. Bravo;9qhpi9y9iujvkbocafhgrj04q;75,0;2,0;;;
5;doqbp8fg8hke6hhifdr4jzklw;0;56;4;6ubc4y1v6hr63mca7ica4hp90;dbyonzm0reey10b1x155gs0lw;away;1;Sub;;;;;;;
5;1mgojctk6vwsxz2rhurggk1sk;0;58;4;6ubc4y1v6hr63mca7ica4hp90;dbyonzm0reey10b1x155gs0lw;away;1;Sub;;;;;;;
5;dercetgxemr74f5yasq86s5t6;0;66;4;6ubc4y1v6hr63mca7ica4hp90;dbyonzm0reey10b1x155gs0lw;away;1;Sub;P. Mayaka;3ve0xap9f0gjsslhgjsmakx04;45,0;2,0;;;
5;35i699wz5v6nush729peu776c;0;71;4;6ubc4y1v6hr63mca7ica4hp90;dbyonzm0reey10b1x155gs0lw;away;1;Sub;Josué;603sxl8xsij9kep03px6s85m2;62,0;2,0;;;
5;3sg9rl2w343fvx1uv046ox4pg;0;77;4;6ubc4y1v6hr63mca7ica4hp90;dbyonzm0reey10b1x155gs0lw;away;1;Sub;;;;;;;
5;avg8cobjwujoc3os8q8755tlg;0;79;4;6ubc4y1v6hr63mca7ica4hp90;dbyonzm0reey10b1x155gs0lw;away;1;Sub;C. Young;6bg69aksa8wb6wmu7w81is8yy;75,0;2,0;;;
5;7ofdnarha4k4b8nggld7gxnqi;0;97;4;6ubc4y1v6hr63mca7ica4hp90;dbyonzm0reey10b1x155gs0lw;away;1;Sub;J. Nyandjo;7bxp7ho4cmsoviw19q4bxr02c;45,0;2,0;;;
1;2mmciwk6gllcf11plcch710yc;1;1;8;4gymgvqmve0m2vh89v84tt3x0;dbyonzm0reey10b1x155gs0lw;home;1;GK;S. Jillson;;;;;;
2;6jzijlp0e2w4qjan9eto35wd0;2;5;8;4gymgvqmve0m2vh89v84tt3x0;dbyonzm0reey10b1x155gs0lw;home;1;DR;J. Sangwa;;;;2ijhxcgr8wqnb8ovss9064jmy;45,0;2,0
2;9ncybediodv8share9pox2kno;3;3;8;4gymgvqmve0m2vh89v84tt3x0;dbyonzm0reey10b1x155gs0lw;home;1;DC;T. Ritondale;;;;374euncv00zs2oy6ux1u519be;57,0;2,0
3;6z58yyouaevipxrmrmorcz0no;4;8;8;4gymgvqmve0m2vh89v84tt3x0;dbyonzm0reey10b1x155gs0lw;home;1;MC;I. Johnston;;;;;;
2;42zmyz1t6mqap5pyfqxiaadqs;5;40;8;4gymgvqmve0m2vh89v84tt3x0;dbyonzm0reey10b1x155gs0lw;home;1;DL;F. Opande;;;;;;
2;bmax1bmduvrpp0lfh4do0yj9w;6;25;8;4gymgvqmve0m2vh89v84tt3x0;dbyonzm0reey10b1x155gs0lw;home;1;DC;F. Cicéron;;;;;;
3;dz7v9xfcwdvjioeyv4z54neqy;7;17;8;4gymgvqmve0m2vh89v84tt3x0;dbyonzm0reey10b1x155gs0lw;home;1;AMR;J. Bolanos;;;;;;
3;5mkyx29nr54rr3quwdgfpz3oq;8;32;8;4gymgvqmve0m2vh89v84tt3x0;dbyonzm0reey10b1x155gs0lw;home;1;MC;E. O'Brien;;;;1kr4ax5uy3f9gbjzr34u0svf8;83,0;2,0
4;5m3bxdstyhzoplpzam8c94t90;9;9;8;4gymgvqmve0m2vh89v84tt3x0;dbyonzm0reey10b1x155gs0lw;home;1;FW;F. Ajago;;;;;;
3;7udp171hmb1rdixg9awx93h1w;10;78;8;4gymgvqmve0m2vh89v84tt3x0;dbyonzm0reey10b1x155gs0lw;home;1;AMC;T. Pasnik;;;;amcmxrycu0kldox7qdohow2ui;57,0;2,0
3;6qe888q8yqq73bxr27jbyu2hg;11;10;8;4gymgvqmve0m2vh89v84tt3x0;dbyonzm0reey10b1x155gs0lw;home;1;AML;O. Wright;;;;c08hvq1hplcct8kxrxucfpqp6;74,0;2,0
5;374euncv00zs2oy6ux1u519be;0;13;8;4gymgvqmve0m2vh89v84tt3x0;dbyonzm0reey10b1x155gs0lw;home;1;Sub;J. Skinner;9ncybediodv8share9pox2kno;57,0;2,0;;;
5;bshus335cwlnpdzl7ct1gpn9w;0;24;8;4gymgvqmve0m2vh89v84tt3x0;dbyonzm0reey10b1x155gs0lw;home;1;Sub;;;;;;;
5;85in99s7xubh5uixdnztdbcpg;0;31;8;4gymgvqmve0m2vh89v84tt3x0;dbyonzm0reey10b1x155gs0lw;home;1;Sub;;;;;;;
5;ecnah6vlfo0o5cx42il8cegb8;0;36;8;4gymgvqmve0m2vh89v84tt3x0;dbyonzm0reey10b1x155gs0lw;home;1;Sub;;;;;;;
5;amcmxrycu0kldox7qdohow2ui;0;38;8;4gymgvqmve0m2vh89v84tt3x0;dbyonzm0reey10b1x155gs0lw;home;1;Sub;A. Picazo;7udp171hmb1rdixg9awx93h1w;57,0;2,0;;;
5;1kr4ax5uy3f9gbjzr34u0svf8;0;47;8;4gymgvqmve0m2vh89v84tt3x0;dbyonzm0reey10b1x155gs0lw;home;1;Sub;I. Jones;5mkyx29nr54rr3quwdgfpz3oq;83,0;2,0;;;
5;2ijhxcgr8wqnb8ovss9064jmy;0;56;8;4gymgvqmve0m2vh89v84tt3x0;dbyonzm0reey10b1x155gs0lw;home;1;Sub;W. Perkins;6jzijlp0e2w4qjan9eto35wd0;45,0;2,0;;;
5;6prn3rxp49rsfl8mxq2tqzf9w;0;77;8;4gymgvqmve0m2vh89v84tt3x0;dbyonzm0reey10b1x155gs0lw;home;1;Sub;;;;;;;
5;c08hvq1hplcct8kxrxucfpqp6;0;28;8;4gymgvqmve0m2vh89v84tt3x0;dbyonzm0reey10b1x155gs0lw;home;1;Sub;W. Pacius;6qe888q8yqq73bxr27jbyu2hg;74,0;2,0;;;
