field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;c2j0af3amobjhnadwf8cucbca;1;50;8;479lsfr4cwlzewpbuda3y2xv4;dfe6xtgddcqowlgpwfidn1jx0;home;1;GK;J. Otero;;;;;;
2;6g7i7z6m8vts105dny1g6z3hm;2;30;8;479lsfr4cwlzewpbuda3y2xv4;dfe6xtgddcqowlgpwfidn1jx0;home;1;DR;A. Freeman;;;;bvb7i5n0j5ltqkv991p40r8yc;60,0;2,0
2;4ulfw4ik3i6ks2t7utgek5l3o;3;64;8;479lsfr4cwlzewpbuda3y2xv4;dfe6xtgddcqowlgpwfidn1jx0;home;1;DC;M. Cocca;;;;;;
3;i5wj5hcg2r9934e7gauxtgmi;4;53;8;479lsfr4cwlzewpbuda3y2xv4;dfe6xtgddcqowlgpwfidn1jx0;home;1;MC;I. Almaguer;;;;;;
2;ex99a6zbacpkkhgvynu80qpzo;5;54;8;479lsfr4cwlzewpbuda3y2xv4;dfe6xtgddcqowlgpwfidn1jx0;home;1;DL;N. Kibunguchy;;;;;;
2;4jkf81djj5h43v8rlnib1tizu;6;68;8;479lsfr4cwlzewpbuda3y2xv4;dfe6xtgddcqowlgpwfidn1jx0;home;1;DC;T. Williams;;;;37uh4n2zngcixlzo8vnk50vtg;60,0;2,0
3;p99ze5cksh5tv01knf5oj33e;7;49;8;479lsfr4cwlzewpbuda3y2xv4;dfe6xtgddcqowlgpwfidn1jx0;home;1;AMR;J. Solís;;;;;;
3;9bv0zjyrsopyv3hw8m47sgr9w;8;56;8;479lsfr4cwlzewpbuda3y2xv4;dfe6xtgddcqowlgpwfidn1jx0;home;1;MC;C. Guske;;;;;;
4;c2b6h5zwjvzdvdcybyuqd6exg;9;59;8;479lsfr4cwlzewpbuda3y2xv4;dfe6xtgddcqowlgpwfidn1jx0;home;1;FW;J. Ellis;;;;595bi39ikp8s9sfw6q5981mvo;76,0;2,0
3;7tpb4dk9meee0utyu4cosnxn8;10;23;8;479lsfr4cwlzewpbuda3y2xv4;dfe6xtgddcqowlgpwfidn1jx0;home;1;AMC;S. Mohammed;;;;aa4v8xfn3ra4digk5h7gdrbze;60,0;2,0
3;brzi1qy5hkx7zhxhjykg8ox78;11;66;8;479lsfr4cwlzewpbuda3y2xv4;dfe6xtgddcqowlgpwfidn1jx0;home;1;AML;Y. Valencia;;;;;;
5;aa4v8xfn3ra4digk5h7gdrbze;0;32;8;479lsfr4cwlzewpbuda3y2xv4;dfe6xtgddcqowlgpwfidn1jx0;home;1;Sub;W. Rivera;7tpb4dk9meee0utyu4cosnxn8;60,0;2,0;;;
