field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;4npcsyrhri5kmeks8gfon146i;1;51;8;6ubc4y1v6hr63mca7ica4hp90;dfrlwt2yhtckcqdub3sdi9b10;home;1;GK;N. Holliday;;;;;;
2;exk9svcdgcbn05ms00fhorvv8;2;39;8;6ubc4y1v6hr63mca7ica4hp90;dfrlwt2yhtckcqdub3sdi9b10;home;1;DR;J. Neeley;;;;;;
2;6bg69aksa8wb6wmu7w81is8yy;3;40;8;6ubc4y1v6hr63mca7ica4hp90;dfrlwt2yhtckcqdub3sdi9b10;home;1;DC;J. Forbes;;;;avg8cobjwujoc3os8q8755tlg;78,0;2,0
3;dercetgxemr74f5yasq86s5t6;4;66;8;6ubc4y1v6hr63mca7ica4hp90;dfrlwt2yhtckcqdub3sdi9b10;home;1;MC;P. Mayaka;;;;;;
2;ezda0qbkzxiyuxmpc360mcdn8;5;54;8;6ubc4y1v6hr63mca7ica4hp90;dfrlwt2yhtckcqdub3sdi9b10;home;1;DL;A. Ouedraogo;;;;;;
2;3xd2kq7cxmvdbqsfzgi644c4q;6;44;8;6ubc4y1v6hr63mca7ica4hp90;dfrlwt2yhtckcqdub3sdi9b10;home;1;DC;J. Bravo;;;;;;
3;ds4avrkvrp4jxq9lp02ssci22;7;35;8;6ubc4y1v6hr63mca7ica4hp90;dfrlwt2yhtckcqdub3sdi9b10;home;1;AMR;N. Scardina;;;;7bxp7ho4cmsoviw19q4bxr02c;65,0;2,0
3;3ve0xap9f0gjsslhgjsmakx04;8;48;8;6ubc4y1v6hr63mca7ica4hp90;dfrlwt2yhtckcqdub3sdi9b10;home;1;MC;A. John;;;;;;
4;f12wt1v2qf2siv8p6q6x2bxuc;9;68;8;6ubc4y1v6hr63mca7ica4hp90;dfrlwt2yhtckcqdub3sdi9b10;home;1;FW;D. Sing;;;;3sg9rl2w343fvx1uv046ox4pg;78,0;2,0
3;9qhpi9y9iujvkbocafhgrj04q;10;60;8;6ubc4y1v6hr63mca7ica4hp90;dfrlwt2yhtckcqdub3sdi9b10;home;1;AMC;C. Duke;;;;9ohy24mxhsqao5kymh0lbxxck;66,0;2,0
3;drt65b9m2f494wnoyep49bn1m;11;86;8;6ubc4y1v6hr63mca7ica4hp90;dfrlwt2yhtckcqdub3sdi9b10;home;1;AML;F. Mirkovic;;;;7ofdnarha4k4b8nggld7gxnqi;58,0;2,0
5;2v9pdg70kewaarbz4jzsh00a2;0;26;8;6ubc4y1v6hr63mca7ica4hp90;dfrlwt2yhtckcqdub3sdi9b10;home;1;Sub;;;;;;;
5;9ohy24mxhsqao5kymh0lbxxck;0;27;8;6ubc4y1v6hr63mca7ica4hp90;dfrlwt2yhtckcqdub3sdi9b10;home;1;Sub;N. Berchimas;9qhpi9y9iujvkbocafhgrj04q;66,0;2,0;;;
5;7bxp7ho4cmsoviw19q4bxr02c;0;41;8;6ubc4y1v6hr63mca7ica4hp90;dfrlwt2yhtckcqdub3sdi9b10;home;1;Sub;B. Romero;ds4avrkvrp4jxq9lp02ssci22;65,0;2,0;;;
5;doqbp8fg8hke6hhifdr4jzklw;0;56;8;6ubc4y1v6hr63mca7ica4hp90;dfrlwt2yhtckcqdub3sdi9b10;home;1;Sub;;;;;;;
5;1mgojctk6vwsxz2rhurggk1sk;0;58;8;6ubc4y1v6hr63mca7ica4hp90;dfrlwt2yhtckcqdub3sdi9b10;home;1;Sub;;;;;;;
5;35i699wz5v6nush729peu776c;0;71;8;6ubc4y1v6hr63mca7ica4hp90;dfrlwt2yhtckcqdub3sdi9b10;home;1;Sub;;;;;;;
5;3sg9rl2w343fvx1uv046ox4pg;0;77;8;6ubc4y1v6hr63mca7ica4hp90;dfrlwt2yhtckcqdub3sdi9b10;home;1;Sub;A. Lucas;f12wt1v2qf2siv8p6q6x2bxuc;78,0;2,0;;;
