id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Involved;value_PlayerPosition;value_Captain;value_JerseyNumber;value_TeamPlayerFormation;value_TeamFormation;value_TeamKit;value_Resume;value_DirectionOfPlay;value_Zone;value_Angle;value_PassEndX;value_Length;value_PassEndY;value_KickOff;value_Launch;value_LongBall;value_OppositeRelatedEventId;value_NextEventGoalKick;value_GoalKick;value_Low;value_Chipped;value_TakeOnSpace;value_Offensive;value_Defensive;value_HeadPass;value_TouchTypeClearance;value_NextEventThrowIn;value_ThrowIn;value_TakeOnOvertake;value_OutOfPlay;value_LowGkIntervention;value_KeeperThrow;value_Foul;value_Direct;value_ShirtPull/Holding;value_FreeKickTaken;value_LayOff;value_DeletedEventType;value_TouchTypePass;value_Right;value_Left;value_OutSwinger;value_IntentionalAssist;value_Cross;value_RightFooted;value_CornerTaken;value_Assist;value_HighLeft;value_BoxCentre;value_GkX;value_Head;value_FirstTouch;value_FromCorner;value_GoalmouthZ;value_RelatedEventId;value_GkY;value_GoalmouthY;value_Assisted;value_PlayersCaughtOffside;value_Indirect;value_YellowCard;value_TacticalFoul;value_BlockedX;value_NotAssisted;value_LowCentre;value_OutOfBoxCentre;value_FreeKick;value_Blocked;value_BlockedY;value_DefBlock;value_ByWall;value_BlockedPass;value_FlickOn;value_InSwinger;value_IntendedTackleTarget;value_Overrun;value_MediumGkIntervention;value_OverArm;value_35Centre;value_RegularPlay;value_IndividualPlay;value_LeftFooted;value_LowRight;value_Collected;value_Hands;value_Stooping;value_TouchTypeControl;value_HighGkIntervention;value_ThroughBall;value_LowLeft;value_BoxLeft;value_SwitchOfPlay;value_BoxRight;value_SmallBoxLeft;value_CloseLeft;value_High;value_HighCentre;value_ParriedSafe;value_Diving;value_AttemptedTackle;value_BigChance;value_GkYTimeOfGoal;value_GoalShotGameClock;value_GkXTimeOfGoal;value_GoalShotTimestamp;value_Standing;value_HighClaim;value_GkKickFromHands;value_SetPiece;value_HighRight;value_Minutes;value_SmallBoxCentre;value_Volley;value_SixYardBlocked;value_EndType;value_SwerveLeft;value_BlockedCross;value_Shove/Push;value_Handball;value_PullBack;value_NotVisible;value_Straight;value_DrivenCross;value_Tactical;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_HitWoodwork;value_HitRightPost;value_TimeWasting;value_BoxDeepLeft;value_LeadingToGoal;value_RelatedError1Id;value_OwnGoal;value_SmallBoxRight;value_ParriedDanger;value_Feet;value_Unchallenged;value_FantasyAssistType;value_FantasyAssistedBy;value_FantasyAssistTeam;value_FantasyAssistId;value_Tap;value_NotPastGoalLine;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2695934805;1;34;16;0;0;eo64tqkioegeb09iice2hf8bt;1;0,0;0,0;2024-06-14T00:08:11.132Z;2024-06-14T01:22:59Z;[{'id': 5076656475, 'qualifierId': 30, 'value': '6cdhdb44atdm9b3n7swgi002y, 3jw4ui4rr60p2jb2rt9hhoetw, 249t35evpr3aasx0uczjs2j9w, 3yk1gwm7jptmbal0vcwr24is4, 5et4reh22bzqjp1wcr5sqldnu, 57yplpr6jgwlqoon231ydqp04, 8hf35b309tq3wuc59xgshmbro, 9b02cix263jvavj538nkj3m6s, 84wint64ygxx3pi5fz3mr12j8, 5n7a8mn92t3qajms7udeolmok, dvk85r457e15hg0pw5rig0222, 441plehxckmdj5gb2mr6y8ne2, 4lyhopb6ddaz08hd5tu2pos9g, 7ierspejw09stwtcg1tyswr9w, 9gktbx1ux7xxmjklqxjr84844, 3zd7mw27i3s6y7kkuu5xxmkgk, cjjuvnhklgmui45anhykhb384, 4y4mypo5jyzbp0dtvm6y7ajxm, 2mdvkj8gcfmn6wve50ewfi7mc, 1hfhnfbma8w2hxiin3dkxos9g'}, {'id': 5076656477, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5076754751, 'qualifierId': 194, 'value': 'dvk85r457e15hg0pw5rig0222'}, {'id': 5076656479, 'qualifierId': 59, 'value': '50, 46, 54, 83, 53, 56, 48, 97, 52, 44, 92, 41, 49, 61, 62, 63, 93, 95, 96, 99'}, {'id': 5076656483, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5076656481, 'qualifierId': 130, 'value': '12'}, {'id': 5076761525, 'qualifierId': 197, 'value': '19280'}, {'id': 5076656485, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;dg57z2j0ky55vrt3t8x6jkydw;Team set up;;;;;;12,0;19280,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;;;;;;;;;0;0;0;0;Minnesota United II;0;;
2695936215;1;34;16;0;0;1pc6sx2h4rp113ldkbp5d2xas;1;0,0;0,0;2024-06-14T00:13:00.148Z;2024-06-14T01:30:18Z;[{'id': 5076783049, 'qualifierId': 194, 'value': '2pka62t1zg04jwkcx6zbc4wlw'}, {'id': 5076664295, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5076664301, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5076664297, 'qualifierId': 59, 'value': '61, 45, 48, 42, 35, 39, 36, 50, 43, 57, 90, 32, 47, 49, 52, 58, 59, 60'}, {'id': 5076664299, 'qualifierId': 130, 'value': '4'}, {'id': 5076664293, 'qualifierId': 30, 'value': 'dmeyu5u98jwawdkmyv3a0vi8k, dbc343lsh3l20pi4a4gmd94wk, a1rc6kukly42y5j5smz3w72tw, 6e688gqc8qzt0h9cutptkcd90, 1795jw1oc3pkthyq0kqexh65m, 2pka62t1zg04jwkcx6zbc4wlw, 69h930ebovyl7rut5dz4r2iok, 1gmj4ge2sog221wqkmap8kidw, 1unlspl01ht69hrm9apxt4oic, byelagxi3qg0rb06tjl3fodn8, iu61re9bbusv2w7fu7w6505w, 4tengy9p53kcukevpi8s54wh6, 658tknyb70yhkx52dg4ttngus, f4gpras1h3k8qfz71u84iyyok, btr1fg89bjqk2en1k4vbuxlp0, gkmare8n1xiaock2a8qkrg2c, 98tyw392rp4ow3apn0ygrbtp0, 9r22tf7lu2q4un35qwfsnpw5w'}, {'id': 5076664303, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5076754619, 'qualifierId': 197, 'value': '15045'}];;;;;dg57z2j0ky55vrt3t8x6jkydw;Team set up;;;;;;4,0;15045,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;;;;;;;;;0;0;0;0;Vancouver Whitecaps II;0;;
2695951863;2;32;1;0;0;eo64tqkioegeb09iice2hf8bt;1;0,0;0,0;2024-06-14T01:04:51.103Z;2024-06-19T13:09:28Z;[{'id': 5076755021, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;dg57z2j0ky55vrt3t8x6jkydw;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;;;;;;;;;0;0;0;0;Minnesota United II;0;;
2695951869;2;32;1;0;0;1pc6sx2h4rp113ldkbp5d2xas;1;0,0;0,0;2024-06-14T01:04:51.103Z;2024-06-14T01:04:44Z;[{'id': 5076755057, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;dg57z2j0ky55vrt3t8x6jkydw;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;;;;;;;;;0;0;0;0;Vancouver Whitecaps II;0;;
2695951873;3;1;1;0;1;eo64tqkioegeb09iice2hf8bt;1;50,0;50,0;2024-06-14T01:04:52.556Z;2024-06-14T03:11:27Z;[{'id': 5076755063, 'qualifierId': 56, 'value': 'Back'}, {'id': 5076755071, 'qualifierId': 213, 'value': '2.69'}, {'id': 5076755065, 'qualifierId': 140, 'value': '36.3'}, {'id': 5076755069, 'qualifierId': 212, 'value': '16.0'}, {'id': 5076755067, 'qualifierId': 141, 'value': '60.2'}, {'id': 5076755073, 'qualifierId': 279, 'value': 'S'}];dvk85r457e15hg0pw5rig0222;J. Herdman;;;dg57z2j0ky55vrt3t8x6jkydw;Pass;;;;;;;;;;;2,69;36,3;16,0;60,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;36,3;60,2;;;;;;;0;0;0;1;Minnesota United II;1;AMC;1,0
2695951897;4;1;1;0;6;eo64tqkioegeb09iice2hf8bt;0;36,5;50,6;2024-06-14T01:04:57.934Z;2024-06-19T13:11:35Z;[{'id': 5076755191, 'qualifierId': 213, 'value': '6.12'}, {'id': 5076755183, 'qualifierId': 56, 'value': 'Center'}, {'id': 5081830321, 'qualifierId': 157}, {'id': 5076755189, 'qualifierId': 212, 'value': '68.7'}, {'id': 5076755187, 'qualifierId': 141, 'value': '34.5'}, {'id': 5076755185, 'qualifierId': 140, 'value': '100.0'}, {'id': 5076755193, 'qualifierId': 1}];5et4reh22bzqjp1wcr5sqldnu;B. Sjöberg;;;dg57z2j0ky55vrt3t8x6jkydw;Pass;;;;;;;;;;;6,12;100,0;68,7;34,5;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;100,0;34,5;;;;;;;0;0;0;6;Minnesota United II;6;DC;1,0
2695951911;3;5;1;0;10;1pc6sx2h4rp113ldkbp5d2xas;1;-1,4;70,0;2024-06-14T01:05:01.331Z;2024-06-14T02:59:07Z;[{'id': 5076755255, 'qualifierId': 56, 'value': 'Back'}, {'id': 5076755261, 'qualifierId': 233, 'value': '5'}, {'id': 5076755257, 'qualifierId': 346}];byelagxi3qg0rb06tjl3fodn8;D. Randell;;;dg57z2j0ky55vrt3t8x6jkydw;Out;;;;;;;;;;;;;;;;;;5,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;;;;;;;;;0;0;0;10;Vancouver Whitecaps II;10;FWR;1,0
2695951899;5;5;1;0;10;eo64tqkioegeb09iice2hf8bt;0;101,4;30,0;2024-06-14T01:05:01.331Z;2024-06-14T03:00:32Z;[{'id': 5076755195, 'qualifierId': 56, 'value': 'Center'}, {'id': 5076755197, 'qualifierId': 346}, {'id': 5076841217, 'qualifierId': 233, 'value': '3'}];5et4reh22bzqjp1wcr5sqldnu;B. Sjöberg;;;dg57z2j0ky55vrt3t8x6jkydw;Out;;;;;;;;;;;;;;;;;;3,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;;;;;;;;;0;0;0;10;Minnesota United II;10;DC;1,0
2695966937;800;1;1;0;15;1pc6sx2h4rp113ldkbp5d2xas;1;5,0;52,2;2024-06-14T01:05:06.103Z;2024-06-14T03:11:49Z;[{'id': 5076841615, 'qualifierId': 124}, {'id': 5076841467, 'qualifierId': 56, 'value': 'Back'}, {'id': 5076841469, 'qualifierId': 140, 'value': '8.4'}, {'id': 5076841473, 'qualifierId': 212, 'value': '8.8'}, {'id': 5076841617, 'qualifierId': 237}, {'id': 5076841475, 'qualifierId': 213, 'value': '1.15'}, {'id': 5076841471, 'qualifierId': 141, 'value': '64.0'}];dmeyu5u98jwawdkmyv3a0vi8k;O. Kelly;;;dg57z2j0ky55vrt3t8x6jkydw;Pass;;;;;;;;;;;1,15;8,4;8,8;64,0;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;8,4;64,0;;;;;;;0;0;0;15;Vancouver Whitecaps II;15;GK;1,0
2695966939;801;1;1;0;18;1pc6sx2h4rp113ldkbp5d2xas;1;9,3;61,0;2024-06-14T01:05:09.103Z;2024-06-14T03:08:40Z;[{'id': 5076841493, 'qualifierId': 213, 'value': '4.75'}, {'id': 5076841485, 'qualifierId': 56, 'value': 'Back'}, {'id': 5076841487, 'qualifierId': 140, 'value': '10.3'}, {'id': 5076841489, 'qualifierId': 141, 'value': '24.3'}, {'id': 5076841491, 'qualifierId': 212, 'value': '25.0'}];2pka62t1zg04jwkcx6zbc4wlw;F. McRobb;;;dg57z2j0ky55vrt3t8x6jkydw;Pass;;;;;;;;;;;4,75;10,3;25,0;24,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;10,3;24,3;;;;;;;0;0;0;18;Vancouver Whitecaps II;18;DC;1,0
