field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;6cdhdb44atdm9b3n7swgi002y;1;50;12;eo64tqkioegeb09iice2hf8bt;dg57z2j0ky55vrt3t8x6jkydw;home;1;GK;M. Anchor;;;;;;
3;3jw4ui4rr60p2jb2rt9hhoetw;2;46;12;eo64tqkioegeb09iice2hf8bt;dg57z2j0ky55vrt3t8x6jkydw;home;1;DMR;D. Ilić;;;;3zd7mw27i3s6y7kkuu5xxmkgk;87,0;2,0
3;249t35evpr3aasx0uczjs2j9w;3;54;12;eo64tqkioegeb09iice2hf8bt;dg57z2j0ky55vrt3t8x6jkydw;home;1;DML;M. Gherasimencov;;;;;;
2;3yk1gwm7jptmbal0vcwr24is4;4;83;12;eo64tqkioegeb09iice2hf8bt;dg57z2j0ky55vrt3t8x6jkydw;home;1;DC;F. Linder;;;;;;
2;5et4reh22bzqjp1wcr5sqldnu;5;53;12;eo64tqkioegeb09iice2hf8bt;dg57z2j0ky55vrt3t8x6jkydw;home;1;DC;B. Sjöberg;;;;;;
2;57yplpr6jgwlqoon231ydqp04;6;56;12;eo64tqkioegeb09iice2hf8bt;dg57z2j0ky55vrt3t8x6jkydw;home;1;DC;I. Mathe;;;;;;
3;8hf35b309tq3wuc59xgshmbro;7;48;12;eo64tqkioegeb09iice2hf8bt;dg57z2j0ky55vrt3t8x6jkydw;home;1;MC;M. Simmons;;;;cjjuvnhklgmui45anhykhb384;63,0;2,0
3;9b02cix263jvavj538nkj3m6s;8;97;12;eo64tqkioegeb09iice2hf8bt;dg57z2j0ky55vrt3t8x6jkydw;home;1;MC;L. Mackenzie;;;;;;
4;84wint64ygxx3pi5fz3mr12j8;9;52;12;eo64tqkioegeb09iice2hf8bt;dg57z2j0ky55vrt3t8x6jkydw;home;1;FW;N. Fleuriau Chateau;;;;7ierspejw09stwtcg1tyswr9w;81,0;2,0
4;5n7a8mn92t3qajms7udeolmok;10;44;12;eo64tqkioegeb09iice2hf8bt;dg57z2j0ky55vrt3t8x6jkydw;home;1;FW;M. Morgan;;;;2mdvkj8gcfmn6wve50ewfi7mc;87,0;2,0
3;dvk85r457e15hg0pw5rig0222;11;92;12;eo64tqkioegeb09iice2hf8bt;dg57z2j0ky55vrt3t8x6jkydw;home;1;AMC;J. Herdman;;;;441plehxckmdj5gb2mr6y8ne2;63,0;2,0
5;441plehxckmdj5gb2mr6y8ne2;0;41;12;eo64tqkioegeb09iice2hf8bt;dg57z2j0ky55vrt3t8x6jkydw;home;1;Sub;E. Goldthorp;dvk85r457e15hg0pw5rig0222;63,0;2,0;;;
