field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;9i2pmc50q29y560ojvik3sdg4;1;98;10;2nnef9tr9g7m2s6n873qif95g;dgwk8czox7lnhew77jg6vt1xw;home;1;GK;A. Sutton;;;;;;
2;3acyax22zfwdjw0cpgg4x7dre;2;14;10;2nnef9tr9g7m2s6n873qif95g;dgwk8czox7lnhew77jg6vt1xw;home;1;DR;J. Juarez;;;;4t078b0rnzmi8u83wzmdwze38;57,0;2,0
2;1j1ybmazykfh5nqs7egkcdxck;3;21;10;2nnef9tr9g7m2s6n873qif95g;dgwk8czox7lnhew77jg6vt1xw;home;1;DL;D. Cuevas;;;;;;
2;2d9cw6dcm2wsgrr8mj5rt6zje;4;4;10;2nnef9tr9g7m2s6n873qif95g;dgwk8czox7lnhew77jg6vt1xw;home;1;DC;K. Thomas;;;;;;
2;f0jwa1a61lxs31g47csjv7itw;5;20;10;2nnef9tr9g7m2s6n873qif95g;dgwk8czox7lnhew77jg6vt1xw;home;1;DC;I. Covi;;;;;;
2;7s32iecltoopsjddclg0ixzx0;6;44;10;2nnef9tr9g7m2s6n873qif95g;dgwk8czox7lnhew77jg6vt1xw;home;1;DC;C. Díaz;;;;;;
3;3jx1f1s8r150i6qo2juzooro4;7;24;10;2nnef9tr9g7m2s6n873qif95g;dgwk8czox7lnhew77jg6vt1xw;home;1;MC;F. Canete;;;;;;
3;6oia90bi52zwmgdlvcvfnj1pm;8;10;10;2nnef9tr9g7m2s6n873qif95g;dgwk8czox7lnhew77jg6vt1xw;home;1;MC;J. Evans;;;;1irhjiafn9ushepjvevbkn6ui;79,0;2,0
4;1nbbgew67td8zayaffvr1zcb8;9;13;10;2nnef9tr9g7m2s6n873qif95g;dgwk8czox7lnhew77jg6vt1xw;home;1;FW;Joshua Rodríguez;;;;1x89wne2srx1dupb7vt5gf3ai;68,0;2,0
4;eehmjxbl4xwc3mz1geibnszkk;10;9;10;2nnef9tr9g7m2s6n873qif95g;dgwk8czox7lnhew77jg6vt1xw;home;1;FW;P. Ndoye;;;;f3uzkdl46t1mujsddhr5tg07o;57,0;2,0
3;clvcgt5ofonse0q96sppu7hg4;11;29;10;2nnef9tr9g7m2s6n873qif95g;dgwk8czox7lnhew77jg6vt1xw;home;1;MC;S. Cambindo;;;;;;
5;w92nbx3n5ztvgmf89sdp95re;0;5;10;2nnef9tr9g7m2s6n873qif95g;dgwk8czox7lnhew77jg6vt1xw;home;1;Sub;;;;;;;
