id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_PlayerPosition;value_JerseyNumber;value_Involved;value_Resume;value_Captain;value_TeamKit;value_TeamPlayerFormation;value_TeamFormation;value_DirectionOfPlay;value_Zone;value_PassEndX;value_Length;value_Angle;value_KickOff;value_PassEndY;value_LongBall;value_Launch;value_HeadPass;value_Chipped;value_Cross;value_LeftFooted;value_OutSwinger;value_Head;value_RightFooted;value_Offensive;value_OppositeRelatedEventId;value_Defensive;value_Defensive1V1;value_TakeOnOvertake;value_Direct;value_Foul;value_AttemptedTackle;value_FreeKickTaken;value_TouchTypeControl;value_BlockedPass;value_NextEventThrowIn;value_ThrowIn;value_DeletedEventType;value_Shove/Push;value_TouchTypeClearance;value_IntendedTackleTarget;value_OutOfPlay;value_Left;value_CornerTaken;value_InSwinger;value_HighGkIntervention;value_Assist;value_IntentionalAssist;value_BlockedY;value_FirstTouch;value_RelatedEventId;value_GkX;value_GoalmouthZ;value_Blocked;value_GoalmouthY;value_BoxCentre;value_SavedOffLine;value_Assisted;value_FromCorner;value_BlockedX;value_LowCentre;value_GkY;value_SixYardBlocked;value_DefBlock;value_LastLine;value_Right;value_NotAssisted;value_Volley;value_IndividualPlay;value_NextEventGoalKick;value_Low;value_NotVisible;value_GoalKick;value_ThroughBall;value_LowGkIntervention;value_KeeperThrow;value_OverArm;value_TakeOnSpace;value_LeadingToAttempt;value_LowLeft;value_RelatedError1Id;value_RegularPlay;value_OutOfBoxCentre;value_Collected;value_Hands;value_Diving;value_PlayersCaughtOffside;value_Indirect;value_SwitchOfPlay;value_BoxLeft;value_PullBack;value_Stooping;value_CloseLeft;value_High;value_FlickOn;value_LayOff;value_ShirtPull/Holding;value_BoxRight;value_BlockedCross;value_NotPastGoalLine;value_TouchTypePass;value_SetPiece;value_LowRight;value_MediumGkIntervention;value_ParriedDanger;value_Standing;value_GkStart;value_BigChance;value_HighLeft;value_SmallBoxLeft;value_OtherBodyPart;value_RefereeDelay;value_DrinksBreak;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_SmallBoxCentre;value_RecklessOffence;value_YellowCard;value_Penalty;value_PenaltyTakerId;value_Dissent;value_Saved;value_Second(2Nd)OppositeRelatedEventId;value_CausingPlayer;value_GkYTimeOfGoal;value_HighCentre;value_GoalShotTimestamp;value_GoalShotGameClock;value_GkXTimeOfGoal;value_Minutes;value_EndType;value_HighRight;value_HighClaim;value_InjuredPlayerId;value_Injury;value_TacticalFoul;value_Overrun;value_FreeKick;value_SwerveLeft;value_CloseRight;value_2NdAssist;value_2NdRelatedEventId;value_2NdAssisted;value_TempBlocked;value_CloseLeftAndHigh;value_SwerveRight;value_Scored;value_FantasyAssistId;value_FantasyAssistedBy;value_FantasyAssistType;value_FantasyAssistTeam;value_CloseHigh;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2696542953;1;34;16;0;0;4gymgvqmve0m2vh89v84tt3x0;1;0,0;0,0;2024-06-16T22:08:38.468Z;2024-06-16T23:04:27Z;[{'id': 5080005899, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5080005901, 'qualifierId': 59, 'value': '1, 5, 3, 32, 40, 25, 17, 8, 9, 38, 10, 13, 23, 24, 36, 47, 56, 67, 77, 28'}, {'id': 5080005897, 'qualifierId': 30, 'value': '2mmciwk6gllcf11plcch710yc, 6jzijlp0e2w4qjan9eto35wd0, 9ncybediodv8share9pox2kno, 5mkyx29nr54rr3quwdgfpz3oq, 42zmyz1t6mqap5pyfqxiaadqs, bmax1bmduvrpp0lfh4do0yj9w, dz7v9xfcwdvjioeyv4z54neqy, 6z58yyouaevipxrmrmorcz0no, 5m3bxdstyhzoplpzam8c94t90, amcmxrycu0kldox7qdohow2ui, 6qe888q8yqq73bxr27jbyu2hg, 374euncv00zs2oy6ux1u519be, 3pzd87cugi2uj8hhzgre6od1w, bshus335cwlnpdzl7ct1gpn9w, ecnah6vlfo0o5cx42il8cegb8, 1kr4ax5uy3f9gbjzr34u0svf8, 2ijhxcgr8wqnb8ovss9064jmy, efek04gkkjjwr6vo2mi008dm, 6prn3rxp49rsfl8mxq2tqzf9w, c08hvq1hplcct8kxrxucfpqp6'}, {'id': 5080005907, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5080081269, 'qualifierId': 194, 'value': 'dz7v9xfcwdvjioeyv4z54neqy'}, {'id': 5080079541, 'qualifierId': 197, 'value': '19319'}, {'id': 5080005905, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5080005903, 'qualifierId': 130, 'value': '2'}];;;;;dha3q7sn8co3cnaxm0p1gerdg;Team set up;;;;;;19319,0;;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;;;;;;;;;;0;0;0;Chicago Fire II;0;;
2696543095;1;34;16;0;0;8o8m08he36u0j4w08aj2iodn8;1;0,0;0,0;2024-06-16T22:08:59.666Z;2024-06-16T23:52:18Z;[{'id': 5080006661, 'qualifierId': 30, 'value': '12wcwqu2liyd0zv8ramcevh1w, 84oe7sbhy91b5xvbo2w28i7f8, 79knhnp7bvpjomzz14k715wtm, ctwn52am38jz5ly1h8ac069lg, 5d341k1dxhlbetyh965z3q784, 72xktsosbsh2uwkwby59mr6z8, 4agnpztnedb7ql14bo477vspg, b1p6qcv8wjzoxoax3nt13n5gq, do6z0g81t9avcjuhjc1szukgk, 64wbk2nsrs0ru0hjcq0lenwgk, 2atsox1bassuexlgta8h3us4p, 6n0x8t513vmsmgfasovvoj7u2, afdz1ibldn2vc8gtezyw8tqay, 2buy6q56o0ixo30fatz7ps9w4, 83mk9m591utxa1lboute1kvmc, 5ehbz7f56cmfamc29fnk3yuax, a8t1jn05xxxccikegk8fdaiok, 83uri423ckm6ngfoerw6gwh04, 4r4a2d3piuh8wusw8ftrsh016'}, {'id': 5080006669, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5080006671, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5080006663, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5080006665, 'qualifierId': 59, 'value': '70, 41, 55, 57, 43, 42, 53, 48, 51, 35, 50, 44, 45, 46, 47, 49, 59, 62, 78'}, {'id': 5080079633, 'qualifierId': 197, 'value': '24041'}, {'id': 5080006667, 'qualifierId': 130, 'value': '7'}, {'id': 5080136949, 'qualifierId': 194, 'value': 'b1p6qcv8wjzoxoax3nt13n5gq'}];;;;;dha3q7sn8co3cnaxm0p1gerdg;Team set up;;;;;;24041,0;;7,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;;0;0;0;Huntsville City;0;;
2696556709;2;32;1;0;0;4gymgvqmve0m2vh89v84tt3x0;1;0,0;0,0;2024-06-16T23:03:45.300Z;2024-06-18T14:26:10Z;[{'id': 5080080221, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;dha3q7sn8co3cnaxm0p1gerdg;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;;;;;;;;;;0;0;0;Chicago Fire II;0;;
2696556717;2;32;1;0;0;8o8m08he36u0j4w08aj2iodn8;1;0,0;0,0;2024-06-16T23:03:45.300Z;2024-06-16T23:03:48Z;[{'id': 5080080251, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;dha3q7sn8co3cnaxm0p1gerdg;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;;0;0;0;Huntsville City;0;;
2696556737;3;1;1;0;0;4gymgvqmve0m2vh89v84tt3x0;1;50,0;50,0;2024-06-16T23:03:45.301Z;2024-06-16T23:03:49Z;[{'id': 5080080329, 'qualifierId': 56, 'value': 'Back'}, {'id': 5080080331, 'qualifierId': 140, 'value': '29.8'}, {'id': 5080080339, 'qualifierId': 212, 'value': '21.9'}, {'id': 5080080343, 'qualifierId': 213, 'value': '2.88'}, {'id': 5080080347, 'qualifierId': 279, 'value': 'S'}, {'id': 5080080335, 'qualifierId': 141, 'value': '58.2'}];amcmxrycu0kldox7qdohow2ui;A. Picazo;;;dha3q7sn8co3cnaxm0p1gerdg;Pass;;;;;;;;;;;29,8;21,9;2,88;;58,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;29,8;58,2;;;;;;;;0;0;0;Chicago Fire II;0;FW;1,0
2696556745;4;1;1;0;3;4gymgvqmve0m2vh89v84tt3x0;0;30,9;57,2;2024-06-16T23:03:49.155Z;2024-06-18T14:32:57Z;[{'id': 5080080377, 'qualifierId': 141, 'value': '21.6'}, {'id': 5080080375, 'qualifierId': 140, 'value': '87.7'}, {'id': 5080080383, 'qualifierId': 1}, {'id': 5080080373, 'qualifierId': 56, 'value': 'Center'}, {'id': 5080080381, 'qualifierId': 213, 'value': '5.90'}, {'id': 5080080371, 'qualifierId': 157}, {'id': 5080080379, 'qualifierId': 212, 'value': '64.4'}];6z58yyouaevipxrmrmorcz0no;I. Johnston;;;dha3q7sn8co3cnaxm0p1gerdg;Pass;;;;;;;;;;;87,7;64,4;5,9;;21,6;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;home;87,7;21,6;;;;;;;;0;0;3;Chicago Fire II;3;MC;1,0
2696556753;3;1;1;0;6;8o8m08he36u0j4w08aj2iodn8;1;16,6;75,8;2024-06-16T23:03:51.311Z;2024-06-16T23:03:52Z;[{'id': 5080080409, 'qualifierId': 141, 'value': '84.7'}, {'id': 5080080413, 'qualifierId': 213, 'value': '0.57'}, {'id': 5080080403, 'qualifierId': 3}, {'id': 5080080411, 'qualifierId': 212, 'value': '11.2'}, {'id': 5080080405, 'qualifierId': 56, 'value': 'Back'}, {'id': 5080080407, 'qualifierId': 140, 'value': '25.6'}];72xktsosbsh2uwkwby59mr6z8;D. Konincks;;;dha3q7sn8co3cnaxm0p1gerdg;Pass;;;;;;;;;;;25,6;11,2;0,57;;84,7;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;25,6;84,7;;;;;;;;0;0;6;Huntsville City;6;DC;1,0
2696556759;4;49;1;0;6;8o8m08he36u0j4w08aj2iodn8;1;25,9;83,4;2024-06-16T23:03:52.186Z;2024-06-16T23:03:52Z;[];64wbk2nsrs0ru0hjcq0lenwgk;S. Oregel;;;dha3q7sn8co3cnaxm0p1gerdg;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;;0;0;6;Huntsville City;6;MC;1,0
2696556777;5;1;1;0;7;8o8m08he36u0j4w08aj2iodn8;1;26,1;77,4;2024-06-16T23:03:53.138Z;2024-06-16T23:03:55Z;[{'id': 5080080531, 'qualifierId': 213, 'value': '4.39'}, {'id': 5080080529, 'qualifierId': 212, 'value': '12.6'}, {'id': 5080080523, 'qualifierId': 56, 'value': 'Back'}, {'id': 5080080527, 'qualifierId': 141, 'value': '59.8'}, {'id': 5080080525, 'qualifierId': 140, 'value': '22.3'}];64wbk2nsrs0ru0hjcq0lenwgk;S. Oregel;;;dha3q7sn8co3cnaxm0p1gerdg;Pass;;;;;;;;;;;22,3;12,6;4,39;;59,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;22,3;59,8;;;;;;;;0;0;7;Huntsville City;7;MC;1,0
2696556785;6;1;1;0;9;8o8m08he36u0j4w08aj2iodn8;1;22,3;59,8;2024-06-16T23:03:54.997Z;2024-06-16T23:03:56Z;[{'id': 5080080567, 'qualifierId': 141, 'value': '76.0'}, {'id': 5080080565, 'qualifierId': 140, 'value': '5.6'}, {'id': 5080080563, 'qualifierId': 56, 'value': 'Back'}, {'id': 5080080575, 'qualifierId': 213, 'value': '2.58'}, {'id': 5080080571, 'qualifierId': 212, 'value': '20.7'}];ctwn52am38jz5ly1h8ac069lg;C. Heuer;;;dha3q7sn8co3cnaxm0p1gerdg;Pass;;;;;;;;;;;5,6;20,7;2,58;;76,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;5,6;76,0;;;;;;;;0;0;9;Huntsville City;9;DMC;1,0
