id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamKit;value_Involved;value_Resume;value_TeamPlayerFormation;value_PlayerPosition;value_Captain;value_TeamFormation;value_JerseyNumber;value_DirectionOfPlay;value_KickOff;value_PassEndX;value_Angle;value_Length;value_PassEndY;value_Zone;value_LongBall;value_Launch;value_TouchTypePass;value_FlickOn;value_HeadPass;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_TakeOnOvertake;value_Offensive;value_OutOfPlay;value_TouchTypeClearance;value_Defensive;value_DeletedEventType;value_IntendedTackleTarget;value_BlockedPass;value_TouchTypeControl;value_Overrun;value_Chipped;value_LowGkIntervention;value_NotVisible;value_SwitchOfPlay;value_AttemptedTackle;value_Foul;value_Direct;value_InjuredPlayerId;value_Injury;value_RelatedEventId;value_FreeKickTaken;value_LayOff;value_SwerveRight;value_IndividualPlay;value_GoalmouthY;value_OutOfBoxCentre;value_RegularPlay;value_Assisted;value_HighLeft;value_GoalmouthZ;value_LeftFooted;value_GkX;value_GkY;value_NextEventGoalKick;value_GoalKick;value_Low;value_TakeOnSpace;value_GkHoof;value_PullBack;value_Assist;value_IntentionalAssist;value_ThroughBall;value_BoxCentre;value_Right;value_MisHit;value_High;value_RightFooted;value_OutSwinger;value_Cross;value_FirstTouch;value_CloseHigh;value_SmallBoxLeft;value_BigChance;value_Head;value_Left;value_BlockedY;value_BlockedX;value_NotPastGoalLine;value_ShirtPull/Holding;value_KeeperThrow;value_Unchallenged;value_MediumGkIntervention;value_CornerTaken;value_InSwinger;value_Shove/Push;value_IncorrectOutOfPlayDecision;value_RecklessOffence;value_YellowCard;value_Defensive1V1;value_Straight;value_DrivenCross;value_NotAssisted;value_DefBlock;value_OwnShotBlocked;value_Volley;value_SmallBoxCentre;value_GkXTimeOfGoal;value_KeeperTouched;value_LowRight;value_GoalShotGameClock;value_GoalShotTimestamp;value_GkYTimeOfGoal;value_OtherObstacle;value_ParriedSafe;value_Diving;value_Hands;value_HighGkIntervention;value_BoxLeft;value_Blocked;value_SixYardBlocked;value_FromCorner;value_OwnPlayer;value_LowCentre;value_BoxRight;value_LowLeft;value_BallHitsReferee;value_RefereeDelay;value_DrinksBreak;value_PlayersCaughtOffside;value_Indirect;value_OverhitCross;value_Handball;value_SwerveLeft;value_FreeKick;value_Minutes;value_CloseRight;value_TacticalFoul;value_Deflection;value_Standing;value_ParriedDanger;value_EndType;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_FastBreak;value_SetPiece;value_GkKickFromHands;value_HighClaim;value_OverArm;value_TimeWasting;value_LastLine;value_AerialFoul;value_BlockedCross;value_1On1;value_SmallBoxRight;value_Collected;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2696541727;1;34;16;0;0;dqx48fglv1l96cyrmjdod0xec;1;0,0;0,0;2024-06-16T22:05:14.200Z;2024-06-19T16:09:51Z;[{'id': 5080079635, 'qualifierId': 197, 'value': '15030'}, {'id': 5080000063, 'qualifierId': 30, 'value': 'brbc088u7sq9wh9d9gkonn5gq, 2dqtrnq0k1fphyw71yh41gvtg, 7zkzjmk1go1u2vi5qkqlmezu, dpedfgxin5nc4qmziaokpmiy2, 910fd7rfysvvfzp2s1ywna5pm, 276kl5oc1k19y1linbxml0xec, en6q7ddrr22sz6knipkbqhyw9, 3dyn7hheqvs3gm3m84jrra9lg, f2nvagw4mjjpn1ytj6rdl5ene, 92oqt9q51us5rpmqmvvrdso6i, 9gswafduy82n4o6f0uk0khhck, 5jigl7kp5d2i5ws1602jm7n1m, 9k050zmkegfu3gdw2b4g4uwwk, 9ulwk81vyj5rbz88h62i2ejv8, 37vbc16ejxmfkssydcdxq69zo, 632mpv8dpnxjm69f8ip1e4l5g, 7h6a0x05z2laewfq7spicxwd0, bbnk87q7t8pahznohwjjcvu5m, 8hg6c5ehhaa37lwduf5977i3u, 4eh46qse8ocmutobremniuolw'}, {'id': 5080000073, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5080000071, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5080000065, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5081882649, 'qualifierId': 194, 'value': 'brbc088u7sq9wh9d9gkonn5gq'}, {'id': 5080000069, 'qualifierId': 130, 'value': '2'}, {'id': 5080000067, 'qualifierId': 59, 'value': '31, 33, 99, 43, 40, 42, 75, 49, 80, 56, 59, 41, 46, 50, 55, 64, 71, 72, 88, 94'}];;;;;dhnfqkwp0wwcwx5i2j2su04r8;Team set up;15030,0;;;;;;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;0;0;0;0;Houston Dynamo II;0;;
2696543185;1;34;16;0;0;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-06-16T22:09:13.735Z;2024-06-16T23:39:41Z;[{'id': 5080007177, 'qualifierId': 59, 'value': '1, 23, 3, 19, 6, 14, 18, 13, 8, 10, 21, 5, 11, 12, 30, 31, 35, 39, 43, 48'}, {'id': 5080007179, 'qualifierId': 130, 'value': '4'}, {'id': 5080007175, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5080007183, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5080007173, 'qualifierId': 30, 'value': 'e81zc97bmfjgwo978gplrx46i, 1p5u02noafhj6r31hj50stn2s, 2wj1w4opn7f0jyz1ps6ebvc6i, aa4ut2fmswha43fxnrxp1obo4, 2jzuij8p7eoy42aqem688ltuy, 48p3wcjai97tpt50ia7bi7ok4, 4uuq2zuhmlbg7kh85v5l8723u, bfsjxpmiflhdz2162ulqlo0lw, 60ej9rpig6xzj1d80w0ki92i, 3c1xz4vpfoum0jbq6bmtdrtux, 7qt4r82kyz05r8kd8cmdh1xqs, 1d43ue54zl1o9rvnwz5zfotm, azzpjrq2pndxuz0waw25p7r6y, 3my8ymhvy1bysbllwpoj3qctm, 1snfyu5dmv164k5cl87chjlsk, bp0a3bvzsxokh4nu3bq96yx3o, n5otejqjssvxk3bzx06642z8, en1t9w6orptzi3v7odnawg8b8, 7yt2ddw0yntv9xq1hrv1jx05w, 1es4nynrpc8sz3enj46i9zeok'}, {'id': 5080134411, 'qualifierId': 194, 'value': '4uuq2zuhmlbg7kh85v5l8723u'}, {'id': 5080007181, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5080079863, 'qualifierId': 197, 'value': '15044'}];;;;;dhnfqkwp0wwcwx5i2j2su04r8;Team set up;15044,0;;;;;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;;;0;0;0;0;St. Louis City II;0;;
2696556687;2;32;1;0;0;dqx48fglv1l96cyrmjdod0xec;1;0,0;0,0;2024-06-16T23:03:43.097Z;2024-06-19T12:30:02Z;[{'id': 5080080123, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;dhnfqkwp0wwcwx5i2j2su04r8;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;0;0;0;0;Houston Dynamo II;0;;
2696556695;2;32;1;0;0;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-06-16T23:03:43.097Z;2024-06-16T23:03:46Z;[{'id': 5080080161, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;dhnfqkwp0wwcwx5i2j2su04r8;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;;;0;0;0;0;St. Louis City II;0;;
2696556731;3;1;1;0;0;dqx48fglv1l96cyrmjdod0xec;1;50,0;50,0;2024-06-16T23:03:43.098Z;2024-06-19T13:13:09Z;[{'id': 5080080307, 'qualifierId': 279, 'value': 'S'}, {'id': 5080080299, 'qualifierId': 140, 'value': '32.1'}, {'id': 5080080305, 'qualifierId': 213, 'value': '3.40'}, {'id': 5080080303, 'qualifierId': 212, 'value': '19.4'}, {'id': 5080080301, 'qualifierId': 141, 'value': '42.7'}, {'id': 5080080297, 'qualifierId': 56, 'value': 'Back'}];f2nvagw4mjjpn1ytj6rdl5ene;B. McSorley;;;dhnfqkwp0wwcwx5i2j2su04r8;Pass;;;;;;;;;;;32,1;3,4;19,4;42,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;32,1;42,7;;;;;;;0;0;0;0;Houston Dynamo II;0;FW;1,0
2696556735;4;1;1;0;4;dqx48fglv1l96cyrmjdod0xec;0;32,1;42,7;2024-06-16T23:03:47.498Z;2024-06-16T23:03:49Z;[{'id': 5080080327, 'qualifierId': 1}, {'id': 5080080315, 'qualifierId': 157}, {'id': 5080080319, 'qualifierId': 140, 'value': '71.1'}, {'id': 5080080325, 'qualifierId': 213, 'value': '0.31'}, {'id': 5080080321, 'qualifierId': 141, 'value': '62.0'}, {'id': 5080080323, 'qualifierId': 212, 'value': '43.0'}, {'id': 5080080317, 'qualifierId': 56, 'value': 'Center'}];910fd7rfysvvfzp2s1ywna5pm;M. Wentzel;;;dhnfqkwp0wwcwx5i2j2su04r8;Pass;;;;;;;;;;;71,1;0,31;43,0;62,0;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;71,1;62,0;;;;;;;0;0;0;4;Houston Dynamo II;4;DL;1,0
2696556743;3;8;1;0;7;7pmw399vh2v44cjle4fkklp1w;1;29,6;28,2;2024-06-16T23:03:50.320Z;2024-06-19T13:13:25Z;[{'id': 5080080369, 'qualifierId': 56, 'value': 'Back'}, {'id': 5081831295, 'qualifierId': 384}];2jzuij8p7eoy42aqem688ltuy;F. Awodesu;;;dhnfqkwp0wwcwx5i2j2su04r8;Interception;;;;;;;;;;;;;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;;;0;0;0;7;St. Louis City II;7;DL;1,0
2696556749;4;49;1;0;8;7pmw399vh2v44cjle4fkklp1w;1;32,6;4,0;2024-06-16T23:03:51.629Z;2024-06-16T23:03:51Z;[];3c1xz4vpfoum0jbq6bmtdrtux;I. Achara;;;dhnfqkwp0wwcwx5i2j2su04r8;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;;;0;0;0;8;St. Louis City II;8;FWR;1,0
2696556771;5;1;1;0;10;7pmw399vh2v44cjle4fkklp1w;0;34,2;2,5;2024-06-16T23:03:53.117Z;2024-06-16T23:03:53Z;[{'id': 5080080501, 'qualifierId': 212, 'value': '41.9'}, {'id': 5080080499, 'qualifierId': 141, 'value': '28.0'}, {'id': 5080080503, 'qualifierId': 213, 'value': '0.43'}, {'id': 5080080505, 'qualifierId': 1}, {'id': 5080080495, 'qualifierId': 56, 'value': 'Center'}, {'id': 5080080497, 'qualifierId': 140, 'value': '70.5'}];3c1xz4vpfoum0jbq6bmtdrtux;I. Achara;;;dhnfqkwp0wwcwx5i2j2su04r8;Pass;;;;;;;;;;;70,5;0,43;41,9;28,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;70,5;28,0;;;;;;;0;0;0;10;St. Louis City II;10;FWR;1,0
2696556789;5;49;1;0;13;dqx48fglv1l96cyrmjdod0xec;1;24,9;72,7;2024-06-16T23:03:56.496Z;2024-06-16T23:03:56Z;[];910fd7rfysvvfzp2s1ywna5pm;M. Wentzel;;;dhnfqkwp0wwcwx5i2j2su04r8;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;0;0;0;13;Houston Dynamo II;13;DL;1,0
2696556813;6;1;1;0;13;dqx48fglv1l96cyrmjdod0xec;1;24,9;72,7;2024-06-16T23:03:56.558Z;2024-06-16T23:04:00Z;[{'id': 5080080667, 'qualifierId': 56, 'value': 'Back'}, {'id': 5080080669, 'qualifierId': 140, 'value': '13.1'}, {'id': 5080080675, 'qualifierId': 213, 'value': '4.07'}, {'id': 5080080673, 'qualifierId': 212, 'value': '20.7'}, {'id': 5080080671, 'qualifierId': 141, 'value': '48.4'}];910fd7rfysvvfzp2s1ywna5pm;M. Wentzel;;;dhnfqkwp0wwcwx5i2j2su04r8;Pass;;;;;;;;;;;13,1;4,07;20,7;48,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;13,1;48,4;;;;;;;0;0;0;13;Houston Dynamo II;13;DL;1,0
2696556843;7;1;1;0;17;dqx48fglv1l96cyrmjdod0xec;1;12,4;46,3;2024-06-16T23:04:00.841Z;2024-06-16T23:04:06Z;[{'id': 5080080847, 'qualifierId': 1}, {'id': 5080080839, 'qualifierId': 140, 'value': '47.5'}, {'id': 5080080837, 'qualifierId': 56, 'value': 'Back'}, {'id': 5080080845, 'qualifierId': 213, 'value': '5.67'}, {'id': 5080080843, 'qualifierId': 212, 'value': '44.9'}, {'id': 5080080835, 'qualifierId': 157}, {'id': 5080080841, 'qualifierId': 141, 'value': '8.5'}];brbc088u7sq9wh9d9gkonn5gq;C. Olivares;;;dhnfqkwp0wwcwx5i2j2su04r8;Pass;;;;;;;;;;;47,5;5,67;44,9;8,5;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;47,5;8,5;;;;;;;0;0;0;17;Houston Dynamo II;17;GK;1,0
2696556849;8;1;1;0;23;dqx48fglv1l96cyrmjdod0xec;0;47,5;8,5;2024-06-16T23:04:06.226Z;2024-06-16T23:04:06Z;[{'id': 5080080867, 'qualifierId': 56, 'value': 'Right'}, {'id': 5080080869, 'qualifierId': 140, 'value': '59.3'}, {'id': 5080080865, 'qualifierId': 168}, {'id': 5080080875, 'qualifierId': 213, 'value': '5.82'}, {'id': 5080080871, 'qualifierId': 141, 'value': '0.0'}, {'id': 5080080863, 'qualifierId': 3}, {'id': 5080080873, 'qualifierId': 212, 'value': '13.9'}];en6q7ddrr22sz6knipkbqhyw9;Wan Kuzain;;;dhnfqkwp0wwcwx5i2j2su04r8;Pass;;;;;;;;;;;59,3;5,82;13,9;0,0;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;59,3;0,0;;;;;;;0;0;0;23;Houston Dynamo II;23;MR;1,0
2696556945;6;5;1;0;23;7pmw399vh2v44cjle4fkklp1w;1;36,0;100,9;2024-06-16T23:04:06.674Z;2024-06-17T00:38:41Z;[{'id': 5080081301, 'qualifierId': 347}, {'id': 5080081337, 'qualifierId': 233, 'value': '9'}, {'id': 5080081299, 'qualifierId': 56, 'value': 'Back'}];3c1xz4vpfoum0jbq6bmtdrtux;I. Achara;;;dhnfqkwp0wwcwx5i2j2su04r8;Out;;;;;;;;;;;;;;;;;;;;;1,0;9,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;away;;;;;;;;;0;0;0;23;St. Louis City II;23;FWR;1,0
2696556855;9;5;1;0;23;dqx48fglv1l96cyrmjdod0xec;0;64,0;-0,9;2024-06-16T23:04:06.674Z;2024-06-16T23:04:20Z;[{'id': 5080081355, 'qualifierId': 233, 'value': '6'}, {'id': 5080080895, 'qualifierId': 56, 'value': 'Right'}, {'id': 5080080897, 'qualifierId': 347}];en6q7ddrr22sz6knipkbqhyw9;Wan Kuzain;;;dhnfqkwp0wwcwx5i2j2su04r8;Out;;;;;;;;;;;;;;;;;;;;;1,0;6,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;home;;;;;;;;;0;0;0;23;Houston Dynamo II;23;MR;1,0
