field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;brbc088u7sq9wh9d9gkonn5gq;1;31;2;dqx48fglv1l96cyrmjdod0xec;dhnfqkwp0wwcwx5i2j2su04r8;home;1;GK;C. Olivares;;;;;;
2;2dqtrnq0k1fphyw71yh41gvtg;2;33;2;dqx48fglv1l96cyrmjdod0xec;dhnfqkwp0wwcwx5i2j2su04r8;home;1;DR;T. Pearce;;;;7h6a0x05z2laewfq7spicxwd0;60,0;2,0
2;7zkzjmk1go1u2vi5qkqlmezu;3;99;2;dqx48fglv1l96cyrmjdod0xec;dhnfqkwp0wwcwx5i2j2su04r8;home;1;DC;J. Reid;;;;;;
3;dpedfgxin5nc4qmziaokpmiy2;4;43;2;dqx48fglv1l96cyrmjdod0xec;dhnfqkwp0wwcwx5i2j2su04r8;home;1;MC;C. Cilley;;;;;;
2;910fd7rfysvvfzp2s1ywna5pm;5;40;2;dqx48fglv1l96cyrmjdod0xec;dhnfqkwp0wwcwx5i2j2su04r8;home;1;DL;M. Wentzel;;;;9ulwk81vyj5rbz88h62i2ejv8;45,0;2,0
2;276kl5oc1k19y1linbxml0xec;6;42;2;dqx48fglv1l96cyrmjdod0xec;dhnfqkwp0wwcwx5i2j2su04r8;home;1;DC;Ó. Benítez;;;;;;
3;en6q7ddrr22sz6knipkbqhyw9;7;75;2;dqx48fglv1l96cyrmjdod0xec;dhnfqkwp0wwcwx5i2j2su04r8;home;1;MR;Wan Kuzain;;;;;;
3;3dyn7hheqvs3gm3m84jrra9lg;8;49;2;dqx48fglv1l96cyrmjdod0xec;dhnfqkwp0wwcwx5i2j2su04r8;home;1;MC;S. Antwi;;;;;;
4;f2nvagw4mjjpn1ytj6rdl5ene;9;80;2;dqx48fglv1l96cyrmjdod0xec;dhnfqkwp0wwcwx5i2j2su04r8;home;1;FW;B. McSorley;;;;bbnk87q7t8pahznohwjjcvu5m;85,0;2,0
4;92oqt9q51us5rpmqmvvrdso6i;10;56;2;dqx48fglv1l96cyrmjdod0xec;dhnfqkwp0wwcwx5i2j2su04r8;home;1;FW;R. Becher;;;;9k050zmkegfu3gdw2b4g4uwwk;60,0;2,0
3;9gswafduy82n4o6f0uk0khhck;11;59;2;dqx48fglv1l96cyrmjdod0xec;dhnfqkwp0wwcwx5i2j2su04r8;home;1;ML;M. Joyner;;;;5jigl7kp5d2i5ws1602jm7n1m;60,0;2,0
5;5jigl7kp5d2i5ws1602jm7n1m;0;41;2;dqx48fglv1l96cyrmjdod0xec;dhnfqkwp0wwcwx5i2j2su04r8;home;1;Sub;J. Klein;azzpjrq2pndxuz0waw25p7r6y;60,0;2,0;;;
5;5jigl7kp5d2i5ws1602jm7n1m;0;41;2;dqx48fglv1l96cyrmjdod0xec;dhnfqkwp0wwcwx5i2j2su04r8;home;1;Sub;J. Klein;9gswafduy82n4o6f0uk0khhck;60,0;2,0;;;
5;9k050zmkegfu3gdw2b4g4uwwk;0;46;2;dqx48fglv1l96cyrmjdod0xec;dhnfqkwp0wwcwx5i2j2su04r8;home;1;Sub;C. Glover;92oqt9q51us5rpmqmvvrdso6i;60,0;2,0;;;
5;9ulwk81vyj5rbz88h62i2ejv8;0;50;2;dqx48fglv1l96cyrmjdod0xec;dhnfqkwp0wwcwx5i2j2su04r8;home;1;Sub;G. Mikina;910fd7rfysvvfzp2s1ywna5pm;45,0;2,0;;;
5;37vbc16ejxmfkssydcdxq69zo;0;55;2;dqx48fglv1l96cyrmjdod0xec;dhnfqkwp0wwcwx5i2j2su04r8;home;1;Sub;;;;;;;
5;632mpv8dpnxjm69f8ip1e4l5g;0;64;2;dqx48fglv1l96cyrmjdod0xec;dhnfqkwp0wwcwx5i2j2su04r8;home;1;Sub;;;;;;;
5;7h6a0x05z2laewfq7spicxwd0;0;71;2;dqx48fglv1l96cyrmjdod0xec;dhnfqkwp0wwcwx5i2j2su04r8;home;1;Sub;N. McGuire;2dqtrnq0k1fphyw71yh41gvtg;60,0;2,0;;;
5;bbnk87q7t8pahznohwjjcvu5m;0;72;2;dqx48fglv1l96cyrmjdod0xec;dhnfqkwp0wwcwx5i2j2su04r8;home;1;Sub;E. Kinzner;f2nvagw4mjjpn1ytj6rdl5ene;85,0;2,0;;;
5;8hg6c5ehhaa37lwduf5977i3u;0;88;2;dqx48fglv1l96cyrmjdod0xec;dhnfqkwp0wwcwx5i2j2su04r8;home;1;Sub;;;;;;;
5;4eh46qse8ocmutobremniuolw;0;94;2;dqx48fglv1l96cyrmjdod0xec;dhnfqkwp0wwcwx5i2j2su04r8;home;1;Sub;;;;;;;
1;e81zc97bmfjgwo978gplrx46i;1;1;4;7pmw399vh2v44cjle4fkklp1w;dhnfqkwp0wwcwx5i2j2su04r8;away;1;GK;X. Valdez;;;;;;
2;1p5u02noafhj6r31hj50stn2s;2;23;4;7pmw399vh2v44cjle4fkklp1w;dhnfqkwp0wwcwx5i2j2su04r8;away;1;DR;T. Lampman;;;;;;
2;2wj1w4opn7f0jyz1ps6ebvc6i;3;3;4;7pmw399vh2v44cjle4fkklp1w;dhnfqkwp0wwcwx5i2j2su04r8;away;1;DC;K. Sargeant;;;;;;
3;aa4ut2fmswha43fxnrxp1obo4;4;19;4;7pmw399vh2v44cjle4fkklp1w;dhnfqkwp0wwcwx5i2j2su04r8;away;1;MC;S. Rodriguez;;;;;;
2;2jzuij8p7eoy42aqem688ltuy;5;6;4;7pmw399vh2v44cjle4fkklp1w;dhnfqkwp0wwcwx5i2j2su04r8;away;1;DL;F. Awodesu;;;;;;
2;48p3wcjai97tpt50ia7bi7ok4;6;14;4;7pmw399vh2v44cjle4fkklp1w;dhnfqkwp0wwcwx5i2j2su04r8;away;1;DC;J. Medina;;;;1snfyu5dmv164k5cl87chjlsk;85,0;2,0
3;4uuq2zuhmlbg7kh85v5l8723u;7;18;4;7pmw399vh2v44cjle4fkklp1w;dhnfqkwp0wwcwx5i2j2su04r8;away;1;MC;D. Gonzalez;;;;;;
3;bfsjxpmiflhdz2162ulqlo0lw;8;13;4;7pmw399vh2v44cjle4fkklp1w;dhnfqkwp0wwcwx5i2j2su04r8;away;1;MC;J. Valverde;;;;7yt2ddw0yntv9xq1hrv1jx05w;89,0;2,0
4;60ej9rpig6xzj1d80w0ki92i;9;8;4;7pmw399vh2v44cjle4fkklp1w;dhnfqkwp0wwcwx5i2j2su04r8;away;1;FW;G. Segal;;;;n5otejqjssvxk3bzx06642z8;89,0;2,0
4;3c1xz4vpfoum0jbq6bmtdrtux;10;10;4;7pmw399vh2v44cjle4fkklp1w;dhnfqkwp0wwcwx5i2j2su04r8;away;1;FWR;I. Achara;;;;azzpjrq2pndxuz0waw25p7r6y;53,0;2,0
4;3c1xz4vpfoum0jbq6bmtdrtux;10;10;4;7pmw399vh2v44cjle4fkklp1w;dhnfqkwp0wwcwx5i2j2su04r8;away;1;FWR;I. Achara;;;;9gswafduy82n4o6f0uk0khhck;53,0;2,0
4;7qt4r82kyz05r8kd8cmdh1xqs;11;21;4;7pmw399vh2v44cjle4fkklp1w;dhnfqkwp0wwcwx5i2j2su04r8;away;1;FWL;O. Sylla;;;;;;
5;1d43ue54zl1o9rvnwz5zfotm;0;5;4;7pmw399vh2v44cjle4fkklp1w;dhnfqkwp0wwcwx5i2j2su04r8;away;1;Sub;;;;;;;
5;azzpjrq2pndxuz0waw25p7r6y;0;11;4;7pmw399vh2v44cjle4fkklp1w;dhnfqkwp0wwcwx5i2j2su04r8;away;1;Sub;I. Reid;3c1xz4vpfoum0jbq6bmtdrtux;53,0;2,0;;;
5;3my8ymhvy1bysbllwpoj3qctm;0;12;4;7pmw399vh2v44cjle4fkklp1w;dhnfqkwp0wwcwx5i2j2su04r8;away;1;Sub;;;;;;;
5;1snfyu5dmv164k5cl87chjlsk;0;30;4;7pmw399vh2v44cjle4fkklp1w;dhnfqkwp0wwcwx5i2j2su04r8;away;1;Sub;I. Mwakutuya;48p3wcjai97tpt50ia7bi7ok4;85,0;2,0;;;
5;bp0a3bvzsxokh4nu3bq96yx3o;0;31;4;7pmw399vh2v44cjle4fkklp1w;dhnfqkwp0wwcwx5i2j2su04r8;away;1;Sub;;;;;;;
5;n5otejqjssvxk3bzx06642z8;0;35;4;7pmw399vh2v44cjle4fkklp1w;dhnfqkwp0wwcwx5i2j2su04r8;away;1;Sub;M. Findlay;60ej9rpig6xzj1d80w0ki92i;89,0;2,0;;;
5;en1t9w6orptzi3v7odnawg8b8;0;39;4;7pmw399vh2v44cjle4fkklp1w;dhnfqkwp0wwcwx5i2j2su04r8;away;1;Sub;;;;;;;
5;7yt2ddw0yntv9xq1hrv1jx05w;0;43;4;7pmw399vh2v44cjle4fkklp1w;dhnfqkwp0wwcwx5i2j2su04r8;away;1;Sub;M. Dimareli;bfsjxpmiflhdz2162ulqlo0lw;89,0;2,0;;;
5;1es4nynrpc8sz3enj46i9zeok;0;48;4;7pmw399vh2v44cjle4fkklp1w;dhnfqkwp0wwcwx5i2j2su04r8;away;1;Sub;;;;;;;
