field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;1o5qnb5ktq4u6t11lj3fqntg;1;31;2;iiolvosiuokkrl5iuoxcjo4p;dieixqamnhtsz5zeal6khos9g;home;1;GK;A. Beaudry;;;;;;
2;86piuxs9tep01rcbsp3t8vx90;2;55;2;iiolvosiuokkrl5iuoxcjo4p;dieixqamnhtsz5zeal6khos9g;home;1;DR;P. Dormoh;;;;4wu5ystem7t4d7veep83j2qne;83,0;2,0
2;am8ndwmm4m03ys6wkad29lst0;3;72;2;iiolvosiuokkrl5iuoxcjo4p;dieixqamnhtsz5zeal6khos9g;home;1;DC;M. Alvarado;;;;;;
3;etyqw24tl6zko0qarctyv6ane;4;42;2;iiolvosiuokkrl5iuoxcjo4p;dieixqamnhtsz5zeal6khos9g;home;1;MC;R. Peña;;;;38z2cuwmbeanujqho9cqwozmy;74,0;2,0
2;dw8iyfupgsqkt8ogxssmtss4q;5;34;2;iiolvosiuokkrl5iuoxcjo4p;dieixqamnhtsz5zeal6khos9g;home;1;DL;M. Edwards;;;;a9w6952jyw6x83gxp94zs8ro4;45,0;2,0
2;8p3y7tm4lzwp39tojonnohaay;6;56;2;iiolvosiuokkrl5iuoxcjo4p;dieixqamnhtsz5zeal6khos9g;home;1;DC;N. Jones;;;;;;
3;7pegcq6kh8s6naujxky714ys4;7;80;2;iiolvosiuokkrl5iuoxcjo4p;dieixqamnhtsz5zeal6khos9g;home;1;MR;N. Strellnauer;;;;;;
3;f1oc42nax0yel4gblge49py7e;8;45;2;iiolvosiuokkrl5iuoxcjo4p;dieixqamnhtsz5zeal6khos9g;home;1;MC;D. Amadou;;;;;;
4;ew8oodr9hiuqve7xlz24xznfu;9;39;2;iiolvosiuokkrl5iuoxcjo4p;dieixqamnhtsz5zeal6khos9g;home;1;FW;M. Vargas;;;;;;
4;btqe4tigm004n7dj039au2sfe;10;77;2;iiolvosiuokkrl5iuoxcjo4p;dieixqamnhtsz5zeal6khos9g;home;1;FW;D. Yapi;;;;28kg6zbpgbb8zrnhidogpxi0a;45,0;2,0
3;7gh46rkxaa7trgtp8lf1l591w;11;46;2;iiolvosiuokkrl5iuoxcjo4p;dieixqamnhtsz5zeal6khos9g;home;1;ML;F. Núñez;;;;6hh057kb54ovy3lqxo5bvxlhw;74,0;2,0
5;38z2cuwmbeanujqho9cqwozmy;0;40;2;iiolvosiuokkrl5iuoxcjo4p;dieixqamnhtsz5zeal6khos9g;home;1;Sub;R. Aguirre;etyqw24tl6zko0qarctyv6ane;74,0;2,0;;;
5;3gzatxlefe9axcrqyllbtrzmc;0;41;2;iiolvosiuokkrl5iuoxcjo4p;dieixqamnhtsz5zeal6khos9g;home;1;Sub;;;;;;;
5;a9w6952jyw6x83gxp94zs8ro4;0;44;2;iiolvosiuokkrl5iuoxcjo4p;dieixqamnhtsz5zeal6khos9g;home;1;Sub;J. Belluz;dw8iyfupgsqkt8ogxssmtss4q;45,0;2,0;;;
5;28kg6zbpgbb8zrnhidogpxi0a;0;47;2;iiolvosiuokkrl5iuoxcjo4p;dieixqamnhtsz5zeal6khos9g;home;1;Sub;A. Díaz;btqe4tigm004n7dj039au2sfe;45,0;2,0;;;
5;1ss7pdaxmlk0sijax5brwpkyy;0;48;2;iiolvosiuokkrl5iuoxcjo4p;dieixqamnhtsz5zeal6khos9g;home;1;Sub;;;;;;;
5;6hh057kb54ovy3lqxo5bvxlhw;0;49;2;iiolvosiuokkrl5iuoxcjo4p;dieixqamnhtsz5zeal6khos9g;home;1;Sub;A. García;7gh46rkxaa7trgtp8lf1l591w;74,0;2,0;;;
5;2pdh5wkdejywgaf38crbxzims;0;52;2;iiolvosiuokkrl5iuoxcjo4p;dieixqamnhtsz5zeal6khos9g;home;1;Sub;;;;;;;
5;4wu5ystem7t4d7veep83j2qne;0;53;2;iiolvosiuokkrl5iuoxcjo4p;dieixqamnhtsz5zeal6khos9g;home;1;Sub;S. Flores;86piuxs9tep01rcbsp3t8vx90;83,0;2,0;;;
5;63r5yw1u82xzwndp8c6rwvzoq;0;54;2;iiolvosiuokkrl5iuoxcjo4p;dieixqamnhtsz5zeal6khos9g;home;1;Sub;;;;;;;
