id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_TeamFormation;value_PlayerPosition;value_Captain;value_Involved;value_TeamKit;value_TeamPlayerFormation;value_Resume;value_JerseyNumber;value_DirectionOfPlay;value_KickOff;value_PassEndY;value_Length;value_Zone;value_PassEndX;value_Angle;value_LongBall;value_SwitchOfPlay;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_Chipped;value_Launch;value_Defensive;value_TouchTypeControl;value_Offensive;value_TakeOnSpace;value_TouchTypePass;value_LowGkIntervention;value_KeeperThrow;value_OverArm;value_IntendedTackleTarget;value_TakeOnOvertake;value_Overrun;value_LayOff;value_PlayersCaughtOffside;value_FreeKickTaken;value_Indirect;value_FlickOn;value_LeftFooted;value_Cross;value_OutSwinger;value_AttemptedTackle;value_Foul;value_Direct;value_DeletedEventType;value_NextEventGoalKick;value_GoalKick;value_Low;value_HeadPass;value_Shove/Push;value_RelatedEventId;value_OutOfPlay;value_TouchTypeClearance;value_Left;value_InSwinger;value_CornerTaken;value_RightFooted;value_Head;value_Right;value_HighGkIntervention;value_Deflection;value_GkX;value_FromCorner;value_NotAssisted;value_GoalShotGameClock;value_IndividualPlay;value_GkXTimeOfGoal;value_GoalmouthZ;value_OutOfBoxCentre;value_LowLeft;value_FirstTouch;value_GkY;value_GkYTimeOfGoal;value_GoalShotTimestamp;value_Volley;value_GoalmouthY;value_ThroughBall;value_Assist;value_RegularPlay;value_Assisted;value_1On1;value_BigChance;value_LowCentre;value_FollowsADribble;value_BoxCentre;value_NotVisible;value_IntentionalAssist;value_HighRight;value_BlockedPass;value_ShirtPull/Holding;value_Review;value_BlockedY;value_BlockedX;value_Blocked;value_DefBlock;value_HighCentre;value_FreeKick;value_Collected;value_Standing;value_Hands;value_DrinksBreak;value_RefereeDelay;value_BoxLeft;value_MediumGkIntervention;value_LeadingToGoal;value_RelatedError1Id;value_Tap;value_Defensive1V1;value_YellowCard;value_TacticalFoul;value_BlockedCross;value_Minutes;value_EndType;value_RecklessOffence;value_FloatedCross;value_Straight;value_SetPiece;value_High;value_HighLeft;value_BlockedClearance;value_HighClaim;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_Injury;value_InjuredPlayerId;value_CloseRight;value_NotPastGoalLine;value_SmallBoxCentre;value_Handball;value_TempMissed;value_OwnGoal;value_GkHoof;value_35Centre;value_AerialFoul;value_GoesToPenalties;value_Penalty;value_Scored;value_Diving;value_Second(2Nd)OppositeRelatedEventId;value_LowRight;value_Saved;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;value_CoachTypes;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2697343029;1;34;16;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;0,0;0,0;2024-06-23T00:00:51.293Z;2024-06-23T00:26:17Z;[{'id': 5084400545, 'qualifierId': 130, 'value': '13'}, {'id': 5084400541, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5084414639, 'qualifierId': 194, 'value': '1j010cibh247p8kjchww6ny3u'}, {'id': 5084400539, 'qualifierId': 30, 'value': '6agfr3usj1pblrbq2i9mdpmcq, rtca480n5ehey5ffvt8nudck, 939wjlo1zcnhfu6jy2px0zmui, 7al9w77ailhli8g487tkl32tw, 9nl0k91lrjonu0z2irbs01oiy, 1j010cibh247p8kjchww6ny3u, akgtib8zyv5lrvh9mxunj2rdg, 32c9e26wcnr5kmab8ep4zph5g, 19ckwd2oz9uyfjznuq2c41btg, 6ggqe5gi2w2jjclmbjev6dd78, 3h8rx5wumr7hktll4hnvx7or8, auomns9j08ffqknhs9007ju38, e7vsajjh4e7t51ciycjg0skd0, 3risld5mac5ns2rrv6namc2l0, f3bqitwkt3mitemcjd61hi044, 1iedtrzbcgj817i0ccin8dvro, da3mzb093sxf8i2xznedau8t0, 6girdg17h5o2qr8stoywy3vv8, fgue58g7u6f2c53ggb0r2oa2, 8vnnownnzz2ksuuitbw3ax5yi'}, {'id': 5084459395, 'qualifierId': 197, 'value': '23314'}, {'id': 5084400547, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5084400549, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5084400543, 'qualifierId': 59, 'value': '30, 27, 15, 6, 24, 5, 35, 50, 41, 10, 99, 2, 4, 7, 8, 16, 22, 34, 36, 51'}];;;;;djkwx4vdx0sd7suxod5vbivbo;Team set up;13,0;;;;23314,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;;;;;;;;;;0;0;0;Austin II;0;;
2697345577;1;34;16;0;0;d0c07im4a6oj8qa7f1zlt3pqs;1;0,0;0,0;2024-06-23T00:08:12.766Z;2024-06-23T01:39:44Z;[{'id': 5084415355, 'qualifierId': 194, 'value': 'd0riqrsz7ojwb9m94rbvx7r6y'}, {'id': 5084415349, 'qualifierId': 59, 'value': '1, 2, 3, 30, 4, 5, 8, 18, 9, 32, 10, 7, 17, 20, 25, 33, 35, 77'}, {'id': 5084415351, 'qualifierId': 130, 'value': '4'}, {'id': 5084415347, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5084415357, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5084415345, 'qualifierId': 30, 'value': '81a5mbcfvbxke0w3cbq65ld2i, 8ly83pm2mbtz4u7jwsv0o96qy, 9nlw8tihbzfnvkt5uproa79jo, 7m5wyvhq876dyap45egqs2tjo, ec3xdenc4ncg4sc8ni4kkyln8, d0riqrsz7ojwb9m94rbvx7r6y, 7nxqbiq6fics5w3qnwhz249as, ov91zkisppven9tp72gfbjf8, 4521gkm1oemvrfsgksz7b6zxm, elvrjpt1jlko4henaqvfid7o4, 641bsr9un81t6sds51fhvijh0, 53ufl7f1lbwnr7klx9ofxufbo, 35ds2xu43z6jccyhlr8jsomzu, dcypf9mqtlcn5wetj1z7g3mui, 9yldym4386a2icfk6qb6i90r8, 3dtt0czm41hnuw8mvyn14ys4, 5rusq0uqak1y920vdwpg2f190, 4o2lk5bkmyxe8ji3lqjo69qtw'}, {'id': 5084513789, 'qualifierId': 197, 'value': '23347'}, {'id': 5084415353, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}];;;;;djkwx4vdx0sd7suxod5vbivbo;Team set up;4,0;;;;23347,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;;0;0;0;North Texas;0;;
2697362749;2;32;1;0;0;d0c07im4a6oj8qa7f1zlt3pqs;1;0,0;0,0;2024-06-23T00:49:46.743Z;2024-06-23T00:49:49Z;[{'id': 5084513623, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;djkwx4vdx0sd7suxod5vbivbo;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;away;;;;;;;;;;0;0;0;North Texas;0;;
2697362737;3;32;1;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;0,0;0,0;2024-06-23T00:49:46.743Z;2024-06-25T07:12:47Z;[{'id': 5084513557, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;djkwx4vdx0sd7suxod5vbivbo;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;;;;;;;;;;0;0;0;Austin II;0;;
2697362793;4;1;1;0;1;99l7fsj6ykgbyqcb9zqqu9dgq;1;49,9;50,3;2024-06-23T00:49:47.744Z;2024-06-25T07:29:11Z;[{'id': 5084513843, 'qualifierId': 279, 'value': 'S'}, {'id': 5084513837, 'qualifierId': 141, 'value': '34.2'}, {'id': 5084513839, 'qualifierId': 212, 'value': '27.5'}, {'id': 5084513833, 'qualifierId': 56, 'value': 'Back'}, {'id': 5084513835, 'qualifierId': 140, 'value': '25.9'}, {'id': 5084513841, 'qualifierId': 213, 'value': '3.55'}];19ckwd2oz9uyfjznuq2c41btg;T. Scott;;;djkwx4vdx0sd7suxod5vbivbo;Pass;;;;;;;;;;;34,2;27,5;;25,9;3,55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;25,9;34,2;;;;;;;;0;0;1;Austin II;1;FW;1,0
2697362853;5;1;1;0;4;99l7fsj6ykgbyqcb9zqqu9dgq;1;26,4;32,2;2024-06-23T00:49:51.420Z;2024-06-23T00:49:56Z;[{'id': 5084514181, 'qualifierId': 56, 'value': 'Back'}, {'id': 5084514187, 'qualifierId': 212, 'value': '33.7'}, {'id': 5084514185, 'qualifierId': 141, 'value': '81.5'}, {'id': 5084514183, 'qualifierId': 140, 'value': '30.0'}, {'id': 5084514191, 'qualifierId': 1}, {'id': 5084514189, 'qualifierId': 213, 'value': '1.46'}];1j010cibh247p8kjchww6ny3u;N. Gordon;;;djkwx4vdx0sd7suxod5vbivbo;Pass;;;;;;;;;;;81,5;33,7;;30,0;1,46;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;30,0;81,5;;;;;;;;0;0;4;Austin II;4;DC;1,0
2697362893;6;1;1;0;9;99l7fsj6ykgbyqcb9zqqu9dgq;1;29,9;80,8;2024-06-23T00:49:56.732Z;2024-06-23T00:50:00Z;[{'id': 5084514457, 'qualifierId': 212, 'value': '15.9'}, {'id': 5084514459, 'qualifierId': 213, 'value': '4.47'}, {'id': 5084514453, 'qualifierId': 140, 'value': '26.2'}, {'id': 5084514455, 'qualifierId': 141, 'value': '58.1'}, {'id': 5084514451, 'qualifierId': 56, 'value': 'Back'}];7al9w77ailhli8g487tkl32tw;M. Westergren;;;djkwx4vdx0sd7suxod5vbivbo;Pass;;;;;;;;;;;58,1;15,9;;26,2;4,47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;26,2;58,1;;;;;;;;0;0;9;Austin II;9;DC;1,0
2697362937;7;1;1;0;13;99l7fsj6ykgbyqcb9zqqu9dgq;1;26,2;58,1;2024-06-23T00:50:00.636Z;2024-06-25T07:29:32Z;[{'id': 5084514679, 'qualifierId': 1}, {'id': 5084514673, 'qualifierId': 141, 'value': '1.3'}, {'id': 5084514677, 'qualifierId': 213, 'value': '5.32'}, {'id': 5084514669, 'qualifierId': 56, 'value': 'Right'}, {'id': 5084514675, 'qualifierId': 212, 'value': '47.1'}, {'id': 5084514671, 'qualifierId': 140, 'value': '51.9'}];9nl0k91lrjonu0z2irbs01oiy;A. Korça;;;djkwx4vdx0sd7suxod5vbivbo;Pass;;;;;;;;;;;1,3;47,1;;51,9;5,32;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;51,9;1,3;;;;;;;;0;0;13;Austin II;13;DC;1,0
2697362963;8;1;1;0;17;99l7fsj6ykgbyqcb9zqqu9dgq;1;50,8;2,3;2024-06-23T00:50:04.556Z;2024-06-23T00:50:07Z;[{'id': 5084514765, 'qualifierId': 56, 'value': 'Back'}, {'id': 5084514775, 'qualifierId': 213, 'value': '2.39'}, {'id': 5084514767, 'qualifierId': 140, 'value': '41.4'}, {'id': 5084514769, 'qualifierId': 141, 'value': '15.8'}, {'id': 5084514773, 'qualifierId': 212, 'value': '13.5'}];rtca480n5ehey5ffvt8nudck;H. Endeley;;;djkwx4vdx0sd7suxod5vbivbo;Pass;;;;;;;;;;;15,8;13,5;;41,4;2,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;41,4;15,8;;;;;;;;0;0;17;Austin II;17;DMR;1,0
2697362981;9;1;1;0;20;99l7fsj6ykgbyqcb9zqqu9dgq;1;43,0;17,7;2024-06-23T00:50:07.564Z;2024-06-25T07:29:45Z;[{'id': 5084514833, 'qualifierId': 141, 'value': '16.5'}, {'id': 5084514829, 'qualifierId': 56, 'value': 'Back'}, {'id': 5084514835, 'qualifierId': 212, 'value': '19.9'}, {'id': 5084514831, 'qualifierId': 140, 'value': '24.1'}, {'id': 5084514837, 'qualifierId': 213, 'value': '3.18'}];32c9e26wcnr5kmab8ep4zph5g;D. García;;;djkwx4vdx0sd7suxod5vbivbo;Pass;;;;;;;;;;;16,5;19,9;;24,1;3,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;24,1;16,5;;;;;;;;0;0;20;Austin II;20;MC;1,0
