field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;6agfr3usj1pblrbq2i9mdpmcq;1;30;13;99l7fsj6ykgbyqcb9zqqu9dgq;djkwx4vdx0sd7suxod5vbivbo;home;1;GK;M. Collodi;;;;;;
3;rtca480n5ehey5ffvt8nudck;2;27;13;99l7fsj6ykgbyqcb9zqqu9dgq;djkwx4vdx0sd7suxod5vbivbo;home;1;DMR;H. Endeley;;;;3risld5mac5ns2rrv6namc2l0;67,0;2,0
3;939wjlo1zcnhfu6jy2px0zmui;3;15;13;99l7fsj6ykgbyqcb9zqqu9dgq;djkwx4vdx0sd7suxod5vbivbo;home;1;DML;I. Parker;;;;;;
2;7al9w77ailhli8g487tkl32tw;4;6;13;99l7fsj6ykgbyqcb9zqqu9dgq;djkwx4vdx0sd7suxod5vbivbo;home;1;DC;M. Westergren;;;;;;
2;9nl0k91lrjonu0z2irbs01oiy;5;24;13;99l7fsj6ykgbyqcb9zqqu9dgq;djkwx4vdx0sd7suxod5vbivbo;home;1;DC;A. Korça;;;;e7vsajjh4e7t51ciycjg0skd0;89,0;2,0
2;1j010cibh247p8kjchww6ny3u;6;5;13;99l7fsj6ykgbyqcb9zqqu9dgq;djkwx4vdx0sd7suxod5vbivbo;home;1;DC;N. Gordon;;;;;;
3;akgtib8zyv5lrvh9mxunj2rdg;7;35;13;99l7fsj6ykgbyqcb9zqqu9dgq;djkwx4vdx0sd7suxod5vbivbo;home;1;MC;T. Pondeca;;;;;;
3;32c9e26wcnr5kmab8ep4zph5g;8;50;13;99l7fsj6ykgbyqcb9zqqu9dgq;djkwx4vdx0sd7suxod5vbivbo;home;1;MC;D. García;;;;;;
4;19ckwd2oz9uyfjznuq2c41btg;9;41;13;99l7fsj6ykgbyqcb9zqqu9dgq;djkwx4vdx0sd7suxod5vbivbo;home;1;FW;T. Scott;;;;1iedtrzbcgj817i0ccin8dvro;89,0;2,0
4;6ggqe5gi2w2jjclmbjev6dd78;10;10;13;99l7fsj6ykgbyqcb9zqqu9dgq;djkwx4vdx0sd7suxod5vbivbo;home;1;FWR;Pedrinho;;;;;;
