field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;bvtvko74cyeqe297mp6shrf2s;1;21;2;4g68p0t2f5jzhzfr67i2rj1ex;dml7kxkvg6jb3jn28ux2v7ms4;away;1;GK;A. Stokes;;;;;;
2;6rgdv71lxh4cpz487ygvy5nv8;2;45;2;4g68p0t2f5jzhzfr67i2rj1ex;dml7kxkvg6jb3jn28ux2v7ms4;away;1;DR;C. Berkley;;;;5gd78gkv3k39vofarmapgeuj8;60,0;2,0
2;nhhmltlm3ayn7vqmp6etck5w;3;24;2;4g68p0t2f5jzhzfr67i2rj1ex;dml7kxkvg6jb3jn28ux2v7ms4;away;1;DC;C. Ofori;;;;;;
3;8q2wozyqz4nveabn71hc614dm;4;65;2;4g68p0t2f5jzhzfr67i2rj1ex;dml7kxkvg6jb3jn28ux2v7ms4;away;1;MC;S. Sserwadda;;;;;;
2;59kitnlge8bjsxmhy850bsutw;5;34;2;4g68p0t2f5jzhzfr67i2rj1ex;dml7kxkvg6jb3jn28ux2v7ms4;away;1;DL;J. Gutierrez;;;;;;
2;e2tuar1frliervcr2mnmvfspg;6;23;2;4g68p0t2f5jzhzfr67i2rj1ex;dml7kxkvg6jb3jn28ux2v7ms4;away;1;DC;A. O'Connor;;;;4gp2d7oltfq4uwzj78gr6q9sk;87,0;2,0
3;ov4fk38lrcculu6tdbnrto2c;7;90;2;4g68p0t2f5jzhzfr67i2rj1ex;dml7kxkvg6jb3jn28ux2v7ms4;away;1;MR;M. Dembele;;;;;;
3;5u3ohty1lsm0fn2ltez4g7o5w;8;91;2;4g68p0t2f5jzhzfr67i2rj1ex;dml7kxkvg6jb3jn28ux2v7ms4;away;1;MC;B. Estrela;;;;80p7shawtxjiydizsg5fo5a1g;60,0;2,0
4;65g50zt5gbo1lnrbc7uvwsbo4;9;66;2;4g68p0t2f5jzhzfr67i2rj1ex;dml7kxkvg6jb3jn28ux2v7ms4;away;1;FW;T. Rosborough;;;;d49aa9fx8oddpsucnnicby8k;87,0;2,0
4;4akvdujqbywk628gok9xbh2j8;10;97;2;4g68p0t2f5jzhzfr67i2rj1ex;dml7kxkvg6jb3jn28ux2v7ms4;away;1;FW;F. Ssebufu;;;;;;
3;e4rpnf90oa672lcm8ego7vllg;11;79;2;4g68p0t2f5jzhzfr67i2rj1ex;dml7kxkvg6jb3jn28ux2v7ms4;away;1;ML;R. Mosquera;;;;8u0efvao8rym6mdx0tl0h0qac;73,0;2,0
