field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;8h2vywep73yn25kus2nda8ga2;1;99;8;479lsfr4cwlzewpbuda3y2xv4;dmypqxuppleh24mg496apb9jo;home;1;GK;C. Mercado;;;;;;
2;6g7i7z6m8vts105dny1g6z3hm;2;30;8;479lsfr4cwlzewpbuda3y2xv4;dmypqxuppleh24mg496apb9jo;home;1;DR;A. Freeman;;;;25rizu4n91uyax4z6l5jv6dqs;81,0;2,0
2;37uh4n2zngcixlzo8vnk50vtg;3;96;8;479lsfr4cwlzewpbuda3y2xv4;dmypqxuppleh24mg496apb9jo;home;1;DC;Z. Taifi;;;;;;
3;i5wj5hcg2r9934e7gauxtgmi;4;53;8;479lsfr4cwlzewpbuda3y2xv4;dmypqxuppleh24mg496apb9jo;home;1;MC;I. Almaguer;;;;;;
2;ex99a6zbacpkkhgvynu80qpzo;5;54;8;479lsfr4cwlzewpbuda3y2xv4;dmypqxuppleh24mg496apb9jo;home;1;DL;N. Kibunguchy;;;;;;
2;4jkf81djj5h43v8rlnib1tizu;6;68;8;479lsfr4cwlzewpbuda3y2xv4;dmypqxuppleh24mg496apb9jo;home;1;DC;T. Williams;;;;;;
3;p99ze5cksh5tv01knf5oj33e;7;49;8;479lsfr4cwlzewpbuda3y2xv4;dmypqxuppleh24mg496apb9jo;home;1;AMR;J. Solís;;;;;;
3;9bv0zjyrsopyv3hw8m47sgr9w;8;56;8;479lsfr4cwlzewpbuda3y2xv4;dmypqxuppleh24mg496apb9jo;home;1;MC;C. Guske;;;;;;
4;aa4v8xfn3ra4digk5h7gdrbze;9;32;8;479lsfr4cwlzewpbuda3y2xv4;dmypqxuppleh24mg496apb9jo;home;1;FW;W. Rivera;;;;;;
3;7tpb4dk9meee0utyu4cosnxn8;10;23;8;479lsfr4cwlzewpbuda3y2xv4;dmypqxuppleh24mg496apb9jo;home;1;AMC;S. Mohammed;;;;;;
3;brzi1qy5hkx7zhxhjykg8ox78;11;66;8;479lsfr4cwlzewpbuda3y2xv4;dmypqxuppleh24mg496apb9jo;home;1;AML;Y. Valencia;;;;;;
5;c2b6h5zwjvzdvdcybyuqd6exg;0;59;8;479lsfr4cwlzewpbuda3y2xv4;dmypqxuppleh24mg496apb9jo;home;1;Sub;;;;;;;
5;595bi39ikp8s9sfw6q5981mvo;0;62;8;479lsfr4cwlzewpbuda3y2xv4;dmypqxuppleh24mg496apb9jo;home;1;Sub;;;;;;;
5;bvb7i5n0j5ltqkv991p40r8yc;0;61;8;479lsfr4cwlzewpbuda3y2xv4;dmypqxuppleh24mg496apb9jo;home;1;Sub;;;;;;;
5;7duzjflajla2xqvesalgjoy6s;0;88;8;479lsfr4cwlzewpbuda3y2xv4;dmypqxuppleh24mg496apb9jo;home;1;Sub;;;;;;;
5;25rizu4n91uyax4z6l5jv6dqs;0;95;8;479lsfr4cwlzewpbuda3y2xv4;dmypqxuppleh24mg496apb9jo;home;1;Sub;F. Loyola;6g7i7z6m8vts105dny1g6z3hm;81,0;2,0;;;
5;9g0pycttkbuyuetispcb2hij8;0;97;8;479lsfr4cwlzewpbuda3y2xv4;dmypqxuppleh24mg496apb9jo;home;1;Sub;;;;;;;
1;cu84s15ig7u7g9iwwcff82yuh;1;22;4;erwnez7ksfkns4dqmyr1fhbe;dmypqxuppleh24mg496apb9jo;away;1;GK;J. Cohen;;;;;;
2;cbjd834y2hdx5jr3bda1zz6ga;2;52;4;erwnez7ksfkns4dqmyr1fhbe;dmypqxuppleh24mg496apb9jo;away;1;DR;E. Centeno;;;;;;
2;bjk2ns3xadow18v3tkvqqrkh6;3;75;4;erwnez7ksfkns4dqmyr1fhbe;dmypqxuppleh24mg496apb9jo;away;1;DC;J. Williams;;;;3uzxhd8g0jnft5xcd59yztm95;76,0;2,0
3;d5kcfgycj51y6aw82r38sl7o4;4;86;4;erwnez7ksfkns4dqmyr1fhbe;dmypqxuppleh24mg496apb9jo;away;1;MC;Javier Armas;;;;;;
2;5c7gqtyra887hjyg502tvzn1m;5;47;4;erwnez7ksfkns4dqmyr1fhbe;dmypqxuppleh24mg496apb9jo;away;1;DL;M. Edwards;;;;f69xf0cdfn1qe63t5tr5in10;85,0;2,0
2;3lafo3mzfkp2kmf2fj8d6lnv8;6;38;4;erwnez7ksfkns4dqmyr1fhbe;dmypqxuppleh24mg496apb9jo;away;1;DC;E. Dudley;;;;;;
3;216tgeofjnxr75ehcftkvxkpg;7;23;4;erwnez7ksfkns4dqmyr1fhbe;dmypqxuppleh24mg496apb9jo;away;1;MC;A. Torres;;;;2iz7apzo49byqz0ws65h9d7v8;45,0;2,0
3;6ahu72g0u39bxbjiz7ggefai1;8;45;4;erwnez7ksfkns4dqmyr1fhbe;dmypqxuppleh24mg496apb9jo;away;1;MC;N. Okello;;;;;;
4;ax2y5fvc4dzwn4qkxrfutapsk;9;62;4;erwnez7ksfkns4dqmyr1fhbe;dmypqxuppleh24mg496apb9jo;away;1;FW;A. Gordon;;;;eg5gobm8zylt21enud00dfnmy;60,0;2,0
4;7y5v3oex0pnupaahm8arguluc;10;55;4;erwnez7ksfkns4dqmyr1fhbe;dmypqxuppleh24mg496apb9jo;away;1;FWR;M. Gallardo;;;;astn4ytzoaav30ifi17s4dn8;60,0;2,0
4;1b9b97pxox77ia41cilqqm4iy;11;30;4;erwnez7ksfkns4dqmyr1fhbe;dmypqxuppleh24mg496apb9jo;away;1;FWL;Nick Firmino;;;;;;
5;3uzxhd8g0jnft5xcd59yztm95;0;36;4;erwnez7ksfkns4dqmyr1fhbe;dmypqxuppleh24mg496apb9jo;away;1;Sub;R. Qawasmy;bjk2ns3xadow18v3tkvqqrkh6;76,0;2,0;;;
5;astn4ytzoaav30ifi17s4dn8;0;41;4;erwnez7ksfkns4dqmyr1fhbe;dmypqxuppleh24mg496apb9jo;away;1;Sub;A. Carleton;7y5v3oex0pnupaahm8arguluc;60,0;2,0;;;
