id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Involved;value_TeamFormation;value_JerseyNumber;value_TeamKit;value_TeamPlayerFormation;value_Resume;value_Captain;value_PlayerPosition;value_DirectionOfPlay;value_Zone;value_Length;value_Angle;value_PassEndY;value_PassEndX;value_KickOff;value_Launch;value_LongBall;value_NextEventGoalKick;value_OppositeRelatedEventId;value_GoalKick;value_Low;value_Offensive;value_Defensive;value_OutOfPlay;value_TouchTypeClearance;value_DeletedEventType;value_NextEventThrowIn;value_ThrowIn;value_TakeOnSpace;value_Direct;value_Foul;value_Shove/Push;value_FreeKickTaken;value_IntendedTackleTarget;value_IntentionalAssist;value_Assist;value_Chipped;value_BlockedX;value_RegularPlay;value_GkY;value_RelatedEventId;value_LowCentre;value_FirstTouch;value_Assisted;value_BlockedY;value_Blocked;value_SmallBoxCentre;value_GkX;value_SixYardBlocked;value_GoalmouthY;value_Head;value_GoalmouthZ;value_DefBlock;value_Left;value_CornerTaken;value_Cross;value_InSwinger;value_RightFooted;value_Right;value_OutSwinger;value_TakeOnOvertake;value_BoxCentre;value_HighLeft;value_ParriedSafe;value_HighGkIntervention;value_Hands;value_Reaching;value_FloatedCross;value_Straight;value_High;value_LayOff;value_BlockedPass;value_ShirtPull/Holding;value_TouchTypeControl;value_SwitchOfPlay;value_AttemptedTackle;value_HeadPass;value_PullBack;value_TouchTypePass;value_OutOfBoxCentre;value_Volley;value_NotAssisted;value_IndividualPlay;value_MisHit;value_NotVisible;value_FromCorner;value_HighClaim;value_KeeperThrow;value_OverArm;value_LowLeft;value_Collected;value_Diving;value_LowGkIntervention;value_Overrun;value_Injury;value_InjuredPlayerId;value_PlayersCaughtOffside;value_AerialFoul;value_Indirect;value_FlickOn;value_LeftFooted;value_Defensive1V1;value_BigChance;value_GkXTimeOfGoal;value_GoalShotGameClock;value_GkYTimeOfGoal;value_GoalShotTimestamp;value_Obstruction;value_MediumGkIntervention;value_OwnPlayer;value_OwnShotBlocked;value_SmallBoxLeft;value_CloseLeft;value_Minutes;value_Standing;value_ParriedDanger;value_EndType;value_FastBreak;value_BoxLeft;value_OverhitCross;value_Handball;value_HighRight;value_BoxRight;value_Deflection;value_RecklessOffence;value_YellowCard;value_LowRight;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_SwerveLeft;value_FreeKick;value_OtherBodyPart;value_HighCentre;value_BlockedCross;value_PenaltyTakerId;value_Penalty;value_Second(2Nd)OppositeRelatedEventId;value_CausingPlayer;value_FantasyAssistId;value_Scored;value_GkKickFromHands;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2698321575;1;34;16;0;0;6gaq85erpkvbyxvivd96wuw44;1;0,0;0,0;2024-06-29T01:48:29.088Z;2024-06-29T02:41:54Z;[{'id': 5089793459, 'qualifierId': 30, 'value': 'd4xd9fxqjwfe7x46byn60dx49, 24rxb4eeoakxkmritog6a7x90, 4x8eu2y112ini9hx6b72bh46i, 8f5h44hnjdt4rdflu8qqhx5d6, e2912gyiutvn3aky0z9ijz384, do2o6ka25talswmmillufejqi, ajxa2yfzwct5nd0ded1sa9vmy, 6mm2h3x9hmyea3bu2wt80uo7o, cuxpxs76g96vwhrnhw9rw2ihg, 18b4rpeia26xq688ieqaw2z2s, 3fbekr02uy605ppv5pzw9321g, a0vc8g0evrfmws5en2229h5as, d1w4zs63sx3cc7wnc8wshbfv8, 1efr6u06hvhm9drygb9qsi92i, aqfi30ki1v3wczywxu79ufqj8, 5reylt0uyetl6qavkvd8inai'}, {'id': 5089793465, 'qualifierId': 130, 'value': '4'}, {'id': 5089793463, 'qualifierId': 59, 'value': '31, 32, 73, 36, 65, 43, 40, 70, 49, 77, 81, 47, 46, 48, 51, 55'}, {'id': 5089825377, 'qualifierId': 197, 'value': '18751'}, {'id': 5089793467, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0'}, {'id': 5089793471, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5089793469, 'qualifierId': 194, 'value': 'do2o6ka25talswmmillufejqi'}, {'id': 5089793461, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5'}];;;;;doib55x7ijkckxo0p96byow0k;Team set up;;4,0;;18751,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;;;;;;;;;;0;0;0;Colorado Rapids II;0;;
2698321951;1;34;16;0;0;iiolvosiuokkrl5iuoxcjo4p;1;0,0;0,0;2024-06-29T01:51:19.375Z;2024-06-29T05:15:34Z;[{'id': 5089868317, 'qualifierId': 197, 'value': '23380'}, {'id': 5089795517, 'qualifierId': 59, 'value': '41, 53, 72, 39, 44, 56, 45, 42, 47, 49, 46, 40, 48, 51, 52, 55, 57, 80'}, {'id': 5089795519, 'qualifierId': 130, 'value': '4'}, {'id': 5089795513, 'qualifierId': 30, 'value': '3gzatxlefe9axcrqyllbtrzmc, 4wu5ystem7t4d7veep83j2qne, am8ndwmm4m03ys6wkad29lst0, ew8oodr9hiuqve7xlz24xznfu, a9w6952jyw6x83gxp94zs8ro4, 8p3y7tm4lzwp39tojonnohaay, f1oc42nax0yel4gblge49py7e, etyqw24tl6zko0qarctyv6ane, 28kg6zbpgbb8zrnhidogpxi0a, 6hh057kb54ovy3lqxo5bvxlhw, 7gh46rkxaa7trgtp8lf1l591w, 38z2cuwmbeanujqho9cqwozmy, 1ss7pdaxmlk0sijax5brwpkyy, 7vhhtm49u9nzdpc9d60empxxw, 2pdh5wkdejywgaf38crbxzims, 86piuxs9tep01rcbsp3t8vx90, 1p1ektnr3l7lj518cbs2dnmdw, 7pegcq6kh8s6naujxky714ys4'}, {'id': 5089795515, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5089795525, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5089795523, 'qualifierId': 194, 'value': 'ew8oodr9hiuqve7xlz24xznfu'}, {'id': 5089795521, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}];;;;;doib55x7ijkckxo0p96byow0k;Team set up;;4,0;;23380,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;;;;;;;;;;0;0;0;Los Angeles II;0;;
2698327247;2;32;1;0;0;6gaq85erpkvbyxvivd96wuw44;1;0,0;0,0;2024-06-29T02:35:01.408Z;2024-06-30T05:49:52Z;[{'id': 5089825817, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;doib55x7ijkckxo0p96byow0k;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;;;;;;;;;;0;0;0;Colorado Rapids II;0;;
2698327245;2;32;1;0;0;iiolvosiuokkrl5iuoxcjo4p;1;0,0;0,0;2024-06-29T02:35:01.408Z;2024-06-29T02:35:01Z;[{'id': 5089825815, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;doib55x7ijkckxo0p96byow0k;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;;;;;;;;;;0;0;0;Los Angeles II;0;;
2698327259;3;1;1;0;0;6gaq85erpkvbyxvivd96wuw44;1;50,2;49,7;2024-06-29T02:35:01.409Z;2024-06-29T02:35:11Z;[{'id': 5089825875, 'qualifierId': 56, 'value': 'Back'}, {'id': 5089825881, 'qualifierId': 212, 'value': '28.2'}, {'id': 5089825883, 'qualifierId': 213, 'value': '3.14'}, {'id': 5089825879, 'qualifierId': 141, 'value': '49.7'}, {'id': 5089825877, 'qualifierId': 140, 'value': '23.3'}, {'id': 5089825885, 'qualifierId': 279, 'value': 'S'}];cuxpxs76g96vwhrnhw9rw2ihg;J. Hernandez;;;doib55x7ijkckxo0p96byow0k;Pass;;;;;;;;;;;28,2;3,14;49,7;23,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;23,3;49,7;;;;;;;;0;0;0;Colorado Rapids II;0;FW;1,0
2698327263;4;1;1;0;2;6gaq85erpkvbyxvivd96wuw44;0;27,7;50,0;2024-06-29T02:35:03.938Z;2024-06-30T05:49:14Z;[{'id': 5089825893, 'qualifierId': 157}, {'id': 5089825901, 'qualifierId': 212, 'value': '78.1'}, {'id': 5089825895, 'qualifierId': 56, 'value': 'Center'}, {'id': 5089825903, 'qualifierId': 213, 'value': '6.15'}, {'id': 5089825897, 'qualifierId': 140, 'value': '100.0'}, {'id': 5089825899, 'qualifierId': 141, 'value': '34.6'}, {'id': 5089825905, 'qualifierId': 1}];8f5h44hnjdt4rdflu8qqhx5d6;T. Musto;;;doib55x7ijkckxo0p96byow0k;Pass;;;;;;;;;;;78,1;6,15;34,6;100,0;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;100,0;34,6;;;;;;;;0;0;2;Colorado Rapids II;2;MC;1,0
2698327261;3;5;1;0;9;iiolvosiuokkrl5iuoxcjo4p;1;-1,2;68,8;2024-06-29T02:35:11.176Z;2024-06-29T02:35:12Z;[{'id': 5089825891, 'qualifierId': 346}, {'id': 5089825889, 'qualifierId': 56, 'value': 'Back'}, {'id': 5089825913, 'qualifierId': 233, 'value': '5'}];6hh057kb54ovy3lqxo5bvxlhw;A. García;;;doib55x7ijkckxo0p96byow0k;Out;;;;;;;;;;;;;;;;;;1,0;5,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;;;;;;;;;;0;0;9;Los Angeles II;9;FWR;1,0
2698327265;5;5;1;0;9;6gaq85erpkvbyxvivd96wuw44;0;101,2;31,2;2024-06-29T02:35:11.176Z;2024-06-29T04:54:11Z;[{'id': 5089825917, 'qualifierId': 233, 'value': '3'}, {'id': 5089825911, 'qualifierId': 346}, {'id': 5089825907, 'qualifierId': 56, 'value': 'Center'}];8f5h44hnjdt4rdflu8qqhx5d6;T. Musto;;;doib55x7ijkckxo0p96byow0k;Out;;;;;;;;;;;;;;;;;;1,0;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;;;;;;;;;;0;0;9;Colorado Rapids II;9;MC;1,0
2698327273;4;1;1;0;16;iiolvosiuokkrl5iuoxcjo4p;1;2,2;53,7;2024-06-29T02:35:17.478Z;2024-06-29T02:35:19Z;[{'id': 5089825985, 'qualifierId': 212, 'value': '10.4'}, {'id': 5089825979, 'qualifierId': 56, 'value': 'Back'}, {'id': 5089825983, 'qualifierId': 141, 'value': '66.4'}, {'id': 5089825977, 'qualifierId': 124}, {'id': 5089825987, 'qualifierId': 213, 'value': '0.98'}, {'id': 5089825991, 'qualifierId': 237}, {'id': 5089825981, 'qualifierId': 140, 'value': '7.7'}];3gzatxlefe9axcrqyllbtrzmc;E. Bandré;;;doib55x7ijkckxo0p96byow0k;Pass;;;;;;;;;;;10,4;0,98;66,4;7,7;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;7,7;66,4;;;;;;;;0;0;16;Los Angeles II;16;GK;1,0
2698327283;5;1;1;0;18;iiolvosiuokkrl5iuoxcjo4p;1;9,7;66,1;2024-06-29T02:35:19.542Z;2024-06-29T02:35:22Z;[{'id': 5089826057, 'qualifierId': 213, 'value': '4.72'}, {'id': 5089826051, 'qualifierId': 141, 'value': '38.2'}, {'id': 5089826055, 'qualifierId': 212, 'value': '19.0'}, {'id': 5089826049, 'qualifierId': 140, 'value': '9.9'}, {'id': 5089826047, 'qualifierId': 56, 'value': 'Back'}];8p3y7tm4lzwp39tojonnohaay;N. Jones;;;doib55x7ijkckxo0p96byow0k;Pass;;;;;;;;;;;19,0;4,72;38,2;9,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;9,9;38,2;;;;;;;;0;0;18;Los Angeles II;18;DC;1,0
