field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;bvtvko74cyeqe297mp6shrf2s;1;21;2;4g68p0t2f5jzhzfr67i2rj1ex;dr5o3k45kkpjio3brcpijni1g;home;1;GK;A. Stokes;;;;;;
2;5gd78gkv3k39vofarmapgeuj8;2;20;2;4g68p0t2f5jzhzfr67i2rj1ex;dr5o3k45kkpjio3brcpijni1g;home;1;DR;J. Mina;;;;;;
2;nhhmltlm3ayn7vqmp6etck5w;3;24;2;4g68p0t2f5jzhzfr67i2rj1ex;dr5o3k45kkpjio3brcpijni1g;home;1;DC;C. Ofori;;;;d49aa9fx8oddpsucnnicby8k;60,0;2,0
3;80p7shawtxjiydizsg5fo5a1g;4;77;2;4g68p0t2f5jzhzfr67i2rj1ex;dr5o3k45kkpjio3brcpijni1g;home;1;MC;A. Mehmeti;;;;8q2wozyqz4nveabn71hc614dm;54,0;2,0
2;59kitnlge8bjsxmhy850bsutw;5;34;2;4g68p0t2f5jzhzfr67i2rj1ex;dr5o3k45kkpjio3brcpijni1g;home;1;DL;J. Gutierrez;;;;;;
2;e2tuar1frliervcr2mnmvfspg;6;23;2;4g68p0t2f5jzhzfr67i2rj1ex;dr5o3k45kkpjio3brcpijni1g;home;1;DC;A. O'Connor;;;;;;
3;ov4fk38lrcculu6tdbnrto2c;7;90;2;4g68p0t2f5jzhzfr67i2rj1ex;dr5o3k45kkpjio3brcpijni1g;home;1;MR;M. Dembele;;;;;;
3;5u3ohty1lsm0fn2ltez4g7o5w;8;91;2;4g68p0t2f5jzhzfr67i2rj1ex;dr5o3k45kkpjio3brcpijni1g;home;1;MC;B. Estrela;;;;;;
4;4akvdujqbywk628gok9xbh2j8;9;97;2;4g68p0t2f5jzhzfr67i2rj1ex;dr5o3k45kkpjio3brcpijni1g;home;1;FW;F. Ssebufu;;;;;;
4;8y7kqet5swj9dmqama0z5ngus;10;16;2;4g68p0t2f5jzhzfr67i2rj1ex;dr5o3k45kkpjio3brcpijni1g;home;1;FW;J. Hall;;;;65g50zt5gbo1lnrbc7uvwsbo4;54,0;2,0
