id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_JerseyNumber;value_TeamFormation;value_Resume;value_Captain;value_TeamKit;value_TeamPlayerFormation;value_Involved;value_PlayerPosition;value_DirectionOfPlay;value_Length;value_Angle;value_KickOff;value_Zone;value_PassEndY;value_PassEndX;value_Offensive;value_Overrun;value_TakeOnOvertake;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_Chipped;value_LongBall;value_HeadPass;value_Launch;value_LayOff;value_IntendedTackleTarget;value_OutOfPlay;value_TouchTypeClearance;value_Defensive;value_Defensive1V1;value_TakeOnSpace;value_AttemptedTackle;value_Direct;value_Foul;value_FreeKickTaken;value_BlockedPass;value_NextEventGoalKick;value_GoalKick;value_Low;value_ThroughBall;value_IntentionalAssist;value_Assist;value_RegularPlay;value_GkX;value_RelatedEventId;value_RightFooted;value_GkY;value_BoxLeft;value_IndividualPlay;value_BlockedY;value_Blocked;value_BlockedX;value_LowCentre;value_Assisted;value_GoalmouthY;value_GoalmouthZ;value_DefBlock;value_FirstTouch;value_NotAssisted;value_LeftFooted;value_OutOfBoxCentre;value_LowRight;value_DeletedEventType;value_BoxCentre;value_LowGkIntervention;value_ParriedSafe;value_Diving;value_Hands;value_Left;value_Right;value_CornerTaken;value_TouchTypeControl;value_TouchTypePass;value_ShirtPull/Holding;value_TacticalFoul;value_YellowCard;value_Head;value_HighGkIntervention;value_HighClaim;value_Shove/Push;value_Cross;value_OutSwinger;value_KeeperThrow;value_InSwinger;value_OverArm;value_PullBack;value_GoalShotTimestamp;value_GoalShotGameClock;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_Deflection;value_SmallBoxRight;value_BigChance;value_HighRight;value_LowLeft;value_LeadingToAttempt;value_RelatedError1Id;value_ParriedDanger;value_Weak;value_CloseHigh;value_NotPastGoalLine;value_1On1;value_FreeKick;value_SwerveLeft;value_Collected;value_PlayersCaughtOffside;value_Indirect;value_SwitchOfPlay;value_LastLine;value_CloseRight;value_Injury;value_InjuredPlayerId;value_Minutes;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_CaptainChange;value_Unchallenged;value_ByWall;value_EndType;value_Tactical;value_NotVisible;value_OtherObstacle;value_OutOfBoxDeepLeft;value_Standing;value_MediumGkIntervention;value_SmallBoxCentre;value_High;value_RecklessOffence;value_KeeperTouched;value_Tap;value_SoloRun;value_Stooping;value_FastBreak;value_BlockedCross;value_FromCorner;value_SetPiece;value_SwerveRight;value_GkKickFromHands;value_GkHoof;value_Volley;value_CloseLeft;value_FromShotOffTarget;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2699106461;1;34;16;0;0;1pc6sx2h4rp113ldkbp5d2xas;1;0,0;0,0;2024-07-04T00:16:20.620Z;2024-07-04T00:52:33Z;[{'id': 5094103623, 'qualifierId': 59, 'value': '98, 45, 48, 39, 35, 51, 36, 34, 29, 90, 38, 42, 43, 49, 50, 57, 59'}, {'id': 5094103625, 'qualifierId': 130, 'value': '10'}, {'id': 5094103633, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5094103629, 'qualifierId': 194, 'value': '8hftsf1ff8839jdbe3e6lmm1g'}, {'id': 5094103631, 'qualifierId': 197, 'value': '15045'}, {'id': 5094103627, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0'}, {'id': 5094103619, 'qualifierId': 30, 'value': '39kv8a6a82fos9hw9esb84k16, dbc343lsh3l20pi4a4gmd94wk, a1rc6kukly42y5j5smz3w72tw, 2pka62t1zg04jwkcx6zbc4wlw, 1795jw1oc3pkthyq0kqexh65m, cz98wcy8nq9hqncb2z33p4hec, 69h930ebovyl7rut5dz4r2iok, a4staqjshva5lhcr0dw744nze, 45b72f8szmqnv8tz06j7mj1wq, iu61re9bbusv2w7fu7w6505w, 8hftsf1ff8839jdbe3e6lmm1g, 6e688gqc8qzt0h9cutptkcd90, 1unlspl01ht69hrm9apxt4oic, f4gpras1h3k8qfz71u84iyyok, 1gmj4ge2sog221wqkmap8kidw, byelagxi3qg0rb06tjl3fodn8, 98tyw392rp4ow3apn0ygrbtp0'}, {'id': 5094103621, 'qualifierId': 44, 'value': '1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5'}];;;;;dtgzlnperfsypf0au9puvczkk;Team set up;;10,0;;;15045,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;;;;;;;;;0;0;0;0;North Texas;0;;
2699106699;1;34;16;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;0,0;0,0;2024-07-04T00:16:56.082Z;2024-07-04T00:47:23Z;[{'id': 5094104909, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5094104903, 'qualifierId': 130, 'value': '17'}, {'id': 5094104905, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5094104899, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5094155381, 'qualifierId': 197, 'value': '23314'}, {'id': 5094104907, 'qualifierId': 194, 'value': '939wjlo1zcnhfu6jy2px0zmui'}, {'id': 5094104901, 'qualifierId': 59, 'value': '13, 27, 15, 6, 24, 4, 34, 50, 36, 51, 7, 12, 2, 5, 8, 14, 16, 21, 30, 99'}, {'id': 5094104897, 'qualifierId': 30, 'value': '608d9yxcn99up33girsspyaga, rtca480n5ehey5ffvt8nudck, 939wjlo1zcnhfu6jy2px0zmui, 7al9w77ailhli8g487tkl32tw, 9nl0k91lrjonu0z2irbs01oiy, e7vsajjh4e7t51ciycjg0skd0, 6girdg17h5o2qr8stoywy3vv8, 32c9e26wcnr5kmab8ep4zph5g, fgue58g7u6f2c53ggb0r2oa2, 8vnnownnzz2ksuuitbw3ax5yi, 3risld5mac5ns2rrv6namc2l0, 9acojrco6dg2i9otq02gj6904, auomns9j08ffqknhs9007ju38, 1j010cibh247p8kjchww6ny3u, f3bqitwkt3mitemcjd61hi044, 741wavjzdmc04j4i8a3chq9zo, 1iedtrzbcgj817i0ccin8dvro, 8g1piun8acm9udttt1795qnhm, 6agfr3usj1pblrbq2i9mdpmcq, 3h8rx5wumr7hktll4hnvx7or8'}];;;;;dtgzlnperfsypf0au9puvczkk;Team set up;;17,0;;;23314,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;;;;;;;;;0;0;0;0;Minnesota United II;0;;
2699116877;2;32;1;0;0;1pc6sx2h4rp113ldkbp5d2xas;1;0,0;0,0;2024-07-04T00:50:07.325Z;2024-07-04T00:50:10Z;[{'id': 5094163185, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;dtgzlnperfsypf0au9puvczkk;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;away;;;;;;;;;0;0;0;0;North Texas;0;;
2699116849;2;32;1;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;0,0;0,0;2024-07-04T00:50:07.325Z;2024-07-09T04:43:11Z;[{'id': 5094163027, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;dtgzlnperfsypf0au9puvczkk;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;;;;;;;;;0;0;0;0;Minnesota United II;0;;
2699116891;3;1;1;0;0;99l7fsj6ykgbyqcb9zqqu9dgq;1;50,1;50,0;2024-07-04T00:50:07.326Z;2024-07-04T00:50:10Z;[{'id': 5094163251, 'qualifierId': 212, 'value': '11.7'}, {'id': 5094163253, 'qualifierId': 213, 'value': '3.92'}, {'id': 5094163255, 'qualifierId': 279, 'value': 'S'}, {'id': 5094163245, 'qualifierId': 56, 'value': 'Back'}, {'id': 5094163249, 'qualifierId': 141, 'value': '37.9'}, {'id': 5094163247, 'qualifierId': 140, 'value': '42.2'}];fgue58g7u6f2c53ggb0r2oa2;M. Henry-Scott;;;dtgzlnperfsypf0au9puvczkk;Pass;;;;;;;;;;11,7;3,92;;;37,9;42,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;42,2;37,9;;;;;;;0;0;0;0;Minnesota United II;0;AMC;1,0
2699116909;4;1;1;0;2;99l7fsj6ykgbyqcb9zqqu9dgq;1;41,8;35,5;2024-07-04T00:50:10.166Z;2024-07-04T00:50:11Z;[{'id': 5094163337, 'qualifierId': 141, 'value': '9.5'}, {'id': 5094163339, 'qualifierId': 212, 'value': '18.9'}, {'id': 5094163341, 'qualifierId': 213, 'value': '4.35'}, {'id': 5094163333, 'qualifierId': 56, 'value': 'Back'}, {'id': 5094163335, 'qualifierId': 140, 'value': '35.4'}];6girdg17h5o2qr8stoywy3vv8;A. Urzua;;;dtgzlnperfsypf0au9puvczkk;Pass;;;;;;;;;;18,9;4,35;;;9,5;35,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;35,4;9,5;;;;;;;0;0;0;2;Minnesota United II;2;DMC;1,0
2699116997;5;1;1;0;4;99l7fsj6ykgbyqcb9zqqu9dgq;1;32,6;10,3;2024-07-04T00:50:11.783Z;2024-07-04T00:50:20Z;[{'id': 5094163873, 'qualifierId': 213, 'value': '1.98'}, {'id': 5094163867, 'qualifierId': 140, 'value': '23.2'}, {'id': 5094163869, 'qualifierId': 141, 'value': '44.2'}, {'id': 5094163865, 'qualifierId': 56, 'value': 'Back'}, {'id': 5094163871, 'qualifierId': 212, 'value': '25.1'}];rtca480n5ehey5ffvt8nudck;H. Endeley;;;dtgzlnperfsypf0au9puvczkk;Pass;;;;;;;;;;25,1;1,98;;;44,2;23,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;23,2;44,2;;;;;;;0;0;0;4;Minnesota United II;4;DMR;1,0
2699117025;6;1;1;0;12;99l7fsj6ykgbyqcb9zqqu9dgq;1;29,8;42,7;2024-07-04T00:50:20.071Z;2024-07-09T04:44:13Z;[{'id': 5094164027, 'qualifierId': 140, 'value': '47.9'}, {'id': 5094164031, 'qualifierId': 141, 'value': '6.2'}, {'id': 5094164033, 'qualifierId': 212, 'value': '31.3'}, {'id': 5094164035, 'qualifierId': 213, 'value': '5.37'}, {'id': 5094164025, 'qualifierId': 56, 'value': 'Back'}];9nl0k91lrjonu0z2irbs01oiy;A. Korça;;;dtgzlnperfsypf0au9puvczkk;Pass;;;;;;;;;;31,3;5,37;;;6,2;47,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;47,9;6,2;;;;;;;0;0;0;12;Minnesota United II;12;DC;1,0
2699117079;7;1;1;0;15;99l7fsj6ykgbyqcb9zqqu9dgq;1;54,1;4,7;2024-07-04T00:50:23.317Z;2024-07-04T00:50:27Z;[{'id': 5094164351, 'qualifierId': 140, 'value': '39.0'}, {'id': 5094164357, 'qualifierId': 212, 'value': '16.7'}, {'id': 5094164353, 'qualifierId': 141, 'value': '12.5'}, {'id': 5094164359, 'qualifierId': 213, 'value': '2.82'}, {'id': 5094164349, 'qualifierId': 56, 'value': 'Back'}];rtca480n5ehey5ffvt8nudck;H. Endeley;;;dtgzlnperfsypf0au9puvczkk;Pass;;;;;;;;;;16,7;2,82;;;12,5;39,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;39,0;12,5;;;;;;;0;0;0;15;Minnesota United II;15;DMR;1,0
2699117093;8;1;1;0;19;99l7fsj6ykgbyqcb9zqqu9dgq;1;35,8;19,1;2024-07-04T00:50:27.302Z;2024-07-04T00:50:29Z;[{'id': 5094164421, 'qualifierId': 56, 'value': 'Back'}, {'id': 5094164427, 'qualifierId': 212, 'value': '12.6'}, {'id': 5094164425, 'qualifierId': 141, 'value': '34.0'}, {'id': 5094164423, 'qualifierId': 140, 'value': '28.6'}, {'id': 5094164429, 'qualifierId': 213, 'value': '2.21'}];e7vsajjh4e7t51ciycjg0skd0;T. Humphrey;;;dtgzlnperfsypf0au9puvczkk;Pass;;;;;;;;;;12,6;2,21;;;34,0;28,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99l7fsj6ykgbyqcb9zqqu9dgq;North Texas;home;28,6;34,0;;;;;;;0;0;0;19;Minnesota United II;19;DC;1,0
