field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;81a5mbcfvbxke0w3cbq65ld2i;1;1;4;d0c07im4a6oj8qa7f1zlt3pqs;duliwct1pxtpqbogmv3plnc44;home;1;GK;M. Alstrup;;;;;;
2;8ly83pm2mbtz4u7jwsv0o96qy;2;2;4;d0c07im4a6oj8qa7f1zlt3pqs;duliwct1pxtpqbogmv3plnc44;home;1;DR;C. Touré;;;;;;
2;9yldym4386a2icfk6qb6i90r8;3;25;4;d0c07im4a6oj8qa7f1zlt3pqs;duliwct1pxtpqbogmv3plnc44;home;1;DC;A. De Anda;;;;;;
3;2yxzh220ndd4s4wqditruo0h6;4;6;4;d0c07im4a6oj8qa7f1zlt3pqs;duliwct1pxtpqbogmv3plnc44;home;1;MC;A. Ramírez;;;;;;
2;ec3xdenc4ncg4sc8ni4kkyln8;5;4;4;d0c07im4a6oj8qa7f1zlt3pqs;duliwct1pxtpqbogmv3plnc44;home;1;DL;A. Gomez;;;;;;
2;d0riqrsz7ojwb9m94rbvx7r6y;6;5;4;d0c07im4a6oj8qa7f1zlt3pqs;duliwct1pxtpqbogmv3plnc44;home;1;DC;S. Mazzaferro;;;;;;
3;ov91zkisppven9tp72gfbjf8;7;18;4;d0c07im4a6oj8qa7f1zlt3pqs;duliwct1pxtpqbogmv3plnc44;home;1;MC;B. Byaruhanga;;;;7m5wyvhq876dyap45egqs2tjo;45,0;2,0
3;7nxqbiq6fics5w3qnwhz249as;8;8;4;d0c07im4a6oj8qa7f1zlt3pqs;duliwct1pxtpqbogmv3plnc44;home;1;MC;S. Louis-Jean;;;;;;
4;4521gkm1oemvrfsgksz7b6zxm;9;9;4;d0c07im4a6oj8qa7f1zlt3pqs;duliwct1pxtpqbogmv3plnc44;home;1;FW;S. Pineau;;;;;;
4;641bsr9un81t6sds51fhvijh0;10;10;4;d0c07im4a6oj8qa7f1zlt3pqs;duliwct1pxtpqbogmv3plnc44;home;1;FWR;B. Farkarlun;;;;3cbmr8hg3kszw5wl04p3ol27e;45,0;2,0
4;elvrjpt1jlko4henaqvfid7o4;11;32;4;d0c07im4a6oj8qa7f1zlt3pqs;duliwct1pxtpqbogmv3plnc44;home;1;FWL;M. Burton;;;;4o2lk5bkmyxe8ji3lqjo69qtw;61,0;2,0
