field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;aiifscgp07zvj7thb3p3huelm;1;31;4;6ubc4y1v6hr63mca7ica4hp90;dvcrb9b459b1qqi3gh8kpu6ms;away;1;GK;G. Marks;;;;;;
2;ds4avrkvrp4jxq9lp02ssci22;2;35;4;6ubc4y1v6hr63mca7ica4hp90;dvcrb9b459b1qqi3gh8kpu6ms;away;1;DR;N. Scardina;;;;;;
2;3xd2kq7cxmvdbqsfzgi644c4q;3;44;4;6ubc4y1v6hr63mca7ica4hp90;dvcrb9b459b1qqi3gh8kpu6ms;away;1;DC;J. Bravo;;;;;;
3;dercetgxemr74f5yasq86s5t6;4;66;4;6ubc4y1v6hr63mca7ica4hp90;dvcrb9b459b1qqi3gh8kpu6ms;away;1;MC;P. Mayaka;;;;;;
2;exk9svcdgcbn05ms00fhorvv8;5;39;4;6ubc4y1v6hr63mca7ica4hp90;dvcrb9b459b1qqi3gh8kpu6ms;away;1;DL;J. Neeley;;;;;;
2;avxfzgoe2y0opif75qu3aeb6c;6;43;4;6ubc4y1v6hr63mca7ica4hp90;dvcrb9b459b1qqi3gh8kpu6ms;away;1;DC;W. Sangoquiza;;;;;;
3;9qhpi9y9iujvkbocafhgrj04q;7;60;4;6ubc4y1v6hr63mca7ica4hp90;dvcrb9b459b1qqi3gh8kpu6ms;away;1;MC;C. Duke;;;;doqbp8fg8hke6hhifdr4jzklw;81,0;2,0
3;3ve0xap9f0gjsslhgjsmakx04;8;48;4;6ubc4y1v6hr63mca7ica4hp90;dvcrb9b459b1qqi3gh8kpu6ms;away;1;MC;A. John;;;;;;
4;f12wt1v2qf2siv8p6q6x2bxuc;9;68;4;6ubc4y1v6hr63mca7ica4hp90;dvcrb9b459b1qqi3gh8kpu6ms;away;1;FW;D. Sing;;;;7ofdnarha4k4b8nggld7gxnqi;81,0;2,0
4;7bxp7ho4cmsoviw19q4bxr02c;10;41;4;6ubc4y1v6hr63mca7ica4hp90;dvcrb9b459b1qqi3gh8kpu6ms;away;1;FWR;B. Romero;;;;9ohy24mxhsqao5kymh0lbxxck;56,0;2,0
4;6bg69aksa8wb6wmu7w81is8yy;11;40;4;6ubc4y1v6hr63mca7ica4hp90;dvcrb9b459b1qqi3gh8kpu6ms;away;1;FWL;J. Forbes;;;;603sxl8xsij9kep03px6s85m2;63,0;2,0
5;9ohy24mxhsqao5kymh0lbxxck;0;27;4;6ubc4y1v6hr63mca7ica4hp90;dvcrb9b459b1qqi3gh8kpu6ms;away;1;Sub;N. Berchimas;7bxp7ho4cmsoviw19q4bxr02c;56,0;2,0;;;
