id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamKit;value_PlayerPosition;value_Involved;value_TeamFormation;value_TeamPlayerFormation;value_Captain;value_Resume;value_JerseyNumber;value_DirectionOfPlay;value_Angle;value_PassEndY;value_Length;value_PassEndX;value_Zone;value_KickOff;value_LongBall;value_Offensive;value_OppositeRelatedEventId;value_TouchTypePass;value_Defensive;value_OutOfPlay;value_NextEventThrowIn;value_ThrowIn;value_FlickOn;value_LowGkIntervention;value_KeeperThrow;value_SwitchOfPlay;value_Chipped;value_Foul;value_Direct;value_AttemptedTackle;value_InSwinger;value_Cross;value_Assist;value_IntentionalAssist;value_LeftFooted;value_FreeKickTaken;value_FirstTouch;value_GoalmouthZ;value_Head;value_High;value_GkY;value_RelatedEventId;value_GkX;value_GoalmouthY;value_Assisted;value_SetPiece;value_BoxCentre;value_NextEventGoalKick;value_GoalKick;value_Low;value_TouchTypeClearance;value_LayOff;value_Launch;value_HeadPass;value_TakeOnSpace;value_Unchallenged;value_TouchTypeControl;value_DeletedEventType;value_IntendedTackleTarget;value_TakeOnOvertake;value_OutSwinger;value_FastBreak;value_RightFooted;value_LowLeft;value_BigChance;value_GoalShotTimestamp;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_GoalShotGameClock;value_KeeperTouched;value_BoxRight;value_BlockedX;value_IndividualPlay;value_Deflection;value_SwerveRight;value_BlockedY;value_NotAssisted;value_Standing;value_Hands;value_Collected;value_MediumGkIntervention;value_OverArm;value_Shove/Push;value_HighGkIntervention;value_HighClaim;value_GkKickFromHands;value_ShirtPull/Holding;value_BlockedPass;value_ThroughBall;value_LastLine;value_NotVisible;value_PlayersCaughtOffside;value_Indirect;value_Weak;value_CloseRight;value_RegularPlay;value_Left;value_RecklessOffence;value_YellowCard;value_InjuredPlayerId;value_Injury;value_SwerveLeft;value_OutOfBoxDeepRight;value_HighLeft;value_Volley;value_LowCentre;value_Stooping;value_BlockedCross;value_Right;value_CornerTaken;value_FromCorner;value_SmallBoxCentre;value_HighCentre;value_HighRight;value_ParriedSafe;value_Reaching;value_AerialFoul;value_LowRight;value_OutOfBoxCentre;value_Diving;value_Minutes;value_Defensive1V1;value_EndType;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_SmallBoxLeft;value_SixYardBlocked;value_Blocked;value_DefBlock;value_BoxDeepLeft;value_TimeWasting;value_Overrun;value_LeadingToAttempt;value_RelatedError1Id;value_35Left;value_Dissent;value_ProfessionalFoulLastMan;value_RedCard;value_FreeKick;value_CloseHigh;value_FantasyAssistTeam;value_FantasyAssistType;value_FantasyAssistedBy;value_FantasyAssistId;value_1On1;value_Feet;value_Sliding;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2700337999;1;34;16;0;0;1zgjjyruyufrkh4xjvryqsb1i;1;0,0;0,0;2024-07-11T21:08:02.986Z;2024-07-11T22:41:38Z;[{'id': 5100891713, 'qualifierId': 197, 'value': '23610'}, {'id': 5100889525, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5100889523, 'qualifierId': 30, 'value': '1ceqwz4ozqi6ft5l4hf5a04r8, 872ifpo3qufi9vv9vy7ty6uj8, 2qz3ojbfedl8psp1tvq0183ro, 81w1fqi66z0ibawynhraybaxg, 3h4x6eh6zkcaww4g6rhkwpbf8, 5aszabja459117mqykvfpajh0, 45v94x6b8g7n4xa3lsfdp6pzo, 20wmdzih6b1t0ekt1v2qd4b2s, 9j3va21w5i9ypf8qmt4g1vggk, ngmdu10fjli45jvddeljv8yc, 7bodno8j3qjiqp9wy8kobwmqc, 993vihjmsn70q9w237fatzgbu, 15v2azulwhof0p216i7bjp250, dvems493n5l4twsq6cq2fg26s, de6bz3uyz5ta17f0jnnfhzims, d4spt2529fmys8d26x61lk36c, sqm6jwnogmzp7u7rsv3rtel0, efgfakk5g8sp1u42583pt632s, ao8lbslcj9wswv1jx15t59444, cbpm8k301adrmft5fd0kaeiuh'}, {'id': 5100889529, 'qualifierId': 130, 'value': '3'}, {'id': 5100889531, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5100900617, 'qualifierId': 194, 'value': '2qz3ojbfedl8psp1tvq0183ro'}, {'id': 5100889533, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5100889527, 'qualifierId': 59, 'value': '57, 58, 39, 22, 44, 42, 41, 6, 77, 35, 56, 24, 30, 36, 45, 47, 62, 63, 81, 88'}];;;;;dz5m52xyz92nsat8qdd9aeyvo;Team set up;23610,0;;;3,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;;;;;;;;;0;0;0;0;Chattanooga;0;;
2700338053;1;34;16;0;0;cwnjxlibb02fuh0vwgvac6h45;1;0,0;0,0;2024-07-11T21:10:57.434Z;2024-07-11T22:10:19Z;[{'id': 5100889837, 'qualifierId': 30, 'value': '7jaa504py8qcx30a2p1vgn8d0, 1h5rgsol19v1pcl5ksstrv9t6, 6zuton58biybp7ge3mpc17alm, 7e8xkqlux0myjc5cwtb7rega1, cpbyoj822ivx6qrqbkun1zr3d, exunlng0cgo9bpqh4x6jpxyax, 87nhafgkozygrd5f06ore0xzo, 6zbb5xiauoixj3clxdgud8lxw, 4hdai9za2ls03tjpcw0ahu5wq, a3eln6gas8765a3pn6ecqjvxm, at2xv960peboe9spoag2kn21g, 2d3dwhrtafkd1b8q1nzerqew9, 4cwccglaxz5sf71eptnj6kzfu, 5m8hxfvza21t4wfe6v0a18etw, 9gk1m714ni2m8n26uybsgadey, 3a8bghw11ttrstr4jlopadd9m, ew3qxbn1ev1qv7wi0iwoc642c, 82uh6ad46fvub9b0vfapw2vze'}, {'id': 5100889847, 'qualifierId': 194, 'value': 'at2xv960peboe9spoag2kn21g'}, {'id': 5100889841, 'qualifierId': 59, 'value': '15, 22, 18, 20, 5, 23, 14, 6, 11, 9, 33, 3, 8, 10, 12, 24, 32, 71'}, {'id': 5100889839, 'qualifierId': 44, 'value': '1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5100891633, 'qualifierId': 197, 'value': '23331'}, {'id': 5100889849, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5100889843, 'qualifierId': 130, 'value': '10'}, {'id': 5100889845, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}];;;;;dz5m52xyz92nsat8qdd9aeyvo;Team set up;23331,0;;;10,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;;;;;;;;;0;0;0;0;Philadelphia Union II;0;;
2700338265;2;32;1;0;0;1zgjjyruyufrkh4xjvryqsb1i;1;0,0;0,0;2024-07-11T22:03:38.171Z;2024-07-15T15:03:16Z;[{'id': 5100891611, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;dz5m52xyz92nsat8qdd9aeyvo;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;;;;;;;;;0;0;0;0;Chattanooga;0;;
2700338269;2;32;1;0;0;cwnjxlibb02fuh0vwgvac6h45;1;0,0;0,0;2024-07-11T22:03:38.171Z;2024-07-11T22:03:42Z;[{'id': 5100891629, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;dz5m52xyz92nsat8qdd9aeyvo;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cwnjxlibb02fuh0vwgvac6h45;Chattanooga;away;;;;;;;;;0;0;0;0;Philadelphia Union II;0;;
2700339015;179;1;1;0;1;1zgjjyruyufrkh4xjvryqsb1i;1;50,1;50,6;2024-07-11T22:03:40.051Z;2024-07-11T22:22:55Z;[{'id': 5100895763, 'qualifierId': 213, 'value': '2.97'}, {'id': 5100895759, 'qualifierId': 141, 'value': '56.7'}, {'id': 5100895761, 'qualifierId': 212, 'value': '24.5'}, {'id': 5100895757, 'qualifierId': 140, 'value': '27.1'}, {'id': 5100895755, 'qualifierId': 56, 'value': 'Back'}, {'id': 5100895765, 'qualifierId': 279, 'value': 'S'}];9j3va21w5i9ypf8qmt4g1vggk;E. Davis;;;dz5m52xyz92nsat8qdd9aeyvo;Pass;;;;;;;;;;2,97;56,7;24,5;27,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;27,1;56,7;;;;;;;0;0;0;1;Chattanooga;1;FW;1,0
2700339025;180;1;1;0;4;1zgjjyruyufrkh4xjvryqsb1i;1;32,4;50,9;2024-07-11T22:03:42.283Z;2024-07-11T22:23:02Z;[{'id': 5100895827, 'qualifierId': 212, 'value': '15.0'}, {'id': 5100895821, 'qualifierId': 56, 'value': 'Back'}, {'id': 5100895825, 'qualifierId': 141, 'value': '71.3'}, {'id': 5100895829, 'qualifierId': 213, 'value': '1.18'}, {'id': 5100895823, 'qualifierId': 140, 'value': '37.8'}];81w1fqi66z0ibawynhraybaxg;S. Ngabo;;;dz5m52xyz92nsat8qdd9aeyvo;Pass;;;;;;;;;;1,18;71,3;15,0;37,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;37,8;71,3;;;;;;;0;0;0;4;Chattanooga;4;DMC;1,0
2700339053;189;1;1;0;5;1zgjjyruyufrkh4xjvryqsb1i;1;36,0;83,6;2024-07-11T22:03:43.875Z;2024-07-11T22:23:39Z;[{'id': 5100895987, 'qualifierId': 212, 'value': '9.3'}, {'id': 5100895981, 'qualifierId': 56, 'value': 'Back'}, {'id': 5100895985, 'qualifierId': 141, 'value': '96.6'}, {'id': 5100895983, 'qualifierId': 140, 'value': '33.3'}, {'id': 5100895989, 'qualifierId': 213, 'value': '1.88'}];7bodno8j3qjiqp9wy8kobwmqc;C. Olney;;;dz5m52xyz92nsat8qdd9aeyvo;Pass;;;;;;;;;;1,88;96,6;9,3;33,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;33,3;96,6;;;;;;;0;0;0;5;Chattanooga;5;ML;1,0
2700339055;190;1;1;0;7;1zgjjyruyufrkh4xjvryqsb1i;1;37,2;96,6;2024-07-11T22:03:45.507Z;2024-07-11T22:23:47Z;[{'id': 5100896001, 'qualifierId': 213, 'value': '4.03'}, {'id': 5100895995, 'qualifierId': 140, 'value': '25.3'}, {'id': 5100895993, 'qualifierId': 56, 'value': 'Back'}, {'id': 5100895999, 'qualifierId': 212, 'value': '19.8'}, {'id': 5100895997, 'qualifierId': 141, 'value': '74.1'}];2qz3ojbfedl8psp1tvq0183ro;F. Westfield;;;dz5m52xyz92nsat8qdd9aeyvo;Pass;;;;;;;;;;4,03;74,1;19,8;25,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;25,3;74,1;;;;;;;0;0;0;7;Chattanooga;7;DC;1,0
2700339057;191;1;1;0;12;1zgjjyruyufrkh4xjvryqsb1i;1;26,1;70,8;2024-07-11T22:03:50.690Z;2024-07-11T22:23:54Z;[{'id': 5100896009, 'qualifierId': 141, 'value': '31.6'}, {'id': 5100896011, 'qualifierId': 212, 'value': '26.8'}, {'id': 5100896005, 'qualifierId': 56, 'value': 'Back'}, {'id': 5100896007, 'qualifierId': 140, 'value': '28.3'}, {'id': 5100896013, 'qualifierId': 213, 'value': '4.80'}];5aszabja459117mqykvfpajh0;C. Rojas;;;dz5m52xyz92nsat8qdd9aeyvo;Pass;;;;;;;;;;4,8;31,6;26,8;28,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;28,3;31,6;;;;;;;0;0;0;12;Chattanooga;12;DC;1,0
2700338271;3;1;1;0;15;1zgjjyruyufrkh4xjvryqsb1i;1;33,2;19,1;2024-07-11T22:03:53.428Z;2024-07-11T22:03:57Z;[{'id': 5100891641, 'qualifierId': 212, 'value': '34.6'}, {'id': 5100891637, 'qualifierId': 140, 'value': '65.9'}, {'id': 5100891643, 'qualifierId': 213, 'value': '6.15'}, {'id': 5100891639, 'qualifierId': 141, 'value': '12.4'}, {'id': 5100891635, 'qualifierId': 56, 'value': 'Right'}, {'id': 5100891645, 'qualifierId': 1}];3h4x6eh6zkcaww4g6rhkwpbf8;Neil Pierre;;;dz5m52xyz92nsat8qdd9aeyvo;Pass;;;;;;;;;;6,15;12,4;34,6;65,9;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1zgjjyruyufrkh4xjvryqsb1i;Philadelphia Union II;home;65,9;12,4;;;;;;;0;0;0;15;Chattanooga;15;DL;1,0
