field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;1ceqwz4ozqi6ft5l4hf5a04r8;1;57;3;1zgjjyruyufrkh4xjvryqsb1i;dz5m52xyz92nsat8qdd9aeyvo;home;1;GK;M. Sheridan;;;;;;
2;872ifpo3qufi9vv9vy7ty6uj8;2;58;3;1zgjjyruyufrkh4xjvryqsb1i;dz5m52xyz92nsat8qdd9aeyvo;home;1;DR;G. Wetzel;;;;;;
2;2qz3ojbfedl8psp1tvq0183ro;3;39;3;1zgjjyruyufrkh4xjvryqsb1i;dz5m52xyz92nsat8qdd9aeyvo;home;1;DC;F. Westfield;;;;;;
3;81w1fqi66z0ibawynhraybaxg;4;22;3;1zgjjyruyufrkh4xjvryqsb1i;dz5m52xyz92nsat8qdd9aeyvo;home;1;DMC;S. Ngabo;;;;dvems493n5l4twsq6cq2fg26s;94,0;2,0
2;3h4x6eh6zkcaww4g6rhkwpbf8;5;44;3;1zgjjyruyufrkh4xjvryqsb1i;dz5m52xyz92nsat8qdd9aeyvo;home;1;DL;Neil Pierre;;;;;;
2;5aszabja459117mqykvfpajh0;6;42;3;1zgjjyruyufrkh4xjvryqsb1i;dz5m52xyz92nsat8qdd9aeyvo;home;1;DC;C. Rojas;;;;15v2azulwhof0p216i7bjp250;53,0;2,0
3;45v94x6b8g7n4xa3lsfdp6pzo;7;41;3;1zgjjyruyufrkh4xjvryqsb1i;dz5m52xyz92nsat8qdd9aeyvo;home;1;MR;D. Vazquez;;;;993vihjmsn70q9w237fatzgbu;76,0;2,0
3;20wmdzih6b1t0ekt1v2qd4b2s;8;6;3;1zgjjyruyufrkh4xjvryqsb1i;dz5m52xyz92nsat8qdd9aeyvo;home;1;AMC;C. Sullivan;;;;cbpm8k301adrmft5fd0kaeiuh;66,0;2,0
4;9j3va21w5i9ypf8qmt4g1vggk;9;77;3;1zgjjyruyufrkh4xjvryqsb1i;dz5m52xyz92nsat8qdd9aeyvo;home;1;FW;E. Davis;;;;de6bz3uyz5ta17f0jnnfhzims;67,0;2,0
4;ngmdu10fjli45jvddeljv8yc;10;35;3;1zgjjyruyufrkh4xjvryqsb1i;dz5m52xyz92nsat8qdd9aeyvo;home;1;FW;M. Anderson;;;;;;
3;7bodno8j3qjiqp9wy8kobwmqc;11;56;3;1zgjjyruyufrkh4xjvryqsb1i;dz5m52xyz92nsat8qdd9aeyvo;home;1;ML;C. Olney;;;;;;
5;993vihjmsn70q9w237fatzgbu;0;24;3;1zgjjyruyufrkh4xjvryqsb1i;dz5m52xyz92nsat8qdd9aeyvo;home;1;Sub;N. Pariano;45v94x6b8g7n4xa3lsfdp6pzo;76,0;2,0;;;
5;15v2azulwhof0p216i7bjp250;0;30;3;1zgjjyruyufrkh4xjvryqsb1i;dz5m52xyz92nsat8qdd9aeyvo;home;1;Sub;J. Berdecio;5aszabja459117mqykvfpajh0;53,0;2,0;;;
5;dvems493n5l4twsq6cq2fg26s;0;36;3;1zgjjyruyufrkh4xjvryqsb1i;dz5m52xyz92nsat8qdd9aeyvo;home;1;Sub;R. Meneses;81w1fqi66z0ibawynhraybaxg;94,0;2,0;;;
