id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamFormation;value_PlayerPosition;value_Resume;value_Captain;value_Involved;value_TeamPlayerFormation;value_JerseyNumber;value_TeamKit;value_DirectionOfPlay;value_KickOff;value_Zone;value_PassEndY;value_Length;value_PassEndX;value_Angle;value_Chipped;value_LongBall;value_OppositeRelatedEventId;value_Offensive;value_Defensive;value_TouchTypeControl;value_SwitchOfPlay;value_TakeOnOvertake;value_PlayersCaughtOffside;value_Indirect;value_FreeKickTaken;value_OutSwinger;value_LeftFooted;value_Cross;value_RightFooted;value_Launch;value_HeadPass;value_TakeOnSpace;value_BlockedPass;value_TouchTypeClearance;value_DeletedEventType;value_OutOfPlay;value_NextEventThrowIn;value_ThrowIn;value_IntendedTackleTarget;value_Overrun;value_NextEventGoalKick;value_GoalKick;value_Low;value_High;value_Head;value_Assist;value_Straight;value_IntentionalAssist;value_DrivenCross;value_GkY;value_FirstTouch;value_RelatedEventId;value_CloseHigh;value_GoalmouthY;value_RegularPlay;value_GoalmouthZ;value_Assisted;value_GkX;value_BoxCentre;value_LowGkIntervention;value_KeeperThrow;value_LayOff;value_MediumGkIntervention;value_FlickOn;value_Right;value_Left;value_CornerTaken;value_InSwinger;value_TouchTypePass;value_Volley;value_BlockedX;value_ThrowInSetPiece;value_BlockedY;value_LowCentre;value_BigChance;value_Standing;value_Hands;value_ParriedDanger;value_MisHit;value_OutOfBoxCentre;value_Direct;value_Foul;value_ShirtPull/Holding;value_HighGkIntervention;value_InjuredPlayerId;value_Injury;value_OverArm;value_AttemptedTackle;value_HighClaim;value_YellowCard;value_RecklessOffence;value_NotVisible;value_Shove/Push;value_TacticalFoul;value_DrinksBreak;value_RefereeDelay;value_Blocked;value_LowRight;value_BoxRight;value_DefBlock;value_FromCorner;value_SixYardBlocked;value_BlockedCross;value_IndividualPlay;value_35Centre;value_NotAssisted;value_Minutes;value_Deflection;value_Defensive1V1;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_HighLeft;value_GoalShotGameClock;value_GoalShotTimestamp;value_EndType;value_PullBack;value_Collected;value_LeadingToGoal;value_RelatedError1Id;value_SmallBoxCentre;value_CloseRight;value_FreeKick;value_Stooping;value_GkKickFromHands;value_CloseLeft;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_OverhitCross;value_OwnPlayer;value_BoxLeft;value_LowLeft;value_Diving;value_ParriedSafe;value_2NdAssist;value_NotPastGoalLine;value_2NdAssisted;value_2NdRelatedEventId;value_VideoCoverageLost;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2700767207;1;34;16;0;0;2nnef9tr9g7m2s6n873qif95g;1;0,0;0,0;2024-07-13T22:11:41.834Z;2024-07-13T23:55:34Z;[{'id': 5103288469, 'qualifierId': 130, 'value': '17'}, {'id': 5103288465, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5103288473, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5103497583, 'qualifierId': 194, 'value': '6oia90bi52zwmgdlvcvfnj1pm'}, {'id': 5103288463, 'qualifierId': 30, 'value': '9i2pmc50q29y560ojvik3sdg4, 4t078b0rnzmi8u83wzmdwze38, 3acyax22zfwdjw0cpgg4x7dre, 2d9cw6dcm2wsgrr8mj5rt6zje, f0jwa1a61lxs31g47csjv7itw, 6qu8uu28fk2dbbeymuu6yii38, f3uzkdl46t1mujsddhr5tg07o, clvcgt5ofonse0q96sppu7hg4, 1nbbgew67td8zayaffvr1zcb8, 1j1ybmazykfh5nqs7egkcdxck, 6oia90bi52zwmgdlvcvfnj1pm, 1nnd0b4qwlni7tqot2n2st4yy, ew25ktcp76pmryz5psl1ctlka, 5jxj5s38o1nx0xbnapwl58bo4, ami9xddgghvnly4mwtdj2tlyi, 8p0k65b4c26ssfk0zh43lme7e, 4n2c7qt6r6qqhzjs64nvytqs, 1irhjiafn9ushepjvevbkn6ui, 6le9ztbx7n6ogg6fdxmnrk9w4, 9isbk9daqxgtj196349irnkk'}, {'id': 5103288471, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5103288467, 'qualifierId': 59, 'value': '98, 17, 14, 4, 20, 99, 12, 29, 13, 21, 10, 52, 7, 8, 11, 15, 25, 28, 31, 77'}, {'id': 5103361143, 'qualifierId': 197, 'value': '23612'}];;;;;dzwjl99bpxuizvmgpijrqn384;Team set up;17,0;;;;;;;23612,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;;;;;;;;;0;0;0;0;Crown Legacy;0;;
2700767877;1;34;16;0;0;6ubc4y1v6hr63mca7ica4hp90;1;0,0;0,0;2024-07-13T22:13:21.480Z;2024-07-14T01:25:29Z;[{'id': 5103292353, 'qualifierId': 59, 'value': '26, 71, 44, 66, 39, 43, 60, 48, 68, 36, 40, 27, 41, 47, 51, 56, 64, 77, 86, 97'}, {'id': 5103292371, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5103292339, 'qualifierId': 30, 'value': '2v9pdg70kewaarbz4jzsh00a2, 35i699wz5v6nush729peu776c, 3xd2kq7cxmvdbqsfzgi644c4q, dercetgxemr74f5yasq86s5t6, exk9svcdgcbn05ms00fhorvv8, avxfzgoe2y0opif75qu3aeb6c, 9qhpi9y9iujvkbocafhgrj04q, 3ve0xap9f0gjsslhgjsmakx04, f12wt1v2qf2siv8p6q6x2bxuc, 603sxl8xsij9kep03px6s85m2, 6bg69aksa8wb6wmu7w81is8yy, 9ohy24mxhsqao5kymh0lbxxck, 7bxp7ho4cmsoviw19q4bxr02c, 8texi81doeqhy7eu6fnhrstbe, 4npcsyrhri5kmeks8gfon146i, doqbp8fg8hke6hhifdr4jzklw, 7nvpvg46tgsnyp31t3se72e0a, 3sg9rl2w343fvx1uv046ox4pg, drt65b9m2f494wnoyep49bn1m, 7ofdnarha4k4b8nggld7gxnqi'}, {'id': 5103361479, 'qualifierId': 197, 'value': '18742'}, {'id': 5103761617, 'qualifierId': 194, 'value': 'dercetgxemr74f5yasq86s5t6'}, {'id': 5103292365, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5103292345, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5103292359, 'qualifierId': 130, 'value': '4'}];;;;;dzwjl99bpxuizvmgpijrqn384;Team set up;4,0;;;;;;;18742,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;;;;;;;;;0;0;0;0;Carolina Core;0;;
2700780041;2;32;1;0;0;2nnef9tr9g7m2s6n873qif95g;1;0,0;0,0;2024-07-13T23:05:32.622Z;2024-07-18T12:26:17Z;[{'id': 5103362867, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;dzwjl99bpxuizvmgpijrqn384;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;;;;;;;;;0;0;0;0;Crown Legacy;0;;
2700780039;2;32;1;0;0;6ubc4y1v6hr63mca7ica4hp90;1;0,0;0,0;2024-07-13T23:05:32.622Z;2024-07-13T23:05:32Z;[{'id': 5103362865, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;dzwjl99bpxuizvmgpijrqn384;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;away;;;;;;;;;0;0;0;0;Carolina Core;0;;
2700780043;3;1;1;0;0;2nnef9tr9g7m2s6n873qif95g;1;50,0;50,0;2024-07-13T23:05:32.967Z;2024-07-13T23:05:36Z;[{'id': 5103362893, 'qualifierId': 279, 'value': 'S'}, {'id': 5103362873, 'qualifierId': 56, 'value': 'Back'}, {'id': 5103362881, 'qualifierId': 141, 'value': '63.3'}, {'id': 5103362885, 'qualifierId': 212, 'value': '19.3'}, {'id': 5103362877, 'qualifierId': 140, 'value': '33.8'}, {'id': 5103362889, 'qualifierId': 213, 'value': '2.65'}];6oia90bi52zwmgdlvcvfnj1pm;J. Evans;;;dzwjl99bpxuizvmgpijrqn384;Pass;;;;;;;;;;;;63,3;19,3;33,8;2,65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;33,8;63,3;;;;;;;0;0;0;0;Crown Legacy;0;FW;1,0
2700780053;4;1;1;0;2;2nnef9tr9g7m2s6n873qif95g;1;33,8;63,1;2024-07-13T23:05:34.730Z;2024-07-13T23:24:24Z;[{'id': 5103362959, 'qualifierId': 213, 'value': '3.80'}, {'id': 5103362953, 'qualifierId': 140, 'value': '24.1'}, {'id': 5103362957, 'qualifierId': 212, 'value': '12.8'}, {'id': 5103362951, 'qualifierId': 56, 'value': 'Back'}, {'id': 5103362955, 'qualifierId': 141, 'value': '51.6'}];clvcgt5ofonse0q96sppu7hg4;S. Cambindo;;;dzwjl99bpxuizvmgpijrqn384;Pass;;;;;;;;;;;;51,6;12,8;24,1;3,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;24,1;51,6;;;;;;;0;0;0;2;Crown Legacy;2;DMC;1,0
2700780061;5;1;1;0;4;2nnef9tr9g7m2s6n873qif95g;1;23,6;51,8;2024-07-13T23:05:36.781Z;2024-07-13T23:05:38Z;[{'id': 5103363017, 'qualifierId': 56, 'value': 'Back'}, {'id': 5103363023, 'qualifierId': 212, 'value': '19.2'}, {'id': 5103363025, 'qualifierId': 213, 'value': '1.46'}, {'id': 5103363021, 'qualifierId': 141, 'value': '79.9'}, {'id': 5103363019, 'qualifierId': 140, 'value': '25.7'}];f0jwa1a61lxs31g47csjv7itw;I. Covi;;;dzwjl99bpxuizvmgpijrqn384;Pass;;;;;;;;;;;;79,9;19,2;25,7;1,46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;25,7;79,9;;;;;;;0;0;0;4;Crown Legacy;4;DC;1,0
2700780069;6;1;1;0;5;2nnef9tr9g7m2s6n873qif95g;1;24,7;83,3;2024-07-13T23:05:38.589Z;2024-07-13T23:05:41Z;[{'id': 5103363077, 'qualifierId': 213, 'value': '0.48'}, {'id': 5103363069, 'qualifierId': 56, 'value': 'Back'}, {'id': 5103363071, 'qualifierId': 140, 'value': '39.6'}, {'id': 5103363075, 'qualifierId': 212, 'value': '17.7'}, {'id': 5103363073, 'qualifierId': 141, 'value': '95.4'}];2d9cw6dcm2wsgrr8mj5rt6zje;K. Thomas;;;dzwjl99bpxuizvmgpijrqn384;Pass;;;;;;;;;;;;95,4;17,7;39,6;0,48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;39,6;95,4;;;;;;;0;0;0;5;Crown Legacy;5;DC;1,0
2700780083;7;1;1;0;8;2nnef9tr9g7m2s6n873qif95g;1;40,9;93,9;2024-07-13T23:05:41.389Z;2024-07-13T23:05:46Z;[{'id': 5103363171, 'qualifierId': 56, 'value': 'Left'}, {'id': 5103363175, 'qualifierId': 141, 'value': '86.6'}, {'id': 5103363169, 'qualifierId': 155}, {'id': 5103363177, 'qualifierId': 212, 'value': '35.4'}, {'id': 5103363179, 'qualifierId': 213, 'value': '6.14'}, {'id': 5103363173, 'qualifierId': 140, 'value': '74.3'}, {'id': 5103363181, 'qualifierId': 1}];3acyax22zfwdjw0cpgg4x7dre;J. Juarez;;;dzwjl99bpxuizvmgpijrqn384;Pass;;;;;;;;;;;;86,6;35,4;74,3;6,14;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;74,3;86,6;;;;;;;0;0;0;8;Crown Legacy;8;DML;1,0
2700780091;8;1;1;0;13;2nnef9tr9g7m2s6n873qif95g;1;76,8;85,7;2024-07-13T23:05:46.122Z;2024-07-13T23:05:49Z;[{'id': 5103363233, 'qualifierId': 141, 'value': '94.8'}, {'id': 5103363229, 'qualifierId': 56, 'value': 'Left'}, {'id': 5103363237, 'qualifierId': 213, 'value': '2.56'}, {'id': 5103363231, 'qualifierId': 140, 'value': '67.9'}, {'id': 5103363235, 'qualifierId': 212, 'value': '11.2'}];1nbbgew67td8zayaffvr1zcb8;Joshua Rodríguez;;;dzwjl99bpxuizvmgpijrqn384;Pass;;;;;;;;;;;;94,8;11,2;67,9;2,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2nnef9tr9g7m2s6n873qif95g;Carolina Core;home;67,9;94,8;;;;;;;0;0;0;13;Crown Legacy;13;AMC;1,0
