field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;8h2vywep73yn25kus2nda8ga2;1;99;8;479lsfr4cwlzewpbuda3y2xv4;e1102zedtirvq8md6o2sfd15g;home;1;GK;C. Mercado;;;;;;
2;6g7i7z6m8vts105dny1g6z3hm;2;30;8;479lsfr4cwlzewpbuda3y2xv4;e1102zedtirvq8md6o2sfd15g;home;1;DR;A. Freeman;;;;;;
2;2wsgrwgiotfis2l96i0sxlvys;3;29;8;479lsfr4cwlzewpbuda3y2xv4;e1102zedtirvq8md6o2sfd15g;home;1;DC;T. Reid-Brown;;;;bvb7i5n0j5ltqkv991p40r8yc;75,0;2,0
3;i5wj5hcg2r9934e7gauxtgmi;4;53;8;479lsfr4cwlzewpbuda3y2xv4;e1102zedtirvq8md6o2sfd15g;home;1;MC;I. Almaguer;;;;;;
2;ex99a6zbacpkkhgvynu80qpzo;5;54;8;479lsfr4cwlzewpbuda3y2xv4;e1102zedtirvq8md6o2sfd15g;home;1;DL;N. Kibunguchy;;;;;;
2;4jkf81djj5h43v8rlnib1tizu;6;68;8;479lsfr4cwlzewpbuda3y2xv4;e1102zedtirvq8md6o2sfd15g;home;1;DC;T. Williams;;;;;;
3;25rizu4n91uyax4z6l5jv6dqs;7;95;8;479lsfr4cwlzewpbuda3y2xv4;e1102zedtirvq8md6o2sfd15g;home;1;AMR;F. Loyola;;;;abemsr9zh7bklu5jboks5ivpw;60,0;2,0
3;9bv0zjyrsopyv3hw8m47sgr9w;8;56;8;479lsfr4cwlzewpbuda3y2xv4;e1102zedtirvq8md6o2sfd15g;home;1;MC;C. Guske;;;;bebv65gzex5nuihc5mutjrwus;81,0;2,0
4;2b8nmdlsqa9wxn8xlujvyaqga;9;27;8;479lsfr4cwlzewpbuda3y2xv4;e1102zedtirvq8md6o2sfd15g;home;1;FW;J. Lynn;;;;aa4v8xfn3ra4digk5h7gdrbze;60,0;2,0
3;7tpb4dk9meee0utyu4cosnxn8;10;23;8;479lsfr4cwlzewpbuda3y2xv4;e1102zedtirvq8md6o2sfd15g;home;1;AMC;S. Mohammed;;;;c2b6h5zwjvzdvdcybyuqd6exg;75,0;2,0
3;p99ze5cksh5tv01knf5oj33e;11;49;8;479lsfr4cwlzewpbuda3y2xv4;e1102zedtirvq8md6o2sfd15g;home;1;AML;J. Solís;;;;;;
5;3g6rx9q2duzspubkzzm0852xg;0;65;8;479lsfr4cwlzewpbuda3y2xv4;e1102zedtirvq8md6o2sfd15g;home;1;Sub;;;;;;;
5;aa4v8xfn3ra4digk5h7gdrbze;0;32;8;479lsfr4cwlzewpbuda3y2xv4;e1102zedtirvq8md6o2sfd15g;home;1;Sub;W. Rivera;2b8nmdlsqa9wxn8xlujvyaqga;60,0;2,0;;;
5;abemsr9zh7bklu5jboks5ivpw;0;34;8;479lsfr4cwlzewpbuda3y2xv4;e1102zedtirvq8md6o2sfd15g;home;1;Sub;Y. Tsukada;25rizu4n91uyax4z6l5jv6dqs;60,0;2,0;;;
5;8isz09ynyz28pkhuio5vnl9g4;0;55;8;479lsfr4cwlzewpbuda3y2xv4;e1102zedtirvq8md6o2sfd15g;home;1;Sub;;;;;;;
5;c2b6h5zwjvzdvdcybyuqd6exg;0;59;8;479lsfr4cwlzewpbuda3y2xv4;e1102zedtirvq8md6o2sfd15g;home;1;Sub;J. Ellis;7tpb4dk9meee0utyu4cosnxn8;75,0;2,0;;;
