field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;f1e7n1pmjklbr35g7uuqdr78q;1;42;8;erwnez7ksfkns4dqmyr1fhbe;e1rsnx0tmjz67dwkq8i909o2c;home;1;GK;J. Hibbert;;;;;;
2;cbjd834y2hdx5jr3bda1zz6ga;2;52;8;erwnez7ksfkns4dqmyr1fhbe;e1rsnx0tmjz67dwkq8i909o2c;home;1;DR;E. Centeno;;;;;;
2;f69xf0cdfn1qe63t5tr5in10;3;50;8;erwnez7ksfkns4dqmyr1fhbe;e1rsnx0tmjz67dwkq8i909o2c;home;1;DC;D. Chong-Qui;;;;;;
3;6ahu72g0u39bxbjiz7ggefai1;4;45;8;erwnez7ksfkns4dqmyr1fhbe;e1rsnx0tmjz67dwkq8i909o2c;home;1;MC;N. Okello;;;;;;
2;8pzkxfe5txe71u08n67d8k1uy;5;21;8;erwnez7ksfkns4dqmyr1fhbe;e1rsnx0tmjz67dwkq8i909o2c;home;1;DL;E. Morales;;;;3uzxhd8g0jnft5xcd59yztm95;45,0;2,0
2;2iz7apzo49byqz0ws65h9d7v8;6;95;8;erwnez7ksfkns4dqmyr1fhbe;e1rsnx0tmjz67dwkq8i909o2c;home;1;DC;K. Moore;;;;8dcbkmm7ktscumo0c6qcpy1p0;60,0;2,0
3;eg5gobm8zylt21enud00dfnmy;7;99;8;erwnez7ksfkns4dqmyr1fhbe;e1rsnx0tmjz67dwkq8i909o2c;home;1;AMR;K. Tmimi;;;;;;
3;d5kcfgycj51y6aw82r38sl7o4;8;86;8;erwnez7ksfkns4dqmyr1fhbe;e1rsnx0tmjz67dwkq8i909o2c;home;1;MC;Javier Armas;;;;;;
4;ax2y5fvc4dzwn4qkxrfutapsk;9;62;8;erwnez7ksfkns4dqmyr1fhbe;e1rsnx0tmjz67dwkq8i909o2c;home;1;FW;A. Gordon;;;;3lafo3mzfkp2kmf2fj8d6lnv8;60,0;2,0
3;1b9b97pxox77ia41cilqqm4iy;10;30;8;erwnez7ksfkns4dqmyr1fhbe;e1rsnx0tmjz67dwkq8i909o2c;home;1;AMC;Nick Firmino;;;;7y5v3oex0pnupaahm8arguluc;45,0;2,0
