field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;3f52lf1p2xmtzysfi8n18m044;1;91;2;7fbej4xwoq4imaf5l39304m37;e25bk8nmfo9hdxla9nhwwmy38;away;1;GK;J. Molinaro;;;;;;
2;2vq2t4ttpcwey95jzofd60qy2;2;42;2;7fbej4xwoq4imaf5l39304m37;e25bk8nmfo9hdxla9nhwwmy38;away;1;DR;C. Klein;;;;;;
2;9kahvwswke29dt3uumulbktpm;3;40;2;7fbej4xwoq4imaf5l39304m37;e25bk8nmfo9hdxla9nhwwmy38;away;1;DC;M. Visconti;;;;i15xuf6lug0m5twd06n2pus4;79,0;2,0
3;1pm343qga3zwdbrjngpeqhtnu;4;80;2;7fbej4xwoq4imaf5l39304m37;e25bk8nmfo9hdxla9nhwwmy38;away;1;MC;J. Swallen;;;;4oz12ku4mdjsq7y4sgogpwg2y;70,0;2,0
3;1pm343qga3zwdbrjngpeqhtnu;4;80;2;7fbej4xwoq4imaf5l39304m37;e25bk8nmfo9hdxla9nhwwmy38;away;1;MC;J. Swallen;;;;bpfl7nj8llr3dfadhtju52rro;70,0;2,0
2;4cfvnypovkt900sfxmdhvxtec;5;28;2;7fbej4xwoq4imaf5l39304m37;e25bk8nmfo9hdxla9nhwwmy38;away;1;DL;C. Rindov;;;;;;
2;tvbjgz0zeq5irumgofxrko44;6;89;2;7fbej4xwoq4imaf5l39304m37;e25bk8nmfo9hdxla9nhwwmy38;away;1;DC;L. Christiano;;;;;;
3;3tkdn8arq1j3il4ako7rcio2y;7;38;2;7fbej4xwoq4imaf5l39304m37;e25bk8nmfo9hdxla9nhwwmy38;away;1;MR;M. Goumballe;;;;;;
3;bhhdcubw5vyxzf0lc1fcfftka;8;31;2;7fbej4xwoq4imaf5l39304m37;e25bk8nmfo9hdxla9nhwwmy38;away;1;MC;D. Flores;;;;;;
4;cqmvrx028gh19yh8qh7w01y0a;9;99;2;7fbej4xwoq4imaf5l39304m37;e25bk8nmfo9hdxla9nhwwmy38;away;1;FW;R. Avila;;;;;;
4;vhjelesjaxtgjcgfv7yxp2lm;10;98;2;7fbej4xwoq4imaf5l39304m37;e25bk8nmfo9hdxla9nhwwmy38;away;1;FW;S. Cruz;;;;;;
3;9ts3xs5p912m8f3pph7ni9vkk;11;88;2;7fbej4xwoq4imaf5l39304m37;e25bk8nmfo9hdxla9nhwwmy38;away;1;ML;S. Donovan;;;;32t6g252ti1peycjite40qiy2;59,0;2,0
5;78geqjj0pzo2gp7p8xg3q39w;0;37;2;7fbej4xwoq4imaf5l39304m37;e25bk8nmfo9hdxla9nhwwmy38;away;1;Sub;;;;;;;
5;a8ngovgs2qfu5udzb97kelg16;0;39;2;7fbej4xwoq4imaf5l39304m37;e25bk8nmfo9hdxla9nhwwmy38;away;1;Sub;;;;;;;
5;4oz12ku4mdjsq7y4sgogpwg2y;0;47;2;7fbej4xwoq4imaf5l39304m37;e25bk8nmfo9hdxla9nhwwmy38;away;1;Sub;K. Habibullah;1pm343qga3zwdbrjngpeqhtnu;70,0;2,0;;;
5;4oz12ku4mdjsq7y4sgogpwg2y;0;47;2;7fbej4xwoq4imaf5l39304m37;e25bk8nmfo9hdxla9nhwwmy38;away;1;Sub;K. Habibullah;dhrxi7hj8xh15ky7q6u5wqi5m;70,0;2,0;;;
5;c7luarkv7hwdspd9xhidhisk4;0;52;2;7fbej4xwoq4imaf5l39304m37;e25bk8nmfo9hdxla9nhwwmy38;away;1;Sub;;;;;;;
5;i15xuf6lug0m5twd06n2pus4;0;67;2;7fbej4xwoq4imaf5l39304m37;e25bk8nmfo9hdxla9nhwwmy38;away;1;Sub;Pau Vidal;9kahvwswke29dt3uumulbktpm;79,0;2,0;;;
5;32t6g252ti1peycjite40qiy2;0;70;2;7fbej4xwoq4imaf5l39304m37;e25bk8nmfo9hdxla9nhwwmy38;away;1;Sub;R. Hațegan;9ts3xs5p912m8f3pph7ni9vkk;59,0;2,0;;;
5;1wa60ccrpw2zqguj4ayeeacyc;0;74;2;7fbej4xwoq4imaf5l39304m37;e25bk8nmfo9hdxla9nhwwmy38;away;1;Sub;;;;;;;
5;avijawqszxv4ewdxydxeugbv8;0;76;2;7fbej4xwoq4imaf5l39304m37;e25bk8nmfo9hdxla9nhwwmy38;away;1;Sub;;;;;;;
5;4sw7pq7xhnf7pqii16lhtf7ro;0;77;2;7fbej4xwoq4imaf5l39304m37;e25bk8nmfo9hdxla9nhwwmy38;away;1;Sub;;;;;;;
1;f0ho22yhl3xywdlufzy799hjo;1;51;4;ew2zirzye0sw1txr2m33nr25y;e25bk8nmfo9hdxla9nhwwmy38;home;1;GK;D. Sweeney;;;;;;
2;f2nxaemhqi8kbtbejnqekgd4a;2;78;4;ew2zirzye0sw1txr2m33nr25y;e25bk8nmfo9hdxla9nhwwmy38;home;1;DR;J. Garcia;;;;;;
2;3q8dpwqkikbugz3ikwcmkbg4q;3;72;4;ew2zirzye0sw1txr2m33nr25y;e25bk8nmfo9hdxla9nhwwmy38;home;1;DC;R. Ibarra;;;;;;
3;dhrxi7hj8xh15ky7q6u5wqi5m;4;64;4;ew2zirzye0sw1txr2m33nr25y;e25bk8nmfo9hdxla9nhwwmy38;home;1;MC;B. Leroux;;;;4oz12ku4mdjsq7y4sgogpwg2y;73,0;2,0
3;dhrxi7hj8xh15ky7q6u5wqi5m;4;64;4;ew2zirzye0sw1txr2m33nr25y;e25bk8nmfo9hdxla9nhwwmy38;home;1;MC;B. Leroux;;;;bpfl7nj8llr3dfadhtju52rro;73,0;2,0
2;dqa88ma3jbk33lsyzo45uy2cq;5;66;4;ew2zirzye0sw1txr2m33nr25y;e25bk8nmfo9hdxla9nhwwmy38;home;1;DL;A. Cano;;;;4h8dml0qrwpqza4kqazp5dnqi;85,0;2,0
2;79z5vt08ga8prn33vi2a260kq;6;77;4;ew2zirzye0sw1txr2m33nr25y;e25bk8nmfo9hdxla9nhwwmy38;home;1;DC;C. Walls;;;;;;
