id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_JerseyNumber;value_PlayerPosition;value_TeamKit;value_Involved;value_TeamFormation;value_Captain;value_Resume;value_TeamPlayerFormation;value_DirectionOfPlay;value_PassEndX;value_Zone;value_KickOff;value_Angle;value_PassEndY;value_Length;value_LongBall;value_Chipped;value_HeadPass;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_Offensive;value_TouchTypeControl;value_Defensive;value_IntendedTackleTarget;value_TakeOnSpace;value_TouchTypePass;value_Launch;value_FlickOn;value_OutOfPlay;value_LayOff;value_SwitchOfPlay;value_DeletedEventType;value_TakeOnOvertake;value_BlockedPass;value_RightFooted;value_OutSwinger;value_Cross;value_BlockedCross;value_Left;value_Right;value_CornerTaken;value_Assist;value_IntentionalAssist;value_GoalmouthZ;value_BlockedX;value_RelatedEventId;value_LowCentre;value_FromCorner;value_BigChance;value_BlockedY;value_BoxCentre;value_FirstTouch;value_GoalmouthY;value_Assisted;value_Head;value_Standing;value_Collected;value_Hands;value_MediumGkIntervention;value_KeeperThrow;value_NotVisible;value_Foul;value_Direct;value_AttemptedTackle;value_FreeKickTaken;value_GkY;value_FastBreak;value_LeftFooted;value_IndividualPlay;value_Blocked;value_GkX;value_BoxLeft;value_DefBlock;value_OutOfBoxCentre;value_LowLeft;value_InSwinger;value_TouchTypeClearance;value_PlayersCaughtOffside;value_NextEventGoalKick;value_Indirect;value_AerialFoul;value_OverhitCross;value_Unchallenged;value_LowGkIntervention;value_ThroughBall;value_GkXTimeOfGoal;value_GoalShotTimestamp;value_GoalShotGameClock;value_GkYTimeOfGoal;value_GoalKick;value_High;value_ShirtPull/Holding;value_TacticalFoul;value_YellowCard;value_HighClaim;value_HighGkIntervention;value_Defensive1V1;value_Shove/Push;value_RegularPlay;value_LowRight;value_Low;value_RecklessOffence;value_Stooping;value_OverArm;value_IncorrectOutOfPlayDecision;value_2NdAssist;value_CloseRight;value_BoxDeepLeft;value_NotPastGoalLine;value_2NdAssisted;value_2NdRelatedEventId;value_SmallBoxCentre;value_HighRight;value_PullBack;value_ParriedSafe;value_BoxRight;value_Diving;value_Minutes;value_EndType;value_ParriedDanger;value_InjuredPlayerId;value_Injury;value_NotAssisted;value_SwerveRight;value_FreeKick;value_ByWall;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_GkHoof;value_MisHit;value_Overrun;value_HighCentre;value_Straight;value_DrivenCross;value_Penalty;value_PenaltyTakerId;value_Handball;value_Saved;value_Second(2Nd)OppositeRelatedEventId;value_CausingPlayer;value_Feet;value_GkKickFromHands;value_GoesToPenalties;value_Scored;value_KeeperTouched;value_HighLeft;value_HitWoodwork;value_HitLeftPost;value_Missed;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2701125357;1;34;16;0;0;6gaq85erpkvbyxvivd96wuw44;1;0,0;0,0;2024-07-15T01:21:09.136Z;2024-07-15T02:06:00Z;[{'id': 5105206619, 'qualifierId': 59, 'value': '12, 32, 73, 70, 43, 44, 40, 36, 49, 39, 77, 31, 46, 48, 55, 56, 65, 66, 81, 91'}, {'id': 5105206617, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5105226769, 'qualifierId': 197, 'value': '18751'}, {'id': 5105206615, 'qualifierId': 30, 'value': '84gabnykc01v70413vehqyvah, 24rxb4eeoakxkmritog6a7x90, 4x8eu2y112ini9hx6b72bh46i, 6mm2h3x9hmyea3bu2wt80uo7o, do2o6ka25talswmmillufejqi, 7s32iecltoopsjddclg0ixzx0, ajxa2yfzwct5nd0ded1sa9vmy, 8f5h44hnjdt4rdflu8qqhx5d6, cuxpxs76g96vwhrnhw9rw2ihg, 3v3b0z3d5czty8zcxrhy5uyac, 18b4rpeia26xq688ieqaw2z2s, d4xd9fxqjwfe7x46byn60dx49, d1w4zs63sx3cc7wnc8wshbfv8, 1efr6u06hvhm9drygb9qsi92i, 5reylt0uyetl6qavkvd8inai, m4w1lmkfi8siwrxs9ny5ihhw, e2912gyiutvn3aky0z9ijz384, a55do2tx3wz5tsboyf355aiok, 3fbekr02uy605ppv5pzw9321g, 17ni4ntnt7b6b0bwst3e4djze'}, {'id': 5105206621, 'qualifierId': 130, 'value': '4'}, {'id': 5105206625, 'qualifierId': 194, 'value': 'do2o6ka25talswmmillufejqi'}, {'id': 5105206627, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5105206623, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;e2wgkfzh4bywcg6tk7di384yc;Team set up;;;18751,0;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;;;;;;;;;;0;0;0;Ventura County;0;;
2701126311;1;34;16;0;0;8ijkk62897so5r3bq0wgwx4bu;1;0,0;0,0;2024-07-15T01:29:59.897Z;2024-07-15T02:22:29Z;[{'id': 5105212169, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5105234763, 'qualifierId': 194, 'value': 'ab8jzmb5h0lh7mt66h3zgm5ex'}, {'id': 5105212167, 'qualifierId': 30, 'value': 'ab8jzmb5h0lh7mt66h3zgm5ex, 7suq9shgwa8fyip80f1zy1mhg, 4blue6g56i3t9iffjcmjs6hhw, 1o0ew8fp44fuo3o7c8ef8pd2i, e6ocmgjfubq6qvg4wfp8zipsk, e23yyl43xtcve09dx234uuj8, b2sl4wp77nrynvodb6k19yfze, 58akq0ojntf5n123msb1tzeok, 1kl9112b8rcbr3k1s5hs353x0, 5zawuirp825t4brhaj90k9duy, 70e7dozhms3xdkr0n6kas00es, al111zqt4j4b3yg8064d9cep6, 2eoftsi3eznjjmhu8ybft11ck, 1k1vw0upmpekjnh6mmfhqz8yc, byzzgz3ix7vuh6c3hqf7580lw, 4x2cg9w7dpg8axic4gehs66fo, 9d2xzklfm4lnhy5wl80bmp4pg, pldpnmzoo867jhdvamuhp9n8, 4283da2hccprbybkv4nvmos2c'}, {'id': 5105212177, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5105225545, 'qualifierId': 197, 'value': '23342'}, {'id': 5105212175, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5105212171, 'qualifierId': 59, 'value': '31, 97, 50, 21, 67, 51, 53, 87, 29, 61, 75, 48, 72, 73, 74, 83, 90, 91, 95'}, {'id': 5105212173, 'qualifierId': 130, 'value': '8'}];;;;;e2wgkfzh4bywcg6tk7di384yc;Team set up;;;23342,0;;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;;;;;;;;;;0;0;0;Los Angeles II;0;;
2701128561;2;32;1;0;0;6gaq85erpkvbyxvivd96wuw44;1;0,0;0,0;2024-07-15T02:04:28.555Z;2024-07-20T12:51:02Z;[{'id': 5105225871, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;e2wgkfzh4bywcg6tk7di384yc;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;;;;;;;;;;0;0;0;Ventura County;0;;
2701128567;2;32;1;0;0;8ijkk62897so5r3bq0wgwx4bu;1;0,0;0,0;2024-07-15T02:04:28.555Z;2024-07-15T02:04:31Z;[{'id': 5105225897, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;e2wgkfzh4bywcg6tk7di384yc;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;;;;;;;;;;0;0;0;Los Angeles II;0;;
2701128579;3;1;1;0;0;6gaq85erpkvbyxvivd96wuw44;1;50,0;50,0;2024-07-15T02:04:28.556Z;2024-07-15T02:04:36Z;[{'id': 5105225939, 'qualifierId': 140, 'value': '32.4'}, {'id': 5105225937, 'qualifierId': 56, 'value': 'Back'}, {'id': 5105225947, 'qualifierId': 279, 'value': 'S'}, {'id': 5105225945, 'qualifierId': 213, 'value': '3.24'}, {'id': 5105225941, 'qualifierId': 141, 'value': '47.2'}, {'id': 5105225943, 'qualifierId': 212, 'value': '18.6'}];cuxpxs76g96vwhrnhw9rw2ihg;J. Hernandez;;;e2wgkfzh4bywcg6tk7di384yc;Pass;;;;;;;;;;32,4;;;3,24;47,2;18,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;32,4;47,2;;;;;;;;0;0;0;Ventura County;0;FW;1,0
2701128611;9;1;1;0;2;6gaq85erpkvbyxvivd96wuw44;1;33,8;49,3;2024-07-15T02:04:30.761Z;2024-07-15T02:51:59Z;[{'id': 5105226253, 'qualifierId': 56, 'value': 'Right'}, {'id': 5105226259, 'qualifierId': 212, 'value': '40.8'}, {'id': 5105226263, 'qualifierId': 1}, {'id': 5105226255, 'qualifierId': 140, 'value': '60.4'}, {'id': 5105226251, 'qualifierId': 155}, {'id': 5105226261, 'qualifierId': 213, 'value': '5.47'}, {'id': 5105226257, 'qualifierId': 141, 'value': '5.6'}];8f5h44hnjdt4rdflu8qqhx5d6;T. Musto;;;e2wgkfzh4bywcg6tk7di384yc;Pass;;;;;;;;;;60,4;;;5,47;5,6;40,8;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;60,4;5,6;;;;;;;;0;0;2;Ventura County;2;MC;1,0
2701128867;31;1;1;0;5;6gaq85erpkvbyxvivd96wuw44;0;65,3;3,5;2024-07-15T02:04:34.029Z;2024-07-15T02:07:14Z;[{'id': 5105227521, 'qualifierId': 213, 'value': '2.09'}, {'id': 5105227519, 'qualifierId': 212, 'value': '4.2'}, {'id': 5105227513, 'qualifierId': 56, 'value': 'Right'}, {'id': 5105227517, 'qualifierId': 141, 'value': '8.9'}, {'id': 5105227515, 'qualifierId': 140, 'value': '63.3'}];3v3b0z3d5czty8zcxrhy5uyac;N. Sullivan;;;e2wgkfzh4bywcg6tk7di384yc;Pass;;;;;;;;;;63,3;;;2,09;8,9;4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;63,3;8,9;;;;;;;;0;0;5;Ventura County;5;FWR;1,0
2701128577;3;61;1;0;7;8ijkk62897so5r3bq0wgwx4bu;1;34,5;90,9;2024-07-15T02:04:35.684Z;2024-07-15T02:04:35Z;[{'id': 5105225935, 'qualifierId': 56, 'value': 'Back'}];70e7dozhms3xdkr0n6kas00es;H. Miller;;;e2wgkfzh4bywcg6tk7di384yc;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;away;;;;;;;;;;0;0;7;Los Angeles II;7;AML;1,0
2701128585;4;1;1;0;8;6gaq85erpkvbyxvivd96wuw44;1;61,1;19,4;2024-07-15T02:04:37.062Z;2024-07-15T02:07:17Z;[{'id': 5105225979, 'qualifierId': 140, 'value': '58.4'}, {'id': 5105225981, 'qualifierId': 141, 'value': '10.6'}, {'id': 5105225985, 'qualifierId': 213, 'value': '4.27'}, {'id': 5105225977, 'qualifierId': 56, 'value': 'Right'}, {'id': 5105225983, 'qualifierId': 212, 'value': '6.6'}, {'id': 5105225975, 'qualifierId': 3}];ajxa2yfzwct5nd0ded1sa9vmy;C. Jaime;;;e2wgkfzh4bywcg6tk7di384yc;Pass;;;;;;;;;;58,4;;;4,27;10,6;6,6;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;58,4;10,6;;;;;;;;0;0;8;Ventura County;8;MC;1,0
2701128593;5;1;1;0;9;6gaq85erpkvbyxvivd96wuw44;1;57,4;13,9;2024-07-15T02:04:37.677Z;2024-07-20T12:53:36Z;[{'id': 5105226031, 'qualifierId': 212, 'value': '10.8'}, {'id': 5105226025, 'qualifierId': 56, 'value': 'Back'}, {'id': 5105226027, 'qualifierId': 140, 'value': '47.7'}, {'id': 5105226033, 'qualifierId': 213, 'value': '3.49'}, {'id': 5105226023, 'qualifierId': 3}, {'id': 5105226029, 'qualifierId': 141, 'value': '8.4'}];3v3b0z3d5czty8zcxrhy5uyac;N. Sullivan;;;e2wgkfzh4bywcg6tk7di384yc;Pass;;;;;;;;;;47,7;;;3,49;8,4;10,8;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;home;47,7;8,4;;;;;;;;0;0;9;Ventura County;9;FWR;1,0
