field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;aja8uwk6vyjzzd5nvkh7pbtux;1;25;4;5ou8b446l1sl8frblkz3xi17g;e39zrhtf97q609q4h82jicv10;home;1;GK;T. Muse;;;;;;
2;5nykil6w1bxfevpp2c5rr32fo;2;80;4;5ou8b446l1sl8frblkz3xi17g;e39zrhtf97q609q4h82jicv10;home;1;DR;J. Jones-Riley;;;;;;
2;a5tjyddv4t8eg9wcum3o15qfo;3;51;4;5ou8b446l1sl8frblkz3xi17g;e39zrhtf97q609q4h82jicv10;home;1;DC;S. Jura;;;;;;
3;druwx3n136woly4objqgk7tp0;4;46;4;5ou8b446l1sl8frblkz3xi17g;e39zrhtf97q609q4h82jicv10;home;1;MC;A. Enriquez;;;;3f5g2kijev81v9nzwsyxwiiju;76,0;2,0
2;33l8nq6xbj3pm1lkxo2qs5vfu;5;40;4;5ou8b446l1sl8frblkz3xi17g;e39zrhtf97q609q4h82jicv10;home;1;DL;K. Ferdinand;;;;;;
2;d1xlw5bza316m39f9n82hir1m;6;48;4;5ou8b446l1sl8frblkz3xi17g;e39zrhtf97q609q4h82jicv10;home;1;DC;K. Rad;;;;;;
3;6zolwstla33ppx84k1o2v8rv8;7;87;4;5ou8b446l1sl8frblkz3xi17g;e39zrhtf97q609q4h82jicv10;home;1;MC;C. Mendoza;;;;c88etxtac9g49m3usj08lm1hw;76,0;2,0
3;1qfm9519iq3jailrtnk9c0nbo;8;55;4;5ou8b446l1sl8frblkz3xi17g;e39zrhtf97q609q4h82jicv10;home;1;MC;M. Johnston;;;;;;
4;1l275l4mj1o6y4ntho7bap016;9;17;4;5ou8b446l1sl8frblkz3xi17g;e39zrhtf97q609q4h82jicv10;home;1;FW;T. Ikoba;;;;eaqobr6ydsy8fz4h3taqu1xjo;92,0;2,0
4;7t8o8pe93me2pef74vw21nr6y;10;70;4;5ou8b446l1sl8frblkz3xi17g;e39zrhtf97q609q4h82jicv10;home;1;FWR;J. Penn;;;;;;
