id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;matchId;type_displayName;value_TeamKit;value_TeamFormation;value_Captain;value_TeamPlayerFormation;value_Resume;value_JerseyNumber;value_PlayerPosition;value_Involved;value_DirectionOfPlay;value_Angle;value_PassEndX;value_PassEndY;value_Zone;value_KickOff;value_Length;value_LongBall;value_Chipped;value_FlickOn;value_HeadPass;value_IntendedTackleTarget;value_Defensive;value_OppositeRelatedEventId;value_Offensive;value_TakeOnSpace;value_TouchTypeControl;value_Foul;value_Shove/Push;value_Direct;value_FreeKickTaken;value_BlockedPass;value_TouchTypePass;value_NextEventThrowIn;value_ThrowIn;value_OutOfPlay;value_TouchTypeClearance;value_LayOff;value_DeletedEventType;value_Head;value_NextEventGoalKick;value_GoalKick;value_Low;value_AttemptedTackle;value_GkX;value_LowCentre;value_BlockedX;value_NotAssisted;value_GkY;value_FreeKick;value_RightFooted;value_GoalmouthZ;value_BlockedY;value_GoalmouthY;value_OutOfBoxCentre;value_Blocked;value_DefBlock;value_ByWall;value_Left;value_Right;value_Cross;value_OutSwinger;value_CornerTaken;value_TakeOnOvertake;value_SwitchOfPlay;value_LeftFooted;value_InSwinger;value_BlockedCross;value_High;value_Overrun;value_OtherObstacle;value_OtherReason;value_RefereeDelay;value_RelatedEventId;value_BallHitsReferee;value_Launch;value_FloatedCross;value_Straight;value_ShirtPull/Holding;value_LowGkIntervention;value_BoxCentre;value_SetPiece;value_FirstTouch;value_ThroughBall;value_Assist;value_Assisted;value_BoxDeepLeft;value_IndividualPlay;value_CloseLeft;value_RegularPlay;value_IntentionalAssist;value_NotPastGoalLine;value_FromCorner;value_BlockedClearance;value_Defensive1V1;value_PlayersCaughtOffside;value_YellowCard;value_NotRetreating;value_Dissent;value_SecondYellow;value_Indirect;value_KeeperThrow;value_RecklessOffence;value_OutOfBoxDeepLeft;value_CloseHigh;value_Minutes;value_35Centre;value_LowRight;value_EndType;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_HighGkIntervention;value_GkKickFromHands;value_OverArm;value_Volley;value_LowLeft;value_ParriedDanger;value_Hands;value_Diving;value_NotVisible;value_OverhitCross;value_HighLeft;value_TimeWasting;value_BoxLeft;value_MediumGkIntervention;value_GoalDisallowed;value_CloseRight;value_ProfessionalFoulLastMan;value_RedCard;value_BoxRight;value_PenaltyTakerId;value_Penalty;value_Scored;value_GkYTimeOfGoal;value_BigChance;value_FantasyAssistTeam;value_CausingPlayer;value_FantasyAssistType;value_Second(2Nd)OppositeRelatedEventId;value_GoalShotTimestamp;value_FantasyAssistId;value_GkXTimeOfGoal;value_FantasyAssistedBy;value_GoalShotGameClock;value_Tap;value_Handball;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2726604521;1;34;16;0;0;iiolvosiuokkrl5iuoxcjo4p;1;0,0;0,0;2024-09-27T23:19:22.716Z;2024-09-28T00:04:00Z;[{'id': 5245550147, 'qualifierId': 197, 'value': '23380'}, {'id': 5245496651, 'qualifierId': 130, 'value': '4'}, {'id': 5245496655, 'qualifierId': 194, 'value': '4wu5ystem7t4d7veep83j2qne'}, {'id': 5245496653, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5245496657, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5245496649, 'qualifierId': 59, 'value': '51, 53, 72, 45, 35, 56, 24, 78, 90, 57, 27, 47, 48, 40, 61, 55, 42, 75'}, {'id': 5245496647, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5245496645, 'qualifierId': 30, 'value': '7vhhtm49u9nzdpc9d60empxxw, 4wu5ystem7t4d7veep83j2qne, am8ndwmm4m03ys6wkad29lst0, f1oc42nax0yel4gblge49py7e, at9jab3qv8j4azup6qd5ggui2, 8p3y7tm4lzwp39tojonnohaay, 6kfmf44wdx1btf9mwqdmo36z8, aa5n9va0fkquh5xqfdgbijvv8, 45nz5h9qtf9bnucuxuh3b4qhg, 1p1ektnr3l7lj518cbs2dnmdw, ajrr99t1qsj4sy5zcx0t5ksgk, 28kg6zbpgbb8zrnhidogpxi0a, 1ss7pdaxmlk0sijax5brwpkyy, 38z2cuwmbeanujqho9cqwozmy, 2miuqwzjmcoxmgdyil758no5w, 86piuxs9tep01rcbsp3t8vx90, etyqw24tl6zko0qarctyv6ane, eh27y0usldxsj6ouf3pkvbg9g'}];;;;e4qbvstkhmtqqa5ir1mqak2c;Team set up;23380,0;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;;;;;;;;;;0;0;0;Minnesota United II;0;;
2726605631;1;34;16;0;0;1pc6sx2h4rp113ldkbp5d2xas;1;0,0;0,0;2024-09-27T23:23:22.569Z;2024-09-28T00:03:59Z;[{'id': 5245503051, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0'}, {'id': 5245503047, 'qualifierId': 130, 'value': '4'}, {'id': 5245503043, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5'}, {'id': 5245550145, 'qualifierId': 197, 'value': '23805'}, {'id': 5245503045, 'qualifierId': 59, 'value': '60, 18, 59, 44, 35, 24, 34, 64, 99, 95, 50, 57, 45, 51, 39, 98, 66'}, {'id': 5245503041, 'qualifierId': 30, 'value': '9r22tf7lu2q4un35qwfsnpw5w, d3456pq0j1inb26jyfxu5ak15, 98tyw392rp4ow3apn0ygrbtp0, e2olfsduxvaqsx6rdbaasa356, 1795jw1oc3pkthyq0kqexh65m, 58839nfw30jxxroffd3a7q0wk, a4staqjshva5lhcr0dw744nze, cit2gf4ogca252eu38z4gntp0, tc5nl1hz1w06jobp5ckktr3e, clqg0gusupd6cehokpggbslck, 1gmj4ge2sog221wqkmap8kidw, byelagxi3qg0rb06tjl3fodn8, dbc343lsh3l20pi4a4gmd94wk, cz98wcy8nq9hqncb2z33p4hec, 2pka62t1zg04jwkcx6zbc4wlw, 39kv8a6a82fos9hw9esb84k16, 4tcyjpnhwsxlay9mqedrpspp0'}, {'id': 5245503053, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;e4qbvstkhmtqqa5ir1mqak2c;Team set up;23805,0;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;;;;;;;;;;0;0;0;Colorado Rapids II;0;;
2726613915;2;32;1;0;0;iiolvosiuokkrl5iuoxcjo4p;1;0,0;0,0;2024-09-28T00:04:09.767Z;2024-09-28T00:04:09Z;[{'id': 5245550365, 'qualifierId': 127, 'value': 'Left to Right'}];;;;e4qbvstkhmtqqa5ir1mqak2c;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;;;;;;;;;;0;0;0;Minnesota United II;0;;
2726613919;2;32;1;0;0;1pc6sx2h4rp113ldkbp5d2xas;1;0,0;0,0;2024-09-28T00:04:09.767Z;2024-10-02T06:14:48Z;[{'id': 5245550385, 'qualifierId': 127, 'value': 'Right to Left'}];;;;e4qbvstkhmtqqa5ir1mqak2c;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;;;;;;;;;;0;0;0;Colorado Rapids II;0;;
2726613931;3;1;1;0;0;iiolvosiuokkrl5iuoxcjo4p;1;50,2;50,1;2024-09-28T00:04:09.768Z;2024-09-28T00:04:13Z;[{'id': 5245550443, 'qualifierId': 213, 'value': '2.84'}, {'id': 5245550437, 'qualifierId': 140, 'value': '28.9'}, {'id': 5245550439, 'qualifierId': 141, 'value': '60.2'}, {'id': 5245550435, 'qualifierId': 56, 'value': 'Back'}, {'id': 5245550445, 'qualifierId': 279, 'value': 'S'}, {'id': 5245550441, 'qualifierId': 212, 'value': '23.4'}];45nz5h9qtf9bnucuxuh3b4qhg;C. Swan;;e4qbvstkhmtqqa5ir1mqak2c;Pass;;;;;;;;;;2,84;28,9;60,2;;;23,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;28,9;60,2;;;;;;;;0;0;0;Minnesota United II;0;FW;1,0
2726613937;4;1;1;0;2;iiolvosiuokkrl5iuoxcjo4p;1;28,5;58,1;2024-09-28T00:04:12.693Z;2024-09-28T00:04:15Z;[{'id': 5245550473, 'qualifierId': 212, 'value': '15.2'}, {'id': 5245550467, 'qualifierId': 56, 'value': 'Back'}, {'id': 5245550469, 'qualifierId': 140, 'value': '26.5'}, {'id': 5245550471, 'qualifierId': 141, 'value': '36.0'}, {'id': 5245550475, 'qualifierId': 213, 'value': '4.57'}];8p3y7tm4lzwp39tojonnohaay;N. Jones;;e4qbvstkhmtqqa5ir1mqak2c;Pass;;;;;;;;;;4,57;26,5;36,0;;;15,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;26,5;36,0;;;;;;;;0;0;2;Minnesota United II;2;DC;1,0
2726613947;5;1;1;0;5;iiolvosiuokkrl5iuoxcjo4p;1;26,7;32,5;2024-09-28T00:04:15.638Z;2024-09-28T00:04:19Z;[{'id': 5245550537, 'qualifierId': 141, 'value': '28.3'}, {'id': 5245550539, 'qualifierId': 212, 'value': '44.9'}, {'id': 5245550533, 'qualifierId': 56, 'value': 'Center'}, {'id': 5245550543, 'qualifierId': 1}, {'id': 5245550541, 'qualifierId': 213, 'value': '6.22'}, {'id': 5245550531, 'qualifierId': 155}, {'id': 5245550535, 'qualifierId': 140, 'value': '69.4'}];at9jab3qv8j4azup6qd5ggui2;D. Chacón;;e4qbvstkhmtqqa5ir1mqak2c;Pass;;;;;;;;;;6,22;69,4;28,3;;;44,9;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;69,4;28,3;;;;;;;;0;0;5;Minnesota United II;5;DL;1,0
2726613949;6;1;1;0;9;iiolvosiuokkrl5iuoxcjo4p;0;65,4;28,0;2024-09-28T00:04:19.334Z;2024-10-02T06:19:54Z;[{'id': 5245550553, 'qualifierId': 140, 'value': '79.3'}, {'id': 5245550559, 'qualifierId': 213, 'value': '5.82'}, {'id': 5245550557, 'qualifierId': 212, 'value': '16.3'}, {'id': 5245550551, 'qualifierId': 56, 'value': 'Right'}, {'id': 5245550555, 'qualifierId': 141, 'value': '17.3'}, {'id': 5245550549, 'qualifierId': 168}, {'id': 5245550547, 'qualifierId': 3}];45nz5h9qtf9bnucuxuh3b4qhg;C. Swan;;e4qbvstkhmtqqa5ir1mqak2c;Pass;;;;;;;;;;5,82;79,3;17,3;;;16,3;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;79,3;17,3;;;;;;;;0;0;9;Minnesota United II;9;FW;1,0
2726613969;3;1;1;0;12;1pc6sx2h4rp113ldkbp5d2xas;1;20,0;72,0;2024-09-28T00:04:21.772Z;2024-09-28T00:04:27Z;[{'id': 5245550665, 'qualifierId': 140, 'value': '10.1'}, {'id': 5245550669, 'qualifierId': 212, 'value': '12.7'}, {'id': 5245550667, 'qualifierId': 141, 'value': '61.2'}, {'id': 5245550671, 'qualifierId': 213, 'value': '3.76'}, {'id': 5245550663, 'qualifierId': 56, 'value': 'Back'}];98tyw392rp4ow3apn0ygrbtp0;J. Farris;;e4qbvstkhmtqqa5ir1mqak2c;Pass;;;;;;;;;;3,76;10,1;61,2;;;12,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;10,1;61,2;;;;;;;;0;0;12;Colorado Rapids II;12;DC;1,0
2726613975;4;61;1;0;14;1pc6sx2h4rp113ldkbp5d2xas;1;10,1;61,1;2024-09-28T00:04:24.451Z;2024-10-02T06:21:02Z;[{'id': 5245550699, 'qualifierId': 56, 'value': 'Back'}];9r22tf7lu2q4un35qwfsnpw5w;K. Zeruhn;;e4qbvstkhmtqqa5ir1mqak2c;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;;;;;;;;;;0;0;14;Colorado Rapids II;14;GK;1,0
