id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Resume;value_JerseyNumber;value_TeamKit;value_TeamFormation;value_TeamPlayerFormation;value_PlayerPosition;value_Captain;value_Involved;value_DirectionOfPlay;value_Zone;value_KickOff;value_Angle;value_Length;value_PassEndY;value_PassEndX;value_LongBall;value_Launch;value_Chipped;value_FlickOn;value_OppositeRelatedEventId;value_Defensive;value_Offensive;value_IntendedTackleTarget;value_DeletedEventType;value_HeadPass;value_Cross;value_Head;value_Direct;value_Foul;value_AttemptedTackle;value_FreeKickTaken;value_NextEventThrowIn;value_ThrowIn;value_BlockedPass;value_OutOfPlay;value_Left;value_IntentionalAssist;value_CornerTaken;value_Assist;value_InSwinger;value_GkX;value_GoalmouthZ;value_SmallBoxLeft;value_FromCorner;value_GkY;value_Assisted;value_RelatedEventId;value_GoalmouthY;value_FirstTouch;value_NextEventGoalKick;value_Low;value_GoalKick;value_BlockedX;value_LowCentre;value_OutOfBoxCentre;value_IndividualPlay;value_Blocked;value_RightFooted;value_RegularPlay;value_BlockedY;value_DefBlock;value_LeftFooted;value_BoxCentre;value_BigChance;value_CloseRightAndHigh;value_OverArm;value_KeeperThrow;value_PullBack;value_MisHit;value_SmallBoxCentre;value_Right;value_TempMissed;value_NotVisible;value_Shove/Push;value_SwitchOfPlay;value_LowLeft;value_Standing;value_Hands;value_ParriedDanger;value_LayOff;value_ShirtPull/Holding;value_PlayersCaughtOffside;value_Indirect;value_FastBreak;value_LowRight;value_GoalShotTimestamp;value_GoalShotGameClock;value_SetPiece;value_CloseLeft;value_High;value_InjuredPlayerId;value_Injury;value_YellowCard;value_Dissent;value_HighRight;value_NotAssisted;value_PersistentInfringement;value_RecklessOffence;value_Overrun;value_HighCentre;value_Collected;value_LeadingToAttempt;value_RelatedError1Id;value_Diving;value_BlockedCross;value_Minutes;value_SwerveRight;value_EndType;value_TacticalFoul;value_Reaching;value_ParriedSafe;value_ThrowInSetPiece;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_BoxRight;value_Feet;value_Stooping;value_CloseRight;value_ThroughBall;value_PenaltyTakerId;value_Penalty;value_Second(2Nd)OppositeRelatedEventId;value_CausingPlayer;value_Weak;value_Scored;value_OtherBodyPart;value_LeadingToGoal;value_BoxDeepLeft;value_DrinksBreak;value_RefereeDelay;value_Straight;value_SwerveLeft;value_BoxLeft;value_GkHoof;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2702617933;1;34;16;0;0;6ubc4y1v6hr63mca7ica4hp90;1;0,0;0,0;2024-07-21T20:27:31.608Z;2024-07-21T21:10:11Z;[{'id': 5113487553, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5113487541, 'qualifierId': 59, 'value': '26, 71, 44, 66, 39, 43, 41, 48, 68, 36, 40, 47, 92, 51, 56, 64, 77, 79, 86, 97'}, {'id': 5113588621, 'qualifierId': 197, 'value': '18742'}, {'id': 5113487545, 'qualifierId': 130, 'value': '4'}, {'id': 5113487549, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5113487537, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5113487551, 'qualifierId': 194, 'value': 'dercetgxemr74f5yasq86s5t6'}, {'id': 5113487533, 'qualifierId': 30, 'value': '2v9pdg70kewaarbz4jzsh00a2, 35i699wz5v6nush729peu776c, 3xd2kq7cxmvdbqsfzgi644c4q, dercetgxemr74f5yasq86s5t6, exk9svcdgcbn05ms00fhorvv8, avxfzgoe2y0opif75qu3aeb6c, 7bxp7ho4cmsoviw19q4bxr02c, 3ve0xap9f0gjsslhgjsmakx04, f12wt1v2qf2siv8p6q6x2bxuc, 603sxl8xsij9kep03px6s85m2, 6bg69aksa8wb6wmu7w81is8yy, 8texi81doeqhy7eu6fnhrstbe, 54bxvj70tmam1l59vdthq22ac, 4npcsyrhri5kmeks8gfon146i, doqbp8fg8hke6hhifdr4jzklw, 7nvpvg46tgsnyp31t3se72e0a, 3sg9rl2w343fvx1uv046ox4pg, avg8cobjwujoc3os8q8755tlg, drt65b9m2f494wnoyep49bn1m, 7ofdnarha4k4b8nggld7gxnqi'}];;;;;e56o2vq9uzndxvnpc0e1h0sno;Team set up;;;18742,0;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;;;;0;0;0;Atlanta United II;0;;
2702618807;1;34;16;0;0;erwnez7ksfkns4dqmyr1fhbe;1;0,0;0,0;2024-07-21T20:28:55.341Z;2024-07-21T21:01:32Z;[{'id': 5113585323, 'qualifierId': 197, 'value': '4451'}, {'id': 5113492423, 'qualifierId': 130, 'value': '8'}, {'id': 5113492429, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5113492427, 'qualifierId': 194, 'value': 'd5kcfgycj51y6aw82r38sl7o4'}, {'id': 5113492425, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5113492417, 'qualifierId': 30, 'value': 'f1e7n1pmjklbr35g7uuqdr78q, cbjd834y2hdx5jr3bda1zz6ga, f69xf0cdfn1qe63t5tr5in10, 6ahu72g0u39bxbjiz7ggefai1, 8pzkxfe5txe71u08n67d8k1uy, 2iz7apzo49byqz0ws65h9d7v8, 7y5v3oex0pnupaahm8arguluc, d5kcfgycj51y6aw82r38sl7o4, 5zeta56pml2qki1q095myhvys, 1b9b97pxox77ia41cilqqm4iy, eg5gobm8zylt21enud00dfnmy, 2xkp7vkeqahj9hg171ramritw, 216tgeofjnxr75ehcftkvxkpg, 3uzxhd8g0jnft5xcd59yztm95, 3lafo3mzfkp2kmf2fj8d6lnv8, astn4ytzoaav30ifi17s4dn8, 2dpxsh3ijdwmlkdi1xgiefpqs, 8dcbkmm7ktscumo0c6qcpy1p0, a0wpfy3ac4q8lwyiwvlj6m590, bjk2ns3xadow18v3tkvqqrkh6'}, {'id': 5113492419, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5113492421, 'qualifierId': 59, 'value': '42, 52, 50, 45, 21, 95, 55, 86, 43, 30, 99, 94, 23, 36, 38, 41, 44, 48, 51, 75'}];;;;;e56o2vq9uzndxvnpc0e1h0sno;Team set up;;;4451,0;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;;;;;;;;;;0;0;0;Crown Legacy;0;;
2702636131;2;32;1;0;0;erwnez7ksfkns4dqmyr1fhbe;1;0,0;0,0;2024-07-21T21:05:01.021Z;2024-07-21T21:05:01Z;[{'id': 5113590941, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;e56o2vq9uzndxvnpc0e1h0sno;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;;;;;;;;;;0;0;0;Crown Legacy;0;;
2702636135;2;32;1;0;0;6ubc4y1v6hr63mca7ica4hp90;1;0,0;0,0;2024-07-21T21:05:01.021Z;2024-07-21T21:05:02Z;[{'id': 5113590975, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;e56o2vq9uzndxvnpc0e1h0sno;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;;;;0;0;0;Atlanta United II;0;;
2702636155;3;1;1;0;0;erwnez7ksfkns4dqmyr1fhbe;1;50,6;49,4;2024-07-21T21:05:01.022Z;2024-07-21T21:05:07Z;[{'id': 5113591103, 'qualifierId': 56, 'value': 'Back'}, {'id': 5113591115, 'qualifierId': 279, 'value': 'S'}, {'id': 5113591111, 'qualifierId': 213, 'value': '2.94'}, {'id': 5113591109, 'qualifierId': 212, 'value': '35.2'}, {'id': 5113591107, 'qualifierId': 141, 'value': '59.9'}, {'id': 5113591105, 'qualifierId': 140, 'value': '17.8'}, {'id': 5113591113, 'qualifierId': 1}];5zeta56pml2qki1q095myhvys;R. Neri;;;e56o2vq9uzndxvnpc0e1h0sno;Pass;;;;;;;;;;;;2,94;35,2;59,9;17,8;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;17,8;59,9;;;;;;;;0;0;0;Crown Legacy;0;FW;1,0
2702636157;4;1;1;0;6;erwnez7ksfkns4dqmyr1fhbe;0;17,6;47,3;2024-07-21T21:05:07.228Z;2024-07-21T21:21:41Z;[{'id': 5113591133, 'qualifierId': 140, 'value': '24.1'}, {'id': 5113591141, 'qualifierId': 1}, {'id': 5113591131, 'qualifierId': 56, 'value': 'Back'}, {'id': 5113591139, 'qualifierId': 213, 'value': '5.56'}, {'id': 5113591137, 'qualifierId': 212, 'value': '9.1'}, {'id': 5113591129, 'qualifierId': 157}, {'id': 5113591135, 'qualifierId': 141, 'value': '38.5'}];f1e7n1pmjklbr35g7uuqdr78q;J. Hibbert;;;e56o2vq9uzndxvnpc0e1h0sno;Pass;;;;;;;;;;;;5,56;9,1;38,5;24,1;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;24,1;38,5;;;;;;;;0;0;6;Crown Legacy;6;GK;1,0
2702636187;3;61;1;0;10;6ubc4y1v6hr63mca7ica4hp90;1;75,8;53,7;2024-07-21T21:05:11.030Z;2024-07-21T21:05:11Z;[{'id': 5113591323, 'qualifierId': 56, 'value': 'Center'}];f12wt1v2qf2siv8p6q6x2bxuc;D. Sing;;;e56o2vq9uzndxvnpc0e1h0sno;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;;;;0;0;10;Atlanta United II;10;FW;1,0
2702636205;5;1;1;0;11;erwnez7ksfkns4dqmyr1fhbe;0;24,0;57,8;2024-07-21T21:05:12.284Z;2024-07-21T21:21:51Z;[{'id': 5113591453, 'qualifierId': 56, 'value': 'Back'}, {'id': 5113591465, 'qualifierId': 213, 'value': '6.19'}, {'id': 5113591451, 'qualifierId': 155}, {'id': 5113591455, 'qualifierId': 140, 'value': '47.7'}, {'id': 5113591459, 'qualifierId': 141, 'value': '54.2'}, {'id': 5113591463, 'qualifierId': 212, 'value': '25.0'}];f1e7n1pmjklbr35g7uuqdr78q;J. Hibbert;;;e56o2vq9uzndxvnpc0e1h0sno;Pass;;;;;;;;;;;;6,19;25,0;54,2;47,7;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;47,7;54,2;;;;;;;;0;0;11;Crown Legacy;11;GK;1,0
2702636217;4;61;1;0;12;6ubc4y1v6hr63mca7ica4hp90;0;51,7;47,3;2024-07-21T21:05:13.123Z;2024-07-21T21:57:49Z;[{'id': 5113591521, 'qualifierId': 56, 'value': 'Center'}];dercetgxemr74f5yasq86s5t6;P. Mayaka;;;e56o2vq9uzndxvnpc0e1h0sno;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;;;;0;0;12;Atlanta United II;12;MC;1,0
2702636243;6;1;1;0;12;erwnez7ksfkns4dqmyr1fhbe;1;51,0;41,5;2024-07-21T21:05:13.964Z;2024-07-21T21:27:04Z;[{'id': 5113591613, 'qualifierId': 56, 'value': 'Center'}, {'id': 5113619983, 'qualifierId': 168}, {'id': 5113591615, 'qualifierId': 140, 'value': '52.3'}, {'id': 5113591619, 'qualifierId': 212, 'value': '2.9'}, {'id': 5113591617, 'qualifierId': 141, 'value': '45.2'}, {'id': 5113591621, 'qualifierId': 213, 'value': '1.07'}];1b9b97pxox77ia41cilqqm4iy;Nick Firmino;;;e56o2vq9uzndxvnpc0e1h0sno;Pass;;;;;;;;;;;;1,07;2,9;45,2;52,3;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;52,3;45,2;;;;;;;;0;0;12;Crown Legacy;12;AMC;1,0
