id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Involved;value_TeamPlayerFormation;value_PlayerPosition;value_JerseyNumber;value_Resume;value_Captain;value_TeamKit;value_TeamFormation;value_DirectionOfPlay;value_PassEndX;value_KickOff;value_Zone;value_PassEndY;value_Tap;value_Length;value_Angle;value_Launch;value_LongBall;value_OppositeRelatedEventId;value_Defensive;value_Offensive;value_HeadPass;value_NextEventThrowIn;value_DeletedEventType;value_ThrowIn;value_Chipped;value_IntendedTackleTarget;value_FlickOn;value_Cross;value_HighClaim;value_KeeperThrow;value_Head;value_LayOff;value_OutOfPlay;value_NextEventGoalKick;value_GoalKick;value_Low;value_SwitchOfPlay;value_OverhitCross;value_IntentionalAssist;value_Assist;value_Assisted;value_BlockedY;value_BoxRight;value_GoalmouthZ;value_RegularPlay;value_RightFooted;value_GoalmouthY;value_LowRight;value_RelatedEventId;value_BigChance;value_BlockedX;value_FirstTouch;value_ParriedDanger;value_Hands;value_Standing;value_LeadingToAttempt;value_LowCentre;value_NotAssisted;value_Feet;value_Sliding;value_Right;value_Left;value_CornerTaken;value_OutSwinger;value_BlockedPass;value_BoxLeft;value_LeftFooted;value_IndividualPlay;value_BlockedClearance;value_GkX;value_OutOfBoxCentre;value_High;value_GkY;value_ThroughBall;value_LowLeft;value_BoxDeepRight;value_GoalShotGameClock;value_GoalShotTimestamp;value_Foul;value_AttemptedTackle;value_Direct;value_FreeKickTaken;value_PlayersCaughtOffside;value_Indirect;value_CloseHigh;value_SwerveRight;value_FreeKick;value_AerialFoul;value_Handball;value_LastLine;value_Blocked;value_DefBlock;value_BoxCentre;value_ParriedSafe;value_ShirtPull/Holding;value_HighLeft;value_PullBack;value_NotVisible;value_Shove/Push;value_FromCorner;value_NotPastGoalLine;value_MisHit;value_HighRight;value_HighCentre;value_Collected;value_FastBreak;value_Deflection;value_Diving;value_InSwinger;value_Minutes;value_EndType;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_BlockedCross;value_ThrowInSetPiece;value_YellowCard;value_RecklessOffence;value_GkHoof;value_Dissent;value_InjuredPlayerId;value_Injury;value_LeadingToGoal;value_SmallBoxLeft;value_RelatedError1Id;value_Overrun;value_TacticalFoul;value_SmallBoxCentre;value_OwnGoal;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2702635883;1;34;16;0;0;5b4ccd62yeeqdl2qk6jzsmjv8;1;0,0;0,0;2024-07-21T21:03:57.985Z;2024-07-22T00:11:50Z;[{'id': 5113589375, 'qualifierId': 30, 'value': '9bn2zid7u305xii6alm8a58us, 58w3qcq1xrkpq5f9miuxp4ys4, 4nvz6yrxluelbpsjavcjtgnx0, ba9m1xd2b3b2zvuuogn4uxkwk, 9elhnfsovx9efu5f92mkkls7o, a12t1zv0y8gzzf6p3jrotkoic, 8warl67c0id3dorr48mn7h82c, 37zynr7fwzqg4c9w5ydefywyy, xxu2xv2n6f5d51ksa8z4rv2s, 33a69m1zaamzxjr6tsb8p3578, dgosg1mymhuajg0rz2ts6alpm, cc7auv8d89ohifqg7qwz62mwa, 79606fy6lyfs1h12645q4shzo, bezle40rjwnkdskjbf9yg4sq2, 9jy9vyn7y1bomsbjhjujynb4k, 290iohuheoqdrdocbg25ipgk4, e0pkyzm6eqzlrxme33k7dwgt0, 5s2xdtggwprul1m02vjs3nw9g'}, {'id': 5113589383, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5113589377, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5113589379, 'qualifierId': 59, 'value': '13, 17, 49, 5, 6, 45, 8, 10, 9, 29, 18, 2, 11, 12, 20, 43, 52, 60'}, {'id': 5113589385, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5114034399, 'qualifierId': 194, 'value': '8warl67c0id3dorr48mn7h82c'}, {'id': 5113724865, 'qualifierId': 197, 'value': '14907'}, {'id': 5113589381, 'qualifierId': 130, 'value': '13'}];;;;;e5k64rxalc0mtxpiptijh96hg;Team set up;;;;;;;14907,0;13,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;;;;;;;;;0;0;0;0;Cincinnati II;0;;
2702637915;1;34;16;0;0;bd0378yx50xpdcgwkt9p9bmz8;1;0,0;0,0;2024-07-21T21:11:22.625Z;2024-07-21T22:28:35Z;[{'id': 5113601799, 'qualifierId': 30, 'value': '3fjb8lymm7grc7nqyfpzw1a8k, 8bjjne12yudwbzfzjdlygqx62, 5bgt61vb5lnzyoczqnr202lpm, 39t59x9q2xumbn2hphk7urp7u, 2l6v8ab245wzmb1litvkir1ii, 739dnufx6izfhubwow0n1ijxm, 8sydisziijh84elb8dprtlduy, bu0qf3q6j69an4i0gz7xhqcd0, b94wogguhbhpo2mal3pfpo26s, 1ofx4ncf6w5twjbaam5w0mu7e, aw0ngrym0lzn2paoz70wtlgyc, b82dmhiv5rfrczfcx26cnvo16, 2f5ymqh1j87xhi9ynovnujpm2, bpr7u1cp7bzt1w2t1tsmru73e, 9asj8t10cvfumot9hr3dprsic, 8za8xvdiyduedk2i99bdqv4es, bfm4xr4ue74v0li53slarf9t6, 14etj499a213gtgymith3htec, 6ihxsnp8rmyvu0xjm4oquxd04, cv05cz78z9nsbgj98hnw7o4yc'}, {'id': 5113601809, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5113601807, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5113601805, 'qualifierId': 130, 'value': '18'}, {'id': 5113766995, 'qualifierId': 194, 'value': '8sydisziijh84elb8dprtlduy'}, {'id': 5113601801, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5113724943, 'qualifierId': 197, 'value': '14969'}, {'id': 5113601803, 'qualifierId': 59, 'value': '25, 42, 45, 33, 96, 34, 41, 52, 35, 46, 77, 30, 38, 43, 44, 48, 49, 50, 64, 60'}];;;;;e5k64rxalc0mtxpiptijh96hg;Team set up;;;;;;;14969,0;18,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;;;;;;;;;0;0;0;0;Columbus Crew II;0;;
2702661157;2;32;1;0;0;bd0378yx50xpdcgwkt9p9bmz8;1;0,0;0,0;2024-07-21T22:04:53.562Z;2024-07-21T22:04:57Z;[{'id': 5113732561, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;e5k64rxalc0mtxpiptijh96hg;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;;;;;;;;;0;0;0;0;Columbus Crew II;0;;
2702661153;2;32;1;0;0;5b4ccd62yeeqdl2qk6jzsmjv8;1;0,0;0,0;2024-07-21T22:04:53.562Z;2024-07-21T22:04:53Z;[{'id': 5113732553, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;e5k64rxalc0mtxpiptijh96hg;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;;;;;;;;;0;0;0;0;Cincinnati II;0;;
2702661163;3;1;1;0;0;bd0378yx50xpdcgwkt9p9bmz8;1;49,9;50,0;2024-07-21T22:04:53.601Z;2024-07-21T22:04:56Z;[{'id': 5113732593, 'qualifierId': 140, 'value': '45.8'}, {'id': 5113732601, 'qualifierId': 279, 'value': 'S'}, {'id': 5113732591, 'qualifierId': 56, 'value': 'Back'}, {'id': 5113732595, 'qualifierId': 141, 'value': '52.1'}, {'id': 5113732681, 'qualifierId': 278}, {'id': 5113732597, 'qualifierId': 212, 'value': '4.5'}, {'id': 5113732599, 'qualifierId': 213, 'value': '2.82'}];aw0ngrym0lzn2paoz70wtlgyc;S. Chirilă;;;e5k64rxalc0mtxpiptijh96hg;Pass;;;;;;;;;;45,8;;;52,1;1,0;4,5;2,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;45,8;52,1;;;;;;;0;0;0;0;Columbus Crew II;0;FW;1,0
2702661195;4;1;1;0;1;bd0378yx50xpdcgwkt9p9bmz8;1;46,4;50,4;2024-07-21T22:04:55.554Z;2024-07-21T22:04:57Z;[{'id': 5113732767, 'qualifierId': 212, 'value': '2.4'}, {'id': 5113732769, 'qualifierId': 213, 'value': '4.98'}, {'id': 5113732757, 'qualifierId': 56, 'value': 'Back'}, {'id': 5113732759, 'qualifierId': 140, 'value': '47.0'}, {'id': 5113732763, 'qualifierId': 141, 'value': '47.0'}];b94wogguhbhpo2mal3pfpo26s;K. Mboma Dem;;;e5k64rxalc0mtxpiptijh96hg;Pass;;;;;;;;;;47,0;;;47,0;;2,4;4,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;47,0;47,0;;;;;;;0;0;0;1;Columbus Crew II;1;AMC;1,0
2702661219;5;1;1;0;2;bd0378yx50xpdcgwkt9p9bmz8;1;47,0;46,7;2024-07-21T22:04:56.369Z;2024-07-21T22:05:01Z;[{'id': 5113732893, 'qualifierId': 141, 'value': '47.9'}, {'id': 5113732895, 'qualifierId': 212, 'value': '17.3'}, {'id': 5113732891, 'qualifierId': 140, 'value': '30.5'}, {'id': 5113732889, 'qualifierId': 56, 'value': 'Back'}, {'id': 5113732897, 'qualifierId': 213, 'value': '3.09'}];aw0ngrym0lzn2paoz70wtlgyc;S. Chirilă;;;e5k64rxalc0mtxpiptijh96hg;Pass;;;;;;;;;;30,5;;;47,9;;17,3;3,09;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;30,5;47,9;;;;;;;0;0;0;2;Columbus Crew II;2;FW;1,0
2702661247;6;1;1;0;7;bd0378yx50xpdcgwkt9p9bmz8;0;31,5;37,6;2024-07-21T22:05:01.154Z;2024-07-21T22:05:35Z;[{'id': 5113732987, 'qualifierId': 157}, {'id': 5113732997, 'qualifierId': 213, 'value': '5.73'}, {'id': 5113732999, 'qualifierId': 1}, {'id': 5113732989, 'qualifierId': 56, 'value': 'Right'}, {'id': 5113732991, 'qualifierId': 140, 'value': '66.0'}, {'id': 5113732995, 'qualifierId': 212, 'value': '42.5'}, {'id': 5113732993, 'qualifierId': 141, 'value': '4.9'}];2l6v8ab245wzmb1litvkir1ii;G. Gibert;;;e5k64rxalc0mtxpiptijh96hg;Pass;;;;;;;;;;66,0;;;4,9;;42,5;5,73;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;66,0;4,9;;;;;;;0;0;0;7;Columbus Crew II;7;DC;1,0
2702661295;4;44;1;0;11;5b4ccd62yeeqdl2qk6jzsmjv8;1;33,7;96,7;2024-07-21T22:05:05.312Z;2024-07-21T22:05:10Z;[{'id': 5113733277, 'qualifierId': 233, 'value': '7'}, {'id': 5113733259, 'qualifierId': 285}, {'id': 5113733257, 'qualifierId': 56, 'value': 'Back'}];4nvz6yrxluelbpsjavcjtgnx0;T. Brown;;;e5k64rxalc0mtxpiptijh96hg;Aerial;;;;;;;;;;;;;;;;;;;7,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;;;;;;;;;0;0;0;11;Cincinnati II;11;DML;1,0
2702661251;7;44;1;0;11;bd0378yx50xpdcgwkt9p9bmz8;0;66,3;3,3;2024-07-21T22:05:05.313Z;2024-07-21T22:05:10Z;[{'id': 5113733027, 'qualifierId': 56, 'value': 'Right'}, {'id': 5113733029, 'qualifierId': 286}, {'id': 5113733285, 'qualifierId': 233, 'value': '4'}];8bjjne12yudwbzfzjdlygqx62;A. Daley;;;e5k64rxalc0mtxpiptijh96hg;Aerial;;;;;;;;;;;;;;;;;;;4,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;bd0378yx50xpdcgwkt9p9bmz8;Cincinnati II;away;;;;;;;;;0;0;0;11;Columbus Crew II;11;DMR;1,0
