field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;3f52lf1p2xmtzysfi8n18m044;1;91;4;7fbej4xwoq4imaf5l39304m37;e6qqkbr3my64ad1eqclpoabro;home;1;GK;J. Molinaro;;;;;;
2;2vq2t4ttpcwey95jzofd60qy2;2;42;4;7fbej4xwoq4imaf5l39304m37;e6qqkbr3my64ad1eqclpoabro;home;1;DR;C. Klein;;;;;;
2;9kahvwswke29dt3uumulbktpm;3;40;4;7fbej4xwoq4imaf5l39304m37;e6qqkbr3my64ad1eqclpoabro;home;1;DC;M. Visconti;;;;;;
3;c7luarkv7hwdspd9xhidhisk4;4;52;4;7fbej4xwoq4imaf5l39304m37;e6qqkbr3my64ad1eqclpoabro;home;1;MC;C. Tschantret;;;;;;
2;4cfvnypovkt900sfxmdhvxtec;5;28;4;7fbej4xwoq4imaf5l39304m37;e6qqkbr3my64ad1eqclpoabro;home;1;DL;C. Rindov;;;;;;
2;tvbjgz0zeq5irumgofxrko44;6;89;4;7fbej4xwoq4imaf5l39304m37;e6qqkbr3my64ad1eqclpoabro;home;1;DC;L. Christiano;;;;;;
3;1pm343qga3zwdbrjngpeqhtnu;7;80;4;7fbej4xwoq4imaf5l39304m37;e6qqkbr3my64ad1eqclpoabro;home;1;MC;J. Swallen;;;;bhhdcubw5vyxzf0lc1fcfftka;25,0;1,0
3;a8ngovgs2qfu5udzb97kelg16;8;39;4;7fbej4xwoq4imaf5l39304m37;e6qqkbr3my64ad1eqclpoabro;home;1;MC;E. Bryant;;;;32t6g252ti1peycjite40qiy2;60,0;2,0
4;vhjelesjaxtgjcgfv7yxp2lm;9;98;4;7fbej4xwoq4imaf5l39304m37;e6qqkbr3my64ad1eqclpoabro;home;1;FW;S. Cruz;;;;;;
4;3tkdn8arq1j3il4ako7rcio2y;10;38;4;7fbej4xwoq4imaf5l39304m37;e6qqkbr3my64ad1eqclpoabro;home;1;FWR;M. Goumballe;;;;;;
