field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;2ig362xub2syd45v3usgymbkk;1;57;8;cbip96wzs3jc2xadoluhhxotl;e7jr7miyjhjwdcd41kdrf0bo4;away;1;GK;F. Delgado;;;;;;
2;ahl3kfbfeubf6zfl7x8qrlm38;2;42;8;cbip96wzs3jc2xadoluhhxotl;e7jr7miyjhjwdcd41kdrf0bo4;away;1;DR;K. Storlie;;;;;;
2;asy97zdxk0352toy38huzk222;3;33;8;cbip96wzs3jc2xadoluhhxotl;e7jr7miyjhjwdcd41kdrf0bo4;away;1;DC;T. Silva;;;;;;
3;3wkej06590b61lyqm7vt1kwes;4;81;8;cbip96wzs3jc2xadoluhhxotl;e7jr7miyjhjwdcd41kdrf0bo4;away;1;MC;G. Dillon;;;;;;
2;1z750xyx7stmv6uf51h1y6ehh;5;20;8;cbip96wzs3jc2xadoluhhxotl;e7jr7miyjhjwdcd41kdrf0bo4;away;1;DL;E. Holt;;;;48vc423tkz4mx7oql1ahqneac;63,0;2,0
2;5gg2mxmy9ff40oku3s09gavl6;6;32;8;cbip96wzs3jc2xadoluhhxotl;e7jr7miyjhjwdcd41kdrf0bo4;away;1;DC;Z. Farnsworth;;;;;;
3;8y2nsfsangmn1qa389y25b76c;7;40;8;cbip96wzs3jc2xadoluhhxotl;e7jr7miyjhjwdcd41kdrf0bo4;away;1;AMR;O. Marquez;;;;tw82u87mw6kggtjblt1hhdzo;72,0;2,0
3;8rq61cgteiomxej2p0nxaw6c4;8;34;8;cbip96wzs3jc2xadoluhhxotl;e7jr7miyjhjwdcd41kdrf0bo4;away;1;MC;L. Moisa;;;;9p86jgzpsokma52ifxswk4woa;63,0;2,0
4;6kpb5yyfk2ifjgtfkspb8xwd0;9;77;8;cbip96wzs3jc2xadoluhhxotl;e7jr7miyjhjwdcd41kdrf0bo4;away;1;FW;O. Anderson;;;;aqqbh1ugeh2f8jjiq8fu2qwru;72,0;2,0
3;7ditqci7td8u4wj4dmirr3qzu;10;45;8;cbip96wzs3jc2xadoluhhxotl;e7jr7miyjhjwdcd41kdrf0bo4;away;1;AMC;B. Redžić;;;;6d45ccicyo6dregi9cm4ad4kq;45,0;2,0
3;dzo2odov052991qseshgfruju;11;41;8;cbip96wzs3jc2xadoluhhxotl;e7jr7miyjhjwdcd41kdrf0bo4;away;1;AML;D. Iskenderian;;;;;;
5;6d45ccicyo6dregi9cm4ad4kq;0;23;8;cbip96wzs3jc2xadoluhhxotl;e7jr7miyjhjwdcd41kdrf0bo4;away;1;Sub;I. Paul;7ditqci7td8u4wj4dmirr3qzu;45,0;2,0;;;
5;aqqbh1ugeh2f8jjiq8fu2qwru;0;27;8;cbip96wzs3jc2xadoluhhxotl;e7jr7miyjhjwdcd41kdrf0bo4;away;1;Sub;B. Jacquesson;6kpb5yyfk2ifjgtfkspb8xwd0;72,0;2,0;;;
5;5gl31qop7zlj9mfbtolvj7xuc;0;37;8;cbip96wzs3jc2xadoluhhxotl;e7jr7miyjhjwdcd41kdrf0bo4;away;1;Sub;;;;;;;
5;tw82u87mw6kggtjblt1hhdzo;0;39;8;cbip96wzs3jc2xadoluhhxotl;e7jr7miyjhjwdcd41kdrf0bo4;away;1;Sub;A. Hezarkhani;8y2nsfsangmn1qa389y25b76c;72,0;2,0;;;
