field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;ab8jzmb5h0lh7mt66h3zgm5ex;1;31;8;8ijkk62897so5r3bq0wgwx4bu;e7xww4fclqpxsq6jdgc0847bo;home;1;GK;B. Scott;;;;;;
2;70e7dozhms3xdkr0n6kas00es;2;75;8;8ijkk62897so5r3bq0wgwx4bu;e7xww4fclqpxsq6jdgc0847bo;home;1;DR;H. Miller;;;;;;
2;4blue6g56i3t9iffjcmjs6hhw;3;50;8;8ijkk62897so5r3bq0wgwx4bu;e7xww4fclqpxsq6jdgc0847bo;home;1;DC;R. Dalgado;;;;;;
3;58akq0ojntf5n123msb1tzeok;4;87;8;8ijkk62897so5r3bq0wgwx4bu;e7xww4fclqpxsq6jdgc0847bo;home;1;MC;G. Arnold;;;;;;
2;e6ocmgjfubq6qvg4wfp8zipsk;5;67;8;8ijkk62897so5r3bq0wgwx4bu;e7xww4fclqpxsq6jdgc0847bo;home;1;DL;C. Tchouante;;;;;;
2;e23yyl43xtcve09dx234uuj8;6;51;8;8ijkk62897so5r3bq0wgwx4bu;e7xww4fclqpxsq6jdgc0847bo;home;1;DC;A. Essengue;;;;;;
3;b2sl4wp77nrynvodb6k19yfze;7;53;8;8ijkk62897so5r3bq0wgwx4bu;e7xww4fclqpxsq6jdgc0847bo;home;1;AMR;D. Díaz;;;;5iy3sz4b3mokizd2qlcskl5d6;80,0;2,0
3;c44bkncqmptribnxki1dyppbe;8;52;8;8ijkk62897so5r3bq0wgwx4bu;e7xww4fclqpxsq6jdgc0847bo;home;1;MC;I. Parente;;;;;;
4;1kl9112b8rcbr3k1s5hs353x0;9;29;8;8ijkk62897so5r3bq0wgwx4bu;e7xww4fclqpxsq6jdgc0847bo;home;1;FW;A. Bibout;;;;;;
3;1o0ew8fp44fuo3o7c8ef8pd2i;10;21;8;8ijkk62897so5r3bq0wgwx4bu;e7xww4fclqpxsq6jdgc0847bo;home;1;AMC;T. Lepley;;;;;;
3;5zawuirp825t4brhaj90k9duy;11;61;8;8ijkk62897so5r3bq0wgwx4bu;e7xww4fclqpxsq6jdgc0847bo;home;1;AML;S. Karani;;;;4283da2hccprbybkv4nvmos2c;85,0;2,0
5;5iy3sz4b3mokizd2qlcskl5d6;0;18;8;8ijkk62897so5r3bq0wgwx4bu;e7xww4fclqpxsq6jdgc0847bo;home;1;Sub;J. Pérez;b2sl4wp77nrynvodb6k19yfze;80,0;2,0;;;
5;al111zqt4j4b3yg8064d9cep6;0;48;8;8ijkk62897so5r3bq0wgwx4bu;e7xww4fclqpxsq6jdgc0847bo;home;1;Sub;;;;;;;
