field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;7jaa504py8qcx30a2p1vgn8d0;1;15;8;cwnjxlibb02fuh0vwgvac6h45;e9hqh7ep76nq2a1rmtj021ij8;home;1;GK;J. Antoine;;;;;;
2;1h5rgsol19v1pcl5ksstrv9t6;2;22;8;cwnjxlibb02fuh0vwgvac6h45;e9hqh7ep76nq2a1rmtj021ij8;home;1;DR;M. Garvanian;;;;;;
2;2d3dwhrtafkd1b8q1nzerqew9;3;3;8;cwnjxlibb02fuh0vwgvac6h45;e9hqh7ep76nq2a1rmtj021ij8;home;1;DC;J. Pérez;;;;exunlng0cgo9bpqh4x6jpxyax;94,0;2,0
3;4cwccglaxz5sf71eptnj6kzfu;4;8;8;cwnjxlibb02fuh0vwgvac6h45;e9hqh7ep76nq2a1rmtj021ij8;home;1;MC;A. Jiménez;;;;;;
2;87nhafgkozygrd5f06ore0xzo;5;14;8;cwnjxlibb02fuh0vwgvac6h45;e9hqh7ep76nq2a1rmtj021ij8;home;1;DL;F. Sar-Sar;;;;;;
2;7e8xkqlux0myjc5cwtb7rega1;6;20;8;cwnjxlibb02fuh0vwgvac6h45;e9hqh7ep76nq2a1rmtj021ij8;home;1;DC;D. Viáfara;;;;;;
3;at2xv960peboe9spoag2kn21g;7;33;8;cwnjxlibb02fuh0vwgvac6h45;e9hqh7ep76nq2a1rmtj021ij8;home;1;AMR;A. McGrath;;;;;;
3;b4te1cxogvhtglhug3sdgkmei;8;25;8;cwnjxlibb02fuh0vwgvac6h45;e9hqh7ep76nq2a1rmtj021ij8;home;1;MC;J. Arthur;;;;6zuton58biybp7ge3mpc17alm;81,0;2,0
4;a3eln6gas8765a3pn6ecqjvxm;9;9;8;cwnjxlibb02fuh0vwgvac6h45;e9hqh7ep76nq2a1rmtj021ij8;home;1;FW;M. Ouamri;;;;9gk1m714ni2m8n26uybsgadey;81,0;2,0
3;5m8hxfvza21t4wfe6v0a18etw;10;10;8;cwnjxlibb02fuh0vwgvac6h45;e9hqh7ep76nq2a1rmtj021ij8;home;1;AMC;L. García;;;;6zbb5xiauoixj3clxdgud8lxw;73,0;2,0
3;4hdai9za2ls03tjpcw0ahu5wq;11;11;8;cwnjxlibb02fuh0vwgvac6h45;e9hqh7ep76nq2a1rmtj021ij8;home;1;AML;T. Gray;;;;;;
5;6zuton58biybp7ge3mpc17alm;0;18;8;cwnjxlibb02fuh0vwgvac6h45;e9hqh7ep76nq2a1rmtj021ij8;home;1;Sub;Kwak Min-jae;b4te1cxogvhtglhug3sdgkmei;81,0;2,0;;;
5;jb43adjmhnwysrrwwmvuojfu;0;2;8;cwnjxlibb02fuh0vwgvac6h45;e9hqh7ep76nq2a1rmtj021ij8;home;1;Sub;;;;;;;
5;6zbb5xiauoixj3clxdgud8lxw;0;6;8;cwnjxlibb02fuh0vwgvac6h45;e9hqh7ep76nq2a1rmtj021ij8;home;1;Sub;C. Watson;5m8hxfvza21t4wfe6v0a18etw;73,0;2,0;;;
5;9gk1m714ni2m8n26uybsgadey;0;12;8;cwnjxlibb02fuh0vwgvac6h45;e9hqh7ep76nq2a1rmtj021ij8;home;1;Sub;E. Koren;a3eln6gas8765a3pn6ecqjvxm;81,0;2,0;;;
5;exunlng0cgo9bpqh4x6jpxyax;0;23;8;cwnjxlibb02fuh0vwgvac6h45;e9hqh7ep76nq2a1rmtj021ij8;home;1;Sub;J. Williams;2d3dwhrtafkd1b8q1nzerqew9;94,0;2,0;;;
5;3a8bghw11ttrstr4jlopadd9m;0;24;8;cwnjxlibb02fuh0vwgvac6h45;e9hqh7ep76nq2a1rmtj021ij8;home;1;Sub;;;;;;;
5;ew3qxbn1ev1qv7wi0iwoc642c;0;32;8;cwnjxlibb02fuh0vwgvac6h45;e9hqh7ep76nq2a1rmtj021ij8;home;1;Sub;;;;;;;
5;ezq3vqtlf2keocudx8ndelct0;0;51;8;cwnjxlibb02fuh0vwgvac6h45;e9hqh7ep76nq2a1rmtj021ij8;home;1;Sub;;;;;;;
5;82uh6ad46fvub9b0vfapw2vze;0;71;8;cwnjxlibb02fuh0vwgvac6h45;e9hqh7ep76nq2a1rmtj021ij8;home;1;Sub;;;;;;;
1;8h2vywep73yn25kus2nda8ga2;1;99;8;479lsfr4cwlzewpbuda3y2xv4;e9hqh7ep76nq2a1rmtj021ij8;away;1;GK;C. Mercado;;;;;;
2;6g7i7z6m8vts105dny1g6z3hm;2;30;8;479lsfr4cwlzewpbuda3y2xv4;e9hqh7ep76nq2a1rmtj021ij8;away;1;DR;A. Freeman;;;;bvb7i5n0j5ltqkv991p40r8yc;85,0;2,0
2;bdgjmawy0anbgy1tz87ocvd9l;3;20;8;479lsfr4cwlzewpbuda3y2xv4;e9hqh7ep76nq2a1rmtj021ij8;away;1;DC;L. Petrasso;;;;2wsgrwgiotfis2l96i0sxlvys;81,0;2,0
3;i5wj5hcg2r9934e7gauxtgmi;4;53;8;479lsfr4cwlzewpbuda3y2xv4;e9hqh7ep76nq2a1rmtj021ij8;away;1;MC;I. Almaguer;;;;;;
2;ex99a6zbacpkkhgvynu80qpzo;5;54;8;479lsfr4cwlzewpbuda3y2xv4;e9hqh7ep76nq2a1rmtj021ij8;away;1;DL;N. Kibunguchy;;;;;;
2;4jkf81djj5h43v8rlnib1tizu;6;68;8;479lsfr4cwlzewpbuda3y2xv4;e9hqh7ep76nq2a1rmtj021ij8;away;1;DC;T. Williams;;;;;;
3;aa4v8xfn3ra4digk5h7gdrbze;7;32;8;479lsfr4cwlzewpbuda3y2xv4;e9hqh7ep76nq2a1rmtj021ij8;away;1;AMR;W. Rivera;;;;7tpb4dk9meee0utyu4cosnxn8;65,0;2,0
3;9bv0zjyrsopyv3hw8m47sgr9w;8;56;8;479lsfr4cwlzewpbuda3y2xv4;e9hqh7ep76nq2a1rmtj021ij8;away;1;MC;C. Guske;;;;;;
4;2b8nmdlsqa9wxn8xlujvyaqga;9;27;8;479lsfr4cwlzewpbuda3y2xv4;e9hqh7ep76nq2a1rmtj021ij8;away;1;FW;J. Lynn;;;;25rizu4n91uyax4z6l5jv6dqs;79,0;2,0
3;p99ze5cksh5tv01knf5oj33e;10;49;8;479lsfr4cwlzewpbuda3y2xv4;e9hqh7ep76nq2a1rmtj021ij8;away;1;AMC;J. Solís;;;;;;
