field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;bvtvko74cyeqe297mp6shrf2s;1;21;2;4g68p0t2f5jzhzfr67i2rj1ex;eazl16iuxl3g63mt5c3tsk844;away;1;GK;A. Stokes;;;;;;
2;59kitnlge8bjsxmhy850bsutw;2;34;2;4g68p0t2f5jzhzfr67i2rj1ex;eazl16iuxl3g63mt5c3tsk844;away;1;DR;J. Gutierrez;;;;;;
2;nhhmltlm3ayn7vqmp6etck5w;3;24;2;4g68p0t2f5jzhzfr67i2rj1ex;eazl16iuxl3g63mt5c3tsk844;away;1;DC;C. Ofori;;;;d49aa9fx8oddpsucnnicby8k;79,0;2,0
3;8u0efvao8rym6mdx0tl0h0qac;4;44;2;4g68p0t2f5jzhzfr67i2rj1ex;eazl16iuxl3g63mt5c3tsk844;away;1;MC;A. Jarvis;;;;;;
2;e2tuar1frliervcr2mnmvfspg;5;23;2;4g68p0t2f5jzhzfr67i2rj1ex;eazl16iuxl3g63mt5c3tsk844;away;1;DL;A. O'Connor;;;;;;
2;4gp2d7oltfq4uwzj78gr6q9sk;6;50;2;4g68p0t2f5jzhzfr67i2rj1ex;eazl16iuxl3g63mt5c3tsk844;away;1;DC;J. Collahuazo;;;;o3gftw0hatp1r62ynjmlaaui;45,0;2,0
3;ov4fk38lrcculu6tdbnrto2c;7;90;2;4g68p0t2f5jzhzfr67i2rj1ex;eazl16iuxl3g63mt5c3tsk844;away;1;MR;M. Dembele;;;;4akvdujqbywk628gok9xbh2j8;60,0;2,0
3;5u3ohty1lsm0fn2ltez4g7o5w;8;91;2;4g68p0t2f5jzhzfr67i2rj1ex;eazl16iuxl3g63mt5c3tsk844;away;1;MC;B. Estrela;;;;80p7shawtxjiydizsg5fo5a1g;60,0;2,0
4;65g50zt5gbo1lnrbc7uvwsbo4;9;66;2;4g68p0t2f5jzhzfr67i2rj1ex;eazl16iuxl3g63mt5c3tsk844;away;1;FW;T. Rosborough;;;;;;
4;es0bxxdxf6bco25evmg19ic4;10;37;2;4g68p0t2f5jzhzfr67i2rj1ex;eazl16iuxl3g63mt5c3tsk844;away;1;FW;M. Sofo;;;;e23u0x31okggroh6dkoqx5fdg;88,0;2,0
3;afqry84j23xgkhqryrontj190;11;82;2;4g68p0t2f5jzhzfr67i2rj1ex;eazl16iuxl3g63mt5c3tsk844;away;1;ML;I. Kasule;;;;;;
5;e23u0x31okggroh6dkoqx5fdg;0;27;2;4g68p0t2f5jzhzfr67i2rj1ex;eazl16iuxl3g63mt5c3tsk844;away;1;Sub;D. Alexandre;es0bxxdxf6bco25evmg19ic4;88,0;2,0;;;
5;o3gftw0hatp1r62ynjmlaaui;0;46;2;4g68p0t2f5jzhzfr67i2rj1ex;eazl16iuxl3g63mt5c3tsk844;away;1;Sub;D. Sullivan;4gp2d7oltfq4uwzj78gr6q9sk;45,0;2,0;;;
5;d49aa9fx8oddpsucnnicby8k;0;56;2;4g68p0t2f5jzhzfr67i2rj1ex;eazl16iuxl3g63mt5c3tsk844;away;1;Sub;M. Dos Santos;nhhmltlm3ayn7vqmp6etck5w;79,0;2,0;;;
