id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_JerseyNumber;value_Captain;value_PlayerPosition;value_Involved;value_TeamFormation;value_Resume;value_TeamPlayerFormation;value_TeamKit;value_DirectionOfPlay;value_KickOff;value_PassEndY;value_Zone;value_Angle;value_Length;value_PassEndX;value_Launch;value_LongBall;value_HeadPass;value_Chipped;value_OppositeRelatedEventId;value_Offensive;value_Defensive;value_IntendedTackleTarget;value_NextEventThrowIn;value_ThrowIn;value_DeletedEventType;value_Direct;value_Foul;value_Shove/Push;value_Cross;value_FreeKickTaken;value_Assist;value_GoalmouthZ;value_BlockedX;value_RightFooted;value_Assisted;value_BlockedY;value_FirstTouch;value_SetPiece;value_RelatedEventId;value_GoalmouthY;value_LowLeft;value_OutOfBoxCentre;value_Hands;value_Standing;value_ParriedSafe;value_GkKickFromHands;value_VideoCoverageLost;value_NotVisible;value_GkX;value_GoalShotGameClock;value_GoalShotTimestamp;value_LowCentre;value_RegularPlay;value_GkY;value_NotAssisted;value_BoxCentre;value_AttemptedTackle;value_Blocked;value_FreeKick;value_IndividualPlay;value_DefBlock;value_NextEventGoalKick;value_Left;value_Right;value_CornerTaken;value_OutSwinger;value_IntentionalAssist;value_BigChance;value_Head;value_NotPastGoalLine;value_FromCorner;value_SwitchOfPlay;value_Minutes;value_EndType;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_HitWoodwork;value_HitRightPost;value_LeftFooted;value_Diving;value_Collected;value_FlickOn;value_HighCentre;value_KeeperThrow;value_LayOff;value_BlockedPass;value_InSwinger;value_High;value_GoalKick;value_HighRight;value_RecklessOffence;value_YellowCard;value_Volley;value_Low;value_OverArm;value_CloseRightAndHigh;value_HighLeft;value_BlockedCross;value_Overrun;value_ShirtPull/Holding;value_BoxDeepRight;value_MisHit;value_SixYardBlocked;value_LowRight;value_SmallBoxRight;value_HighClaim;value_GkHoof;value_Penalty;value_PenaltyTakerId;value_CausingPlayer;value_ParriedDanger;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2704560771;2;34;16;0;0;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-07-29T10:25:02.350Z;2024-07-29T11:02:58Z;[{'id': 5124247641, 'qualifierId': 59, 'value': '12, 30, 3, 19, 6, 14, 18, 13, 8, 43, 11, 4, 5, 9, 10, 33, 36, 40, 48, 70'}, {'id': 5124248391, 'qualifierId': 194, 'value': '4uuq2zuhmlbg7kh85v5l8723u'}, {'id': 5124247639, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5124247637, 'qualifierId': 30, 'value': '3my8ymhvy1bysbllwpoj3qctm, 1snfyu5dmv164k5cl87chjlsk, 2wj1w4opn7f0jyz1ps6ebvc6i, aa4ut2fmswha43fxnrxp1obo4, 2jzuij8p7eoy42aqem688ltuy, 48p3wcjai97tpt50ia7bi7ok4, 4uuq2zuhmlbg7kh85v5l8723u, bfsjxpmiflhdz2162ulqlo0lw, 60ej9rpig6xzj1d80w0ki92i, 7yt2ddw0yntv9xq1hrv1jx05w, azzpjrq2pndxuz0waw25p7r6y, e4vvdd1cn5ezrocpequewmwic, 1d43ue54zl1o9rvnwz5zfotm, 9ph8wasuz3ndre586gople49g, 3c1xz4vpfoum0jbq6bmtdrtux, 3ehrq9mryoug8osgxkpg4eo7o, 70lmb5krx6h8iidmbs6t015hw, 8jm3jixnmppaccwg39f0yts7o, 1es4nynrpc8sz3enj46i9zeok, bk0ik8kr1gpu372ibbbv87ndg'}, {'id': 5124247643, 'qualifierId': 130, 'value': '4'}, {'id': 5124247649, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5124247645, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5124247647, 'qualifierId': 197, 'value': '15044'}];;;;;ecv3jlh1dqwad74cnlv1a2bro;Team set up;;;;;4,0;;;15044,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;;0;0;0;Los Angeles II;0;;
2704563117;1;34;16;0;0;6gaq85erpkvbyxvivd96wuw44;1;0,0;0,0;2024-07-29T10:42:07.192Z;2024-07-29T11:10:33Z;[{'id': 5124262409, 'qualifierId': 197, 'value': '23554'}, {'id': 5124260391, 'qualifierId': 130, 'value': '4'}, {'id': 5124260387, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5'}, {'id': 5124260385, 'qualifierId': 30, 'value': '84gabnykc01v70413vehqyvah, ajxa2yfzwct5nd0ded1sa9vmy, 18b4rpeia26xq688ieqaw2z2s, 8f5h44hnjdt4rdflu8qqhx5d6, e2912gyiutvn3aky0z9ijz384, do2o6ka25talswmmillufejqi, m4w1lmkfi8siwrxs9ny5ihhw, 5reylt0uyetl6qavkvd8inai, cuxpxs76g96vwhrnhw9rw2ihg, 3v3b0z3d5czty8zcxrhy5uyac, 17ni4ntnt7b6b0bwst3e4djze, a0vc8g0evrfmws5en2229h5as, 4x8eu2y112ini9hx6b72bh46i, a55do2tx3wz5tsboyf355aiok, 230zkhv4hig5j6azhgem5553o, 7ruu7rxicp3r2ftyg50cf3dhw, 19w7fxv11he4r65942cmeaplg'}, {'id': 5124260395, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5124260389, 'qualifierId': 59, 'value': '12, 40, 77, 36, 65, 43, 56, 55, 49, 39, 91, 47, 73, 66, 88, 51, 35'}, {'id': 5124260393, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0'}];;;;;ecv3jlh1dqwad74cnlv1a2bro;Team set up;;;;;4,0;;;23554,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;;;;;;;;;;0;0;0;Houston Dynamo II;0;;
2704563577;2;32;1;0;0;6gaq85erpkvbyxvivd96wuw44;1;0,0;0,0;2024-07-29T10:06:00.672Z;2024-07-29T10:46:27Z;[{'id': 5124262753, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;ecv3jlh1dqwad74cnlv1a2bro;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;;;;;;;;;;0;0;0;Houston Dynamo II;0;;
2704563571;3;32;1;0;0;7pmw399vh2v44cjle4fkklp1w;1;0,0;0,0;2024-07-29T10:06:00.672Z;2024-07-29T10:46:26Z;[{'id': 5124262741, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;ecv3jlh1dqwad74cnlv1a2bro;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;;;;;;;;;;0;0;0;Los Angeles II;0;;
2704565555;49;1;1;0;0;7pmw399vh2v44cjle4fkklp1w;1;50,0;50,3;2024-07-29T10:06:00.673Z;2024-07-29T10:58:12Z;[{'id': 5124273579, 'qualifierId': 279, 'value': 'S'}, {'id': 5124273573, 'qualifierId': 141, 'value': '50.7'}, {'id': 5124273569, 'qualifierId': 56, 'value': 'Back'}, {'id': 5124273577, 'qualifierId': 213, 'value': '3.13'}, {'id': 5124273575, 'qualifierId': 212, 'value': '18.6'}, {'id': 5124273571, 'qualifierId': 140, 'value': '32.3'}];60ej9rpig6xzj1d80w0ki92i;G. Segal;;;ecv3jlh1dqwad74cnlv1a2bro;Pass;;;;;;;;;;;50,7;;3,13;18,6;32,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;32,3;50,7;;;;;;;;0;0;0;Los Angeles II;0;FW;1,0
2704565597;50;1;1;0;2;7pmw399vh2v44cjle4fkklp1w;0;30,5;50,3;2024-07-29T10:06:02.672Z;2024-07-29T10:58:15Z;[{'id': 5124273791, 'qualifierId': 157}, {'id': 5124273803, 'qualifierId': 1}, {'id': 5124273797, 'qualifierId': 141, 'value': '89.7'}, {'id': 5124273795, 'qualifierId': 140, 'value': '66.5'}, {'id': 5124273799, 'qualifierId': 212, 'value': '46.3'}, {'id': 5124273793, 'qualifierId': 56, 'value': 'Left'}, {'id': 5124273801, 'qualifierId': 213, 'value': '0.62'}];aa4ut2fmswha43fxnrxp1obo4;S. Rodriguez;;;ecv3jlh1dqwad74cnlv1a2bro;Pass;;;;;;;;;;;89,7;;0,62;46,3;66,5;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7pmw399vh2v44cjle4fkklp1w;Houston Dynamo II;home;66,5;89,7;;;;;;;;0;0;2;Los Angeles II;2;MC;1,0
2704565387;52;1;1;0;4;6gaq85erpkvbyxvivd96wuw44;1;19,1;18,6;2024-07-29T10:06:04.672Z;2024-07-29T10:58:42Z;[{'id': 5124272593, 'qualifierId': 3}, {'id': 5124272599, 'qualifierId': 141, 'value': '8.6'}, {'id': 5124272595, 'qualifierId': 56, 'value': 'Back'}, {'id': 5124272597, 'qualifierId': 140, 'value': '24.5'}, {'id': 5124272601, 'qualifierId': 212, 'value': '8.9'}, {'id': 5124272603, 'qualifierId': 213, 'value': '5.41'}];3v3b0z3d5czty8zcxrhy5uyac;N. Sullivan;;;ecv3jlh1dqwad74cnlv1a2bro;Pass;;;;;;;;;;;8,6;;5,41;8,9;24,5;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;24,5;8,6;;;;;;;;0;0;4;Houston Dynamo II;4;FWR;1,0
2704565401;53;49;1;0;6;6gaq85erpkvbyxvivd96wuw44;1;24,5;15,8;2024-07-29T10:06:06.672Z;2024-07-29T10:58:47Z;[];m4w1lmkfi8siwrxs9ny5ihhw;J. Terry;;;ecv3jlh1dqwad74cnlv1a2bro;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;;;;;;;;;;0;0;6;Houston Dynamo II;6;MC;1,0
2704565527;54;1;1;0;7;6gaq85erpkvbyxvivd96wuw44;1;31,6;73,8;2024-07-29T10:06:07.672Z;2024-07-29T10:58:52Z;[{'id': 5124273347, 'qualifierId': 141, 'value': '74.6'}, {'id': 5124273345, 'qualifierId': 140, 'value': '20.8'}, {'id': 5124273343, 'qualifierId': 56, 'value': 'Back'}, {'id': 5124273349, 'qualifierId': 212, 'value': '11.4'}, {'id': 5124273351, 'qualifierId': 213, 'value': '3.09'}];m4w1lmkfi8siwrxs9ny5ihhw;J. Terry;;;ecv3jlh1dqwad74cnlv1a2bro;Pass;;;;;;;;;;;74,6;;3,09;11,4;20,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;20,8;74,6;;;;;;;;0;0;7;Houston Dynamo II;7;MC;1,0
2704565545;55;1;1;0;8;6gaq85erpkvbyxvivd96wuw44;1;24,2;38,5;2024-07-29T10:06:08.672Z;2024-07-29T10:58:58Z;[{'id': 5124273473, 'qualifierId': 56, 'value': 'Back'}, {'id': 5124273479, 'qualifierId': 212, 'value': '25.9'}, {'id': 5124273477, 'qualifierId': 141, 'value': '76.5'}, {'id': 5124273481, 'qualifierId': 213, 'value': '1.66'}, {'id': 5124273475, 'qualifierId': 140, 'value': '22.1'}];e2912gyiutvn3aky0z9ijz384;A. Sanders;;;ecv3jlh1dqwad74cnlv1a2bro;Pass;;;;;;;;;;;76,5;;1,66;25,9;22,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;22,1;76,5;;;;;;;;0;0;8;Houston Dynamo II;8;DL;1,0
