field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;3my8ymhvy1bysbllwpoj3qctm;1;12;4;7pmw399vh2v44cjle4fkklp1w;ecv3jlh1dqwad74cnlv1a2bro;home;1;GK;N. Hansen;;;;;;
2;1snfyu5dmv164k5cl87chjlsk;2;30;4;7pmw399vh2v44cjle4fkklp1w;ecv3jlh1dqwad74cnlv1a2bro;home;1;DR;I. Mwakutuya;;;;;;
2;2wj1w4opn7f0jyz1ps6ebvc6i;3;3;4;7pmw399vh2v44cjle4fkklp1w;ecv3jlh1dqwad74cnlv1a2bro;home;1;DC;K. Sargeant;;;;;;
3;aa4ut2fmswha43fxnrxp1obo4;4;19;4;7pmw399vh2v44cjle4fkklp1w;ecv3jlh1dqwad74cnlv1a2bro;home;1;MC;S. Rodriguez;;;;3ehrq9mryoug8osgxkpg4eo7o;68,0;2,0
2;2jzuij8p7eoy42aqem688ltuy;5;6;4;7pmw399vh2v44cjle4fkklp1w;ecv3jlh1dqwad74cnlv1a2bro;home;1;DL;F. Awodesu;;;;;;
2;48p3wcjai97tpt50ia7bi7ok4;6;14;4;7pmw399vh2v44cjle4fkklp1w;ecv3jlh1dqwad74cnlv1a2bro;home;1;DC;J. Medina;;;;1d43ue54zl1o9rvnwz5zfotm;72,0;2,0
3;4uuq2zuhmlbg7kh85v5l8723u;7;18;4;7pmw399vh2v44cjle4fkklp1w;ecv3jlh1dqwad74cnlv1a2bro;home;1;MC;D. Gonzalez;;;;;;
3;bfsjxpmiflhdz2162ulqlo0lw;8;13;4;7pmw399vh2v44cjle4fkklp1w;ecv3jlh1dqwad74cnlv1a2bro;home;1;MC;J. Valverde;;;;;;
4;60ej9rpig6xzj1d80w0ki92i;9;8;4;7pmw399vh2v44cjle4fkklp1w;ecv3jlh1dqwad74cnlv1a2bro;home;1;FW;G. Segal;;;;70lmb5krx6h8iidmbs6t015hw;72,0;2,0
4;7yt2ddw0yntv9xq1hrv1jx05w;10;43;4;7pmw399vh2v44cjle4fkklp1w;ecv3jlh1dqwad74cnlv1a2bro;home;1;FWR;M. Dimareli;;;;3c1xz4vpfoum0jbq6bmtdrtux;54,0;2,0
4;azzpjrq2pndxuz0waw25p7r6y;11;11;4;7pmw399vh2v44cjle4fkklp1w;ecv3jlh1dqwad74cnlv1a2bro;home;1;FWL;I. Reid;;;;bk0ik8kr1gpu372ibbbv87ndg;54,0;2,0
5;e4vvdd1cn5ezrocpequewmwic;0;4;4;7pmw399vh2v44cjle4fkklp1w;ecv3jlh1dqwad74cnlv1a2bro;home;1;Sub;;;;;;;
5;1d43ue54zl1o9rvnwz5zfotm;0;5;4;7pmw399vh2v44cjle4fkklp1w;ecv3jlh1dqwad74cnlv1a2bro;home;1;Sub;O. Grey;48p3wcjai97tpt50ia7bi7ok4;72,0;2,0;;;
5;9ph8wasuz3ndre586gople49g;0;9;4;7pmw399vh2v44cjle4fkklp1w;ecv3jlh1dqwad74cnlv1a2bro;home;1;Sub;;;;;;;
