id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_PlayerPosition;value_Captain;value_TeamPlayerFormation;value_JerseyNumber;value_TeamKit;value_Involved;value_Resume;value_TeamFormation;value_DirectionOfPlay;value_PassEndY;value_KickOff;value_Length;value_PassEndX;value_Zone;value_Angle;value_LongBall;value_Launch;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_Offensive;value_Defensive;value_Chipped;value_HeadPass;value_IntendedTackleTarget;value_OutOfBoxCentre;value_GoalmouthZ;value_RelatedEventId;value_BlockedY;value_GoalmouthY;value_LowCentre;value_RegularPlay;value_BlockedX;value_RightFooted;value_IndividualPlay;value_Assisted;value_Diving;value_Collected;value_Hands;value_KeeperThrow;value_DeletedEventType;value_BlockedPass;value_Assist;value_Blocked;value_GkY;value_LowLeft;value_GkX;value_DefBlock;value_Direct;value_ShirtPull/Holding;value_Foul;value_FreeKickTaken;value_Head;value_Injury;value_InjuredPlayerId;value_NotVisible;value_AttemptedTackle;value_Shove/Push;value_Cross;value_IntentionalAssist;value_LeftFooted;value_BoxLeft;value_FirstTouch;value_ParriedDanger;value_SmallBoxLeft;value_BigChance;value_NotAssisted;value_ParriedSafe;value_Stooping;value_CloseLeft;value_NextEventGoalKick;value_Low;value_GoalKick;value_LayOff;value_LowRight;value_Left;value_Right;value_CornerTaken;value_OutSwinger;value_BoxCentre;value_FromCorner;value_Volley;value_BoxRight;value_Feet;value_SmallBoxCentre;value_ThrowInSetPiece;value_OverArm;value_OutOfPlay;value_InSwinger;value_CloseHigh;value_High;value_Unchallenged;value_GoalShotTimestamp;value_GoalShotGameClock;value_Overrun;value_HighRight;value_HighClaim;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_PlayersCaughtOffside;value_Indirect;value_Standing;value_GkChallenge;value_Minutes;value_GkHoof;value_FlickOn;value_EndType;value_FastBreak;value_KeeperTouched;value_OverhitCross;value_HighCentre;value_Tactical;value_YellowCard;value_TimeWasting;value_Simulation;value_Strong;value_SetPiece;value_ThroughBall;value_PullBack;value_HighLeft;value_SwitchOfPlay;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2704509487;1;34;16;0;0;8ijkk62897so5r3bq0wgwx4bu;1;0,0;0,0;2024-07-29T01:15:38.443Z;2024-07-29T02:03:51Z;[{'id': 5123966905, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5124003457, 'qualifierId': 194, 'value': 'ab8jzmb5h0lh7mt66h3zgm5ex'}, {'id': 5123966911, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5123966907, 'qualifierId': 59, 'value': '31, 75, 50, 51, 64, 67, 48, 87, 29, 53, 61, 55, 71, 72, 73, 74, 91, 95, 97, 49'}, {'id': 5124003459, 'qualifierId': 197, 'value': '23553'}, {'id': 5123966903, 'qualifierId': 30, 'value': 'ab8jzmb5h0lh7mt66h3zgm5ex, 70e7dozhms3xdkr0n6kas00es, 4blue6g56i3t9iffjcmjs6hhw, e23yyl43xtcve09dx234uuj8, ckqdb14rd2i1scytlygbsncb8, e6ocmgjfubq6qvg4wfp8zipsk, al111zqt4j4b3yg8064d9cep6, 58akq0ojntf5n123msb1tzeok, 1kl9112b8rcbr3k1s5hs353x0, b2sl4wp77nrynvodb6k19yfze, 5zawuirp825t4brhaj90k9duy, cap9cd2acljdjbbdmt7zb3uvo, 2io6rajwkftjli8i14hf606ei, 2eoftsi3eznjjmhu8ybft11ck, 1k1vw0upmpekjnh6mmfhqz8yc, byzzgz3ix7vuh6c3hqf7580lw, pldpnmzoo867jhdvamuhp9n8, 4283da2hccprbybkv4nvmos2c, 7suq9shgwa8fyip80f1zy1mhg, 92k301czub8hcyhqa10qvpt04'}, {'id': 5123966913, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5123966909, 'qualifierId': 130, 'value': '13'}];;;;;ed8nywqwwu0zwv8e1g7cgopas;Team set up;;;;;23553,0;;;13,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;;;;;;;;;0;0;0;0;The Town;0;;
2704510705;1;34;16;0;0;ew2zirzye0sw1txr2m33nr25y;1;0,0;0,0;2024-07-29T01:21:59.420Z;2024-07-29T02:11:38Z;[{'id': 5123973801, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5123973805, 'qualifierId': 130, 'value': '4'}, {'id': 5124003353, 'qualifierId': 194, 'value': '1bmbt6h6bsiimpzxt07cqwfvu'}, {'id': 5123973799, 'qualifierId': 30, 'value': '23j7p7rylg9rwke4vbgquzjai, 4h8dml0qrwpqza4kqazp5dnqi, f2nxaemhqi8kbtbejnqekgd4a, 1on6mxrbdqnh12s4h1y0vb3mc, dqa88ma3jbk33lsyzo45uy2cq, 79z5vt08ga8prn33vi2a260kq, dhrxi7hj8xh15ky7q6u5wqi5m, 1bmbt6h6bsiimpzxt07cqwfvu, cac9hjmdwt1gsz0qt3f6d4b2s, dwyatw1wz3nrh1fcwu27ie8ve, 7jtxek694d60c5udhyv0zsjro, bpfl7nj8llr3dfadhtju52rro, 79vuqfgilwa4eyqmowr5me42c, 4nzrv75trp05nqos781kk62hg, 35jkg2v338kipzlf0iwvvypuy, 3q8dpwqkikbugz3ikwcmkbg4q, 4sot8voc25coo4dqsqrinantg, 7b0z3s1wde3iu6vjvfbio6m8k'}, {'id': 5123973807, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5124003355, 'qualifierId': 197, 'value': '15999'}, {'id': 5123973803, 'qualifierId': 59, 'value': '51, 45, 78, 38, 66, 77, 64, 60, 52, 50, 71, 54, 56, 58, 63, 72, 91, 96'}, {'id': 5123973809, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;ed8nywqwwu0zwv8e1g7cgopas;Team set up;;;;;15999,0;;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;;;;;;;;;0;0;0;0;Ventura County;0;;
2704516179;2;32;1;0;0;8ijkk62897so5r3bq0wgwx4bu;1;0,0;0,0;2024-07-29T02:05:47.417Z;2024-07-29T02:05:47Z;[{'id': 5124004409, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;ed8nywqwwu0zwv8e1g7cgopas;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;;;;;;;;;0;0;0;0;The Town;0;;
2704516181;2;32;1;0;0;ew2zirzye0sw1txr2m33nr25y;1;0,0;0,0;2024-07-29T02:05:47.417Z;2024-07-29T02:05:50Z;[{'id': 5124004415, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;ed8nywqwwu0zwv8e1g7cgopas;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;;;;;;;;;0;0;0;0;Ventura County;0;;
2704516183;3;1;1;0;0;8ijkk62897so5r3bq0wgwx4bu;1;49,8;50,3;2024-07-29T02:05:47.418Z;2024-07-29T02:05:56Z;[{'id': 5124004449, 'qualifierId': 141, 'value': '48.4'}, {'id': 5124004455, 'qualifierId': 279, 'value': 'S'}, {'id': 5124004451, 'qualifierId': 212, 'value': '31.9'}, {'id': 5124004447, 'qualifierId': 140, 'value': '19.4'}, {'id': 5124004445, 'qualifierId': 56, 'value': 'Back'}, {'id': 5124004453, 'qualifierId': 213, 'value': '3.18'}];1kl9112b8rcbr3k1s5hs353x0;A. Bibout;;;ed8nywqwwu0zwv8e1g7cgopas;Pass;;;;;;;;;;48,4;;31,9;19,4;;3,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;19,4;48,4;;;;;;;0;0;0;0;The Town;0;FW;1,0
2704516185;4;1;1;0;9;8ijkk62897so5r3bq0wgwx4bu;1;23,8;53,3;2024-07-29T02:05:56.533Z;2024-07-29T02:06:15Z;[{'id': 5124004463, 'qualifierId': 140, 'value': '28.4'}, {'id': 5124004461, 'qualifierId': 56, 'value': 'Back'}, {'id': 5124004465, 'qualifierId': 141, 'value': '83.2'}, {'id': 5124004467, 'qualifierId': 212, 'value': '20.9'}, {'id': 5124004469, 'qualifierId': 213, 'value': '1.34'}];ab8jzmb5h0lh7mt66h3zgm5ex;B. Scott;;;ed8nywqwwu0zwv8e1g7cgopas;Pass;;;;;;;;;;83,2;;20,9;28,4;;1,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;28,4;83,2;;;;;;;0;0;0;9;The Town;9;GK;1,0
2704516193;5;1;1;0;11;8ijkk62897so5r3bq0wgwx4bu;0;28,4;72,3;2024-07-29T02:05:59.301Z;2024-07-29T02:06:03Z;[{'id': 5124004529, 'qualifierId': 141, 'value': '88.7'}, {'id': 5124004531, 'qualifierId': 212, 'value': '54.9'}, {'id': 5124004535, 'qualifierId': 1}, {'id': 5124004523, 'qualifierId': 157}, {'id': 5124004527, 'qualifierId': 140, 'value': '79.6'}, {'id': 5124004525, 'qualifierId': 56, 'value': 'Left'}, {'id': 5124004533, 'qualifierId': 213, 'value': '0.20'}];e23yyl43xtcve09dx234uuj8;A. Essengue;;;ed8nywqwwu0zwv8e1g7cgopas;Pass;;;;;;;;;;88,7;;54,9;79,6;;0,2;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;79,6;88,7;;;;;;;0;0;0;11;The Town;11;DC;1,0
2704516195;3;49;1;0;16;ew2zirzye0sw1txr2m33nr25y;1;20,3;17,5;2024-07-29T02:06:03.699Z;2024-07-29T02:06:04Z;[];23j7p7rylg9rwke4vbgquzjai;D. Sweeney;;;ed8nywqwwu0zwv8e1g7cgopas;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;;;;;;;;;0;0;0;16;Ventura County;16;GK;1,0
2704516207;4;1;1;0;24;ew2zirzye0sw1txr2m33nr25y;1;11,3;44,3;2024-07-29T02:06:12.339Z;2024-07-29T02:06:14Z;[{'id': 5124004601, 'qualifierId': 141, 'value': '27.4'}, {'id': 5124004605, 'qualifierId': 213, 'value': '5.24'}, {'id': 5124004603, 'qualifierId': 212, 'value': '13.3'}, {'id': 5124004599, 'qualifierId': 140, 'value': '17.7'}, {'id': 5124004597, 'qualifierId': 56, 'value': 'Back'}];23j7p7rylg9rwke4vbgquzjai;D. Sweeney;;;ed8nywqwwu0zwv8e1g7cgopas;Pass;;;;;;;;;;27,4;;13,3;17,7;;5,24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;17,7;27,4;;;;;;;0;0;0;24;Ventura County;24;GK;1,0
2704516213;5;1;1;0;27;ew2zirzye0sw1txr2m33nr25y;1;15,8;28,3;2024-07-29T02:06:14.771Z;2024-07-29T02:06:18Z;[{'id': 5124004643, 'qualifierId': 213, 'value': '2.19'}, {'id': 5124004635, 'qualifierId': 56, 'value': 'Back'}, {'id': 5124004637, 'qualifierId': 140, 'value': '7.1'}, {'id': 5124004641, 'qualifierId': 212, 'value': '15.7'}, {'id': 5124004639, 'qualifierId': 141, 'value': '47.0'}];dqa88ma3jbk33lsyzo45uy2cq;A. Cano;;;ed8nywqwwu0zwv8e1g7cgopas;Pass;;;;;;;;;;47,0;;15,7;7,1;;2,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;7,1;47,0;;;;;;;0;0;0;27;Ventura County;27;DL;1,0
