id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Captain;value_PlayerPosition;value_Involved;value_TeamFormation;value_Resume;value_TeamPlayerFormation;value_TeamKit;value_JerseyNumber;value_DirectionOfPlay;value_Angle;value_Zone;value_Length;value_KickOff;value_PassEndY;value_PassEndX;value_IntendedTackleTarget;value_LongBall;value_Launch;value_DrivenCross;value_LeftFooted;value_Cross;value_Straight;value_OutOfPlay;value_OppositeRelatedEventId;value_Left;value_InSwinger;value_CornerTaken;value_Chipped;value_RightFooted;value_Head;value_OutOfBoxCentre;value_BlockedX;value_NotAssisted;value_Blocked;value_BlockedY;value_GkX;value_GoalmouthZ;value_FromCorner;value_GoalmouthY;value_LowCentre;value_GkY;value_DefBlock;value_BoxLeft;value_LowLeft;value_FirstTouch;value_Hands;value_LowGkIntervention;value_Collected;value_Stooping;value_OverArm;value_KeeperThrow;value_SwitchOfPlay;value_NotVisible;value_LayOff;value_DeletedEventType;value_HeadPass;value_Offensive;value_Defensive;value_TouchTypePass;value_NextEventThrowIn;value_ThrowIn;value_OutSwinger;value_TouchTypeControl;value_BlockedClearance;value_GkKickFromHands;value_OutOfBoxDeepRight;value_RegularPlay;value_HighRight;value_IndividualPlay;value_NextEventGoalKick;value_Low;value_GoalKick;value_BlockedPass;value_TouchTypeClearance;value_Assist;value_Assisted;value_CloseRight;value_RelatedEventId;value_TakeOnOvertake;value_Right;value_IntentionalAssist;value_SmallBoxLeft;value_AttemptedTackle;value_Direct;value_Foul;value_FreeKickTaken;value_Overrun;value_MediumGkIntervention;value_ThroughBall;value_BoxCentre;value_BigChance;value_LowRight;value_1On1;value_OtherBodyPart;value_ParriedSafe;value_TakeOnSpace;value_AerialFoul;value_Volley;value_FlickOn;value_BlockedCross;value_HighGkIntervention;value_PlayersCaughtOffside;value_RefereeDelay;value_DrinksBreak;value_Indirect;value_FloatedCross;value_ShirtPull/Holding;value_FastBreak;value_Minutes;value_NotPastGoalLine;value_BoxRight;value_EndType;value_Shove/Push;value_PullBack;value_InjuredPlayerId;value_Injury;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_CaptainChange;value_Diving;value_CloseHigh;value_YellowCard;value_Dissent;value_RecklessOffence;value_CloseLeft;value_Feet;value_GoalDisallowed;value_Tactical;value_GkYTimeOfGoal;value_SoloRun;value_GkXTimeOfGoal;value_GoalShotGameClock;value_GoalShotTimestamp;value_TacticalFoul;value_SwerveRight;value_Handball;value_TimeWasting;value_HighLeft;value_SixYardBlocked;value_High;value_SetPiece;value_2NdAssist;value_2NdRelatedEventId;value_SmallBoxCentre;value_HighCentre;value_2NdAssisted;value_GoesToPenalties;value_Second(2Nd)OppositeRelatedEventId;value_Penalty;value_Scored;value_Saved;value_Standing;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2706215455;1;34;16;0;0;4gymgvqmve0m2vh89v84tt3x0;1;0,0;0,0;2024-08-04T20:04:43.678Z;2024-08-13T16:00:13Z;[{'id': 5133669917, 'qualifierId': 194, 'value': 'dz7v9xfcwdvjioeyv4z54neqy'}, {'id': 5133350437, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5'}, {'id': 5133350435, 'qualifierId': 30, 'value': 'efek04gkkjjwr6vo2mi008dm, 2ijhxcgr8wqnb8ovss9064jmy, 9ncybediodv8share9pox2kno, 5mkyx29nr54rr3quwdgfpz3oq, d9cioqeofh2tfg3171r5nlb10, 6jzijlp0e2w4qjan9eto35wd0, dz7v9xfcwdvjioeyv4z54neqy, 42zmyz1t6mqap5pyfqxiaadqs, c08hvq1hplcct8kxrxucfpqp6, 6qe888q8yqq73bxr27jbyu2hg, 374euncv00zs2oy6ux1u519be, 2mmciwk6gllcf11plcch710yc, 63td0sigm6tp2tg8yovf5npm2, 3z9ydlukcn9uojslthq8qwwes, 3pzd87cugi2uj8hhzgre6od1w, 7udp171hmb1rdixg9awx93h1w'}, {'id': 5133350441, 'qualifierId': 130, 'value': '2'}, {'id': 5133350447, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5133350443, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0'}, {'id': 5133350445, 'qualifierId': 197, 'value': '19319'}, {'id': 5133350439, 'qualifierId': 59, 'value': '67, 56, 3, 32, 2, 5, 17, 40, 28, 10, 13, 1, 12, 18, 23, 78'}];;;;;egnfitdrppkyldobr6cg58lxw;Team set up;;;;2,0;;;19319,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;away;;;;;;;;;;0;0;0;Crown Legacy;0;;
2706216533;1;34;16;0;0;6ubc4y1v6hr63mca7ica4hp90;1;0,0;0,0;2024-08-04T20:06:53.159Z;2024-08-13T16:03:22Z;[{'id': 5133356461, 'qualifierId': 59, 'value': '31, 47, 40, 66, 6, 20, 15, 48, 68, 36, 25, 39, 41, 44, 92, 51, 60, 71, 86, 97'}, {'id': 5133356469, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5133370861, 'qualifierId': 194, 'value': 'dercetgxemr74f5yasq86s5t6'}, {'id': 5133356457, 'qualifierId': 30, 'value': 'aiifscgp07zvj7thb3p3huelm, 8texi81doeqhy7eu6fnhrstbe, 6bg69aksa8wb6wmu7w81is8yy, dercetgxemr74f5yasq86s5t6, 9b29l83qhedv79h20lgyu9tqt, dkgv1asv2glgvoddpvxe56t5g, 1dk0bdadfdnycriqp8u21ulpm, 3ve0xap9f0gjsslhgjsmakx04, f12wt1v2qf2siv8p6q6x2bxuc, 603sxl8xsij9kep03px6s85m2, 4ywn289r9mrs444sgkgduyivo, exk9svcdgcbn05ms00fhorvv8, 7bxp7ho4cmsoviw19q4bxr02c, 3xd2kq7cxmvdbqsfzgi644c4q, 54bxvj70tmam1l59vdthq22ac, 4npcsyrhri5kmeks8gfon146i, 9qhpi9y9iujvkbocafhgrj04q, 35i699wz5v6nush729peu776c, drt65b9m2f494wnoyep49bn1m, 7ofdnarha4k4b8nggld7gxnqi'}, {'id': 5133356463, 'qualifierId': 130, 'value': '4'}, {'id': 5133356459, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5133356467, 'qualifierId': 197, 'value': '18743'}, {'id': 5133356465, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;egnfitdrppkyldobr6cg58lxw;Team set up;;;;4,0;;;18743,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;;;;0;0;0;Huntsville City;0;;
2706249459;2;32;1;0;0;6ubc4y1v6hr63mca7ica4hp90;1;0,0;0,0;2024-08-04T21:04:54.998Z;2024-08-13T15:54:37Z;[{'id': 5133545409, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;egnfitdrppkyldobr6cg58lxw;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;;;;0;0;0;Huntsville City;0;;
2706249455;2;32;1;0;0;4gymgvqmve0m2vh89v84tt3x0;1;0,0;0,0;2024-08-04T21:04:54.998Z;2024-08-04T21:04:55Z;[{'id': 5133545393, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;egnfitdrppkyldobr6cg58lxw;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;away;;;;;;;;;;0;0;0;Crown Legacy;0;;
2706249477;3;1;1;0;0;4gymgvqmve0m2vh89v84tt3x0;1;50,0;50,0;2024-08-04T21:04:54.999Z;2024-08-04T21:22:19Z;[{'id': 5133545555, 'qualifierId': 213, 'value': '3.30'}, {'id': 5133545547, 'qualifierId': 56, 'value': 'Back'}, {'id': 5133545553, 'qualifierId': 212, 'value': '8.0'}, {'id': 5133545559, 'qualifierId': 279, 'value': 'S'}, {'id': 5133545551, 'qualifierId': 141, 'value': '48.1'}, {'id': 5133545549, 'qualifierId': 140, 'value': '42.5'}];c08hvq1hplcct8kxrxucfpqp6;W. Pacius;;;egnfitdrppkyldobr6cg58lxw;Pass;;;;;;;;;;3,3;;8,0;;48,1;42,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;away;42,5;48,1;;;;;;;;0;0;0;Crown Legacy;0;FW;1,0
2706249481;4;1;1;0;3;4gymgvqmve0m2vh89v84tt3x0;1;42,5;48,1;2024-08-04T21:04:58.860Z;2024-08-04T21:07:24Z;[{'id': 5133545575, 'qualifierId': 212, 'value': '25.2'}, {'id': 5133545571, 'qualifierId': 140, 'value': '64.6'}, {'id': 5133545577, 'qualifierId': 213, 'value': '0.40'}, {'id': 5133545569, 'qualifierId': 56, 'value': 'Center'}, {'id': 5133545573, 'qualifierId': 141, 'value': '62.7'}];5mkyx29nr54rr3quwdgfpz3oq;E. O'Brien;;;egnfitdrppkyldobr6cg58lxw;Pass;;;;;;;;;;0,4;;25,2;;62,7;64,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;away;64,6;62,7;;;;;;;;0;0;3;Crown Legacy;3;MC;1,0
2706757969;869;1;1;0;4;4gymgvqmve0m2vh89v84tt3x0;1;56,4;50,7;2024-08-04T21:04:59.239Z;2024-08-08T05:19:03Z;[{'id': 5136458209, 'qualifierId': 56, 'value': 'Center'}, {'id': 5136458213, 'qualifierId': 141, 'value': '63.7'}, {'id': 5136458217, 'qualifierId': 213, 'value': '1.78'}, {'id': 5136458211, 'qualifierId': 140, 'value': '54.6'}, {'id': 5136458215, 'qualifierId': 212, 'value': '9.0'}];c08hvq1hplcct8kxrxucfpqp6;W. Pacius;;;egnfitdrppkyldobr6cg58lxw;Pass;;;;;;;;;;1,78;;9,0;;63,7;54,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;away;54,6;63,7;;;;;;;;0;0;4;Crown Legacy;4;FW;1,0
2706249483;5;1;1;0;4;4gymgvqmve0m2vh89v84tt3x0;0;64,6;62,7;2024-08-04T21:04:59.868Z;2024-08-04T21:05:00Z;[{'id': 5133545587, 'qualifierId': 212, 'value': '15.5'}, {'id': 5133545583, 'qualifierId': 140, 'value': '72.6'}, {'id': 5133545585, 'qualifierId': 141, 'value': '43.6'}, {'id': 5133545589, 'qualifierId': 213, 'value': '5.29'}, {'id': 5133545581, 'qualifierId': 56, 'value': 'Center'}];6qe888q8yqq73bxr27jbyu2hg;O. Wright;;;egnfitdrppkyldobr6cg58lxw;Pass;;;;;;;;;;5,29;;15,5;;43,6;72,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4gymgvqmve0m2vh89v84tt3x0;Huntsville City;away;72,6;43,6;;;;;;;;0;0;4;Crown Legacy;4;FW;1,0
2706249493;3;49;1;0;7;6ubc4y1v6hr63mca7ica4hp90;1;28,3;57,2;2024-08-04T21:05:02.382Z;2024-08-04T21:05:02Z;[];dkgv1asv2glgvoddpvxe56t5g;João Pedro;;;egnfitdrppkyldobr6cg58lxw;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;;;;;;;;;;0;0;7;Huntsville City;7;DC;1,0
2706249499;4;1;1;0;7;6ubc4y1v6hr63mca7ica4hp90;1;28,3;57,2;2024-08-04T21:05:02.491Z;2024-08-04T21:05:03Z;[{'id': 5133545685, 'qualifierId': 140, 'value': '40.0'}, {'id': 5133545683, 'qualifierId': 56, 'value': 'Back'}, {'id': 5133545687, 'qualifierId': 141, 'value': '75.3'}, {'id': 5133545689, 'qualifierId': 212, 'value': '17.4'}, {'id': 5133545691, 'qualifierId': 213, 'value': '0.79'}];dkgv1asv2glgvoddpvxe56t5g;João Pedro;;;egnfitdrppkyldobr6cg58lxw;Pass;;;;;;;;;;0,79;;17,4;;75,3;40,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ubc4y1v6hr63mca7ica4hp90;Crown Legacy;home;40,0;75,3;;;;;;;;0;0;7;Huntsville City;7;DC;1,0
