id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamPlayerFormation;value_Captain;value_JerseyNumber;value_TeamKit;value_PlayerPosition;value_Resume;value_TeamFormation;value_Involved;value_DirectionOfPlay;value_PassEndX;value_Length;value_KickOff;value_Zone;value_Angle;value_PassEndY;value_Chipped;value_LongBall;value_Launch;value_HeadPass;value_OppositeRelatedEventId;value_Defensive;value_Offensive;value_TouchTypeControl;value_IntendedTackleTarget;value_OutOfPlay;value_TouchTypeClearance;value_Left;value_InSwinger;value_RightFooted;value_CornerTaken;value_Cross;value_Head;value_OutSwinger;value_HighGkIntervention;value_HighClaim;value_KeeperThrow;value_NextEventThrowIn;value_ThrowIn;value_Shove/Push;value_Foul;value_Direct;value_FreeKickTaken;value_LeftFooted;value_DeletedEventType;value_LayOff;value_SwitchOfPlay;value_NotVisible;value_AttemptedTackle;value_PlayersCaughtOffside;value_Indirect;value_RelatedEventId;value_RecklessOffence;value_YellowCard;value_InjuredPlayerId;value_Injury;value_PullBack;value_Assist;value_HighLeft;value_OutOfBoxCentre;value_BlockedY;value_GoalmouthZ;value_BlockedX;value_RegularPlay;value_GoalmouthY;value_Assisted;value_MediumGkIntervention;value_Hands;value_Fumble;value_Standing;value_ParriedDanger;value_IntentionalAssist;value_GkY;value_CloseHigh;value_BoxCentre;value_FromCorner;value_FirstTouch;value_GkX;value_NextEventGoalKick;value_High;value_GoalKick;value_LowGkIntervention;value_BlockedPass;value_Low;value_BigChance;value_Unchallenged;value_Deflection;value_IndividualPlay;value_LowCentre;value_Diving;value_TouchTypePass;value_TakeOnOvertake;value_TacticalFoul;value_SetPiece;value_CloseLeft;value_FlickOn;value_Blocked;value_BoxLeft;value_LowLeft;value_DefBlock;value_GoalShotGameClock;value_GkXTimeOfGoal;value_SwerveLeft;value_GoalShotTimestamp;value_GkYTimeOfGoal;value_LowRight;value_NotAssisted;value_TakeOnSpace;value_BlockedCross;value_Right;value_Minutes;value_SecondYellow;value_EndType;value_OverhitCross;value_Dissent;value_Overrun;value_BlockedClearance;value_HighCentre;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_BoxDeepLeft;value_SmallBoxRight;value_Volley;value_FreeKick;value_NotPastGoalLine;value_GoesToPenalties;value_Penalty;value_Second(2Nd)OppositeRelatedEventId;value_Scored;value_Saved;value_Feet;value_ParriedSafe;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2726615413;1;34;16;0;0;d0c07im4a6oj8qa7f1zlt3pqs;1;0,0;0,0;2024-09-28T00:09:22.350Z;2024-09-28T01:06:45Z;[{'id': 5245558179, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5245563419, 'qualifierId': 194, 'value': '2yxzh220ndd4s4wqditruo0h6'}, {'id': 5245558175, 'qualifierId': 59, 'value': '20, 2, 3, 6, 14, 5, 18, 30, 32, 10, 19, 11, 25, 8, 17, 1, 7, 4, 77, 90'}, {'id': 5245653221, 'qualifierId': 197, 'value': '23351'}, {'id': 5245558173, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5245558181, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5245558177, 'qualifierId': 130, 'value': '4'}, {'id': 5245558171, 'qualifierId': 30, 'value': 'dcypf9mqtlcn5wetj1z7g3mui, 8ly83pm2mbtz4u7jwsv0o96qy, 9nlw8tihbzfnvkt5uproa79jo, 2yxzh220ndd4s4wqditruo0h6, 7u1lf62rqlgzban2dwy6c1rmc, d0riqrsz7ojwb9m94rbvx7r6y, ov91zkisppven9tp72gfbjf8, 7m5wyvhq876dyap45egqs2tjo, elvrjpt1jlko4henaqvfid7o4, 641bsr9un81t6sds51fhvijh0, 3cbmr8hg3kszw5wl04p3ol27e, 4wgjayv8s85dueh5l88im6lwq, 9yldym4386a2icfk6qb6i90r8, 7nxqbiq6fics5w3qnwhz249as, 35ds2xu43z6jccyhlr8jsomzu, 81a5mbcfvbxke0w3cbq65ld2i, 53ufl7f1lbwnr7klx9ofxufbo, ec3xdenc4ncg4sc8ni4kkyln8, 4o2lk5bkmyxe8ji3lqjo69qtw, 34zlyg5jfoz9g36s49icjawic'}];;;;;eimsr1l6zvgixknl2cs8c0lw;Team set up;;;;23351,0;;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;;;;;;;;;;0;0;0;Vancouver Whitecaps II;0;;
2726616217;1;34;16;0;0;eo64tqkioegeb09iice2hf8bt;1;0,0;0,0;2024-09-28T00:12:13.768Z;2024-09-28T01:25:31Z;[{'id': 5245562369, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5245562379, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5245562365, 'qualifierId': 30, 'value': '5f17sgbv50uijg07qvpnejk0k, 3yk1gwm7jptmbal0vcwr24is4, 249t35evpr3aasx0uczjs2j9w, bhzjqo4qidpkmh7lqqir9h4ic, 5et4reh22bzqjp1wcr5sqldnu, bsufynk2wfvpz40nrndah1kb8, bh7fb8v7o5wynmapdhlth594a, 9b02cix263jvavj538nkj3m6s, 84wint64ygxx3pi5fz3mr12j8, 1ksu0c3adavx1gqbrhalfpatw, 441plehxckmdj5gb2mr6y8ne2, 4y4mypo5jyzbp0dtvm6y7ajxm, 3jw4ui4rr60p2jb2rt9hhoetw, 5n7a8mn92t3qajms7udeolmok, 4bae1ou2jd8xlsj7vmf9hb2fo, 8hf35b309tq3wuc59xgshmbro, 4lyhopb6ddaz08hd5tu2pos9g, 57yplpr6jgwlqoon231ydqp04'}, {'id': 5245653291, 'qualifierId': 197, 'value': '3399'}, {'id': 5245562377, 'qualifierId': 130, 'value': '2'}, {'id': 5245623111, 'qualifierId': 194, 'value': '5et4reh22bzqjp1wcr5sqldnu'}, {'id': 5245562383, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5245562373, 'qualifierId': 59, 'value': '90, 83, 54, 59, 53, 51, 43, 97, 52, 55, 41, 95, 46, 44, 80, 48, 49, 56'}];;;;;eimsr1l6zvgixknl2cs8c0lw;Team set up;;;;3399,0;;;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;away;;;;;;;;;;0;0;0;Austin II;0;;
2726633339;2;32;1;0;0;d0c07im4a6oj8qa7f1zlt3pqs;1;0,0;0,0;2024-09-28T01:04:35.319Z;2024-10-02T05:55:18Z;[{'id': 5245656371, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;eimsr1l6zvgixknl2cs8c0lw;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;;;;;;;;;;0;0;0;Vancouver Whitecaps II;0;;
2726633335;2;32;1;0;0;eo64tqkioegeb09iice2hf8bt;1;0,0;0,0;2024-09-28T01:04:35.319Z;2024-09-28T01:04:35Z;[{'id': 5245656363, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;eimsr1l6zvgixknl2cs8c0lw;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;away;;;;;;;;;;0;0;0;Austin II;0;;
2726633363;3;1;1;0;0;eo64tqkioegeb09iice2hf8bt;1;49,9;50,0;2024-09-28T01:04:35.320Z;2024-09-28T01:04:38Z;[{'id': 5245656489, 'qualifierId': 140, 'value': '34.4'}, {'id': 5245656493, 'qualifierId': 212, 'value': '16.3'}, {'id': 5245656497, 'qualifierId': 279, 'value': 'S'}, {'id': 5245656487, 'qualifierId': 56, 'value': 'Back'}, {'id': 5245656495, 'qualifierId': 213, 'value': '3.17'}, {'id': 5245656491, 'qualifierId': 141, 'value': '49.3'}];bhzjqo4qidpkmh7lqqir9h4ic;J. Badwal;;;eimsr1l6zvgixknl2cs8c0lw;Pass;;;;;;;;;;34,4;16,3;;;3,17;49,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;away;34,4;49,3;;;;;;;;0;0;0;Austin II;0;MC;1,0
2726633397;4;1;1;0;2;eo64tqkioegeb09iice2hf8bt;0;44,9;46,4;2024-09-28T01:04:37.882Z;2024-09-28T01:04:45Z;[{'id': 5245656729, 'qualifierId': 155}, {'id': 5245656735, 'qualifierId': 141, 'value': '97.5'}, {'id': 5245656733, 'qualifierId': 140, 'value': '92.7'}, {'id': 5245656743, 'qualifierId': 1}, {'id': 5245656737, 'qualifierId': 212, 'value': '61.0'}, {'id': 5245656731, 'qualifierId': 56, 'value': 'Left'}, {'id': 5245656741, 'qualifierId': 213, 'value': '0.61'}];441plehxckmdj5gb2mr6y8ne2;E. Goldthorp;;;eimsr1l6zvgixknl2cs8c0lw;Pass;;;;;;;;;;92,7;61,0;;;0,61;97,5;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;away;92,7;97,5;;;;;;;;0;0;2;Austin II;2;ML;1,0
2726633395;3;49;1;0;9;d0c07im4a6oj8qa7f1zlt3pqs;1;9,9;4,9;2024-09-28T01:04:44.719Z;2024-09-28T01:04:44Z;[];8ly83pm2mbtz4u7jwsv0o96qy;C. Touré;;;eimsr1l6zvgixknl2cs8c0lw;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;;;;;;;;;;0;0;9;Vancouver Whitecaps II;9;DR;1,0
2726633421;4;1;1;0;11;d0c07im4a6oj8qa7f1zlt3pqs;0;13,6;4,1;2024-09-28T01:04:46.789Z;2024-09-28T01:04:50Z;[{'id': 5245656903, 'qualifierId': 1}, {'id': 5245656899, 'qualifierId': 212, 'value': '45.2'}, {'id': 5245656895, 'qualifierId': 140, 'value': '45.1'}, {'id': 5245656901, 'qualifierId': 213, 'value': '0.75'}, {'id': 5245656893, 'qualifierId': 56, 'value': 'Back'}, {'id': 5245656891, 'qualifierId': 157}, {'id': 5245656897, 'qualifierId': 141, 'value': '49.3'}];8ly83pm2mbtz4u7jwsv0o96qy;C. Touré;;;eimsr1l6zvgixknl2cs8c0lw;Pass;;;;;;;;;;45,1;45,2;;;0,75;49,3;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;d0c07im4a6oj8qa7f1zlt3pqs;Austin II;home;45,1;49,3;;;;;;;;0;0;11;Vancouver Whitecaps II;11;DR;1,0
2726633449;5;1;1;0;16;eo64tqkioegeb09iice2hf8bt;1;53,3;57,7;2024-09-28T01:04:52.025Z;2024-10-02T06:06:20Z;[{'id': 5245657107, 'qualifierId': 213, 'value': '2.55'}, {'id': 5245657101, 'qualifierId': 140, 'value': '46.4'}, {'id': 5245657103, 'qualifierId': 141, 'value': '64.8'}, {'id': 5245657105, 'qualifierId': 212, 'value': '8.7'}, {'id': 5245657099, 'qualifierId': 56, 'value': 'Back'}, {'id': 5245657889, 'qualifierId': 3}];5et4reh22bzqjp1wcr5sqldnu;B. Sjöberg;;;eimsr1l6zvgixknl2cs8c0lw;Pass;;;;;;;;;;46,4;8,7;;;2,55;64,8;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;away;46,4;64,8;;;;;;;;0;0;16;Austin II;16;DL;1,0
2726633455;6;1;1;0;17;eo64tqkioegeb09iice2hf8bt;0;44,6;63,8;2024-09-28T01:04:53.185Z;2024-10-02T06:08:05Z;[{'id': 5245657143, 'qualifierId': 1}, {'id': 5245657133, 'qualifierId': 56, 'value': 'Center'}, {'id': 5245657137, 'qualifierId': 141, 'value': '43.0'}, {'id': 5245657141, 'qualifierId': 213, 'value': '5.80'}, {'id': 5245657131, 'qualifierId': 157}, {'id': 5245657139, 'qualifierId': 212, 'value': '30.6'}, {'id': 5245657135, 'qualifierId': 140, 'value': '70.4'}];bsufynk2wfvpz40nrndah1kb8;D. Saidykhan;;;eimsr1l6zvgixknl2cs8c0lw;Pass;;;;;;;;;;70,4;30,6;;;5,8;43,0;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;away;70,4;43,0;;;;;;;;0;0;17;Austin II;17;DC;1,0
