id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamKit;value_Captain;value_PlayerPosition;value_Resume;value_TeamFormation;value_Involved;value_TeamPlayerFormation;value_JerseyNumber;value_DirectionOfPlay;value_PassEndX;value_KickOff;value_PassEndY;value_Angle;value_Length;value_Zone;value_Launch;value_LongBall;value_OppositeRelatedEventId;value_NextEventGoalKick;value_GoalKick;value_Low;value_IntendedTackleTarget;value_Chipped;value_OutOfPlay;value_Head;value_NextEventThrowIn;value_ThrowIn;value_Offensive;value_Defensive;value_DeletedEventType;value_Cross;value_Assist;value_BlockedX;value_Assisted;value_GoalmouthY;value_RightFooted;value_RegularPlay;value_BlockedY;value_RelatedEventId;value_BoxRight;value_GoalmouthZ;value_HighRight;value_Standing;value_Hands;value_ParriedSafe;value_Left;value_Right;value_InSwinger;value_CornerTaken;value_BlockedPass;value_HeadPass;value_SwitchOfPlay;value_PlayersCaughtOffside;value_FreeKickTaken;value_Indirect;value_IntentionalAssist;value_LowLeft;value_BoxCentre;value_Blocked;value_SixYardBlocked;value_GkX;value_GkY;value_LeftFooted;value_DefBlock;value_Injury;value_InjuredPlayerId;value_PositionSideId;value_DetailedPositionId;value_FormationSlot;value_HighClaim;value_NotVisible;value_BlockedCross;value_LowCentre;value_NotAssisted;value_IndividualPlay;value_BoxLeft;value_LayOff;value_HighLeft;value_FirstTouch;value_ParriedDanger;value_Overrun;value_CloseHigh;value_High;value_FlickOn;value_AttemptedTackle;value_Direct;value_Foul;value_ThroughBall;value_PullBack;value_SmallBoxRight;value_CloseRight;value_FromCorner;value_GoalShotTimestamp;value_BigChance;value_GoalShotGameClock;value_SmallBoxCentre;value_KeeperThrow;value_Unchallenged;value_Minutes;value_Strong;value_EndType;value_OutOfBoxCentre;value_ShirtPull/Holding;value_OverhitCross;value_SmallBoxLeft;value_CloseLeft;value_ProfessionalFoulLastMan;value_RedCard;value_FreeKick;value_Shove/Push;value_Tactical;value_ThrowInSetPiece;value_Collected;value_Diving;value_LowRight;value_BoxDeepRight;value_Deflection;value_Stooping;value_GkKickFromHands;value_CaptainChange;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2706721359;1;34;16;0;0;eo64tqkioegeb09iice2hf8bt;1;0,0;0,0;2024-08-08T00:09:38.189Z;2024-08-08T01:21:37Z;[{'id': 5136330289, 'qualifierId': 197, 'value': '3365'}, {'id': 5136358261, 'qualifierId': 194, 'value': 'dvk85r457e15hg0pw5rig0222'}, {'id': 5136250567, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5136250575, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5136250571, 'qualifierId': 130, 'value': '8'}, {'id': 5136250565, 'qualifierId': 30, 'value': '6cdhdb44atdm9b3n7swgi002y, 57yplpr6jgwlqoon231ydqp04, 249t35evpr3aasx0uczjs2j9w, 8hf35b309tq3wuc59xgshmbro, 5et4reh22bzqjp1wcr5sqldnu, bsufynk2wfvpz40nrndah1kb8, 441plehxckmdj5gb2mr6y8ne2, bhzjqo4qidpkmh7lqqir9h4ic, 84wint64ygxx3pi5fz3mr12j8, 9b02cix263jvavj538nkj3m6s, dvk85r457e15hg0pw5rig0222, 4y4mypo5jyzbp0dtvm6y7ajxm, bh7fb8v7o5wynmapdhlth594a, 3jw4ui4rr60p2jb2rt9hhoetw, 5n7a8mn92t3qajms7udeolmok, 5f17sgbv50uijg07qvpnejk0k, 4lyhopb6ddaz08hd5tu2pos9g, 3zd7mw27i3s6y7kkuu5xxmkgk'}, {'id': 5136250573, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5136250569, 'qualifierId': 59, 'value': '50, 56, 54, 48, 53, 51, 41, 59, 52, 97, 92, 95, 43, 46, 44, 90, 49, 63'}];;;;;ejoepgy8vls2ns98cktmeqrys;Team set up;3365,0;;;;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;;;;;;;;;0;0;0;0;Colorado Rapids II;0;;
2706724923;1;34;16;0;0;iiolvosiuokkrl5iuoxcjo4p;1;0,0;0,0;2024-08-08T00:21:56.637Z;2024-08-08T01:21:45Z;[{'id': 5136270231, 'qualifierId': 59, 'value': '51, 53, 72, 42, 34, 44, 39, 40, 47, 80, 57, 61, 55, 90, 75, 78, 67, 81'}, {'id': 5136270233, 'qualifierId': 130, 'value': '4'}, {'id': 5136358435, 'qualifierId': 194, 'value': 'ew8oodr9hiuqve7xlz24xznfu'}, {'id': 5136270229, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5136270237, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5136332037, 'qualifierId': 197, 'value': '23380'}, {'id': 5136270235, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5136270227, 'qualifierId': 30, 'value': '7vhhtm49u9nzdpc9d60empxxw, 4wu5ystem7t4d7veep83j2qne, am8ndwmm4m03ys6wkad29lst0, etyqw24tl6zko0qarctyv6ane, dw8iyfupgsqkt8ogxssmtss4q, a9w6952jyw6x83gxp94zs8ro4, ew8oodr9hiuqve7xlz24xznfu, 38z2cuwmbeanujqho9cqwozmy, 28kg6zbpgbb8zrnhidogpxi0a, 7pegcq6kh8s6naujxky714ys4, 1p1ektnr3l7lj518cbs2dnmdw, 2miuqwzjmcoxmgdyil758no5w, 86piuxs9tep01rcbsp3t8vx90, 45nz5h9qtf9bnucuxuh3b4qhg, eh27y0usldxsj6ouf3pkvbg9g, aa5n9va0fkquh5xqfdgbijvv8, 8k21b3b2im7sl8rdqhs5h41lg, c0puzztvi2wkxhadqyc6v09as'}];;;;;ejoepgy8vls2ns98cktmeqrys;Team set up;23380,0;;;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;;;;;;;;;0;0;0;0;Vancouver Whitecaps II;0;;
2706736107;2;32;1;0;0;eo64tqkioegeb09iice2hf8bt;1;0,0;0,0;2024-08-08T01:04:43.027Z;2024-08-08T01:04:46Z;[{'id': 5136333483, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;ejoepgy8vls2ns98cktmeqrys;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;;;;;;;;;0;0;0;0;Colorado Rapids II;0;;
2706736103;2;32;1;0;0;iiolvosiuokkrl5iuoxcjo4p;1;0,0;0,0;2024-08-08T01:04:43.027Z;2024-08-08T01:04:43Z;[{'id': 5136333469, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;ejoepgy8vls2ns98cktmeqrys;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;;;;;;;;;0;0;0;0;Vancouver Whitecaps II;0;;
2706736109;3;1;1;0;0;eo64tqkioegeb09iice2hf8bt;1;50,0;50,0;2024-08-08T01:04:43.072Z;2024-08-08T01:04:45Z;[{'id': 5136333489, 'qualifierId': 140, 'value': '32.0'}, {'id': 5136333497, 'qualifierId': 279, 'value': 'S'}, {'id': 5136333491, 'qualifierId': 141, 'value': '50.0'}, {'id': 5136333495, 'qualifierId': 213, 'value': '3.14'}, {'id': 5136333493, 'qualifierId': 212, 'value': '18.9'}, {'id': 5136333487, 'qualifierId': 56, 'value': 'Back'}];dvk85r457e15hg0pw5rig0222;J. Herdman;;;ejoepgy8vls2ns98cktmeqrys;Pass;;;;;;;;;;32,0;;50,0;3,14;18,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;32,0;50,0;;;;;;;0;0;0;0;Colorado Rapids II;0;AML;1,0
2706736131;4;1;1;0;2;eo64tqkioegeb09iice2hf8bt;0;31,7;44,6;2024-08-08T01:04:45.944Z;2024-08-08T01:14:18Z;[{'id': 5136333635, 'qualifierId': 212, 'value': '74.0'}, {'id': 5136333633, 'qualifierId': 141, 'value': '24.9'}, {'id': 5136333627, 'qualifierId': 157}, {'id': 5136333639, 'qualifierId': 1}, {'id': 5136333631, 'qualifierId': 140, 'value': '100.0'}, {'id': 5136333637, 'qualifierId': 213, 'value': '6.10'}, {'id': 5136333629, 'qualifierId': 56, 'value': 'Center'}];5et4reh22bzqjp1wcr5sqldnu;B. Sjöberg;;;ejoepgy8vls2ns98cktmeqrys;Pass;;;;;;;;;;100,0;;24,9;6,1;74,0;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;100,0;24,9;;;;;;;0;0;0;2;Colorado Rapids II;2;DL;1,0
2706736191;3;5;1;0;7;iiolvosiuokkrl5iuoxcjo4p;1;-1,2;74,4;2024-08-08T01:04:50.635Z;2024-08-08T01:48:29Z;[{'id': 5136333923, 'qualifierId': 233, 'value': '5'}, {'id': 5136333909, 'qualifierId': 56, 'value': 'Back'}, {'id': 5136333911, 'qualifierId': 346}];a9w6952jyw6x83gxp94zs8ro4;J. Belluz;;;ejoepgy8vls2ns98cktmeqrys;Out;;;;;;;;;;;;;;;;;;5,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;;;;;;;;;0;0;0;7;Vancouver Whitecaps II;7;DC;1,0
2706736135;5;5;1;0;7;eo64tqkioegeb09iice2hf8bt;0;101,2;25,6;2024-08-08T01:04:50.635Z;2024-08-08T01:48:29Z;[{'id': 5136333927, 'qualifierId': 233, 'value': '3'}, {'id': 5136333653, 'qualifierId': 346}, {'id': 5136333651, 'qualifierId': 56, 'value': 'Center'}];8hf35b309tq3wuc59xgshmbro;M. Simmons;;;ejoepgy8vls2ns98cktmeqrys;Out;;;;;;;;;;;;;;;;;;3,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eo64tqkioegeb09iice2hf8bt;Vancouver Whitecaps II;home;;;;;;;;;0;0;0;7;Colorado Rapids II;7;MC;1,0
2706736229;4;1;1;0;22;iiolvosiuokkrl5iuoxcjo4p;1;5,5;60,2;2024-08-08T01:05:05.685Z;2024-08-08T01:05:14Z;[{'id': 5136334135, 'qualifierId': 212, 'value': '5.7'}, {'id': 5136334127, 'qualifierId': 124}, {'id': 5136334141, 'qualifierId': 237}, {'id': 5136334131, 'qualifierId': 140, 'value': '4.9'}, {'id': 5136334133, 'qualifierId': 141, 'value': '51.8'}, {'id': 5136334129, 'qualifierId': 56, 'value': 'Back'}, {'id': 5136334137, 'qualifierId': 213, 'value': '4.60'}];a9w6952jyw6x83gxp94zs8ro4;J. Belluz;;;ejoepgy8vls2ns98cktmeqrys;Pass;;;;;;;;;;4,9;;51,8;4,6;5,7;;;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;4,9;51,8;;;;;;;0;0;0;22;Vancouver Whitecaps II;22;DC;1,0
2706736245;5;1;1;0;31;iiolvosiuokkrl5iuoxcjo4p;1;13,4;47,8;2024-08-08T01:05:14.133Z;2024-08-08T01:05:17Z;[{'id': 5136334209, 'qualifierId': 141, 'value': '27.1'}, {'id': 5136334205, 'qualifierId': 56, 'value': 'Back'}, {'id': 5136334213, 'qualifierId': 213, 'value': '4.90'}, {'id': 5136334211, 'qualifierId': 212, 'value': '14.3'}, {'id': 5136334207, 'qualifierId': 140, 'value': '15.9'}];7vhhtm49u9nzdpc9d60empxxw;Z. Campagnolo;;;ejoepgy8vls2ns98cktmeqrys;Pass;;;;;;;;;;15,9;;27,1;4,9;14,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;away;15,9;27,1;;;;;;;0;0;0;31;Vancouver Whitecaps II;31;GK;1,0
