id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Involved;value_Resume;value_Captain;value_TeamPlayerFormation;value_TeamFormation;value_PlayerPosition;value_TeamKit;value_JerseyNumber;value_DirectionOfPlay;value_PassEndX;value_Angle;value_Length;value_Zone;value_PassEndY;value_KickOff;value_LongBall;value_Chipped;value_HeadPass;value_FlickOn;value_LayOff;value_TouchTypePass;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_Launch;value_NextEventGoalKick;value_Low;value_GoalKick;value_DeletedEventType;value_IntendedTackleTarget;value_Defensive;value_Offensive;value_Foul;value_NotVisible;value_Shove/Push;value_Direct;value_FreeKickTaken;value_TouchTypeControl;value_TakeOnSpace;value_DrivenCross;value_Straight;value_RightFooted;value_Cross;value_OutOfPlay;value_Assist;value_IntentionalAssist;value_Right;value_BoxRight;value_Assisted;value_GkX;value_GkY;value_Head;value_RelatedEventId;value_ThrowInSetPiece;value_FirstTouch;value_GoalmouthZ;value_GoalmouthY;value_ShirtPull/Holding;value_Defensive1V1;value_TakeOnOvertake;value_AttemptedTackle;value_InSwinger;value_BoxCentre;value_SetPiece;value_CloseHigh;value_OutOfBoxCentre;value_IndividualPlay;value_Left;value_LeftFooted;value_RegularPlay;value_SwitchOfPlay;value_MediumGkIntervention;value_KeeperThrow;value_HighRight;value_High;value_NotRetreating;value_YellowCard;value_LowGkIntervention;value_BlockedPass;value_TouchTypeClearance;value_CornerTaken;value_TempMissed;value_SmallBoxCentre;value_OutSwinger;value_FromCorner;value_LowRight;value_Blocked;value_BlockedY;value_BlockedX;value_DefBlock;value_Indirect;value_Obstruction;value_CloseLeftAndHigh;value_BoxLeft;value_Volley;value_IncorrectOutOfPlayDecision;value_LowCentre;value_GkXTimeOfGoal;value_GoalShotGameClock;value_GoalShotTimestamp;value_GkYTimeOfGoal;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_2NdAssist;value_CloseLeft;value_NotPastGoalLine;value_BigChance;value_2NdRelatedEventId;value_KeeperTouched;value_HitWoodwork;value_2NdAssisted;value_HitRightPost;value_RecklessOffence;value_Overrun;value_TacticalFoul;value_HighCentre;value_Collected;value_Standing;value_Hands;value_OverArm;value_BlockedCross;value_Minutes;value_GkKickFromHands;value_EndType;value_CaptainChange;value_FastBreak;value_SecondYellow;value_OtherObstacle;value_GkHoof;value_NotAssisted;value_InjuredPlayerId;value_Injury;value_LowLeft;value_HighGkIntervention;value_PlayersCaughtOffside;value_OverhitCross;value_Unchallenged;value_Handball;value_BoxDeepRight;value_CloseRight;value_HighClaim;value_MisHit;value_GoesToPenalties;value_Diving;value_Penalty;value_Scored;value_Second(2Nd)OppositeRelatedEventId;value_Weak;value_Saved;value_ParriedSafe;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2706823897;1;34;16;0;0;ew2zirzye0sw1txr2m33nr25y;1;0,0;0,0;2024-08-08T23:24:36.523Z;2024-08-20T11:12:48Z;[{'id': 5136830599, 'qualifierId': 30, 'value': '23j7p7rylg9rwke4vbgquzjai, 4h8dml0qrwpqza4kqazp5dnqi, 3q8dpwqkikbugz3ikwcmkbg4q, 1on6mxrbdqnh12s4h1y0vb3mc, dqa88ma3jbk33lsyzo45uy2cq, 79z5vt08ga8prn33vi2a260kq, dwyatw1wz3nrh1fcwu27ie8ve, dhrxi7hj8xh15ky7q6u5wqi5m, 1bmbt6h6bsiimpzxt07cqwfvu, 5n1wehugx0qtun8oopg2jbndg, 7jtxek694d60c5udhyv0zsjro, bpfl7nj8llr3dfadhtju52rro, 4nzrv75trp05nqos781kk62hg, 3514h23j8mh5m37hsg90245ck, 35jkg2v338kipzlf0iwvvypuy, cac9hjmdwt1gsz0qt3f6d4b2s, 4sot8voc25coo4dqsqrinantg, 1f1x4s6m83dyn9tv9faubwob8, 7b0z3s1wde3iu6vjvfbio6m8k'}, {'id': 5136830609, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5136850949, 'qualifierId': 194, 'value': '5n1wehugx0qtun8oopg2jbndg'}, {'id': 5136830607, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5136830605, 'qualifierId': 130, 'value': '8'}, {'id': 5136830601, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5136849779, 'qualifierId': 197, 'value': '15999'}, {'id': 5136830603, 'qualifierId': 59, 'value': '51, 45, 72, 38, 66, 77, 50, 64, 60, 99, 71, 54, 58, 53, 63, 52, 91, 93, 96'}];;;;;ek1ucu60bgmb557vf6kj0du6s;Team set up;;;;;8,0;;15999,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;;;;;;;;;;0;0;0;Minnesota United II;0;;
2706824037;1;34;16;0;0;1pc6sx2h4rp113ldkbp5d2xas;1;0,0;0,0;2024-08-08T23:29:50.206Z;2024-08-09T00:35:41Z;[{'id': 5136850105, 'qualifierId': 197, 'value': '23805'}, {'id': 5136882149, 'qualifierId': 194, 'value': '6045hqgmu7l31xwe2dp06mwnp'}, {'id': 5136831495, 'qualifierId': 30, 'value': 'aij1pddtm5ch0o8dstl3mc1jp, 3hoj338a7cxhckcsc9g5tpa7d, 1795jw1oc3pkthyq0kqexh65m, 2pka62t1zg04jwkcx6zbc4wlw, 7tjrziff3z2fl88t52j3rk3bp, 58839nfw30jxxroffd3a7q0wk, 6045hqgmu7l31xwe2dp06mwnp, f2sspwt1mtyf9y3z4xe1csgh6, c3f7oxhzkegam5g1cn1j8j7jd, iu61re9bbusv2w7fu7w6505w, tc5nl1hz1w06jobp5ckktr3e, e2olfsduxvaqsx6rdbaasa356, a1rc6kukly42y5j5smz3w72tw, 8hftsf1ff8839jdbe3e6lmm1g, a4staqjshva5lhcr0dw744nze, byelagxi3qg0rb06tjl3fodn8, 1gmj4ge2sog221wqkmap8kidw, 98tyw392rp4ow3apn0ygrbtp0, 39kv8a6a82fos9hw9esb84k16, clqg0gusupd6cehokpggbslck'}, {'id': 5136831497, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5136831499, 'qualifierId': 59, 'value': '1, 27, 35, 39, 3, 24, 20, 31, 19, 90, 99, 44, 48, 38, 34, 57, 50, 59, 98, 95'}, {'id': 5136831503, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5136831505, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5136831501, 'qualifierId': 130, 'value': '18'}];;;;;ek1ucu60bgmb557vf6kj0du6s;Team set up;;;;;18,0;;23805,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;;;;;;;;;;0;0;0;The Town;0;;
2706827433;2;32;1;0;0;ew2zirzye0sw1txr2m33nr25y;1;0,0;0,0;2024-08-09T00:04:08.695Z;2024-08-09T00:04:08Z;[{'id': 5136850517, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;ek1ucu60bgmb557vf6kj0du6s;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;;;;;;;;;;0;0;0;Minnesota United II;0;;
2706827437;2;32;1;0;0;1pc6sx2h4rp113ldkbp5d2xas;1;0,0;0,0;2024-08-09T00:04:08.695Z;2024-08-20T10:35:25Z;[{'id': 5136850527, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;ek1ucu60bgmb557vf6kj0du6s;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;;;;;;;;;;0;0;0;The Town;0;;
2706827443;3;1;1;0;0;ew2zirzye0sw1txr2m33nr25y;1;50,4;50,6;2024-08-09T00:04:08.696Z;2024-08-09T00:04:12Z;[{'id': 5136850561, 'qualifierId': 140, 'value': '33.0'}, {'id': 5136850567, 'qualifierId': 213, 'value': '3.14'}, {'id': 5136850565, 'qualifierId': 212, 'value': '18.3'}, {'id': 5136850559, 'qualifierId': 56, 'value': 'Back'}, {'id': 5136850563, 'qualifierId': 141, 'value': '50.6'}, {'id': 5136850569, 'qualifierId': 279, 'value': 'S'}];1bmbt6h6bsiimpzxt07cqwfvu;E. Blancas;;;ek1ucu60bgmb557vf6kj0du6s;Pass;;;;;;;;;;33,0;3,14;18,3;;50,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;33,0;50,6;;;;;;;;0;0;0;Minnesota United II;0;FW;1,0
2706827451;4;1;1;0;2;ew2zirzye0sw1txr2m33nr25y;1;31,6;53,5;2024-08-09T00:04:11.120Z;2024-08-09T00:04:15Z;[{'id': 5136850617, 'qualifierId': 213, 'value': '2.38'}, {'id': 5136850615, 'qualifierId': 212, 'value': '16.9'}, {'id': 5136850611, 'qualifierId': 140, 'value': '19.9'}, {'id': 5136850609, 'qualifierId': 56, 'value': 'Back'}, {'id': 5136850613, 'qualifierId': 141, 'value': '70.6'}];dhrxi7hj8xh15ky7q6u5wqi5m;B. Leroux;;;ek1ucu60bgmb557vf6kj0du6s;Pass;;;;;;;;;;19,9;2,38;16,9;;70,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;19,9;70,6;;;;;;;;0;0;2;Minnesota United II;2;MC;1,0
2706827463;5;1;1;0;6;ew2zirzye0sw1txr2m33nr25y;0;23,9;65,1;2024-08-09T00:04:15.456Z;2024-08-09T00:04:19Z;[{'id': 5136850669, 'qualifierId': 141, 'value': '29.7'}, {'id': 5136850673, 'qualifierId': 213, 'value': '5.83'}, {'id': 5136850671, 'qualifierId': 212, 'value': '54.9'}, {'id': 5136850675, 'qualifierId': 1}, {'id': 5136850663, 'qualifierId': 155}, {'id': 5136850667, 'qualifierId': 140, 'value': '70.9'}, {'id': 5136850665, 'qualifierId': 56, 'value': 'Center'}];79z5vt08ga8prn33vi2a260kq;C. Walls;;;ek1ucu60bgmb557vf6kj0du6s;Pass;;;;;;;;;;70,9;5,83;54,9;;29,7;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;70,9;29,7;;;;;;;;0;0;6;Minnesota United II;6;DC;1,0
2706827473;3;1;1;0;11;1pc6sx2h4rp113ldkbp5d2xas;1;16,1;74,8;2024-08-09T00:04:20.122Z;2024-08-09T00:12:10Z;[{'id': 5136850705, 'qualifierId': 56, 'value': 'Back'}, {'id': 5136850707, 'qualifierId': 140, 'value': '30.4'}, {'id': 5136850703, 'qualifierId': 3}, {'id': 5136850713, 'qualifierId': 213, 'value': '6.01'}, {'id': 5136850709, 'qualifierId': 141, 'value': '68.5'}, {'id': 5136850711, 'qualifierId': 212, 'value': '15.6'}];2pka62t1zg04jwkcx6zbc4wlw;F. McRobb;;;ek1ucu60bgmb557vf6kj0du6s;Pass;;;;;;;;;;30,4;6,01;15,6;;68,5;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;30,4;68,5;;;;;;;;0;0;11;The Town;11;DC;1,0
2706827475;4;1;1;0;12;1pc6sx2h4rp113ldkbp5d2xas;0;30,4;68,5;2024-08-09T00:04:21.529Z;2024-08-09T00:04:22Z;[{'id': 5136850719, 'qualifierId': 168}, {'id': 5136850723, 'qualifierId': 140, 'value': '36.2'}, {'id': 5136850725, 'qualifierId': 141, 'value': '62.5'}, {'id': 5136850727, 'qualifierId': 212, 'value': '7.3'}, {'id': 5136850721, 'qualifierId': 56, 'value': 'Back'}, {'id': 5136850729, 'qualifierId': 213, 'value': '5.69'}, {'id': 5136850717, 'qualifierId': 3}];f2sspwt1mtyf9y3z4xe1csgh6;H. Dotson;;;ek1ucu60bgmb557vf6kj0du6s;Pass;;;;;;;;;;36,2;5,69;7,3;;62,5;;;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1pc6sx2h4rp113ldkbp5d2xas;Minnesota United II;home;36,2;62,5;;;;;;;;0;0;12;The Town;12;DMC;1,0
2706827487;6;1;1;0;14;ew2zirzye0sw1txr2m33nr25y;1;57,2;50,3;2024-08-09T00:04:23.119Z;2024-08-20T10:52:54Z;[{'id': 5136850783, 'qualifierId': 140, 'value': '55.7'}, {'id': 5136850789, 'qualifierId': 213, 'value': '4.14'}, {'id': 5136850787, 'qualifierId': 212, 'value': '2.9'}, {'id': 5136850785, 'qualifierId': 141, 'value': '46.7'}, {'id': 5136850781, 'qualifierId': 56, 'value': 'Center'}];1on6mxrbdqnh12s4h1y0vb3mc;E. Mendoza;;;ek1ucu60bgmb557vf6kj0du6s;Pass;;;;;;;;;;55,7;4,14;2,9;;46,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ew2zirzye0sw1txr2m33nr25y;The Town;away;55,7;46,7;;;;;;;;0;0;14;Minnesota United II;14;MC;1,0
