field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;81a5mbcfvbxke0w3cbq65ld2i;1;1;4;d0c07im4a6oj8qa7f1zlt3pqs;ekfcrbrsaceshpap8nvuikfmc;away;1;GK;M. Alstrup;;;;;;
2;ec3xdenc4ncg4sc8ni4kkyln8;2;4;4;d0c07im4a6oj8qa7f1zlt3pqs;ekfcrbrsaceshpap8nvuikfmc;away;1;DR;A. Gomez;;;;4521gkm1oemvrfsgksz7b6zxm;56,0;2,0
2;9nlw8tihbzfnvkt5uproa79jo;3;3;4;d0c07im4a6oj8qa7f1zlt3pqs;ekfcrbrsaceshpap8nvuikfmc;away;1;DC;Rubén Bonachera;;;;;;
3;2yxzh220ndd4s4wqditruo0h6;4;6;4;d0c07im4a6oj8qa7f1zlt3pqs;ekfcrbrsaceshpap8nvuikfmc;away;1;MC;A. Ramírez;;;;;;
2;7u1lf62rqlgzban2dwy6c1rmc;5;14;4;d0c07im4a6oj8qa7f1zlt3pqs;ekfcrbrsaceshpap8nvuikfmc;away;1;DL;Nico van Rijn;;;;9yldym4386a2icfk6qb6i90r8;74,0;2,0
2;d0riqrsz7ojwb9m94rbvx7r6y;6;5;4;d0c07im4a6oj8qa7f1zlt3pqs;ekfcrbrsaceshpap8nvuikfmc;away;1;DC;S. Mazzaferro;;;;;;
3;8ly83pm2mbtz4u7jwsv0o96qy;7;2;4;d0c07im4a6oj8qa7f1zlt3pqs;ekfcrbrsaceshpap8nvuikfmc;away;1;MC;C. Touré;;;;;;
3;7m5wyvhq876dyap45egqs2tjo;8;30;4;d0c07im4a6oj8qa7f1zlt3pqs;ekfcrbrsaceshpap8nvuikfmc;away;1;MC;E. Torres;;;;ov91zkisppven9tp72gfbjf8;45,0;2,0
4;elvrjpt1jlko4henaqvfid7o4;9;32;4;d0c07im4a6oj8qa7f1zlt3pqs;ekfcrbrsaceshpap8nvuikfmc;away;1;FW;M. Burton;;;;4o2lk5bkmyxe8ji3lqjo69qtw;65,0;2,0
4;641bsr9un81t6sds51fhvijh0;10;10;4;d0c07im4a6oj8qa7f1zlt3pqs;ekfcrbrsaceshpap8nvuikfmc;away;1;FWR;B. Farkarlun;;;;7nxqbiq6fics5w3qnwhz249as;65,0;2,0
4;3cbmr8hg3kszw5wl04p3ol27e;11;19;4;d0c07im4a6oj8qa7f1zlt3pqs;ekfcrbrsaceshpap8nvuikfmc;away;1;FWL;C. Fodrey;;;;;;
5;ov91zkisppven9tp72gfbjf8;0;18;4;d0c07im4a6oj8qa7f1zlt3pqs;ekfcrbrsaceshpap8nvuikfmc;away;1;Sub;B. Byaruhanga;7m5wyvhq876dyap45egqs2tjo;45,0;2,0;;;
