field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;1ceqwz4ozqi6ft5l4hf5a04r8;1;57;3;1zgjjyruyufrkh4xjvryqsb1i;ekssgpj6t0a0vxxzf7qq2rdas;home;1;GK;M. Sheridan;;;;;;
2;872ifpo3qufi9vv9vy7ty6uj8;2;58;3;1zgjjyruyufrkh4xjvryqsb1i;ekssgpj6t0a0vxxzf7qq2rdas;home;1;DR;G. Wetzel;;;;dvems493n5l4twsq6cq2fg26s;67,0;2,0
2;2qz3ojbfedl8psp1tvq0183ro;3;39;3;1zgjjyruyufrkh4xjvryqsb1i;ekssgpj6t0a0vxxzf7qq2rdas;home;1;DC;F. Westfield;;;;;;
3;15v2azulwhof0p216i7bjp250;4;30;3;1zgjjyruyufrkh4xjvryqsb1i;ekssgpj6t0a0vxxzf7qq2rdas;home;1;DMC;J. Berdecio;;;;;;
2;3h4x6eh6zkcaww4g6rhkwpbf8;5;44;3;1zgjjyruyufrkh4xjvryqsb1i;ekssgpj6t0a0vxxzf7qq2rdas;home;1;DL;Neil Pierre;;;;;;
2;5aszabja459117mqykvfpajh0;6;42;3;1zgjjyruyufrkh4xjvryqsb1i;ekssgpj6t0a0vxxzf7qq2rdas;home;1;DC;C. Rojas;;;;;;
3;45v94x6b8g7n4xa3lsfdp6pzo;7;41;3;1zgjjyruyufrkh4xjvryqsb1i;ekssgpj6t0a0vxxzf7qq2rdas;home;1;MR;D. Vazquez;;;;;;
3;20wmdzih6b1t0ekt1v2qd4b2s;8;6;3;1zgjjyruyufrkh4xjvryqsb1i;ekssgpj6t0a0vxxzf7qq2rdas;home;1;AMC;C. Sullivan;;;;993vihjmsn70q9w237fatzgbu;71,0;2,0
4;de6bz3uyz5ta17f0jnnfhzims;9;45;3;1zgjjyruyufrkh4xjvryqsb1i;ekssgpj6t0a0vxxzf7qq2rdas;home;1;FW;L. Soria;;;;c390qr85frsvwv3o1ybehjk7o;85,0;2,0
4;434xf7moiduhzy9ivp7jxr10;10;55;3;1zgjjyruyufrkh4xjvryqsb1i;ekssgpj6t0a0vxxzf7qq2rdas;home;1;FW;S. Olivas;;;;;;
3;7bodno8j3qjiqp9wy8kobwmqc;11;56;3;1zgjjyruyufrkh4xjvryqsb1i;ekssgpj6t0a0vxxzf7qq2rdas;home;1;ML;C. Olney;;;;;;
5;6rm114588bj7ro7639d8l4qvo;0;61;3;1zgjjyruyufrkh4xjvryqsb1i;ekssgpj6t0a0vxxzf7qq2rdas;home;1;Sub;;;;;;;
5;81w1fqi66z0ibawynhraybaxg;0;22;3;1zgjjyruyufrkh4xjvryqsb1i;ekssgpj6t0a0vxxzf7qq2rdas;home;1;Sub;;;;;;;
5;993vihjmsn70q9w237fatzgbu;0;24;3;1zgjjyruyufrkh4xjvryqsb1i;ekssgpj6t0a0vxxzf7qq2rdas;home;1;Sub;N. Pariano;20wmdzih6b1t0ekt1v2qd4b2s;71,0;2,0;;;
5;dvems493n5l4twsq6cq2fg26s;0;36;3;1zgjjyruyufrkh4xjvryqsb1i;ekssgpj6t0a0vxxzf7qq2rdas;home;1;Sub;R. Meneses;872ifpo3qufi9vv9vy7ty6uj8;67,0;2,0;;;
5;d4spt2529fmys8d26x61lk36c;0;47;3;1zgjjyruyufrkh4xjvryqsb1i;ekssgpj6t0a0vxxzf7qq2rdas;home;1;Sub;;;;;;;
5;efgfakk5g8sp1u42583pt632s;0;63;3;1zgjjyruyufrkh4xjvryqsb1i;ekssgpj6t0a0vxxzf7qq2rdas;home;1;Sub;;;;;;;
5;c390qr85frsvwv3o1ybehjk7o;0;66;3;1zgjjyruyufrkh4xjvryqsb1i;ekssgpj6t0a0vxxzf7qq2rdas;home;1;Sub;D. Rocio;de6bz3uyz5ta17f0jnnfhzims;85,0;2,0;;;
5;dkkg923101zraafj7la0j8cus;0;68;3;1zgjjyruyufrkh4xjvryqsb1i;ekssgpj6t0a0vxxzf7qq2rdas;home;1;Sub;;;;;;;
5;ao8lbslcj9wswv1jx15t59444;0;81;3;1zgjjyruyufrkh4xjvryqsb1i;ekssgpj6t0a0vxxzf7qq2rdas;home;1;Sub;;;;;;;
1;12wcwqu2liyd0zv8ramcevh1w;1;70;3;8o8m08he36u0j4w08aj2iodn8;ekssgpj6t0a0vxxzf7qq2rdas;away;1;GK;P. Los;;;;;;
