field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;6agfr3usj1pblrbq2i9mdpmcq;1;30;13;99l7fsj6ykgbyqcb9zqqu9dgq;eljv81fqo5qn12un1aa4at7o4;home;1;GK;M. Collodi;;;;;;
3;rtca480n5ehey5ffvt8nudck;2;27;13;99l7fsj6ykgbyqcb9zqqu9dgq;eljv81fqo5qn12un1aa4at7o4;home;1;DMR;H. Endeley;;;;auomns9j08ffqknhs9007ju38;75,0;2,0
3;3risld5mac5ns2rrv6namc2l0;3;7;13;99l7fsj6ykgbyqcb9zqqu9dgq;eljv81fqo5qn12un1aa4at7o4;home;1;DML;A. Zanne;;;;;;
2;e7vsajjh4e7t51ciycjg0skd0;4;4;13;99l7fsj6ykgbyqcb9zqqu9dgq;eljv81fqo5qn12un1aa4at7o4;home;1;DC;T. Humphrey;;;;7al9w77ailhli8g487tkl32tw;45,0;2,0
2;9nl0k91lrjonu0z2irbs01oiy;5;24;13;99l7fsj6ykgbyqcb9zqqu9dgq;eljv81fqo5qn12un1aa4at7o4;home;1;DC;A. Korça;;;;f3bqitwkt3mitemcjd61hi044;59,0;2,0
2;1j010cibh247p8kjchww6ny3u;6;5;13;99l7fsj6ykgbyqcb9zqqu9dgq;eljv81fqo5qn12un1aa4at7o4;home;1;DC;N. Gordon;;;;;;
3;6girdg17h5o2qr8stoywy3vv8;7;34;13;99l7fsj6ykgbyqcb9zqqu9dgq;eljv81fqo5qn12un1aa4at7o4;home;1;MC;A. Urzua;;;;;;
3;32c9e26wcnr5kmab8ep4zph5g;8;50;13;99l7fsj6ykgbyqcb9zqqu9dgq;eljv81fqo5qn12un1aa4at7o4;home;1;MC;D. García;;;;741wavjzdmc04j4i8a3chq9zo;75,0;2,0
4;fgue58g7u6f2c53ggb0r2oa2;9;36;13;99l7fsj6ykgbyqcb9zqqu9dgq;eljv81fqo5qn12un1aa4at7o4;home;1;FW;M. Henry-Scott;;;;;;
4;8vnnownnzz2ksuuitbw3ax5yi;10;51;13;99l7fsj6ykgbyqcb9zqqu9dgq;eljv81fqo5qn12un1aa4at7o4;home;1;FWR;A. Ramirez;;;;8g1piun8acm9udttt1795qnhm;79,0;2,0
4;6ggqe5gi2w2jjclmbjev6dd78;11;10;13;99l7fsj6ykgbyqcb9zqqu9dgq;eljv81fqo5qn12un1aa4at7o4;home;1;FWL;Pedrinho;;;;3h8rx5wumr7hktll4hnvx7or8;59,0;2,0
5;741wavjzdmc04j4i8a3chq9zo;0;14;13;99l7fsj6ykgbyqcb9zqqu9dgq;eljv81fqo5qn12un1aa4at7o4;home;1;Sub;D. Baran;32c9e26wcnr5kmab8ep4zph5g;75,0;2,0;;;
5;bijyc7qlb2849vos6kn7kd0yc;0;23;13;99l7fsj6ykgbyqcb9zqqu9dgq;eljv81fqo5qn12un1aa4at7o4;home;1;Sub;;;;;;;
5;3h8rx5wumr7hktll4hnvx7or8;0;99;13;99l7fsj6ykgbyqcb9zqqu9dgq;eljv81fqo5qn12un1aa4at7o4;home;1;Sub;E. Sali;6ggqe5gi2w2jjclmbjev6dd78;59,0;2,0;;;
5;32zkl0xfnbj3sgjmq8esn4wt0;0;42;13;99l7fsj6ykgbyqcb9zqqu9dgq;eljv81fqo5qn12un1aa4at7o4;home;1;Sub;;;;;;;
5;8g1piun8acm9udttt1795qnhm;0;21;13;99l7fsj6ykgbyqcb9zqqu9dgq;eljv81fqo5qn12un1aa4at7o4;home;1;Sub;D. Lacy;8vnnownnzz2ksuuitbw3ax5yi;79,0;2,0;;;
5;f3bqitwkt3mitemcjd61hi044;0;8;13;99l7fsj6ykgbyqcb9zqqu9dgq;eljv81fqo5qn12un1aa4at7o4;home;1;Sub;N. Mendonça;9nl0k91lrjonu0z2irbs01oiy;59,0;2,0;;;
5;7al9w77ailhli8g487tkl32tw;0;6;13;99l7fsj6ykgbyqcb9zqqu9dgq;eljv81fqo5qn12un1aa4at7o4;home;1;Sub;M. Westergren;e7vsajjh4e7t51ciycjg0skd0;45,0;2,0;;;
5;auomns9j08ffqknhs9007ju38;0;2;13;99l7fsj6ykgbyqcb9zqqu9dgq;eljv81fqo5qn12un1aa4at7o4;home;1;Sub;M. Molina;rtca480n5ehey5ffvt8nudck;75,0;2,0;;;
