id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;matchId;type_displayName;value_Involved;value_Captain;value_Resume;value_TeamFormation;value_TeamKit;value_JerseyNumber;value_PlayerPosition;value_TeamPlayerFormation;value_DirectionOfPlay;value_Zone;value_Angle;value_PassEndX;value_PassEndY;value_KickOff;value_Length;value_Launch;value_LongBall;value_HeadPass;value_PlayersCaughtOffside;value_FreeKickTaken;value_Indirect;value_Offensive;value_OppositeRelatedEventId;value_Defensive;value_NextEventThrowIn;value_ThrowIn;value_Chipped;value_OutOfPlay;value_Left;value_InSwinger;value_CornerTaken;value_Cross;value_Head;value_NextEventGoalKick;value_High;value_GoalKick;value_AttemptedTackle;value_Direct;value_Foul;value_DeletedEventType;value_IntendedTackleTarget;value_IntentionalAssist;value_Assist;value_GkX;value_GoalmouthZ;value_GkY;value_Assisted;value_FirstTouch;value_RightFooted;value_RegularPlay;value_GoalmouthY;value_BoxRight;value_RelatedEventId;value_KeeperThrow;value_FlickOn;value_NotVisible;value_SwitchOfPlay;value_HighRight;value_FantasyAssistType;value_FantasyAssistedBy;value_GoalShotGameClock;value_SwerveLeft;value_GoalShotTimestamp;value_FantasyAssistId;value_FantasyAssistTeam;value_FreeKick;value_NotAssisted;value_OutOfBoxCentre;value_Overrun;value_BlockedPass;value_BlockedX;value_BlockedY;value_LowRight;value_IndividualPlay;value_Diving;value_Hands;value_Collected;value_OverArm;value_ShirtPull/Holding;value_Stooping;value_ThroughBall;value_ProfessionalFoulLastMan;value_RedCard;value_Right;value_LowCentre;value_SmallBoxCentre;value_BigChance;value_SetPiece;value_RecklessOffence;value_YellowCard;value_Low;value_FromCorner;value_SmallBoxRight;value_CloseLeft;value_LeftFooted;value_BoxCentre;value_LayOff;value_AdvantagePlayed;value_Injury;value_InjuredPlayerId;value_GkHoof;value_Minutes;value_Blocked;value_DefBlock;value_GkKickFromHands;value_EndType;value_LeadingToGoal;value_RelatedError1Id;value_BoxLeft;value_Shove/Push;value_ViolentConduct;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_TacticalFoul;value_HighLeft;value_OutOfBoxDeepRight;value_Volley;value_Standing;value_HighCentre;value_ParriedSafe;value_LowLeft;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2708365427;1;34;16;0;0;erwnez7ksfkns4dqmyr1fhbe;1;0,0;0,0;2024-08-11T22:48:37.433Z;2024-08-11T23:33:19Z;[{'id': 5145239495, 'qualifierId': 30, 'value': 'f1e7n1pmjklbr35g7uuqdr78q, 5c7gqtyra887hjyg502tvzn1m, 94xmd8kr3t9wghaf95xnyphey, 6ahu72g0u39bxbjiz7ggefai1, 8pzkxfe5txe71u08n67d8k1uy, 2iz7apzo49byqz0ws65h9d7v8, a63su8pudaernrvj1fi9006qc, d5kcfgycj51y6aw82r38sl7o4, 5zeta56pml2qki1q095myhvys, 1b9b97pxox77ia41cilqqm4iy, ah3swx80hoddr239t1r6qg2ga, cbjd834y2hdx5jr3bda1zz6ga, eg5gobm8zylt21enud00dfnmy, astn4ytzoaav30ifi17s4dn8, ax2y5fvc4dzwn4qkxrfutapsk, 8dcbkmm7ktscumo0c6qcpy1p0, a0wpfy3ac4q8lwyiwvlj6m590, 216tgeofjnxr75ehcftkvxkpg, f69xf0cdfn1qe63t5tr5in10, 3uzxhd8g0jnft5xcd59yztm95'}, {'id': 5145312417, 'qualifierId': 194, 'value': 'd5kcfgycj51y6aw82r38sl7o4'}, {'id': 5145239505, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5145239501, 'qualifierId': 130, 'value': '8'}, {'id': 5145312419, 'qualifierId': 197, 'value': '6108'}, {'id': 5145239499, 'qualifierId': 59, 'value': '42, 47, 18, 45, 21, 95, 25, 86, 43, 30, 28, 52, 99, 41, 62, 48, 51, 23, 50, 36'}, {'id': 5145239497, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5145239503, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;emo8oybv35rtyjfbr3x1frxn8;Team set up;;;;8,0;6108,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;;;;;;;;;0;0;0;0;Toronto II;0;;
2708365967;1;34;16;0;0;29nx7yxy1rdqv2oobqn5pjf8p;1;0,0;0,0;2024-08-11T22:49:57.579Z;2024-08-11T23:44:47Z;[{'id': 5145241981, 'qualifierId': 130, 'value': '13'}, {'id': 5145241979, 'qualifierId': 59, 'value': '40, 95, 73, 85, 58, 51, 89, 68, 38, 72, 82, 75, 71, 74, 70, 92, 50, 79, 23'}, {'id': 5145241985, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5145241977, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5145312055, 'qualifierId': 197, 'value': '3386'}, {'id': 5145241983, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5145241975, 'qualifierId': 30, 'value': 'dt797hve9mdpnuyy1z4pnpp1w, 5qfwg7j8xrfv19ouu4gvrs00k, 7w2rw1jd8ouhu8bbvswvysu8k, d8u6lnk9lmbrgv9obcshpec8a, 2figny7hhxiw29vizhlyta3o4, 8pvvljn4uasfjxdleh56pm38, e8i5fg3tp35k8iys32eiv7jmc, 7q8y6gbmg9j75zgm3nhs3bfh0, d5del7kcf1zgkd2uvhius8y22, 7z57s6veqr3k87quyd6i7fgx6, c760g3hvhvi7nra7gpdrynn1m, dfnus4g6zypd1xcec6x7p85ey, 3wn0nn5q8g2mjzuc8yb4dvu2, b1fzb3n41gtxqnv6pcaug88pg, bje8wvncnbbx5w0l08uno88ru, 5l9js12tsf18c7st0oac3swes, 2m7xhno7xnktvmzwa6j7wlgfe, dqxh3f9qy6lhrwabvnbb6erro, czu9f4sxl5hpe05isdexmiy2'}, {'id': 5145314035, 'qualifierId': 194, 'value': 'c760g3hvhvi7nra7gpdrynn1m'}];;;;emo8oybv35rtyjfbr3x1frxn8;Team set up;;;;13,0;3386,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;;;;;;;;;0;0;0;0;Atlanta United II;0;;
2708380797;2;32;1;0;0;29nx7yxy1rdqv2oobqn5pjf8p;1;0,0;0,0;2024-08-11T23:35:48.471Z;2024-08-11T23:35:48Z;[{'id': 5145316499, 'qualifierId': 127, 'value': 'Left to Right'}];;;;emo8oybv35rtyjfbr3x1frxn8;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;;;;;;;;;0;0;0;0;Atlanta United II;0;;
2708380803;2;32;1;0;0;erwnez7ksfkns4dqmyr1fhbe;1;0,0;0,0;2024-08-11T23:35:48.471Z;2024-08-11T23:35:51Z;[{'id': 5145316517, 'qualifierId': 127, 'value': 'Right to Left'}];;;;emo8oybv35rtyjfbr3x1frxn8;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;;;;;;;;;0;0;0;0;Toronto II;0;;
2708380835;3;1;1;0;0;29nx7yxy1rdqv2oobqn5pjf8p;1;50,1;50,3;2024-08-11T23:35:48.472Z;2024-08-11T23:35:55Z;[{'id': 5145316737, 'qualifierId': 56, 'value': 'Back'}, {'id': 5145316745, 'qualifierId': 213, 'value': '2.74'}, {'id': 5145316739, 'qualifierId': 140, 'value': '24.0'}, {'id': 5145316741, 'qualifierId': 141, 'value': '67.3'}, {'id': 5145316747, 'qualifierId': 279, 'value': 'S'}, {'id': 5145316743, 'qualifierId': 212, 'value': '29.7'}];c760g3hvhvi7nra7gpdrynn1m;J. Altobelli;;emo8oybv35rtyjfbr3x1frxn8;Pass;;;;;;;;;;;2,74;24,0;67,3;;29,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;24,0;67,3;;;;;;;0;0;0;0;Atlanta United II;0;FWL;1,0
2708380839;4;1;1;0;6;29nx7yxy1rdqv2oobqn5pjf8p;1;30,6;61,2;2024-08-11T23:35:55.438Z;2024-08-11T23:50:09Z;[{'id': 5145316771, 'qualifierId': 157}, {'id': 5145316775, 'qualifierId': 140, 'value': '70.3'}, {'id': 5145316783, 'qualifierId': 1}, {'id': 5145316773, 'qualifierId': 56, 'value': 'Center'}, {'id': 5145316777, 'qualifierId': 141, 'value': '28.2'}, {'id': 5145316781, 'qualifierId': 213, 'value': '5.79'}, {'id': 5145316779, 'qualifierId': 212, 'value': '47.3'}];2figny7hhxiw29vizhlyta3o4;Ythallo;;emo8oybv35rtyjfbr3x1frxn8;Pass;;;;;;;;;;;5,79;70,3;28,2;;47,3;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;70,3;28,2;;;;;;;0;0;0;6;Atlanta United II;6;DC;1,0
2708380995;8;1;1;0;8;29nx7yxy1rdqv2oobqn5pjf8p;1;68,4;20,3;2024-08-11T23:35:57.191Z;2024-08-11T23:36:22Z;[{'id': 5145317527, 'qualifierId': 141, 'value': '11.4'}, {'id': 5145317523, 'qualifierId': 56, 'value': 'Right'}, {'id': 5145317531, 'qualifierId': 213, 'value': '3.77'}, {'id': 5145317529, 'qualifierId': 212, 'value': '10.4'}, {'id': 5145317521, 'qualifierId': 3}, {'id': 5145317525, 'qualifierId': 140, 'value': '60.4'}];d5del7kcf1zgkd2uvhius8y22;C. Sharp;;emo8oybv35rtyjfbr3x1frxn8;Pass;;;;;;;;;;;3,77;60,4;11,4;;10,4;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;60,4;11,4;;;;;;;0;0;0;8;Atlanta United II;8;FW;1,0
2708380865;5;1;1;0;11;29nx7yxy1rdqv2oobqn5pjf8p;1;45,1;14,7;2024-08-11T23:36:00.414Z;2024-08-11T23:36:01Z;[{'id': 5145316923, 'qualifierId': 141, 'value': '12.2'}, {'id': 5145316927, 'qualifierId': 213, 'value': '3.26'}, {'id': 5145316919, 'qualifierId': 56, 'value': 'Back'}, {'id': 5145316921, 'qualifierId': 140, 'value': '31.7'}, {'id': 5145316925, 'qualifierId': 212, 'value': '14.2'}];e8i5fg3tp35k8iys32eiv7jmc;C. Staniland;;emo8oybv35rtyjfbr3x1frxn8;Pass;;;;;;;;;;;3,26;31,7;12,2;;14,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;31,7;12,2;;;;;;;0;0;0;11;Atlanta United II;11;MC;1,0
2708380869;6;1;1;0;12;29nx7yxy1rdqv2oobqn5pjf8p;0;31,7;12,2;2024-08-11T23:36:01.439Z;2024-08-11T23:36:02Z;[{'id': 5145316937, 'qualifierId': 140, 'value': '48.8'}, {'id': 5145316943, 'qualifierId': 213, 'value': '0.83'}, {'id': 5145316941, 'qualifierId': 212, 'value': '26.5'}, {'id': 5145316935, 'qualifierId': 56, 'value': 'Back'}, {'id': 5145316939, 'qualifierId': 141, 'value': '40.9'}];8pvvljn4uasfjxdleh56pm38;A. Pearlman;;emo8oybv35rtyjfbr3x1frxn8;Pass;;;;;;;;;;;0,83;48,8;40,9;;26,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29nx7yxy1rdqv2oobqn5pjf8p;Toronto II;away;48,8;40,9;;;;;;;0;0;0;12;Atlanta United II;12;DC;1,0
2708380875;3;49;1;0;15;erwnez7ksfkns4dqmyr1fhbe;1;46,9;50,4;2024-08-11T23:36:03.663Z;2024-08-11T23:36:03Z;[];d5kcfgycj51y6aw82r38sl7o4;Javier Armas;;emo8oybv35rtyjfbr3x1frxn8;Ball recovery;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;home;;;;;;;;;0;0;0;15;Toronto II;15;MC;1,0
