id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_JerseyNumber;value_PlayerPosition;value_TeamKit;value_Resume;value_Captain;value_TeamPlayerFormation;value_Involved;value_TeamFormation;value_DirectionOfPlay;value_PassEndY;value_Zone;value_PassEndX;value_Length;value_Angle;value_KickOff;value_LongBall;value_Launch;value_HeadPass;value_IntendedTackleTarget;value_DeletedEventType;value_OutOfPlay;value_Left;value_OppositeRelatedEventId;value_Right;value_CornerTaken;value_OutSwinger;value_Cross;value_Chipped;value_IntentionalAssist;value_RightFooted;value_Assist;value_Offensive;value_Defensive;value_RelatedEventId;value_FromCorner;value_GoalmouthZ;value_BoxCentre;value_HighLeft;value_GkY;value_FirstTouch;value_Head;value_Assisted;value_GkX;value_GoalmouthY;value_NextEventGoalKick;value_GoalKick;value_Low;value_TouchTypeControl;value_TakeOnOvertake;value_TouchTypeClearance;value_NextEventThrowIn;value_ThrowIn;value_ShirtPull/Holding;value_Direct;value_Foul;value_FreeKickTaken;value_AttemptedTackle;value_FlickOn;value_BlockedPass;value_Straight;value_DrivenCross;value_LeftFooted;value_InSwinger;value_HighGkIntervention;value_NotAssisted;value_Diving;value_Hands;value_ParriedSafe;value_IncorrectOutOfPlayDecision;value_TouchTypePass;value_TakeOnSpace;value_IndividualPlay;value_LowLeft;value_RegularPlay;value_BlockedX;value_BlockedY;value_OutOfBoxCentre;value_LowGkIntervention;value_Stooping;value_Collected;value_KeeperThrow;value_PullBack;value_LayOff;value_BlockedCross;value_HighClaim;value_BoxLeft;value_MediumGkIntervention;value_High;value_NotVisible;value_CloseRight;value_Volley;value_SwitchOfPlay;value_HighCentre;value_Standing;value_LastLine;value_Blocked;value_LowCentre;value_BoxRight;value_DefBlock;value_PlayersCaughtOffside;value_Indirect;value_OwnShotBlocked;value_OverArm;value_AerialFoul;value_CloseLeft;value_FastBreak;value_Shove/Push;value_InjuredPlayerId;value_Injury;value_BigChance;value_GkYTimeOfGoal;value_GkXTimeOfGoal;value_GoalShotGameClock;value_GoalShotTimestamp;value_LowRight;value_Defensive1V1;value_Minutes;value_EndType;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_YellowCard;value_RecklessOffence;value_TacticalFoul;value_SmallBoxRight;value_SetPiece;value_ParriedDanger;value_Handball;value_ThroughBall;value_KeeperTouched;value_Feet;value_SwerveRight;value_CloseHigh;value_CaptainChange;value_GoalDisallowed;value_HighRight;value_GkHoof;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2708409229;1;34;16;0;0;8ijkk62897so5r3bq0wgwx4bu;1;0,0;0,0;2024-08-12T01:01:49.545Z;2024-08-12T01:22:12Z;[{'id': 5145475443, 'qualifierId': 59, 'value': '31, 75, 50, 52, 64, 51, 53, 21, 29, 84, 61, 63, 72, 91, 67, 97, 87, 71, 49, 78'}, {'id': 5145475441, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5145475449, 'qualifierId': 197, 'value': '23553'}, {'id': 5145475451, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5145500297, 'qualifierId': 194, 'value': 'ab8jzmb5h0lh7mt66h3zgm5ex'}, {'id': 5145475447, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5145475439, 'qualifierId': 30, 'value': 'ab8jzmb5h0lh7mt66h3zgm5ex, 70e7dozhms3xdkr0n6kas00es, 4blue6g56i3t9iffjcmjs6hhw, c44bkncqmptribnxki1dyppbe, ckqdb14rd2i1scytlygbsncb8, e23yyl43xtcve09dx234uuj8, b2sl4wp77nrynvodb6k19yfze, 1o0ew8fp44fuo3o7c8ef8pd2i, 1kl9112b8rcbr3k1s5hs353x0, 4o8ulvahxfb06x5xhvflvwhzo, 5zawuirp825t4brhaj90k9duy, 6d45ccicyo6dregi9cm4ad4kq, 2eoftsi3eznjjmhu8ybft11ck, pldpnmzoo867jhdvamuhp9n8, e6ocmgjfubq6qvg4wfp8zipsk, 7suq9shgwa8fyip80f1zy1mhg, 58akq0ojntf5n123msb1tzeok, 2io6rajwkftjli8i14hf606ei, 92k301czub8hcyhqa10qvpt04, 3c1xz4vpfoum0jbq6bmtdrtux'}, {'id': 5145475445, 'qualifierId': 130, 'value': '8'}];;;;;enf828qtoce7ha2pttf0qa5uc;Team set up;;;23553,0;;;;;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;;;;;;;;;0;0;0;0;Los Angeles II;0;;
2708409483;1;34;16;0;0;6gaq85erpkvbyxvivd96wuw44;1;0,0;0,0;2024-08-12T01:03:07.080Z;2024-08-12T04:07:21Z;[{'id': 5145477199, 'qualifierId': 59, 'value': '31, 40, 42, 46, 43, 44, 56, 70, 39, 77, 91, 71, 49, 81, 60, 88, 51, 35, 79'}, {'id': 5145477207, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5145477197, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5145623677, 'qualifierId': 194, 'value': 'd4xd9fxqjwfe7x46byn60dx49'}, {'id': 5145477203, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5145477201, 'qualifierId': 130, 'value': '4'}, {'id': 5145477205, 'qualifierId': 197, 'value': '23554'}, {'id': 5145477195, 'qualifierId': 30, 'value': 'd4xd9fxqjwfe7x46byn60dx49, ajxa2yfzwct5nd0ded1sa9vmy, m8clu51iu7443ig9q6vn6fbo, d1w4zs63sx3cc7wnc8wshbfv8, do2o6ka25talswmmillufejqi, 7s32iecltoopsjddclg0ixzx0, m4w1lmkfi8siwrxs9ny5ihhw, 6mm2h3x9hmyea3bu2wt80uo7o, 3v3b0z3d5czty8zcxrhy5uyac, 18b4rpeia26xq688ieqaw2z2s, 17ni4ntnt7b6b0bwst3e4djze, 9fnfncaw5h743wythc6zjgw7o, cuxpxs76g96vwhrnhw9rw2ihg, 3fbekr02uy605ppv5pzw9321g, eu6pktmlz3r7qlbwoodmlgdn8, 230zkhv4hig5j6azhgem5553o, 7ruu7rxicp3r2ftyg50cf3dhw, 19w7fxv11he4r65942cmeaplg, 2t5xlnzc4uiaae7x0yof4djx0'}];;;;;enf828qtoce7ha2pttf0qa5uc;Team set up;;;23554,0;;;;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;;;;;;;;;0;0;0;0;Ventura County;0;;
2708420677;2;32;1;0;0;8ijkk62897so5r3bq0wgwx4bu;1;0,0;0,0;2024-08-12T02:04:29.099Z;2024-08-19T11:47:17Z;[{'id': 5145542613, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;enf828qtoce7ha2pttf0qa5uc;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;;;;;;;;;0;0;0;0;Los Angeles II;0;;
2708420675;2;32;1;0;0;6gaq85erpkvbyxvivd96wuw44;1;0,0;0,0;2024-08-12T02:04:29.099Z;2024-08-12T02:04:32Z;[{'id': 5145542609, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;enf828qtoce7ha2pttf0qa5uc;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;;;;;;;;;0;0;0;0;Ventura County;0;;
2708420681;3;1;1;0;0;6gaq85erpkvbyxvivd96wuw44;1;49,9;50,0;2024-08-12T02:04:29.101Z;2024-08-12T02:04:33Z;[{'id': 5145542655, 'qualifierId': 141, 'value': '53.1'}, {'id': 5145542651, 'qualifierId': 56, 'value': 'Back'}, {'id': 5145542653, 'qualifierId': 140, 'value': '34.5'}, {'id': 5145542657, 'qualifierId': 212, 'value': '16.3'}, {'id': 5145542659, 'qualifierId': 213, 'value': '3.01'}, {'id': 5145542661, 'qualifierId': 279, 'value': 'S'}];3v3b0z3d5czty8zcxrhy5uyac;N. Sullivan;;;enf828qtoce7ha2pttf0qa5uc;Pass;;;;;;;;;;53,1;;34,5;16,3;3,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;34,5;53,1;;;;;;;0;0;0;0;Ventura County;0;FW;1,0
2708420689;4;1;1;0;4;6gaq85erpkvbyxvivd96wuw44;0;34,5;53,1;2024-08-12T02:04:33.307Z;2024-08-14T06:00:39Z;[{'id': 5145542727, 'qualifierId': 213, 'value': '0.47'}, {'id': 5145542729, 'qualifierId': 1}, {'id': 5145542717, 'qualifierId': 157}, {'id': 5145542725, 'qualifierId': 212, 'value': '36.5'}, {'id': 5145542721, 'qualifierId': 140, 'value': '65.5'}, {'id': 5145542723, 'qualifierId': 141, 'value': '77.5'}, {'id': 5145542719, 'qualifierId': 56, 'value': 'Center'}];d1w4zs63sx3cc7wnc8wshbfv8;D. Guerra;;;enf828qtoce7ha2pttf0qa5uc;Pass;;;;;;;;;;77,5;;65,5;36,5;0,47;;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;65,5;77,5;;;;;;;0;0;0;4;Ventura County;4;MC;1,0
2708420695;3;1;1;0;5;8ijkk62897so5r3bq0wgwx4bu;1;31,3;15,5;2024-08-12T02:04:34.489Z;2024-08-14T06:00:41Z;[{'id': 5145542757, 'qualifierId': 3}, {'id': 5145542765, 'qualifierId': 141, 'value': '25.6'}, {'id': 5145542763, 'qualifierId': 140, 'value': '39.5'}, {'id': 5145542761, 'qualifierId': 56, 'value': 'Back'}, {'id': 5145542767, 'qualifierId': 212, 'value': '11.0'}, {'id': 5145542769, 'qualifierId': 213, 'value': '0.67'}];b2sl4wp77nrynvodb6k19yfze;D. Díaz;;;enf828qtoce7ha2pttf0qa5uc;Pass;;;;;;;;;;25,6;;39,5;11,0;0,67;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;39,5;25,6;;;;;;;0;0;0;5;Los Angeles II;5;AMR;1,0
2708420697;4;1;1;0;6;8ijkk62897so5r3bq0wgwx4bu;0;38,8;26,4;2024-08-12T02:04:35.536Z;2024-08-12T04:07:10Z;[{'id': 5145542773, 'qualifierId': 3}, {'id': 5145542775, 'qualifierId': 56, 'value': 'Back'}, {'id': 5145542779, 'qualifierId': 141, 'value': '35.7'}, {'id': 5145542777, 'qualifierId': 140, 'value': '46.1'}, {'id': 5145542783, 'qualifierId': 213, 'value': '0.69'}, {'id': 5145542781, 'qualifierId': 212, 'value': '9.9'}];4o8ulvahxfb06x5xhvflvwhzo;R. Ramos;;;enf828qtoce7ha2pttf0qa5uc;Pass;;;;;;;;;;35,7;;46,1;9,9;0,69;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;46,1;35,7;;;;;;;0;0;0;6;Los Angeles II;6;AMC;1,0
2708420701;5;1;1;0;7;6gaq85erpkvbyxvivd96wuw44;1;44,1;62,1;2024-08-12T02:04:36.443Z;2024-08-12T02:04:38Z;[{'id': 5145542807, 'qualifierId': 212, 'value': '11.2'}, {'id': 5145542805, 'qualifierId': 141, 'value': '52.7'}, {'id': 5145542803, 'qualifierId': 140, 'value': '52.9'}, {'id': 5145542801, 'qualifierId': 56, 'value': 'Center'}, {'id': 5145542799, 'qualifierId': 3}, {'id': 5145542809, 'qualifierId': 213, 'value': '5.68'}];d1w4zs63sx3cc7wnc8wshbfv8;D. Guerra;;;enf828qtoce7ha2pttf0qa5uc;Pass;;;;;;;;;;52,7;;52,9;11,2;5,68;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;52,9;52,7;;;;;;;0;0;0;7;Ventura County;7;MC;1,0
2708420703;6;1;1;0;9;6gaq85erpkvbyxvivd96wuw44;1;51,4;50,4;2024-08-12T02:04:38.187Z;2024-08-12T02:04:39Z;[{'id': 5145542827, 'qualifierId': 141, 'value': '31.0'}, {'id': 5145542831, 'qualifierId': 213, 'value': '3.94'}, {'id': 5145542829, 'qualifierId': 212, 'value': '18.4'}, {'id': 5145542825, 'qualifierId': 140, 'value': '39.2'}, {'id': 5145542823, 'qualifierId': 56, 'value': 'Back'}];m4w1lmkfi8siwrxs9ny5ihhw;J. Terry;;;enf828qtoce7ha2pttf0qa5uc;Pass;;;;;;;;;;31,0;;39,2;18,4;3,94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6gaq85erpkvbyxvivd96wuw44;Los Angeles II;away;39,2;31,0;;;;;;;0;0;0;9;Ventura County;9;MC;1,0
