field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;78geqjj0pzo2gp7p8xg3q39w;1;37;12;7fbej4xwoq4imaf5l39304m37;erzackp6huaw3w59c0b7oerdg;home;1;GK;J. Kortkamp;;;;;;
3;2gawx03wls5vwtlocjir3u7vu;2;90;12;7fbej4xwoq4imaf5l39304m37;erzackp6huaw3w59c0b7oerdg;home;1;DMR;M. Alexandre;;;;5n0su1a4r7kb7it3ghxbhrf56;79,0;2,0
3;9kahvwswke29dt3uumulbktpm;3;40;12;7fbej4xwoq4imaf5l39304m37;erzackp6huaw3w59c0b7oerdg;home;1;DML;M. Visconti;;;;avijawqszxv4ewdxydxeugbv8;45,0;2,0
2;tvbjgz0zeq5irumgofxrko44;4;89;12;7fbej4xwoq4imaf5l39304m37;erzackp6huaw3w59c0b7oerdg;home;1;DC;L. Christiano;;;;;;
2;4cfvnypovkt900sfxmdhvxtec;5;28;12;7fbej4xwoq4imaf5l39304m37;erzackp6huaw3w59c0b7oerdg;home;1;DC;C. Rindov;;;;;;
2;2vq2t4ttpcwey95jzofd60qy2;6;42;12;7fbej4xwoq4imaf5l39304m37;erzackp6huaw3w59c0b7oerdg;home;1;DC;C. Klein;;;;hranx8amv6zdzmvzda4to0lw;78,0;2,0
3;9ts3xs5p912m8f3pph7ni9vkk;7;88;12;7fbej4xwoq4imaf5l39304m37;erzackp6huaw3w59c0b7oerdg;home;1;MC;S. Donovan;;;;;;
3;3tkdn8arq1j3il4ako7rcio2y;8;38;12;7fbej4xwoq4imaf5l39304m37;erzackp6huaw3w59c0b7oerdg;home;1;MC;M. Goumballe;;;;a8ngovgs2qfu5udzb97kelg16;56,0;2,0
4;4oz12ku4mdjsq7y4sgogpwg2y;9;47;12;7fbej4xwoq4imaf5l39304m37;erzackp6huaw3w59c0b7oerdg;home;1;FW;K. Habibullah;;;;c7luarkv7hwdspd9xhidhisk4;79,0;2,0
4;cqmvrx028gh19yh8qh7w01y0a;10;99;12;7fbej4xwoq4imaf5l39304m37;erzackp6huaw3w59c0b7oerdg;home;1;FW;R. Avila;;;;;;
3;vhjelesjaxtgjcgfv7yxp2lm;11;98;12;7fbej4xwoq4imaf5l39304m37;erzackp6huaw3w59c0b7oerdg;home;1;AMC;S. Cruz;;;;;;
5;a8ngovgs2qfu5udzb97kelg16;0;39;12;7fbej4xwoq4imaf5l39304m37;erzackp6huaw3w59c0b7oerdg;home;1;Sub;E. Bryant;3tkdn8arq1j3il4ako7rcio2y;56,0;2,0;;;
5;c7luarkv7hwdspd9xhidhisk4;0;52;12;7fbej4xwoq4imaf5l39304m37;erzackp6huaw3w59c0b7oerdg;home;1;Sub;C. Tschantret;4oz12ku4mdjsq7y4sgogpwg2y;79,0;2,0;;;
5;hranx8amv6zdzmvzda4to0lw;0;96;12;7fbej4xwoq4imaf5l39304m37;erzackp6huaw3w59c0b7oerdg;home;1;Sub;I. James;2vq2t4ttpcwey95jzofd60qy2;78,0;2,0;;;
5;4sw7pq7xhnf7pqii16lhtf7ro;0;77;12;7fbej4xwoq4imaf5l39304m37;erzackp6huaw3w59c0b7oerdg;home;1;Sub;;;;;;;
5;avijawqszxv4ewdxydxeugbv8;0;76;12;7fbej4xwoq4imaf5l39304m37;erzackp6huaw3w59c0b7oerdg;home;1;Sub;J. Ortiz;9kahvwswke29dt3uumulbktpm;45,0;2,0;;;
5;1wa60ccrpw2zqguj4ayeeacyc;0;74;12;7fbej4xwoq4imaf5l39304m37;erzackp6huaw3w59c0b7oerdg;home;1;Sub;;;;;;;
5;5n0su1a4r7kb7it3ghxbhrf56;0;35;12;7fbej4xwoq4imaf5l39304m37;erzackp6huaw3w59c0b7oerdg;home;1;Sub;J. Robinson;2gawx03wls5vwtlocjir3u7vu;79,0;2,0;;;
5;3f52lf1p2xmtzysfi8n18m044;0;91;12;7fbej4xwoq4imaf5l39304m37;erzackp6huaw3w59c0b7oerdg;home;1;Sub;;;;;;;
1;81a5mbcfvbxke0w3cbq65ld2i;1;1;4;d0c07im4a6oj8qa7f1zlt3pqs;erzackp6huaw3w59c0b7oerdg;away;1;GK;M. Alstrup;;;;;;
2;8ly83pm2mbtz4u7jwsv0o96qy;2;2;4;d0c07im4a6oj8qa7f1zlt3pqs;erzackp6huaw3w59c0b7oerdg;away;1;DR;C. Touré;;;;ec3xdenc4ncg4sc8ni4kkyln8;83,0;2,0
2;9nlw8tihbzfnvkt5uproa79jo;3;3;4;d0c07im4a6oj8qa7f1zlt3pqs;erzackp6huaw3w59c0b7oerdg;away;1;DC;Rubén Bonachera;;;;;;
3;2yxzh220ndd4s4wqditruo0h6;4;6;4;d0c07im4a6oj8qa7f1zlt3pqs;erzackp6huaw3w59c0b7oerdg;away;1;MC;A. Ramírez;;;;;;
2;7u1lf62rqlgzban2dwy6c1rmc;5;14;4;d0c07im4a6oj8qa7f1zlt3pqs;erzackp6huaw3w59c0b7oerdg;away;1;DL;Nico van Rijn;;;;;;
2;d0riqrsz7ojwb9m94rbvx7r6y;6;5;4;d0c07im4a6oj8qa7f1zlt3pqs;erzackp6huaw3w59c0b7oerdg;away;1;DC;S. Mazzaferro;;;;;;
3;ov91zkisppven9tp72gfbjf8;7;18;4;d0c07im4a6oj8qa7f1zlt3pqs;erzackp6huaw3w59c0b7oerdg;away;1;MC;B. Byaruhanga;;;;;;
3;7m5wyvhq876dyap45egqs2tjo;8;30;4;d0c07im4a6oj8qa7f1zlt3pqs;erzackp6huaw3w59c0b7oerdg;away;1;MC;E. Torres;;;;4521gkm1oemvrfsgksz7b6zxm;83,0;2,0
