field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;f1e7n1pmjklbr35g7uuqdr78q;1;42;8;erwnez7ksfkns4dqmyr1fhbe;eth1wamg20j31o3abp404awb8;home;1;GK;J. Hibbert;;;;;;
2;3uzxhd8g0jnft5xcd59yztm95;2;36;8;erwnez7ksfkns4dqmyr1fhbe;eth1wamg20j31o3abp404awb8;home;1;DR;R. Qawasmy;;;;;;
2;f69xf0cdfn1qe63t5tr5in10;3;50;8;erwnez7ksfkns4dqmyr1fhbe;eth1wamg20j31o3abp404awb8;home;1;DC;D. Chong-Qui;;;;bjk2ns3xadow18v3tkvqqrkh6;72,0;2,0
3;6ahu72g0u39bxbjiz7ggefai1;4;45;8;erwnez7ksfkns4dqmyr1fhbe;eth1wamg20j31o3abp404awb8;home;1;MC;N. Okello;;;;216tgeofjnxr75ehcftkvxkpg;72,0;2,0
2;8pzkxfe5txe71u08n67d8k1uy;5;21;8;erwnez7ksfkns4dqmyr1fhbe;eth1wamg20j31o3abp404awb8;home;1;DL;E. Morales;;;;;;
2;2iz7apzo49byqz0ws65h9d7v8;6;95;8;erwnez7ksfkns4dqmyr1fhbe;eth1wamg20j31o3abp404awb8;home;1;DC;K. Moore;;;;;;
3;eg5gobm8zylt21enud00dfnmy;7;99;8;erwnez7ksfkns4dqmyr1fhbe;eth1wamg20j31o3abp404awb8;home;1;AMR;K. Tmimi;;;;7y5v3oex0pnupaahm8arguluc;45,0;2,0
3;d5kcfgycj51y6aw82r38sl7o4;8;86;8;erwnez7ksfkns4dqmyr1fhbe;eth1wamg20j31o3abp404awb8;home;1;MC;Javier Armas;;;;;;
4;5zeta56pml2qki1q095myhvys;9;43;8;erwnez7ksfkns4dqmyr1fhbe;eth1wamg20j31o3abp404awb8;home;1;FW;R. Neri;;;;ax2y5fvc4dzwn4qkxrfutapsk;72,0;2,0
3;1b9b97pxox77ia41cilqqm4iy;10;30;8;erwnez7ksfkns4dqmyr1fhbe;eth1wamg20j31o3abp404awb8;home;1;AMC;Nick Firmino;;;;;;
3;astn4ytzoaav30ifi17s4dn8;11;41;8;erwnez7ksfkns4dqmyr1fhbe;eth1wamg20j31o3abp404awb8;home;1;AML;A. Carleton;;;;b56zx0iumlw5cpjctu307c74k;59,0;2,0
5;ax2y5fvc4dzwn4qkxrfutapsk;0;62;8;erwnez7ksfkns4dqmyr1fhbe;eth1wamg20j31o3abp404awb8;home;1;Sub;A. Gordon;5zeta56pml2qki1q095myhvys;72,0;2,0;;;
5;a0wpfy3ac4q8lwyiwvlj6m590;0;51;8;erwnez7ksfkns4dqmyr1fhbe;eth1wamg20j31o3abp404awb8;home;1;Sub;;;;;;;
5;3lafo3mzfkp2kmf2fj8d6lnv8;0;38;8;erwnez7ksfkns4dqmyr1fhbe;eth1wamg20j31o3abp404awb8;home;1;Sub;;;;;;;
5;bjk2ns3xadow18v3tkvqqrkh6;0;75;8;erwnez7ksfkns4dqmyr1fhbe;eth1wamg20j31o3abp404awb8;home;1;Sub;J. Williams;f69xf0cdfn1qe63t5tr5in10;72,0;2,0;;;
5;216tgeofjnxr75ehcftkvxkpg;0;23;8;erwnez7ksfkns4dqmyr1fhbe;eth1wamg20j31o3abp404awb8;home;1;Sub;A. Torres;6ahu72g0u39bxbjiz7ggefai1;72,0;2,0;;;
5;7y5v3oex0pnupaahm8arguluc;0;55;8;erwnez7ksfkns4dqmyr1fhbe;eth1wamg20j31o3abp404awb8;home;1;Sub;M. Gallardo;eg5gobm8zylt21enud00dfnmy;45,0;2,0;;;
5;b56zx0iumlw5cpjctu307c74k;0;57;8;erwnez7ksfkns4dqmyr1fhbe;eth1wamg20j31o3abp404awb8;home;1;Sub;S. Hurlock;astn4ytzoaav30ifi17s4dn8;59,0;2,0;;;
1;8h2vywep73yn25kus2nda8ga2;1;99;8;479lsfr4cwlzewpbuda3y2xv4;eth1wamg20j31o3abp404awb8;away;1;GK;C. Mercado;;;;;;
2;6g7i7z6m8vts105dny1g6z3hm;2;30;8;479lsfr4cwlzewpbuda3y2xv4;eth1wamg20j31o3abp404awb8;away;1;DR;A. Freeman;;;;;;
2;bdgjmawy0anbgy1tz87ocvd9l;3;20;8;479lsfr4cwlzewpbuda3y2xv4;eth1wamg20j31o3abp404awb8;away;1;DC;L. Petrasso;;;;;;
