field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;7vhhtm49u9nzdpc9d60empxxw;1;51;4;iiolvosiuokkrl5iuoxcjo4p;eu9y74g23043z4usj838iigic;away;1;GK;Z. Campagnolo;;;;;;
2;4wu5ystem7t4d7veep83j2qne;2;53;4;iiolvosiuokkrl5iuoxcjo4p;eu9y74g23043z4usj838iigic;away;1;DR;S. Flores;;;;;;
2;am8ndwmm4m03ys6wkad29lst0;3;72;4;iiolvosiuokkrl5iuoxcjo4p;eu9y74g23043z4usj838iigic;away;1;DC;M. Alvarado;;;;;;
3;f1oc42nax0yel4gblge49py7e;4;45;4;iiolvosiuokkrl5iuoxcjo4p;eu9y74g23043z4usj838iigic;away;1;MC;D. Amadou;;;;;;
2;a9w6952jyw6x83gxp94zs8ro4;5;44;4;iiolvosiuokkrl5iuoxcjo4p;eu9y74g23043z4usj838iigic;away;1;DL;J. Belluz;;;;;;
2;8p3y7tm4lzwp39tojonnohaay;6;56;4;iiolvosiuokkrl5iuoxcjo4p;eu9y74g23043z4usj838iigic;away;1;DC;N. Jones;;;;;;
3;etyqw24tl6zko0qarctyv6ane;7;42;4;iiolvosiuokkrl5iuoxcjo4p;eu9y74g23043z4usj838iigic;away;1;MC;R. Peña;;;;38z2cuwmbeanujqho9cqwozmy;64,0;2,0
3;ew8oodr9hiuqve7xlz24xznfu;8;39;4;iiolvosiuokkrl5iuoxcjo4p;eu9y74g23043z4usj838iigic;away;1;MC;M. Vargas;;;;;;
4;28kg6zbpgbb8zrnhidogpxi0a;9;47;4;iiolvosiuokkrl5iuoxcjo4p;eu9y74g23043z4usj838iigic;away;1;FW;A. Díaz;;;;45nz5h9qtf9bnucuxuh3b4qhg;72,0;2,0
4;7pegcq6kh8s6naujxky714ys4;10;80;4;iiolvosiuokkrl5iuoxcjo4p;eu9y74g23043z4usj838iigic;away;1;FWR;N. Strellnauer;;;;;;
