id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;assist;keyPass;matchId;type_displayName;value_Resume;value_Involved;value_TeamPlayerFormation;value_TeamKit;value_Captain;value_JerseyNumber;value_TeamFormation;value_PlayerPosition;value_DirectionOfPlay;value_Length;value_KickOff;value_Zone;value_Angle;value_PassEndY;value_PassEndX;value_Chipped;value_SwitchOfPlay;value_LongBall;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_Defensive;value_TakeOnSpace;value_Offensive;value_Launch;value_HeadPass;value_LayOff;value_TouchTypeControl;value_DeletedEventType;value_TouchTypeClearance;value_IntendedTackleTarget;value_AttemptedTackle;value_Direct;value_Foul;value_FreeKickTaken;value_TakeOnOvertake;value_OutSwinger;value_RightFooted;value_Cross;value_NextEventGoalKick;value_GoalKick;value_Low;value_PlayersCaughtOffside;value_Indirect;value_LowGkIntervention;value_KeeperThrow;value_BlockedPass;value_LeftFooted;value_InSwinger;value_Head;value_OutOfPlay;value_Defensive1V1;value_TouchTypePass;value_ThroughBall;value_RegularPlay;value_Assist;value_GkX;value_GoalmouthZ;value_GkYTimeOfGoal;value_GkY;value_GoalShotGameClock;value_IndividualPlay;value_FirstTouch;value_GkXTimeOfGoal;value_LowRight;value_GoalmouthY;value_Assisted;value_RelatedEventId;value_OutOfBoxCentre;value_GoalShotTimestamp;value_Tap;value_ShirtPull/Holding;value_OtherObstacle;value_CloseLeft;value_MediumGkIntervention;value_HighRight;value_High;value_PullBack;value_IntentionalAssist;value_CloseRight;value_BoxLeft;value_RecklessOffence;value_YellowCard;value_HighClaim;value_BlockedY;value_Blocked;value_BlockedX;value_NotAssisted;value_DefBlock;value_Review;value_LowCentre;value_HitBar;value_BigChance;value_BoxCentre;value_HitWoodwork;value_ParriedSafe;value_Hands;value_Standing;value_Left;value_Right;value_CornerTaken;value_CloseHigh;value_FromCorner;value_Diving;value_ParriedDanger;value_Dissent;value_Overrun;value_BlockedClearance;value_BoxRight;value_Minutes;value_EndType;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_Injury;value_LastLine;value_FlickOn;value_Straight;value_DrivenCross;value_HighGkIntervention;value_LowLeft;value_Weak;value_NotPastGoalLine;value_MisHit;value_Volley;value_OverArm;value_Shove/Push;value_NotVisible;value_HighLeft;value_Stooping;value_SmallBoxRight;value_Feet;value_Collected;value_TimeWasting;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;value_PostMatchComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2728305239;1;34;16;0;0;8o8m08he36u0j4w08aj2iodn8;1;0,0;0,0;2024-09-29T18:13:33.085Z;2024-09-29T21:01:57Z;[{'id': 5254670817, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5254670807, 'qualifierId': 30, 'value': '12wcwqu2liyd0zv8ramcevh1w, 4agnpztnedb7ql14bo477vspg, 9vc2mynd9lg2oyt14n4e7a44q, 5ehbz7f56cmfamc29fnk3yuax, 5d341k1dxhlbetyh965z3q784, 72xktsosbsh2uwkwby59mr6z8, 64wbk2nsrs0ru0hjcq0lenwgk, 38p90lsdc5iv1jvjbhiinv6ne, b1p6qcv8wjzoxoax3nt13n5gq, 79knhnp7bvpjomzz14k715wtm, 2atsox1bassuexlgta8h3us4p, 4uybjezp5gdqpvkwp8qsdxrf8, a8t1jn05xxxccikegk8fdaiok, b3xoqrbmua9uzr0tw8kmnw9as, 9ii1zrimesdnqccy8dki8knx0, 4ycsifqidpgttuanylwsyts7o, 6n0x8t513vmsmgfasovvoj7u2, 2buy6q56o0ixo30fatz7ps9w4'}, {'id': 5254670815, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5254895423, 'qualifierId': 197, 'value': '24041'}, {'id': 5255491219, 'qualifierId': 194, 'value': '38p90lsdc5iv1jvjbhiinv6ne'}, {'id': 5254670811, 'qualifierId': 59, 'value': '70, 53, 54, 49, 43, 42, 35, 37, 48, 55, 50, 80, 59, 64, 68, 66, 44, 46'}, {'id': 5254670813, 'qualifierId': 130, 'value': '4'}, {'id': 5254670809, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}];;;;;ew08ihuj1ikwwghnwohn43kk;Team set up;;;;24041,0;;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;0;0;0;0;Columbus Crew II;0;;
2728316879;1;34;16;0;0;5b4ccd62yeeqdl2qk6jzsmjv8;1;0,0;0,0;2024-09-29T18:27:38.414Z;2024-09-29T21:02:05Z;[{'id': 5254736525, 'qualifierId': 59, 'value': '13, 45, 49, 24, 12, 58, 16, 2, 9, 10, 52, 11, 17, 43, 22, 27, 56'}, {'id': 5254889471, 'qualifierId': 197, 'value': '14907'}, {'id': 5255491821, 'qualifierId': 194, 'value': '9bn2zid7u305xii6alm8a58us'}, {'id': 5254736527, 'qualifierId': 130, 'value': '13'}, {'id': 5254736531, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5254736523, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5'}, {'id': 5254736521, 'qualifierId': 30, 'value': '9bn2zid7u305xii6alm8a58us, a12t1zv0y8gzzf6p3jrotkoic, 4nvz6yrxluelbpsjavcjtgnx0, agw4ksz62ddb0q7h7lon4na0a, bezle40rjwnkdskjbf9yg4sq2, ej430my7aij4crwaycjsw0qhg, dyv4gls8evw1fkei1zofev21g, cc7auv8d89ohifqg7qwz62mwa, xxu2xv2n6f5d51ksa8z4rv2s, 37zynr7fwzqg4c9w5ydefywyy, e0pkyzm6eqzlrxme33k7dwgt0, 79606fy6lyfs1h12645q4shzo, 58w3qcq1xrkpq5f9miuxp4ys4, 290iohuheoqdrdocbg25ipgk4, 3me8mlpj9tgn82v2mwyibpkb8, e1jku8gmpckc900s9y6z1gn4k, 6yy07mnoy3tybp2wpvmq2ghec'}, {'id': 5254736529, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0'}];;;;;ew08ihuj1ikwwghnwohn43kk;Team set up;;;;14907,0;;;13,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;;;;;;;;;0;0;0;0;Chicago Fire II;0;;
2728344761;2;32;1;0;0;5b4ccd62yeeqdl2qk6jzsmjv8;1;0,0;0,0;2024-09-29T19:03:56.401Z;2024-10-03T05:42:52Z;[{'id': 5254898167, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;ew08ihuj1ikwwghnwohn43kk;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;;;;;;;;;0;0;0;0;Chicago Fire II;0;;
2728344763;2;32;1;0;0;8o8m08he36u0j4w08aj2iodn8;1;0,0;0,0;2024-09-29T19:03:56.401Z;2024-09-29T19:03:59Z;[{'id': 5254898209, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;ew08ihuj1ikwwghnwohn43kk;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;0;0;0;0;Columbus Crew II;0;;
2728344803;3;1;1;0;0;5b4ccd62yeeqdl2qk6jzsmjv8;1;50,1;50,0;2024-09-29T19:03:56.402Z;2024-09-29T19:04:00Z;[{'id': 5254898469, 'qualifierId': 212, 'value': '20.1'}, {'id': 5254898475, 'qualifierId': 279, 'value': 'S'}, {'id': 5254898463, 'qualifierId': 56, 'value': 'Back'}, {'id': 5254898473, 'qualifierId': 213, 'value': '3.18'}, {'id': 5254898467, 'qualifierId': 141, 'value': '49.0'}, {'id': 5254898465, 'qualifierId': 140, 'value': '31.0'}];dyv4gls8evw1fkei1zofev21g;T. Habroune;;;ew08ihuj1ikwwghnwohn43kk;Pass;;;;;;;;;;20,1;;;3,18;49,0;31,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;31,0;49,0;;;;;;;0;0;0;0;Chicago Fire II;0;MC;1,0
2728344819;4;1;1;0;3;5b4ccd62yeeqdl2qk6jzsmjv8;1;31,9;50,3;2024-09-29T19:03:59.708Z;2024-09-29T20:03:09Z;[{'id': 5254898565, 'qualifierId': 56, 'value': 'Back'}, {'id': 5254898571, 'qualifierId': 212, 'value': '10.4'}, {'id': 5254898567, 'qualifierId': 140, 'value': '37.5'}, {'id': 5254898573, 'qualifierId': 213, 'value': '5.31'}, {'id': 5254898569, 'qualifierId': 141, 'value': '37.7'}];bezle40rjwnkdskjbf9yg4sq2;X. Zengue;;;ew08ihuj1ikwwghnwohn43kk;Pass;;;;;;;;;;10,4;;;5,31;37,7;37,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;37,5;37,7;;;;;;;0;0;0;3;Chicago Fire II;3;DC;1,0
2728344855;5;1;1;0;4;5b4ccd62yeeqdl2qk6jzsmjv8;0;37,7;35,4;2024-09-29T19:04:01.147Z;2024-09-29T20:03:10Z;[{'id': 5254898813, 'qualifierId': 155}, {'id': 5254898823, 'qualifierId': 212, 'value': '59.9'}, {'id': 5254898821, 'qualifierId': 141, 'value': '100.0'}, {'id': 5254898819, 'qualifierId': 140, 'value': '76.4'}, {'id': 5254898815, 'qualifierId': 196}, {'id': 5254898825, 'qualifierId': 213, 'value': '0.83'}, {'id': 5254898827, 'qualifierId': 1}, {'id': 5254898817, 'qualifierId': 56, 'value': 'Left'}];cc7auv8d89ohifqg7qwz62mwa;J. Greene;;;ew08ihuj1ikwwghnwohn43kk;Pass;;;;;;;;;;59,9;;;0,83;100,0;76,4;1,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;76,4;100,0;;;;;;;0;0;0;4;Chicago Fire II;4;MC;1,0
2728344967;3;5;1;0;7;8o8m08he36u0j4w08aj2iodn8;1;21,9;-0,8;2024-09-29T19:04:03.616Z;2024-09-29T19:45:26Z;[{'id': 5254899631, 'qualifierId': 233, 'value': '6'}, {'id': 5254899573, 'qualifierId': 347}, {'id': 5254899571, 'qualifierId': 56, 'value': 'Back'}];5ehbz7f56cmfamc29fnk3yuax;L. Prpa;;;ew08ihuj1ikwwghnwohn43kk;Out;;;;;;;;;;;;;;;;;;;6,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;;;;;;;;;0;0;0;7;Columbus Crew II;7;MC;1,0
2728344857;6;5;1;0;7;5b4ccd62yeeqdl2qk6jzsmjv8;0;78,1;100,8;2024-09-29T19:04:03.616Z;2024-09-29T19:45:26Z;[{'id': 5254898843, 'qualifierId': 56, 'value': 'Left'}, {'id': 5254898845, 'qualifierId': 347}, {'id': 5254899681, 'qualifierId': 233, 'value': '3'}];cc7auv8d89ohifqg7qwz62mwa;J. Greene;;;ew08ihuj1ikwwghnwohn43kk;Out;;;;;;;;;;;;;;;;;;;3,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;;;;;;;;;0;0;0;7;Chicago Fire II;7;MC;1,0
2728345021;4;1;1;0;15;8o8m08he36u0j4w08aj2iodn8;1;19,0;0,0;2024-09-29T19:04:12.191Z;2024-09-29T19:04:15Z;[{'id': 5254899943, 'qualifierId': 212, 'value': '15.8'}, {'id': 5254899941, 'qualifierId': 141, 'value': '17.3'}, {'id': 5254899939, 'qualifierId': 140, 'value': '10.6'}, {'id': 5254899945, 'qualifierId': 213, 'value': '2.16'}, {'id': 5254899935, 'qualifierId': 107}, {'id': 5254899937, 'qualifierId': 56, 'value': 'Back'}];4agnpztnedb7ql14bo477vspg;P. Soudan;;;ew08ihuj1ikwwghnwohn43kk;Pass;;;;;;;;;;15,8;;;2,16;17,3;10,6;;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8o8m08he36u0j4w08aj2iodn8;Chicago Fire II;away;10,6;17,3;;;;;;;0;0;0;15;Columbus Crew II;15;DR;1,0
