field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;brbc088u7sq9wh9d9gkonn5gq;1;31;2;dqx48fglv1l96cyrmjdod0xec;ew7c4u9c52m7xcn4wy8dae9lg;home;1;GK;C. Olivares;;;;;;
2;5hxlj4ash5nuwnt40mf5af46h;2;2;2;dqx48fglv1l96cyrmjdod0xec;ew7c4u9c52m7xcn4wy8dae9lg;home;1;DR;J. Nerwinski;;;;;;
2;2dqtrnq0k1fphyw71yh41gvtg;3;33;2;dqx48fglv1l96cyrmjdod0xec;ew7c4u9c52m7xcn4wy8dae9lg;home;1;DC;T. Pearce;;;;;;
3;3dyn7hheqvs3gm3m84jrra9lg;4;49;2;dqx48fglv1l96cyrmjdod0xec;ew7c4u9c52m7xcn4wy8dae9lg;home;1;MC;S. Antwi;;;;;;
2;9ulwk81vyj5rbz88h62i2ejv8;5;50;2;dqx48fglv1l96cyrmjdod0xec;ew7c4u9c52m7xcn4wy8dae9lg;home;1;DL;G. Mikina;;;;;;
2;910fd7rfysvvfzp2s1ywna5pm;6;40;2;dqx48fglv1l96cyrmjdod0xec;ew7c4u9c52m7xcn4wy8dae9lg;home;1;DC;M. Wentzel;;;;bbnk87q7t8pahznohwjjcvu5m;58,0;2,0
3;5jigl7kp5d2i5ws1602jm7n1m;7;41;2;dqx48fglv1l96cyrmjdod0xec;ew7c4u9c52m7xcn4wy8dae9lg;home;1;MR;J. Klein;;;;632mpv8dpnxjm69f8ip1e4l5g;68,0;2,0
3;1extjwx4b7nlpu8fm6526dsrt;8;98;2;dqx48fglv1l96cyrmjdod0xec;ew7c4u9c52m7xcn4wy8dae9lg;home;1;MC;M. Kidd;;;;;;
4;f2nvagw4mjjpn1ytj6rdl5ene;9;80;2;dqx48fglv1l96cyrmjdod0xec;ew7c4u9c52m7xcn4wy8dae9lg;home;1;FW;B. McSorley;;;;92oqt9q51us5rpmqmvvrdso6i;68,0;2,0
4;9k050zmkegfu3gdw2b4g4uwwk;10;46;2;dqx48fglv1l96cyrmjdod0xec;ew7c4u9c52m7xcn4wy8dae9lg;home;1;FW;C. Glover;;;;;;
3;9gswafduy82n4o6f0uk0khhck;11;59;2;dqx48fglv1l96cyrmjdod0xec;ew7c4u9c52m7xcn4wy8dae9lg;home;1;ML;M. Joyner;;;;c51ttt2cn2mguvgay18wfgzdg;78,0;2,0
5;bbnk87q7t8pahznohwjjcvu5m;0;72;2;dqx48fglv1l96cyrmjdod0xec;ew7c4u9c52m7xcn4wy8dae9lg;home;1;Sub;E. Kinzner;910fd7rfysvvfzp2s1ywna5pm;58,0;2,0;;;
