id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Captain;value_TeamKit;value_JerseyNumber;value_Involved;value_Resume;value_TeamFormation;value_PlayerPosition;value_TeamPlayerFormation;value_DirectionOfPlay;value_Length;value_PassEndY;value_Zone;value_KickOff;value_Angle;value_PassEndX;value_Launch;value_LongBall;value_HeadPass;value_BlockedPass;value_Offensive;value_OppositeRelatedEventId;value_Defensive;value_Left;value_InSwinger;value_Cross;value_Chipped;value_CornerTaken;value_RightFooted;value_OutOfPlay;value_TouchTypeClearance;value_TakeOnSpace;value_DeletedEventType;value_TouchTypeControl;value_IntendedTackleTarget;value_LeftFooted;value_OutSwinger;value_LowGkIntervention;value_NotVisible;value_KeeperThrow;value_NextEventThrowIn;value_ThrowIn;value_LayOff;value_IntentionalAssist;value_Assist;value_GoalmouthZ;value_FirstTouch;value_GkY;value_GoalmouthY;value_RelatedEventId;value_High;value_Assisted;value_SmallBoxRight;value_FromCorner;value_GkX;value_Head;value_NextEventGoalKick;value_GoalKick;value_Low;value_TouchTypePass;value_Direct;value_ShirtPull/Holding;value_Foul;value_FreeKickTaken;value_PlayersCaughtOffside;value_Indirect;value_AttemptedTackle;value_BlockedCross;value_SwitchOfPlay;value_Straight;value_DrivenCross;value_LowCentre;value_Blocked;value_IndividualPlay;value_BlockedY;value_BlockedX;value_RegularPlay;value_OutOfBoxCentre;value_DefBlock;value_Shove/Push;value_MediumGkIntervention;value_TakeOnOvertake;value_BoxLeft;value_CloseLeft;value_ThroughBall;value_BoxCentre;value_GkXTimeOfGoal;value_LowLeft;value_GoalShotGameClock;value_GkYTimeOfGoal;value_OtherBodyPart;value_GoalShotTimestamp;value_BigChance;value_SmallBoxCentre;value_Right;value_NotPastGoalLine;value_HighRight;value_YellowCard;value_TacticalFoul;value_Overrun;value_HighClaim;value_OverArm;value_Hands;value_ParriedDanger;value_Diving;value_Handball;value_CloseRight;value_Minutes;value_HighCentre;value_Standing;value_Collected;value_EndType;value_RecklessOffence;value_OverhitCross;value_FastBreak;value_Tactical;value_PositionSideId;value_FormationSlot;value_DetailedPositionId;value_NotAssisted;value_BoxRight;value_TimeWasting;value_LowRight;value_Tap;value_ParriedSafe;value_Injury;value_InjuredPlayerId;value_Penalty;value_PenaltyTakerId;value_CausingPlayer;value_Second(2Nd)OppositeRelatedEventId;value_Scored;value_GameEnd;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2713801453;1;34;16;0;0;cbip96wzs3jc2xadoluhhxotl;1;0,0;0,0;2024-08-26T01:20:29.698Z;2024-08-26T02:04:45Z;[{'id': 5175311195, 'qualifierId': 194, 'value': 'ahl3kfbfeubf6zfl7x8qrlm38'}, {'id': 5175310671, 'qualifierId': 197, 'value': '6183'}, {'id': 5175252991, 'qualifierId': 59, 'value': '57, 99, 33, 81, 42, 32, 72, 92, 97, 77, 39, 51, 34, 41, 12, 70, 40, 49'}, {'id': 5175252987, 'qualifierId': 30, 'value': '2ig362xub2syd45v3usgymbkk, 9p86jgzpsokma52ifxswk4woa, asy97zdxk0352toy38huzk222, 3wkej06590b61lyqm7vt1kwes, ahl3kfbfeubf6zfl7x8qrlm38, 5gg2mxmy9ff40oku3s09gavl6, 72xq9zy27facbbowtwsuzw0lw, bxnegxnynd1glae8g0vfigfvu, 9rgkh8j5l8n0ld96ojr47xy7e, 6kpb5yyfk2ifjgtfkspb8xwd0, tw82u87mw6kggtjblt1hhdzo, 48vc423tkz4mx7oql1ahqneac, 8rq61cgteiomxej2p0nxaw6c4, dzo2odov052991qseshgfruju, 17x0wwjg47boyx7jua6vqf0gk, mm0bv35ngf0sqh2yx2eza4x6, 8y2nsfsangmn1qa389y25b76c, 8zi8ztqodyei25r17enlqfhuc'}, {'id': 5175252997, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5175252993, 'qualifierId': 130, 'value': '2'}, {'id': 5175252989, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5175252995, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}];;;;;exbuhllv7rqad3umlj94s8u1g;Team set up;;6183,0;;;;2,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;;;;;;;;;;0;0;0;Ventura County;0;;
2713806877;1;34;16;0;0;8ijkk62897so5r3bq0wgwx4bu;1;0,0;0,0;2024-08-26T01:39:01.683Z;2024-08-26T02:04:18Z;[{'id': 5175280427, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5175280421, 'qualifierId': 59, 'value': '31, 75, 50, 52, 64, 51, 78, 21, 63, 84, 61, 72, 91, 68, 67, 97, 87, 71, 53, 65'}, {'id': 5175280417, 'qualifierId': 30, 'value': 'ab8jzmb5h0lh7mt66h3zgm5ex, 70e7dozhms3xdkr0n6kas00es, 4blue6g56i3t9iffjcmjs6hhw, c44bkncqmptribnxki1dyppbe, ckqdb14rd2i1scytlygbsncb8, e23yyl43xtcve09dx234uuj8, 3c1xz4vpfoum0jbq6bmtdrtux, 1o0ew8fp44fuo3o7c8ef8pd2i, 6d45ccicyo6dregi9cm4ad4kq, 4o8ulvahxfb06x5xhvflvwhzo, 5zawuirp825t4brhaj90k9duy, 2eoftsi3eznjjmhu8ybft11ck, pldpnmzoo867jhdvamuhp9n8, ct1a7ex39pnemouuv4klyj85w, e6ocmgjfubq6qvg4wfp8zipsk, 7suq9shgwa8fyip80f1zy1mhg, 58akq0ojntf5n123msb1tzeok, 2io6rajwkftjli8i14hf606ei, b2sl4wp77nrynvodb6k19yfze, 74bhj4xi5zgq6evsr4c766p04'}, {'id': 5175308207, 'qualifierId': 194, 'value': 'ab8jzmb5h0lh7mt66h3zgm5ex'}, {'id': 5175280425, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5175310621, 'qualifierId': 197, 'value': '23553'}, {'id': 5175280419, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5175280423, 'qualifierId': 130, 'value': '8'}];;;;;exbuhllv7rqad3umlj94s8u1g;Team set up;;23553,0;;;;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;;;;;;;;;;0;0;0;Real Monarchs;0;;
2713812771;2;32;1;0;0;cbip96wzs3jc2xadoluhhxotl;1;0,0;0,0;2024-08-26T02:06:23.805Z;2024-08-26T02:06:27Z;[{'id': 5175313027, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;exbuhllv7rqad3umlj94s8u1g;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;;;;;;;;;;0;0;0;Ventura County;0;;
2713812767;2;32;1;0;0;8ijkk62897so5r3bq0wgwx4bu;1;0,0;0,0;2024-08-26T02:06:23.805Z;2024-08-30T11:33:10Z;[{'id': 5175313009, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;exbuhllv7rqad3umlj94s8u1g;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;;;;;;;;;;0;0;0;Real Monarchs;0;;
2713812779;3;1;1;0;0;cbip96wzs3jc2xadoluhhxotl;1;49,9;50,1;2024-08-26T02:06:23.806Z;2024-08-26T02:06:28Z;[{'id': 5175313051, 'qualifierId': 212, 'value': '22.9'}, {'id': 5175313049, 'qualifierId': 141, 'value': '59.1'}, {'id': 5175313045, 'qualifierId': 56, 'value': 'Back'}, {'id': 5175313055, 'qualifierId': 279, 'value': 'S'}, {'id': 5175313053, 'qualifierId': 213, 'value': '2.87'}, {'id': 5175313047, 'qualifierId': 140, 'value': '28.9'}];bxnegxnynd1glae8g0vfigfvu;N. Caliskan;;;exbuhllv7rqad3umlj94s8u1g;Pass;;;;;;;;;;22,9;59,1;;;2,87;28,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;28,9;59,1;;;;;;;;0;0;0;Ventura County;0;MC;1,0
2713812793;4;1;1;0;4;cbip96wzs3jc2xadoluhhxotl;0;28,7;60,9;2024-08-26T02:06:28.428Z;2024-08-26T02:06:30Z;[{'id': 5175313117, 'qualifierId': 157}, {'id': 5175313127, 'qualifierId': 213, 'value': '5.63'}, {'id': 5175313121, 'qualifierId': 140, 'value': '69.2'}, {'id': 5175313129, 'qualifierId': 1}, {'id': 5175313123, 'qualifierId': 141, 'value': '13.4'}, {'id': 5175313125, 'qualifierId': 212, 'value': '53.4'}, {'id': 5175313119, 'qualifierId': 56, 'value': 'Right'}];5gg2mxmy9ff40oku3s09gavl6;Z. Farnsworth;;;exbuhllv7rqad3umlj94s8u1g;Pass;;;;;;;;;;53,4;13,4;;;5,63;69,2;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;69,2;13,4;;;;;;;;0;0;4;Ventura County;4;DC;1,0
2713812801;3;1;1;0;8;8ijkk62897so5r3bq0wgwx4bu;0;29,2;86,2;2024-08-26T02:06:31.814Z;2024-08-26T02:06:32Z;[{'id': 5175313157, 'qualifierId': 140, 'value': '33.4'}, {'id': 5175313161, 'qualifierId': 212, 'value': '8.0'}, {'id': 5175313155, 'qualifierId': 56, 'value': 'Back'}, {'id': 5175313153, 'qualifierId': 3}, {'id': 5175313163, 'qualifierId': 213, 'value': '5.29'}, {'id': 5175313159, 'qualifierId': 141, 'value': '76.3'}];5zawuirp825t4brhaj90k9duy;S. Karani;;;exbuhllv7rqad3umlj94s8u1g;Pass;;;;;;;;;;8,0;76,3;;;5,29;33,4;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;33,4;76,3;;;;;;;;0;0;8;Real Monarchs;8;AML;1,0
2713812813;5;1;1;0;10;cbip96wzs3jc2xadoluhhxotl;1;63,3;28,4;2024-08-26T02:06:33.965Z;2024-08-26T02:06:36Z;[{'id': 5175313219, 'qualifierId': 212, 'value': '7.1'}, {'id': 5175313213, 'qualifierId': 56, 'value': 'Right'}, {'id': 5175313215, 'qualifierId': 140, 'value': '67.8'}, {'id': 5175313221, 'qualifierId': 213, 'value': '5.44'}, {'id': 5175313211, 'qualifierId': 3}, {'id': 5175313217, 'qualifierId': 141, 'value': '20.6'}];bxnegxnynd1glae8g0vfigfvu;N. Caliskan;;;exbuhllv7rqad3umlj94s8u1g;Pass;;;;;;;;;;7,1;20,6;;;5,44;67,8;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;67,8;20,6;;;;;;;;0;0;10;Ventura County;10;MC;1,0
2713812815;6;1;1;0;12;cbip96wzs3jc2xadoluhhxotl;1;67,9;20,6;2024-08-26T02:06:36.685Z;2024-08-26T02:06:38Z;[{'id': 5175313235, 'qualifierId': 56, 'value': 'Back'}, {'id': 5175313243, 'qualifierId': 213, 'value': '3.38'}, {'id': 5175313237, 'qualifierId': 140, 'value': '46.3'}, {'id': 5175313239, 'qualifierId': 141, 'value': '12.6'}, {'id': 5175313241, 'qualifierId': 212, 'value': '23.3'}];6kpb5yyfk2ifjgtfkspb8xwd0;O. Anderson;;;exbuhllv7rqad3umlj94s8u1g;Pass;;;;;;;;;;23,3;12,6;;;3,38;46,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;46,3;12,6;;;;;;;;0;0;12;Ventura County;12;FW;1,0
2713812823;7;1;1;0;14;cbip96wzs3jc2xadoluhhxotl;1;46,3;12,6;2024-08-26T02:06:38.108Z;2024-08-26T02:06:40Z;[{'id': 5175313303, 'qualifierId': 140, 'value': '50.0'}, {'id': 5175313309, 'qualifierId': 213, 'value': '1.03'}, {'id': 5175313305, 'qualifierId': 141, 'value': '22.2'}, {'id': 5175313307, 'qualifierId': 212, 'value': '7.6'}, {'id': 5175313301, 'qualifierId': 56, 'value': 'Center'}];9p86jgzpsokma52ifxswk4woa;J. Orozco;;;exbuhllv7rqad3umlj94s8u1g;Pass;;;;;;;;;;7,6;22,2;;;1,03;50,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;away;50,0;22,2;;;;;;;;0;0;14;Ventura County;14;DR;1,0
